Src	Trg	LinkCount	RelLinkCount
2	1606	2	0.022989
2	971	2	0.022989
2	1456	2	0.022989
2	1270	3	0.034483
2	1116	1	0.011494
2	191	1	0.011494
3	573	9	1.000000
3	349	9	1.000000
4	1322	1	0.010870
4	1486	1	0.010870
4	244	91	0.989130
4	814	91	0.989130
4	1270	6	0.065217
4	1496	1	0.010870
4	349	91	0.989130
5	992	2	0.023810
5	349	84	1.000000
7	1505	1	0.001282
7	996	1	0.001282
7	1541	1	0.001282
7	72	3	0.003846
7	905	1	0.001282
7	397	3	0.003846
7	878	1	0.001282
7	655	2	0.002564
7	370	1	0.001282
7	367	1	0.001282
7	1562	3	0.003846
7	1327	1	0.001282
7	1116	1	0.001282
7	349	653	0.837179
7	799	1	0.001282
8	1060	1	0.005208
8	229	145	0.755208
8	715	1	0.005208
8	944	1	0.005208
8	799	1	0.005208
8	1093	1	0.005208
9	1074	62	6.888889
10	1157	4	0.000514
10	716	4	0.000514
10	1327	35	0.004498
10	370	3	0.000386
10	601	1	0.000129
10	1112	11	0.001414
10	1017	1	0.000129
10	229	5	0.000643
13	449	4	0.333333
14	1060	1	0.125000
15	996	8	0.020305
16	448	3	0.000660
16	738	3	0.000660
16	1417	3	0.000660
16	1394	3	0.000660
16	1327	6	0.001319
16	370	78	0.017150
16	244	9	0.001979
16	1270	3	0.000660
17	1450	20	2.000000
17	349	10	1.000000
19	271	4	2.000000
20	271	4	0.800000
22	1157	4	0.000514
22	10	3	0.000385
22	716	4	0.000514
22	1327	35	0.004496
22	370	3	0.000385
22	601	1	0.000128
22	1112	11	0.001413
22	1017	1	0.000128
22	229	5	0.000642
23	1112	3	0.003006
23	1327	3	0.003006
24	349	9	1.000000
25	315	1	0.006897
25	349	128	0.882759
28	1327	19	1.000000
32	420	18	0.947368
32	349	18	0.947368
35	1377	140	1.891892
35	994	34	0.459459
35	445	34	0.459459
37	1042	20	1.250000
37	395	3	0.187500
37	1060	15	0.937500
37	1362	4	0.250000
37	565	1	0.062500
38	448	3	0.000670
38	738	3	0.000670
38	1417	3	0.000670
38	1394	3	0.000670
38	1327	6	0.001339
38	370	79	0.017634
38	244	9	0.002009
38	1270	3	0.000670
39	1157	4	0.000513
39	10	3	0.000385
39	716	4	0.000513
39	1327	35	0.004489
39	370	3	0.000385
39	601	1	0.000128
39	1112	11	0.001411
39	1017	1	0.000128
39	229	5	0.000641
40	992	3	0.020690
40	132	9	0.062069
40	1577	2	0.013793
40	170	2	0.013793
40	811	5	0.034483
40	239	4	0.027586
40	271	145	1.000000
40	1366	1	0.006897
40	1060	1	0.006897
40	511	6	0.041379
40	220	1	0.006897
40	799	1	0.006897
43	349	23	1.000000
44	741	27	2.076923
46	298	1	0.052632
46	715	2	0.105263
46	1060	1	0.052632
46	262	1	0.052632
46	799	1	0.052632
48	764	2	1.000000
50	740	1	0.004854
50	7	3	0.014563
51	349	29	1.000000
52	992	3	0.096774
52	1424	1	0.032258
52	1060	1	0.032258
52	799	1	0.032258
54	1112	2	0.003082
54	349	228	0.351310
54	1270	3	0.004622
55	570	7	0.009223
55	1047	15	0.019763
56	331	114	8.769231
58	1216	8	0.004944
58	733	8	0.004944
58	1412	8	0.004944
58	389	1	0.000618
58	1040	8	0.004944
58	263	1	0.000618
58	1388	8	0.004944
58	1239	8	0.004944
58	908	2	0.001236
58	1037	10	0.006180
58	1552	9	0.005562
58	1112	1	0.000618
58	1245	8	0.004944
58	1505	1	0.000618
58	1228	1	0.000618
58	750	8	0.004944
58	1561	8	0.004944
58	431	8	0.004944
58	1438	8	0.004944
58	159	1	0.000618
58	1060	1	0.000618
58	1445	9	0.005562
58	167	8	0.004944
58	812	1	0.000618
58	1197	8	0.004944
58	1327	2	0.001236
58	1585	8	0.004944
58	132	1	0.000618
58	569	8	0.004944
58	571	3	0.001854
58	192	1	0.000618
58	1599	8	0.004944
58	1344	8	0.004944
58	321	8	0.004944
58	1604	8	0.004944
58	1270	2	0.001236
58	1351	9	0.005562
58	585	2	0.001236
58	1612	6	0.003708
58	1378	1	0.000618
58	1614	7	0.004326
58	463	8	0.004944
58	1360	8	0.004944
58	1016	2	0.001236
58	211	8	0.004944
58	468	8	0.004944
58	853	1	0.000618
58	983	8	0.004944
58	728	8	0.004944
58	1369	8	0.004944
58	1117	8	0.004944
58	223	1	0.000618
58	992	1	0.000618
58	993	8	0.004944
58	610	8	0.004944
58	477	8	0.004944
58	1509	9	0.005562
58	1385	1	0.000618
58	492	8	0.004944
58	146	8	0.004944
58	110	8	0.004944
58	1009	9	0.005562
58	370	4	0.002472
58	481	9	0.005562
58	724	1	0.000618
58	501	3	0.001854
58	349	991	0.612485
58	1528	8	0.004944
58	633	9	0.005562
58	1402	8	0.004944
58	508	1	0.000618
58	382	8	0.004944
58	149	8	0.004944
59	1314	1	0.100000
59	331	58	5.800000
59	1419	1	0.100000
59	1327	1	0.100000
60	264	9	0.264706
60	1122	2	0.058824
60	1452	1	0.029412
60	66	1	0.029412
60	655	1	0.029412
61	1327	18	1.000000
62	244	3	0.008357
62	1460	1	0.002786
62	972	1	0.002786
62	1327	2	0.005571
63	1281	2	0.001878
63	311	2	0.001878
63	620	4	0.003756
63	811	4	0.003756
63	460	5	0.004695
63	210	5	0.004695
63	1327	1050	0.985915
63	177	2	0.001878
63	370	6	0.005634
63	244	1056	0.991549
63	662	3	0.002817
63	361	3	0.002817
63	1112	1	0.000939
63	411	2	0.001878
63	638	2	0.001878
64	1157	4	0.000510
64	10	3	0.000382
64	716	4	0.000510
64	1327	35	0.004461
64	370	3	0.000382
64	601	1	0.000127
64	1112	11	0.001402
64	1017	1	0.000127
64	229	5	0.000637
65	1112	2	0.086957
65	294	24	1.043478
65	1327	10	0.434783
66	1307	1	0.050000
66	811	1	0.050000
66	271	2	0.100000
67	729	27	3.000000
67	349	9	1.000000
67	1527	9	1.000000
68	1327	15	1.000000
71	294	1	0.000895
71	170	2	0.001791
71	1133	473	0.423456
71	1231	2	0.001791
71	1074	1	0.000895
71	1270	5	0.004476
71	1112	1	0.000895
71	763	1	0.000895
71	349	462	0.413608
72	349	11	1.000000
72	7	22	2.000000
73	1327	16	1.000000
74	1506	10	1.000000
74	1316	10	1.000000
74	1036	10	1.000000
74	1132	10	1.000000
74	1523	10	1.000000
74	349	10	1.000000
74	1055	10	1.000000
75	1505	2	0.001487
75	1467	1028	0.764312
75	1577	6	0.004461
75	1327	2	0.001487
75	370	3	0.002230
75	1112	4	0.002974
75	249	1022	0.759851
75	955	1026	0.762825
75	349	1015	0.754647
75	799	1	0.000743
76	1060	4	0.333333
76	1022	2	0.166667
76	271	4	0.333333
77	224	1	0.001832
77	311	1	0.001832
77	148	1	0.001832
77	1270	26	0.047619
77	1327	6	0.010989
81	132	5	0.004766
81	262	11	0.010486
81	1035	8	0.007626
81	1044	13	0.012393
81	535	1	0.000953
81	799	21	0.020019
81	1060	4	0.003813
81	807	7	0.006673
81	1194	24	0.022879
81	1460	4	0.003813
81	1079	4	0.003813
81	448	15	0.014299
81	1089	5	0.004766
81	1270	38	0.036225
81	711	1	0.000953
81	715	1	0.000953
81	1612	2	0.001907
81	205	1	0.000953
81	206	12	0.011439
81	1111	6	0.005720
81	1116	2	0.001907
81	1502	2	0.001907
81	992	6	0.005720
81	996	16	0.015253
81	742	13	0.012393
81	620	4	0.003813
81	239	4	0.003813
81	1398	12	0.011439
82	289	172	1.000000
82	972	1	0.005814
87	349	156	0.821053
87	1327	1	0.005263
88	992	5	0.029412
88	1270	1	0.005882
88	1060	17	0.100000
88	1093	4	0.023529
88	277	5	0.029412
88	1366	4	0.023529
88	987	4	0.023529
88	799	1	0.005882
90	448	3	0.000667
90	738	3	0.000667
90	1417	3	0.000667
90	1394	3	0.000667
90	1327	6	0.001333
90	370	79	0.017556
90	244	9	0.002000
90	1270	3	0.000667
91	715	1	0.058824
91	1060	17	1.000000
91	271	17	1.000000
92	132	3	0.214286
93	449	4	0.285714
94	992	5	0.125000
94	996	1	0.025000
94	799	43	1.075000
95	132	2	0.005362
95	210	2	0.005362
95	277	4	0.010724
95	1142	4	0.010724
95	411	2	0.005362
95	1116	2	0.005362
96	1157	4	0.000517
96	10	3	0.000388
96	716	4	0.000517
96	1327	35	0.004522
96	370	3	0.000388
96	601	1	0.000129
96	1112	11	0.001421
96	1017	1	0.000129
96	229	5	0.000646
97	643	2	0.000893
97	1366	4	0.001786
97	1387	1	0.000446
97	349	3	0.001339
97	1327	1	0.000446
97	244	1	0.000446
97	438	1	0.000446
97	797	5	0.002232
100	995	1	0.076923
101	1128	1	0.020000
101	1362	1	0.020000
101	996	2	0.040000
101	271	2	0.040000
103	1090	1091	21.392157
103	1270	1	0.019608
103	1327	1	0.019608
105	1062	23938	30.072864
105	361	8	0.010050
105	1003	13	0.016332
105	876	1	0.001256
105	1327	20	0.025126
105	370	8	0.010050
105	244	2	0.002513
105	1112	9	0.011307
107	448	3	0.000668
