Src	Trg	LinkCount	RelLinkCount
2048	1634	72	12.000000
2048	1961	2	0.333333
2048	2318	12	2.000000
2048	1649	4	0.666667
2048	1913	8	1.333333
2048	2141	6	1.000000
2053	1921	749	0.084959
2053	2180	22	0.002495
2053	2285	1	0.000113
2053	2320	30	0.003403
2053	1683	1	0.000113
2053	2325	4	0.000454
2053	2199	1	0.000113
2053	1690	1	0.000113
2053	1882	9	0.001021
2053	2206	3	0.000340
2053	2160	3	0.000340
2053	1826	396	0.044918
2053	2353	1	0.000113
2053	1961	3	0.000340
2053	1835	4	0.000454
2053	2222	3	0.000340
2053	1847	1	0.000113
2053	1717	1	0.000113
2053	2359	2	0.000227
2053	2232	1	0.000113
2053	2363	1	0.000113
2053	2112	19	0.002155
2053	1857	3	0.000340
2053	2114	21	0.002382
2053	1735	3	0.000340
2053	1856	3	0.000340
2053	1872	2	0.000227
2053	1626	46	0.005218
2053	1885	4	0.000454
2053	1634	5	0.000567
2053	1645	15	0.001701
2053	2031	39	0.004424
2053	2032	1	0.000113
2053	1649	110	0.012477
2053	1914	2	0.000227
2053	2174	7186	0.815109
2055	1735	114	38.000000
2056	1735	114	38.000000
2057	1735	115	38.333333
2058	1921	2	0.004566
2058	1634	3	0.006849
2058	2182	7	0.015982
2058	2193	3	0.006849
2058	1679	3	0.006849
2058	2096	3	0.006849
2058	2321	6	0.013699
2058	1683	6	0.013699
2058	2362	8	0.018265
2058	1916	13	0.029680
2058	2175	5	0.011416
2060	1735	114	38.000000
2062	1961	90	1.000000
2062	1634	266	2.955556
2062	2116	180	2.000000
2062	1858	176	1.955556
2062	1957	90	1.000000
2063	1634	2092	10.009569
2063	2116	3	0.014354
2063	2248	3	0.014354
2063	2318	418	2.000000
2063	2321	211	1.009569
2063	1913	418	2.000000
2065	1735	114	38.000000
2066	2321	2	0.006270
2066	1634	2	0.006270
2066	1668	2	0.006270
2066	2318	10	0.031348
2066	2351	2	0.006270
2070	2047	11	1.000000
2072	2176	10	0.001985
2072	1664	191	0.037904
2072	1922	2	0.000397
2072	1923	1	0.000198
2072	2180	2	0.000397
2072	2182	8	0.001588
2072	1927	2	0.000397
2072	2318	9954	1.975392
2072	1807	1	0.000198
2072	2321	4	0.000794
2072	1683	15	0.002977
2072	2197	1	0.000198
2072	2308	1	0.000198
2072	1949	1	0.000198
2072	1957	9	0.001786
2072	1958	5	0.000992
2072	2221	1	0.000198
2072	2096	7	0.001389
2072	2098	4	0.000794
2072	1715	3	0.000595
2072	2100	2	0.000397
2072	1847	3549	0.704306
2072	2361	1	0.000198
2072	1986	1	0.000198
2072	1860	2	0.000397
2072	1998	65	0.012899
2072	2257	72	0.014289
2072	2300	7	0.001389
2072	1625	35240	6.993451
2072	1626	30	0.005954
2072	2063	1	0.000198
2072	2143	3	0.000595
2072	1634	49984	9.919428
2072	2086	6	0.001191
2072	1641	5	0.000992
2072	2160	4	0.000794
2072	1652	34	0.006747
2072	1913	9853	1.955348
2072	1916	4	0.000794
2073	1921	2	0.005362
2073	2362	12	0.032172
2073	1683	2	0.005362
2073	1820	2	0.005362
2075	2318	2	0.010870
2075	2197	1	0.005435
2075	2083	1	0.005435
2075	1958	41	0.222826
2075	1961	9	0.048913
2075	1838	1	0.005435
2075	1975	1	0.005435
2075	2232	2	0.010870
2075	2362	3	0.016304
2075	2112	1	0.005435
2075	1858	1	0.005435
2075	2126	1	0.005435
2075	2273	2	0.010870
2075	1634	11	0.059783
2075	1892	14	0.076087
2075	2026	1	0.005435
2075	2157	1	0.005435
2075	2032	1	0.005435
2075	1649	1	0.005435
2075	1653	1	0.005435
2075	1655	1	0.005435
2075	1913	1	0.005435
2075	2042	1	0.005435
2076	2232	2	0.045455
2076	2075	1	0.022727
2076	1958	1	0.022727
2076	1655	1	0.022727
2077	1735	115	38.333333
2078	2182	12	2.000000
2078	2058	2	0.333333
2078	2189	1	0.166667
2078	2318	12	2.000000
2078	1940	2	0.333333
2078	1830	2	0.333333
2078	1703	6	1.000000
2078	1707	1	0.166667
2078	1865	2	0.333333
2078	1722	12	2.000000
2078	1988	1	0.166667
2078	2249	12	2.000000
2078	1996	2	0.333333
2078	1998	3	0.500000
2078	2258	291	48.500000
2078	1884	2	0.333333
2078	1634	60	10.000000
2078	1958	2	0.333333
2078	1640	2	0.333333
2078	1898	2	0.333333
2078	1775	2	0.333333
2078	2163	18	3.000000
2078	1791	2	0.333333
2079	1921	1	0.005848
2079	2091	395	2.309942
2079	1812	1	0.005848
2081	1913	43	1.000000
2081	1634	430	10.000000
2081	2188	1	0.023256
2081	1626	1	0.023256
2081	2318	86	2.000000
2083	1664	2	0.027778
2083	2305	5	0.069444
2083	2309	1	0.013889
2083	2182	9	0.125000
2083	1921	2	0.027778
2083	2312	2	0.027778
2083	1806	4	0.055556
2083	2063	3	0.041667
2083	2321	13	0.180556
2083	1683	1	0.013889
2083	2197	65	0.902778
2083	1814	1	0.013889
2083	2199	3	0.041667
2083	2116	1	0.013889
2083	1883	1	0.013889
2083	1700	4	0.055556
2083	1957	3	0.041667
2083	2086	2	0.027778
2083	1703	1	0.013889
2083	1704	12	0.166667
2083	1961	618	8.583333
2083	2221	7	0.097222
2083	1838	1	0.013889
2083	2351	10	0.138889
2083	2096	15	0.208333
2083	2227	1	0.013889
2083	2100	1	0.013889
2083	1845	1	0.013889
2083	1847	18	0.250000
2083	2360	2	0.027778
2083	2361	1	0.013889
2083	2362	79	1.097222
2083	2365	1	0.013889
2083	2112	12	0.166667
2083	1858	63	0.875000
2083	1860	1	0.013889
2083	2248	3	0.041667
2083	2249	1	0.013889
2083	2176	3	0.041667
2083	2126	63	0.875000
2083	1871	1	0.013889
2083	2257	1	0.013889
2083	2318	1	0.013889
2083	2169	1	0.013889
2083	1625	5	0.069444
2083	1626	9	0.125000
2083	1679	13	0.180556
