Src	Trg	LinkCount	RelLinkCount
2560	2573	1	0.003413
2560	2400	1	0.003413
2560	2706	2	0.006826
2560	2451	1	0.003413
2560	2708	3	0.010239
2560	2528	1	0.003413
2560	2463	1	0.003413
2560	2721	1	0.003413
2560	2722	1	0.003413
2560	2602	285	0.972696
2560	2604	1	0.003413
2560	2478	1	0.003413
2560	2745	1	0.003413
2560	2497	3	0.010239
2560	2371	2	0.006826
2560	2372	1	0.003413
2560	2757	1	0.003413
2560	2375	1	0.003413
2560	2504	1	0.003413
2560	2633	2	0.006826
2560	2768	2	0.006826
2560	2395	44	0.150171
2560	2784	3	0.010239
2560	2662	1	0.003413
2560	2407	2	0.006826
2560	2536	1	0.003413
2560	2674	1	0.003413
2560	2807	1	0.003413
2560	2429	1	0.003413
2561	2560	1	0.001135
2561	2692	1	0.001135
2561	2565	1	0.001135
2561	2567	1	0.001135
2561	2696	1	0.001135
2561	2573	2	0.002270
2561	2448	2	0.002270
2561	2451	26	0.029512
2561	2708	1	0.001135
2561	2715	1	0.001135
2561	2460	2	0.002270
2561	2784	2	0.002270
2561	2463	2	0.002270
2561	2465	2	0.002270
2561	2600	1	0.001135
2561	2602	157	0.178207
2561	2745	2	0.002270
2561	2497	7	0.007946
2561	2371	1	0.001135
2561	2633	2	0.002270
2561	2649	2	0.002270
2561	2395	106	0.120318
2561	2528	1	0.001135
2561	2802	5	0.005675
2561	2421	1	0.001135
2561	2422	1	0.001135
2561	2554	435	0.493757
2561	2429	2	0.002270
2562	2561	2	0.001139
2562	2694	353	0.201025
2562	2700	471	0.268223
2562	2576	601	0.342255
2562	2449	253	0.144077
2562	2453	358	0.203872
2562	2714	3	0.001708
2562	2460	1	0.000569
2562	2463	3	0.001708
2562	2464	1	0.000569
2562	2721	35	0.019932
2562	2599	21	0.011959
2562	2478	1	0.000569
2562	2419	2	0.001139
2562	2497	3	0.001708
2562	2657	83	0.047267
2562	2572	688	0.391800
2562	2380	890	0.506834
2562	2509	3	0.001708
2562	2390	5	0.002847
2562	2395	1	0.000569
2562	2652	547	0.311503
2562	2528	4	0.002278
2562	2448	1	0.000569
2562	2403	223	0.126993
2562	2662	2	0.001139
2562	2535	448	0.255125
2562	2538	19	0.010820
2562	2795	599	0.341116
2562	2668	30	0.017084
2562	2415	126	0.071754
2562	2802	4	0.002278
2562	2547	25	0.014237
2562	2809	559	0.318337
2562	2554	2	0.001139
2562	2556	7	0.003986
2562	2429	1	0.000569
2564	2785	24	0.017937
2564	2662	1	0.000747
2564	2602	2	0.001495
2564	2701	4	0.002990
2564	2478	8	0.005979
2564	2583	1	0.000747
2564	2429	3	0.002242
2564	2718	2	0.001495
2564	2463	1	0.000747
2565	2497	14	0.008023
2565	2561	1	0.000573
2565	2602	4	0.002292
2565	2573	41	0.023496
2565	2670	1759	1.008023
2565	2478	13	0.007450
2565	2680	4	0.002292
2565	2395	5	0.002865
2566	2656	2	0.003534
2566	2497	2	0.003534
2566	2596	2	0.003534
2566	2742	2	0.003534
2566	2663	2	0.003534
2566	2792	2	0.003534
2566	2602	16	0.028269
2566	2667	621	1.097173
2566	2664	2	0.003534
2566	2646	2	0.003534
2566	2455	2	0.003534
2566	2624	2	0.003534
2566	2395	1	0.001767
2566	2524	2	0.003534
2566	2429	11	0.019435
2567	2448	1	0.007874
2567	2561	1	0.007874
2567	2395	17	0.133858
2567	2451	58	0.456693
2567	2429	11	0.086614
2568	2562	1	0.006623
2568	2787	1	0.006623
2568	2692	1	0.006623
2568	2378	1	0.006623
2568	2478	1	0.006623
2568	2386	8	0.052980
2568	2451	146	0.966887
2568	2622	1	0.006623
2568	2774	1	0.006623
2568	2615	1	0.006623
2568	2776	1	0.006623
2568	2746	12395	82.086093
2568	2556	1	0.006623
2568	2429	875	5.794702
2568	2718	1	0.006623
2568	2463	1	0.006623
2569	2528	3	0.001330
2569	2497	2	0.000887
2569	2755	2	0.000887
2569	2599	3	0.001330
2569	2378	5	0.002217
2569	2461	13	0.005765
2569	2768	11	0.004878
2569	2387	4	0.001774
2569	2420	3	0.001330
2569	2616	3	0.001330
2569	2649	3	0.001330
2569	2397	3	0.001330
2570	2378	4	0.039604
2572	2721	1	0.333333
2572	2562	213	71.000000
2573	2560	1	0.000700
2573	2561	7	0.004899
2573	2565	27	0.018894
2573	2706	1	0.000700
2573	2451	13	0.009097
2573	2708	1	0.000700
2573	2784	3	0.002099
2573	2395	36	0.025192
2573	2602	19	0.013296
2573	2605	1	0.000700
2573	2478	3	0.002099
2573	2745	1	0.000700
2573	2497	9	0.006298
2573	2371	1	0.000700
2573	2633	1	0.000700
2573	2768	1	0.000700
2573	2651	1	0.000700
2573	2528	6	0.004199
2573	2407	1	0.000700
2573	2536	1	0.000700
2573	2670	2	0.001400
2573	2423	5	0.003499
2573	2680	3	0.002099
2573	2429	4	0.002799
2576	2721	1	0.333333
2576	2562	216	72.000000
2578	2768	2	0.023256
2578	2461	1	0.011628
2579	2701	192	0.676056
2581	2562	215	71.666667
2582	2562	1	0.006757
2582	2787	1	0.006757
2582	2692	1	0.006757
2582	2378	1	0.006757
2582	2478	1	0.006757
2582	2386	8	0.054054
2582	2451	143	0.966216
2582	2622	1	0.006757
2582	2774	1	0.006757
2582	2615	1	0.006757
2582	2776	1	0.006757
2582	2746	12091	81.695946
2582	2556	1	0.006757
2582	2429	857	5.790541
2582	2718	1	0.006757
2582	2463	1	0.006757
2583	2785	16	0.017917
2583	2564	12	0.013438
2583	2497	4	0.004479
2583	2536	32	0.035834
2583	2602	4	0.004479
2583	2567	2	0.002240
2583	2605	10	0.011198
2583	2448	2	0.002240
2583	2585	3	0.003359
2583	2395	4	0.004479
2583	2429	5	0.005599
2583	2718	907	1.015677
2585	2784	2	0.001720
2585	2497	952	0.818573
2585	2371	2	0.001720
2585	2605	4	0.003439
2585	2561	2	0.001720
2585	2536	1	0.000860
2585	2633	2	0.001720
2585	2602	71	0.061049
2585	2567	1	0.000860
2585	2573	2	0.001720
2585	2599	1	0.000860
2585	2644	1	0.000860
2585	2465	2	0.001720
2585	2451	1	0.000860
2585	2708	2	0.001720
2585	2528	1	0.000860
2585	2560	2	0.001720
2585	2745	2	0.001720
2585	2649	4	0.003439
2585	2395	1	0.000860
2585	2429	2	0.001720
2586	2528	592	0.998314
2587	2528	1	0.000391
2587	2593	7	0.002735
2587	2678	2	0.000782
2587	2785	1	0.000391
2587	2536	7	0.002735
2587	2602	8	0.003126
2587	2667	1	0.000391
2587	2478	2	0.000782
2587	2767	5	0.001954
2587	2451	2	0.000782
2587	2806	2	0.000782
2587	2649	2	0.000782
2587	2746	577	0.225479
2587	2671	2	0.000782
2587	2429	36	0.014068
2587	2685	3	0.001172
2587	2463	3	0.001172
2588	2528	2	0.038462
2588	2602	50	0.961538
2588	2526	4	0.076923
2589	2561	2	0.003571
2589	2567	2	0.003571
2589	2602	2	0.003571
2589	2541	2	0.003571
2589	2451	4	0.007143
2589	2649	2	0.003571
2589	2395	4	0.007143
2589	2429	6	0.010714
2591	2728	529	18.241379
2591	2487	17	0.586207
2593	2785	1	0.002174
2593	2438	1	0.002174
2593	2662	2	0.004348
2593	2439	2	0.004348
2593	2697	2	0.004348
2593	2507	2	0.004348
2593	2478	4	0.008696
2593	2737	2	0.004348
2593	2772	28	0.060870
2593	2713	4	0.008696
2593	2685	6	0.013043
2593	2463	1	0.002174
2595	2498	3	0.018868
2595	2515	3	0.018868
2597	2721	1	0.013514
2597	2755	33	0.445946
2597	2509	1	0.013514
2597	2662	1	0.013514
2597	2463	1	0.013514
2598	2662	1	0.000406
2598	2602	1	0.000406
2598	2478	124	0.050304
2598	2543	1	0.000406
2598	2706	9	0.003651
2598	2422	1	0.000406
2598	2520	2	0.000811
2598	2714	4	0.001623
2598	2395	2	0.000811
2598	2429	1	0.000406
2598	2463	7	0.002840
2599	2528	3	0.007958
2599	2721	145	0.384615
2599	2562	3	0.007958
2599	2497	6	0.015915
2599	2602	2	0.005305
2599	2802	1	0.002653
2599	2390	2	0.005305
2599	2649	1	0.002653
2599	2395	4	0.010610
2599	2556	1	0.002653
2600	2497	3	0.047619
2600	2644	6	0.095238
2600	2407	5	0.079365
2602	2528	15460	0.464432
2602	2714	2	0.000060
2602	2395	1	0.000030
2602	2509	1	0.000030
2604	2528	1	0.000801
2604	2400	1	0.000801
2604	2602	2	0.001601
2605	2528	72	1.000000
2605	2602	16	0.222222
2610	2528	1	0.002033
2610	2497	14	0.028455
2610	2598	1	0.002033
2610	2602	1	0.002033
2610	2451	2	0.004065
2610	2646	10	0.020325
2610	2713	5	0.010163
2610	2778	1	0.002033
2610	2395	2	0.004065
2610	2429	7	0.014228
2610	2463	1	0.002033
2614	2746	5	0.005376
2614	2429	2	0.002151
2615	2497	1	0.000657
2615	2626	1	0.000657
2615	2371	3	0.001972
2615	2662	1	0.000657
2615	2785	1	0.000657
2615	2696	3	0.001972
2615	2633	6	0.003945
2615	2674	1	0.000657
2615	2478	18	0.011834
2615	2737	2	0.001315
2615	2706	5	0.003287
2615	2518	1	0.000657
2615	2537	1	0.000657
2615	2680	1	0.000657
2615	2714	1	0.000657
2615	2523	2	0.001315
2615	2556	3	0.001972
2615	2461	5	0.003287
2615	2463	6	0.003945
2616	2528	2	0.006689
2616	2662	2	0.006689
2616	2599	2	0.006689
2616	2570	2	0.006689
2616	2509	2	0.006689
2616	2615	2	0.006689
2616	2649	5	0.016722
2616	2463	2	0.006689
2617	2602	1	0.012346
2620	2528	2	0.004695
2620	2633	5	0.011737
2620	2395	2	0.004695
2620	2765	4	0.009390
2622	2561	1	0.001427
2622	2692	1	0.001427
2622	2439	1	0.001427
2622	2697	1	0.001427
2622	2451	2	0.002853
2622	2713	2	0.002853
2622	2718	1	0.001427
2622	2463	1	0.001427
2622	2593	1	0.001427
2622	2602	1	0.001427
2622	2478	1	0.001427
2622	2737	6	0.008559
2622	2742	1	0.001427
2622	2746	1	0.001427
2622	2492	3	0.004280
2622	2497	2	0.002853
2622	2507	1	0.001427
2622	2776	1	0.001427
2622	2649	30	0.042796
2622	2395	1	0.001427
2622	2662	1	0.001427
2622	2540	1	0.001427
2622	2556	1	0.001427
2622	2685	1	0.001427
2624	2429	6	0.070588
2625	2515	36	2.000000
2626	2528	1	0.005714
2626	2371	1	0.005714
2626	2564	1	0.005714
2626	2463	4	0.022857
2628	2528	17	0.944444
2628	2602	19	1.055556
2629	2562	1	0.005650
2629	2787	1	0.005650
2629	2692	1	0.005650
2629	2378	1	0.005650
2629	2478	1	0.005650
2629	2386	552	3.118644
2629	2451	36	0.203390
2629	2622	1	0.005650
2629	2774	1	0.005650
2629	2615	1	0.005650
2629	2776	1	0.005650
2629	2746	12844	72.564972
2629	2556	1	0.005650
2629	2429	213	1.203390
2629	2718	1	0.005650
2629	2463	1	0.005650
2631	2562	1	0.005650
2631	2787	1	0.005650
2631	2692	1	0.005650
2631	2378	1	0.005650
2631	2478	1	0.005650
2631	2386	552	3.118644
2631	2451	36	0.203390
2631	2622	1	0.005650
2631	2774	1	0.005650
2631	2615	1	0.005650
2631	2776	1	0.005650
2631	2746	12844	72.564972
2631	2556	1	0.005650
2631	2429	213	1.203390
2631	2718	1	0.005650
2631	2463	1	0.005650
2632	2528	1	0.006289
2633	2602	2	1.000000
2633	2451	2	1.000000
2633	2620	2	1.000000
2633	2807	2	1.000000
2634	2528	1	0.029412
2634	2562	1	0.029412
2634	2627	1	0.029412
2634	2477	1	0.029412
2634	2446	2	0.058824
2634	2478	1	0.029412
2634	2518	1	0.029412
2634	2487	4	0.117647
2634	2744	1	0.029412
2634	2681	140	4.117647
2634	2622	2	0.058824
2635	2721	1	0.333333
2635	2562	210	70.000000
2638	2528	1	0.001437
2638	2529	1	0.001437
2638	2407	4	0.005747
2638	2497	1	0.001437
2638	2600	1	0.001437
2638	2602	2	0.002874
2638	2411	1	0.001437
2638	2644	1	0.001437
2638	2709	6	0.008621
2639	2407	7	0.070707
2640	2497	9	0.078947
2640	2742	1095	9.605263
2641	2520	1	0.013889
2641	2785	1	0.013889
2641	2515	1	0.013889
2644	2561	33	0.423077
2644	2407	3	0.038462
2644	2602	2	0.025641
2644	2448	4	0.051282
2644	2497	3	0.038462
2644	2451	4	0.051282
2644	2395	30	0.384615
2645	2528	3	0.011673
2645	2769	1	0.003891
2645	2728	160	0.622568
2645	2537	1	0.003891
2645	2602	37	0.143969
2645	2487	1	0.003891
2645	2577	1	0.003891
2645	2579	1	0.003891
2645	2580	1	0.003891
2645	2519	1	0.003891
2645	2392	1	0.003891
2645	2617	1	0.003891
2645	2705	60	0.233463
2645	2591	15	0.058366
2646	2602	2	0.018519
2646	2667	12	0.111111
2646	2610	4	0.037037
2648	2464	2	0.002736
2648	2562	7	0.009576
2648	2662	1	0.001368
2648	2537	1	0.001368
2648	2602	4	0.005472
2648	2572	1	0.001368
2649	2531	2	0.005900
2649	2692	2	0.005900
2649	2567	1	0.002950
2649	2602	23	0.067847
2649	2513	2	0.005900
2649	2742	1	0.002950
2649	2395	1	0.002950
2649	2429	5	0.014749
2649	2622	1	0.002950
2649	2463	1	0.002950
2650	2704	764	1.013263
2650	2706	32	0.042440
2650	2787	764	1.013263
2650	2653	764	1.013263
2650	2543	764	1.013263
2651	2680	1	0.004274
2651	2753	2	0.008547
2651	2573	2	0.008547
2651	2670	2	0.008547
2652	2721	1	0.250000
2652	2562	281	70.250000
2653	2528	1	0.004975
2653	2602	2	0.009950
2653	2573	2	0.009950
2653	2706	1	0.004975
2656	2528	1	0.000611
2656	2497	2	0.001222
2656	2792	6	0.003665
2656	2602	2	0.001222
2656	2667	7	0.004276
2656	2548	8	0.004887
2656	2746	4	0.002443
2656	2524	7	0.004276
2656	2429	1	0.000611
2657	2562	210	70.000000
2659	2562	1	0.005650
2659	2787	1	0.005650
2659	2692	1	0.005650
2659	2378	1	0.005650
2659	2478	1	0.005650
2659	2386	552	3.118644
2659	2451	36	0.203390
2659	2622	1	0.005650
2659	2774	1	0.005650
2659	2615	1	0.005650
2659	2776	1	0.005650
2659	2746	12844	72.564972
2659	2556	1	0.005650
2659	2429	213	1.203390
2659	2718	1	0.005650
2659	2463	1	0.005650
2660	2378	1	0.005263
2660	2509	1	0.005263
2661	2528	1	0.001890
2661	2497	17	0.032136
2661	2422	1	0.001890
2661	2598	1	0.001890
2661	2602	3	0.005671
2661	2667	1	0.001890
2661	2610	1204	2.275992
2661	2451	2	0.003781
2661	2646	10	0.018904
2661	2713	5	0.009452
2661	2778	1	0.001890
2661	2395	2	0.003781
2661	2429	9	0.017013
2661	2463	1	0.001890
