Src	Trg	LinkCount	RelLinkCount
2811	3270	1	0.029412
2811	3302	1	0.029412
2811	3145	3	0.088235
2811	3021	1	0.029412
2811	2894	1	0.029412
2811	3311	1	0.029412
2811	3216	2	0.058824
2811	3380	1	0.029412
2811	3241	2	0.058824
2811	2873	1	0.029412
2811	3163	2	0.058824
2811	2911	43	1.264706
2812	2943	1	0.011494
2812	3375	2	0.022989
2812	2911	87	1.000000
2813	2911	21	3.000000
2815	2986	1	0.058824
2815	3302	1	0.058824
2816	2977	2	0.060606
2816	3374	2	0.060606
2816	3294	422	12.787879
2816	2911	223	6.757576
2817	3241	6	0.022727
2817	2947	3	0.011364
2818	3369	63	1.016129
2818	3025	1	0.016129
2818	2923	64	1.032258
2818	2911	126	2.032258
2819	3241	1	0.010989
2819	3026	1	0.010989
2822	2980	1	0.000778
2822	3241	5	0.003888
2822	3179	1	0.000778
2822	2894	1	0.000778
2822	3026	1	0.000778
2822	2873	1	0.000778
2822	2911	3	0.002333
2823	2969	1	0.019608
2823	2986	4	0.078431
2823	2911	51	1.000000
2824	2857	3	0.017143
2827	3105	48	1.066667
2828	3302	194	1.071823
2828	3311	1387	7.662983
2829	3241	24	0.960000
2829	3300	24	0.960000
2830	2911	58	4.833333
2832	3241	5	0.003647
2832	3219	3	0.002188
2832	3302	1	0.000729
2837	3241	1	0.012821
2839	2969	8	0.019093
2839	2911	4	0.009547
2842	3163	1	0.020408
2843	3169	2	0.003617
2843	2977	1	0.001808
2843	3082	130	0.235081
2843	3435	2	0.003617
2843	2959	52	0.094033
2843	3344	2	0.003617
2843	3256	16	0.028933
2844	3241	2	0.009091
2845	3241	8	0.041451
2845	3300	1	0.005181
2846	3344	1	0.038462
2846	3282	1	0.038462
2846	2972	1	0.038462
2846	3302	60	2.307692
2848	2911	22	1.047619
2850	2986	1	0.004098
2850	2911	245	1.004098
2851	3241	77	0.647059
2852	2953	1	0.000497
2852	3211	4	0.001988
2852	3344	2	0.000994
2852	3246	1	0.000497
2852	3226	1	0.000497
2852	3100	1	0.000497
2852	3106	1	0.000497
2852	2980	1	0.000497
2852	2853	1	0.000497
2852	3496	2	0.000994
2852	3241	9	0.004473
2852	2972	2	0.000994
2852	3371	1	0.000497
2852	3374	4	0.001988
2852	2995	1	0.000497
2852	3380	1	0.000497
2852	3081	1	0.000497
2852	3128	1	0.000497
2852	3258	1	0.000497
2852	3423	4	0.001988
2852	3269	1	0.000497
2852	3148	1	0.000497
2852	3536	1	0.000497
2852	3291	5	0.002485
2852	2911	7	0.003479
2852	3040	1	0.000497
2852	2913	1	0.000497
2852	2914	1	0.000497
2852	3173	1	0.000497
2852	3310	1	0.000497
2852	3183	1	0.000497
2852	3316	1	0.000497
2852	2937	1	0.000497
2856	2974	1	0.007634
2856	3302	3	0.022901
2856	3311	534	4.076336
2857	2920	108	0.346154
2857	3241	2	0.006410
2857	2980	3	0.009615
2857	3037	3	0.009615
2857	3311	2	0.006410
2860	3241	2	0.111111
2862	2857	1	0.011905
2862	2871	2	0.023810
2862	3188	1	0.011905
2862	3477	1	0.011905
2862	3183	6519	77.607143
2863	3344	32	4.000000
2864	3344	2	0.086957
2866	3241	57	0.966102
2867	2911	2	1.000000
2869	3241	54	1.018868
2871	3075	7	0.001034
2871	3335	2	0.000295
2871	3081	2	0.000295
2871	3211	4	0.000591
2871	3344	18175	2.684638
2871	3219	1	0.000148
2871	2862	2	0.000295
2871	3226	3	0.000443
2871	3311	2	0.000295
2871	3231	2	0.000295
2871	3163	3	0.000443
2871	2857	12	0.001773
2871	3374	36	0.005318
2871	2863	35	0.005170
2871	3256	3	0.000443
2871	3241	3	0.000443
2871	2911	2	0.000295
2871	2832	1	0.000148
