Src	Trg	LinkCount	RelLinkCount
8194	4713	1	0.050000
8195	8352	3	0.003264
8195	8090	1	0.001088
8195	6922	1	0.001088
8195	7863	7	0.007617
8197	5645	15	0.006075
8197	3600	1	0.000405
8197	7188	1	0.000405
8197	9237	1	0.000405
8197	7193	4	0.001620
8197	7710	3	0.001215
8197	5663	23	0.009316
8197	3627	16	0.006480
8197	5168	4	0.001620
8197	9283	2	0.000810
8197	6215	1	0.000405
8197	6731	2	0.000810
8197	5211	5	0.002025
8197	7776	1	0.000405
8197	4708	10	0.004050
8197	7271	1	0.000405
8197	8296	1	0.000405
8197	8298	2	0.000810
8197	8807	3	0.001215
8197	4456	2	0.000810
8197	6261	1	0.000405
8197	6774	14	0.005670
8197	7287	4	0.001620
8197	7615	16	0.006480
8197	3708	1	0.000405
8197	8829	3	0.001215
8197	3711	2	0.000810
8197	7811	66	0.026731
8197	6281	1	0.000405
8197	8339	1	0.000405
8197	6293	9	0.003645
8197	5792	4	0.001620
8197	4771	4	0.001620
8197	8476	7	0.002835
8197	7856	1	0.000405
8197	4785	2	0.000810
8197	5810	4	0.001620
8197	5821	2	0.000810
8197	8141	1	0.000405
8197	5334	3	0.001215
8197	8924	1	0.000405
8197	8418	3	0.001215
8197	8421	1	0.000405
8197	5878	1	0.000405
8197	3835	1	0.000405
8197	6401	1	0.000405
8197	4358	37	0.014986
8197	5383	1	0.000405
8197	7434	7	0.002835
8197	3852	2	0.000810
8197	4375	2	0.000810
8197	5912	4	0.001620
8197	4892	6	0.002430
8197	3870	3	0.001215
8197	6945	1	0.000405
8197	5922	1	0.000405
8197	4401	1	0.000405
8197	7481	3	0.001215
8197	7484	4130	1.672742
8197	5440	1	0.000405
8197	7498	46	0.018631
8197	7906	4	0.001620
8197	6990	4	0.001620
8197	3925	1	0.000405
8197	7652	3	0.001215
8197	5480	2	0.000810
8197	6460	6	0.002430
8197	4223	3	0.001215
8197	8558	8	0.003240
8197	7025	9	0.003645
8197	8565	1	0.000405
8197	4992	11	0.004455
8197	3986	10	0.004050
8197	5525	7	0.002835
8197	5018	3	0.001215
8197	5759	3	0.001215
8197	4002	9	0.003645
8197	4516	10	0.004050
8197	9125	9	0.003645
8197	9127	3	0.001215
8197	7594	2	0.000810
8197	5556	2	0.000810
8197	6070	3	0.001215
8197	6071	1	0.000405
8197	5562	5	0.002025
8197	8125	1	0.000405
8197	7102	4	0.001620
8197	8181	1	0.000405
8197	5707	1	0.000405
8197	5061	1	0.000405
8197	5065	12	0.004860
8197	7629	5	0.002025
8197	7127	16	0.006480
8197	5599	6	0.002430
8197	8674	5	0.002025
8197	4580	1	0.000405
8197	4581	5	0.002025
8197	8679	4	0.001620
8197	8172	3	0.001215
8197	7153	2	0.000810
8197	7157	4	0.001620
8197	6648	1	0.000405
8197	4090	15	0.006075
8197	3582	5	0.002025
8198	9026	33	0.023741
8198	4713	2	0.001439
8198	7242	2	0.001439
8198	4140	13	0.009353
8198	5647	5	0.003597
8198	7484	5	0.003597
8200	3852	118	2.000000
8200	9125	23	0.389831
8200	4223	2	0.033898
8204	8352	1	0.008403
8204	4529	1	0.008403
8205	6083	1	0.001527
8205	7863	6	0.009160
8207	5768	1	0.009615
8207	3756	1	0.009615
8207	3852	1	0.009615
8207	8759	1	0.009615
8209	6182	55	0.066106
8209	6832	11	0.013221
8209	6386	11	0.013221
8209	7992	11	0.013221
8209	5145	1725	2.073317
8209	8091	11	0.013221
8209	6559	22	0.026442
8210	7364	2	0.400000
8214	5894	2	0.001969
8214	8257	1	0.000984
8214	8586	1	0.000984
8214	3852	3	0.002953
8214	5776	2	0.001969
8214	4242	1	0.000984
8214	6419	3	0.002953
8214	8854	11	0.010827
8214	5656	1	0.000984
8214	7193	2	0.001969
8214	4512	2	0.001969
8214	7856	1	0.000984
8214	4337	1	0.000984
8214	9131	1	0.000984
8214	5293	1	0.000984
8214	6320	1	0.000984
8214	4529	1	0.000984
8214	8246	1	0.000984
8214	5818	1	0.000984
8214	5642	1	0.000984
8214	8382	2	0.001969
8214	5313	1	0.000984
8214	5065	2	0.001969
8214	5072	1	0.000984
8214	5334	2	0.001969
8214	4090	1	0.000984
8214	5857	2	0.001969
8214	8296	2	0.001969
8214	8172	1	0.000984
8214	3697	1	0.000984
8214	6261	1	0.000984
8214	3706	1	0.000984
8214	5629	3851	3.790354
8214	3582	1	0.000984
8220	5836	923	2.354592
8223	8833	1	0.006803
8223	6731	1	0.006803
8223	7364	3	0.020408
8223	8935	1	0.006803
8223	3851	1	0.006803
8223	4396	1	0.006803
8223	6383	1	0.006803
8223	5776	3	0.020408
8223	4754	1	0.006803
8223	4532	1	0.006803
8223	6261	1	0.006803
8223	5912	6	0.040816
8223	9273	5	0.034014
8223	5818	3	0.020408
8223	7706	1	0.006803
8223	8606	1	0.006803
8223	5589	1	0.006803
8224	7840	2	0.001441
8224	8036	2	0.001441
8224	8838	60	0.043228
8224	5671	7	0.005043
8224	6444	2	0.001441
8224	4650	2	0.001441
8224	8364	2	0.001441
8224	5166	2	0.001441
8224	9071	24	0.017291
8224	7640	2	0.001441
8224	4444	1	0.000720
8224	4755	2	0.001441
8224	9204	2	0.001441
8224	7925	2	0.001441
8224	5142	2	0.001441
8224	7703	8	0.005764
8224	7736	2	0.001441
8224	7674	8	0.005764
8224	5276	2	0.001441
8224	5021	2749	1.980548
8224	8958	2	0.001441
8230	8661	4	2.000000
8231	5073	3	0.000704
8231	7244	1	0.000235
8231	6759	4436	1.041315
8233	8352	1	0.001524
8233	6210	1	0.001524
8233	9220	1	0.001524
8233	8391	2	0.003049
8233	4713	1	0.001524
8233	7434	1	0.001524
8233	5671	4	0.006098
8233	3852	2	0.003049
8233	6705	64950	99.009146
8233	6422	2	0.003049
8233	9144	1	0.001524
8233	5177	1	0.001524
8233	7034	1	0.001524
8233	6559	1	0.001524
8242	3852	56	0.166172
8246	7428	3	0.020270
8246	3852	225	1.520270
8246	3983	1	0.006757
8246	6808	1	0.006757
8246	3986	5	0.033784
8246	5912	57	0.385135
8246	7193	4	0.027027
8246	7710	1	0.006757
