Src	Trg	LinkCount	RelLinkCount
10240	9569	2	0.008130
10240	9538	2	0.008130
10240	9417	2	0.008130
10240	9922	2	0.008130
10240	10512	2	0.008130
10240	9522	2	0.008130
10240	10454	10	0.040650
10240	9369	2	0.008130
10240	10556	2	0.008130
10241	10028	2	0.010050
10244	10221	3	0.003341
10244	10829	14	0.015590
10244	10224	2	0.002227
10244	9522	14	0.015590
10244	10388	3	0.003341
10244	10358	7	0.007795
10248	9573	2	0.006006
10249	9379	1	0.014085
10249	9892	1	0.014085
10249	10506	1	0.014085
10249	10545	2	0.028169
10249	9522	19	0.267606
10249	10067	1	0.014085
10249	10358	6	0.084507
10249	10621	1	0.014085
10251	9464	2	0.004320
10256	10249	1	0.000689
10256	9740	1	0.000689
10256	10584	125	0.086088
10256	10271	2	0.001377
10256	9762	68	0.046832
10256	10789	20	0.013774
10256	9771	2	0.001377
10256	10797	1	0.000689
10256	10333	1	0.000689
10256	10296	1	0.000689
10256	10809	1	0.000689
10256	10304	2	0.001377
10256	10306	1	0.000689
10256	10827	5	0.003444
10256	9804	1	0.000689
10256	10829	1	0.000689
10256	10318	1	0.000689
10256	9298	3	0.002066
10256	10835	7	0.004821
10256	9300	1	0.000689
10256	9303	1	0.000689
10256	10329	1	0.000689
10256	10845	221	0.152204
10256	9825	1	0.000689
10256	10338	1	0.000689
10256	9321	4	0.002755
10256	10358	611	0.420799
10256	9847	1	0.000689
10256	9336	1	0.000689
10256	10367	1	0.000689
10256	9860	1	0.000689
10256	9359	1	0.000689
10256	10384	1	0.000689
10256	9362	2	0.001377
10256	10094	546	0.376033
10256	10392	2	0.001377
10256	9370	1	0.000689
10256	9372	2	0.001377
10256	9380	105	0.072314
10256	10411	1	0.000689
10256	10414	100	0.068871
10256	9400	383	0.263774
10256	9913	1	0.000689
10256	9403	29	0.019972
10256	9917	2	0.001377
10256	9407	1	0.000689
10256	9428	17	0.011708
10256	10454	1	0.000689
10256	9433	1	0.000689
10256	9438	1	0.000689
10256	9954	1	0.000689
10256	9956	72	0.049587
10256	9957	1	0.000689
10256	9451	1	0.000689
10256	9964	1	0.000689
10256	9968	3	0.002066
10256	9465	1	0.000689
10256	9468	1	0.000689
10256	9998	7	0.004821
10256	9487	1	0.000689
10256	10017	1	0.000689
10256	9522	25086	17.276860
10256	9525	1	0.000689
10256	10040	1	0.000689
10256	9538	1	0.000689
10256	9539	1	0.000689
10256	10055	13	0.008953
10256	10568	56	0.038567
10256	9550	1	0.000689
10256	10067	2	0.001377
10256	10072	295	0.203168
10256	10593	1	0.000689
10256	9571	43	0.029614
10256	10084	294	0.202479
10256	9573	461	0.317493
10256	10088	1	0.000689
10256	10605	1	0.000689
10256	10606	1	0.000689
10256	10621	26	0.017906
10256	9560	2	0.001377
10256	9833	3	0.002066
10256	10120	5	0.003444
10256	10646	3	0.002066
10256	10650	2	0.001377
10256	9637	1	0.000689
10256	10662	5	0.003444
10256	10157	14	0.009642
10256	10671	1	0.000689
10256	10163	6	0.004132
10256	10677	1	0.000689
10256	9656	2	0.001377
10256	9660	1	0.000689
10256	9670	1	0.000689
10256	10695	1	0.000689
10256	9689	1	0.000689
10256	10209	1	0.000689
10256	10723	1	0.000689
10256	10150	1	0.000689
10256	10727	139	0.095730
10256	10224	12	0.008264
10256	10238	2	0.001377
10256	9727	1	0.000689
10257	9954	1133	0.687083
10257	10597	1133	0.687083
10257	9414	1133	0.687083
10257	9573	12	0.007277
10260	10072	1220	43.571429
10260	9522	4	0.142857
10260	9739	28	1.000000
10264	9833	10	0.021598
10264	9522	1	0.002160
10264	9573	1	0.002160
10264	9798	1	0.002160
10271	9968	2	0.032258
10271	9538	1	0.016129
10273	9498	1	0.005952
10273	9517	1	0.005952
10273	9407	1	0.005952
10274	10765	3	0.006787
10274	9566	3	0.006787
10276	9998	2	0.181818
10277	10809	5	0.384615
10278	9522	4	0.004184
10278	9330	3	0.003138
10278	9573	9	0.009414
10280	10088	3	0.088235
10280	10061	18	0.529412
10280	9822	1	0.029412
10283	10088	4	0.071429
10283	9457	7	0.125000
10283	9522	2	0.035714
10284	9560	1	0.000673
10284	9474	4	0.002694
10284	10120	1	0.000673
10284	9739	2	0.001347
10284	9740	4	0.002694
10284	9359	1	0.000673
10284	10128	5	0.003367
10284	10584	1784	1.201347
10284	10514	3	0.002020
10284	10654	2	0.001347
10284	10273	2	0.001347
10284	9762	3	0.002020
10284	9380	1	0.000673
10284	10789	23	0.015488
10284	10150	4	0.002694
10284	9896	2	0.001347
10284	10695	4	0.002694
10284	10414	17	0.011448
10284	10333	1	0.000673
10284	9522	1075	0.723906
10284	10163	2	0.001347
10284	10677	2	0.001347
10284	9400	35	0.023569
10284	10809	4	0.002694
10284	9403	2	0.001347
10284	9660	4	0.002694
10284	9407	8	0.005387
10284	9916	4	0.002694
