Src	Trg	LinkCount	RelLinkCount
10867	11011	4	0.049383
10867	11046	1	0.012346
10867	11911	1	0.012346
10867	11272	29	0.358025
10867	11497	1	0.012346
10867	11313	82	1.012346
10867	11935	1	0.012346
10868	11272	4	0.210526
10868	11514	77	4.052632
10868	10964	1	0.052632
10868	11877	1	0.052632
10869	11176	27	1.000000
10869	11272	6	0.222222
10869	11387	2	0.074074
10869	11011	1	0.037037
10870	11272	1	0.021739
10870	10938	1	0.021739
10870	11134	24	0.521739
10871	12108	17	1.000000
10871	11924	17	1.000000
10872	10948	2	0.012500
10872	11597	1	0.006250
10876	11136	2	0.001373
10876	11011	1	0.000686
10876	10884	1370	0.940288
10876	11877	1	0.000686
10876	11272	4	0.002745
10876	11469	25	0.017159
10876	11541	182	0.124914
10877	11664	21	0.051095
10877	11272	22	0.053528
10877	10938	7	0.017032
10877	11011	194	0.472019
10877	11046	1	0.002433
10878	11216	423	1.368932
10878	11272	18	0.058252
10878	11664	4	0.012945
10878	11011	1	0.003236
10878	10964	1	0.003236
10880	11272	7	0.060870
10880	11536	1	0.008696
10881	11413	1	0.001304
10881	10945	1	0.001304
10881	12003	1	0.001304
10881	11653	1	0.001304
10881	11143	1	0.001304
10881	10888	1	0.001304
10881	11917	1	0.001304
10881	11502	1	0.001304
10881	11117	1	0.001304
10881	11272	21	0.027379
10881	11011	1	0.001304
10881	11572	1	0.001304
10881	11061	1	0.001304
10881	11767	1	0.001304
10881	10964	1	0.001304
10881	11969	1	0.001304
10881	10938	1	0.001304
10881	11989	1	0.001304
10882	11272	2	0.095238
10884	11272	4	0.002935
10884	11136	2	0.001467
10884	11011	1	0.000734
10884	11541	156	0.114453
10884	11469	21	0.015407
10889	11904	2	0.007605
10889	11272	2	0.007605
10889	11365	3	0.011407
10890	11552	4	0.027211
10890	11301	4	0.027211
10890	11272	153	1.040816
10890	11243	4	0.027211
10890	11080	4	0.027211
10890	12023	4	0.027211
10890	10938	145	0.986395
10891	11877	2	0.004464
10891	11272	19	0.042411
10891	11497	4	0.008929
10891	11944	1	0.002232
10891	11636	1	0.002232
10891	11935	2	0.004464
10892	11489	1	0.009901
10892	11011	4	0.039604
10892	11654	1	0.009901
10892	11271	1	0.009901
10892	11214	16	0.158416
10892	11497	1	0.009901
10892	11723	1	0.009901
10892	11278	4	0.039604
10892	11409	1	0.009901
10892	11475	1	0.009901
10892	11342	4	0.039604
10892	10998	1	0.009901
10892	10881	1	0.009901
10894	11272	6	0.052632
10894	11011	2	0.017544
10894	11164	2	0.017544
10894	11853	2	0.017544
10894	11238	2	0.017544
10895	11272	3	0.001326
10895	10938	662	0.292532
10895	11429	2	0.000884
10895	11614	3	0.001326
10895	10951	1	0.000442
10896	11272	20	0.080972
10896	11011	1	0.004049
10896	11935	2	0.008097
10898	11272	1	0.023810
10898	10946	3	0.071429
10898	11995	1	0.023810
10900	11011	4	0.001900
10900	11911	2	0.000950
10900	11272	87	0.041330
10900	11532	4	0.001900
10900	11500	4	0.001900
10900	11725	1810	0.859857
10901	11272	5	0.024038
10901	11681	211	1.014423
10901	10964	2	0.009615
10901	11935	2	0.009615
10902	11700	84	42.000000
10904	11448	1	0.047619
10904	11272	2	0.095238
10905	11272	36	18.000000
10914	11011	20	0.010035
10914	11272	216	0.108379
10914	11919	2	0.001004
10914	11924	2	0.001004
10914	11545	1	0.000502
10914	11932	1	0.000502
10914	11296	1	0.000502
10914	11173	1	0.000502
10914	11164	6	0.003011
10914	11820	3	0.001505
10914	11183	1	0.000502
10914	10930	1	0.000502
10914	11241	1	0.000502
10914	11961	12	0.006021
10914	10938	2	0.001004
10914	11723	1	0.000502
10914	11346	1	0.000502
10914	10964	10	0.005018
10914	11749	1	0.000502
10914	12004	1	0.000502
10914	11877	28	0.014049
10914	11238	2	0.001004
10914	11497	1	0.000502
10914	11389	1	0.000502
10914	11827	1	0.000502
10914	11127	1	0.000502
10914	11260	13	0.006523
10914	11005	1	0.000502
10915	11489	2	0.003442
10915	11011	2	0.003442
10915	11877	2	0.003442
10915	11272	4	0.006885
10915	11497	2	0.003442
10915	10954	35	0.060241
10915	11723	2	0.003442
10915	11409	1	0.001721
10915	10947	10	0.017212
10915	10964	1	0.001721
10915	10998	2	0.003442
10915	11389	2	0.003442
10917	11272	9	0.095745
10917	11594	6	0.063830
10917	12092	1	0.010638
10917	11935	96	1.021277
10919	11286	5	0.047619
10920	11272	60	15.000000
10922	11272	3	0.111111
10922	11556	1	0.037037
10924	11272	1	0.100000
10924	11162	1	0.100000
10924	11722	1	0.100000
10930	11272	41	0.230337
10930	11011	1	0.005618
10930	11935	1	0.005618
10931	11272	42	21.000000
10931	11380	6	3.000000
10934	11272	43	0.108312
10934	11164	1	0.002519
10934	11182	409	1.030227
10937	10872	2	0.111111
10937	10948	2	0.111111
10937	11052	2	0.111111
10938	11272	63	9.000000
10939	11272	14	7.000000
10940	11272	7	0.098592
10940	11162	2	0.028169
10940	11164	1	0.014085
10940	11997	1	0.014085
10941	11272	1	0.022727
10941	11011	2	0.045455
10941	11877	1	0.022727
10941	11166	2	0.045455
10942	11272	134	67.000000
10942	11011	2	1.000000
