Src	Trg	LinkCount	RelLinkCount
12289	12448	155	2.980769
12289	12225	51	0.980769
12289	12130	52	1.000000
12289	12228	51	0.980769
12289	12341	52	1.000000
12289	12513	51	0.980769
12289	12585	52	1.000000
12289	12430	52	1.000000
12289	12297	51	0.980769
12289	12544	51	0.980769
12289	12180	51	0.980769
12289	12181	52	1.000000
12289	12193	51	0.980769
12289	12311	51	0.980769
12289	12219	102	1.961538
12289	12413	105	2.019231
12289	12510	51	0.980769
12289	12255	52	1.000000
12293	12289	2	0.015873
12293	12295	8	0.063492
12293	12297	4	0.031746
12293	12302	2	0.015873
12293	12305	2	0.015873
12293	12307	38	0.301587
12293	12308	2	0.015873
12293	12309	2	0.015873
12293	12310	2	0.015873
12293	12311	20	0.158730
12293	12313	2	0.015873
12293	12314	3	0.023810
12293	12317	9	0.071429
12293	12322	2	0.015873
12293	12325	2	0.015873
12293	12329	2	0.015873
12293	12331	2	0.015873
12293	12332	2	0.015873
12293	12333	3	0.023810
12293	12339	2	0.015873
12293	12341	96	0.761905
12293	12342	2	0.015873
12293	12348	1	0.007937
12293	12349	2	0.015873
12293	12351	2	0.015873
12293	12352	2	0.015873
12293	12355	2	0.015873
12293	12357	16	0.126984
12293	12369	9	0.071429
12293	12371	3	0.023810
12293	12377	2	0.015873
12293	12379	4	0.031746
12293	12382	2	0.015873
12293	12383	2	0.015873
12293	12384	2	0.015873
12293	12385	2	0.015873
12293	12388	7	0.055556
12293	12391	2	0.015873
12293	12394	4	0.031746
12293	12397	2	0.015873
12293	12400	2	0.015873
12293	12405	2	0.015873
12293	12410	2	0.015873
12293	12413	350	2.777778
12293	12414	2	0.015873
12293	12415	4	0.031746
12293	12418	3	0.023810
12293	12419	2	0.015873
12293	12420	8	0.063492
12293	12426	2	0.015873
12293	12430	251	1.992063
12293	12432	2	0.015873
12293	12436	2	0.015873
12293	12440	51	0.404762
12293	12441	2	0.015873
12293	12443	4	0.031746
12293	12447	6	0.047619
12293	12448	255	2.023810
12293	12455	2	0.015873
12293	12462	2	0.015873
12293	12464	3	0.023810
12293	12465	2	0.015873
12293	12467	18	0.142857
12293	12471	2	0.015873
12293	12476	2	0.015873
12293	12481	2	0.015873
12293	12482	2	0.015873
12293	12486	11	0.087302
12293	12489	6	0.047619
12293	12491	1	0.007937
12293	12493	8	0.063492
12293	12499	6	0.047619
12293	12500	2	0.015873
12293	12502	9	0.071429
12293	12507	3	0.023810
12293	12508	2	0.015873
12293	12510	22	0.174603
12293	12513	24	0.190476
12293	12515	4	0.031746
12293	12516	2	0.015873
12293	12522	16	0.126984
12293	12525	1	0.007937
12293	12527	1	0.007937
12293	12529	6	0.047619
12293	12530	14	0.111111
12293	12532	2	0.015873
12293	12533	102	0.809524
12293	12534	2	0.015873
12293	12538	2	0.015873
12293	12540	2	0.015873
12293	12544	14	0.111111
12293	12545	6	0.047619
12293	12546	2	0.015873
12293	12547	36	0.285714
12293	12549	2	0.015873
12293	12556	2	0.015873
12293	12558	2	0.015873
12293	12559	2	0.015873
12293	12560	2	0.015873
12293	12565	2	0.015873
12293	12569	2	0.015873
12293	12570	2	0.015873
12293	12574	2	0.015873
12293	12581	2	0.015873
12293	12584	2	0.015873
12293	12585	100	0.793651
12293	12587	2	0.015873
12293	12588	1	0.007937
12293	12589	15	0.119048
12293	12591	2	0.015873
12293	12592	1	0.007937
12293	12593	9	0.071429
12293	12114	2	0.015873
12293	12117	2	0.015873
12293	12122	2	0.015873
12293	12123	2	0.015873
12293	12124	2	0.015873
12293	12127	2	0.015873
12293	12130	121	0.960317
12293	12131	1	0.007937
12293	12133	2	0.015873
12293	12134	2	0.015873
12293	12138	2	0.015873
12293	12140	2	0.015873
12293	12142	2	0.015873
12293	12145	2	0.015873
12293	12146	2	0.015873
12293	12147	2	0.015873
12293	12149	2	0.015873
12293	12151	2	0.015873
12293	12153	2	0.015873
12293	12161	2	0.015873
12293	12163	2	0.015873
12293	12168	2	0.015873
12293	12172	2	0.015873
12293	12176	17	0.134921
12293	12179	2	0.015873
12293	12180	67	0.531746
12293	12181	1571	12.468254
12293	12184	2	0.015873
12293	12188	2	0.015873
12293	12193	17	0.134921
12293	12194	2	0.015873
12293	12201	2	0.015873
12293	12205	2	0.015873
12293	12210	2	0.015873
12293	12218	8	0.063492
12293	12219	103	0.817460
12293	12221	2	0.015873
12293	12225	36	0.285714
12293	12226	1	0.007937
12293	12227	2	0.015873
12293	12228	13	0.103175
12293	12229	148	1.174603
12293	12230	2	0.015873
12293	12232	2	0.015873
12293	12234	2	0.015873
12293	12235	2	0.015873
12293	12237	2	0.015873
12293	12238	2	0.015873
12293	12245	2	0.015873
12293	12248	2	0.015873
12293	12249	2	0.015873
12293	12250	2	0.015873
12293	12252	4	0.031746
12293	12254	4	0.031746
12293	12255	184	1.460317
12293	12256	5	0.039683
12293	12258	2	0.015873
12293	12259	2	0.015873
12293	12262	2	0.015873
12293	12266	2	0.015873
12293	12268	2	0.015873
12293	12270	1	0.007937
12293	12275	2	0.015873
12293	12277	3	0.023810
12293	12281	4	0.031746
12293	12284	1	0.007937
12293	12285	2	0.015873
12293	12286	8	0.063492
12294	12448	16	2.666667
12294	12225	5	0.833333
12294	12130	5	0.833333
12294	12228	5	0.833333
12294	12341	5	0.833333
12294	12513	5	0.833333
12294	12585	5	0.833333
12294	12430	7	1.166667
12294	12297	5	0.833333
12294	12544	5	0.833333
12294	12180	6	1.000000
12294	12181	5	0.833333
12294	12193	5	0.833333
12294	12311	5	0.833333
12294	12440	1	0.166667
12294	12219	10	1.666667
12294	12413	11	1.833333
12294	12510	5	0.833333
12294	12255	6	1.000000
12295	12547	3	0.008174
12295	12432	369	1.005450
12295	12307	367	1.000000
12295	12186	2	0.005450
12295	12123	2	0.005450
12295	12455	2	0.005450
12295	12467	3	0.008174
12295	12341	1468	4.000000
12295	12471	2	0.005450
12295	12218	1	0.002725
12295	12349	2	0.005450
12295	12227	2	0.005450
12295	12229	2	0.005450
12295	12369	2	0.005450
12295	12117	2	0.005450
12295	12377	2	0.005450
12295	12379	3	0.008174
12295	12383	2	0.005450
12295	12267	1	0.002725
12295	12270	1	0.002725
12295	12400	2	0.005450
12295	12147	2	0.005450
12295	12533	367	1.000000
12296	12414	1	1.000000
12297	12544	3	0.016043
12297	12545	1	0.005348
12297	12430	187	1.000000
12297	12176	5	0.026738
12297	12180	4	0.021390
12297	12181	184	0.983957
12297	12311	3	0.016043
12297	12440	1	0.005348
12297	12314	1	0.005348
12297	12447	1	0.005348
12297	12448	372	1.989305
12297	12193	3	0.016043
12297	12585	196	1.048128
12297	12210	1	0.005348
12297	12341	184	0.983957
12297	12219	6	0.032086
12297	12348	1	0.005348
12297	12225	3	0.016043
12297	12228	3	0.016043
12297	12385	1	0.005348
12297	12499	3	0.016043
12297	12500	2	0.010695
12297	12502	1	0.005348
12297	12510	5	0.026738
12297	12255	185	0.989305
12297	12513	3	0.016043
12297	12130	184	0.983957
12297	12522	2	0.010695
12297	12413	551	2.946524
12298	12491	552	0.966725
12298	12254	3	0.005254
12298	12535	605	1.059545
12301	12420	2	0.000514
12301	12297	1	0.000257
12301	12171	2	0.000514
12301	12181	2	0.000514
12301	12548	2	0.000514
12301	12314	3	0.000770
12301	12193	2	0.000514
12301	12195	1	0.000257
12301	12585	270	0.069337
12301	12209	2	0.000514
12301	12341	8	0.002054
12301	12474	79	0.020288
12301	12219	1	0.000257
12301	12350	3	0.000770
12301	12484	1	0.000257
12301	12499	7	0.001798
12301	12254	1	0.000257
12301	12130	1	0.000257
12301	12261	2	0.000514
12301	12265	2	0.000514
12301	12522	3	0.000770
12301	12397	2	0.000514
12301	12407	2	0.000514
12301	12154	2	0.000514
12303	12436	111	2.413043
12304	12195	1	0.000318
12304	12420	2	0.000636
12304	12261	2	0.000636
12304	12585	215	0.068362
12304	12522	3	0.000954
12304	12171	2	0.000636
12304	12301	1	0.000318
12304	12209	2	0.000636
12304	12314	2	0.000636
12304	12499	6	0.001908
12304	12341	8	0.002544
12304	12407	2	0.000636
12304	12265	2	0.000636
12304	12548	2	0.000636
12304	12154	2	0.000636
12304	12474	65	0.020668
12304	12350	3	0.000954
12304	12181	1	0.000318
12305	12448	31	1.937500
12305	12130	15	0.937500
12305	12585	15	0.937500
12305	12394	12	0.750000
12305	12430	17	1.062500
12305	12180	1	0.062500
12305	12181	15	0.937500
12305	12440	1	0.062500
12305	12413	46	2.875000
12305	12341	15	0.937500
12305	12255	16	1.000000
12307	12544	164	0.993939
12307	12420	1	0.006061
12307	12293	4	0.024242
12307	12297	164	0.993939
12307	12430	164	0.993939
12307	12176	22	0.133333
12307	12180	165	1.000000
12307	12181	164	0.993939
12307	12311	164	0.993939
12307	12448	484	2.933333
12307	12193	164	0.993939
12307	12585	167	1.012121
12307	12593	155	0.939394
12307	12341	321	1.945455
12307	12219	328	1.987879
12307	12225	164	0.993939
12307	12228	164	0.993939
12307	12499	1	0.006061
12307	12379	1	0.006061
12307	12508	1	0.006061
12307	12510	175	1.060606
12307	12255	164	0.993939
12307	12256	1	0.006061
12307	12513	164	0.993939
12307	12130	165	1.000000
12307	12134	1	0.006061
12307	12413	319	1.933333
12307	12286	155	0.939394
12308	12585	2	1.000000
12308	12370	2	1.000000
12308	12477	2	1.000000
12309	12448	55	1.964286
12309	12545	1	0.035714
12309	12130	28	1.000000
12309	12585	27	0.964286
12309	12394	27	0.964286
12309	12397	19	0.678571
12309	12430	29	1.035714
12309	12180	1	0.035714
12309	12181	27	0.964286
12309	12440	1	0.035714
12309	12413	82	2.928571
12309	12341	27	0.964286
12309	12255	28	1.000000
12310	12544	1334	0.997756
12310	12545	11	0.008227
12310	12420	16	0.011967
12310	12293	5	0.003740
12310	12295	2	0.001496
12310	12168	2	0.001496
12310	12297	1353	1.011967
12310	12300	1	0.000748
12310	12430	1335	0.998504
12310	12176	2	0.001496
12310	12180	1335	0.998504
