Src	Trg	LinkCount	RelLinkCount
12600	14849	39	0.058824
12600	12930	6	0.009050
12600	13449	23	0.034691
12600	15346	6	0.009050
12600	15347	17	0.025641
12600	12761	3	0.004525
12600	12889	6	0.009050
12600	15288	6	0.009050
12600	14521	23	0.034691
12600	14235	17	0.025641
12600	14748	17	0.025641
12601	12807	2	0.153846
12602	14360	2	0.002047
12602	14939	6	0.006141
12602	15244	2	0.002047
12602	14181	1	0.001024
12603	14592	1	0.000064
12603	13700	1	0.000064
12603	14806	3	0.000191
12603	12889	621	0.039434
12603	12679	3	0.000191
12603	14216	1	0.000064
12603	15114	1	0.000064
12603	14871	3	0.000191
12603	13197	263	0.016701
12603	14222	4	0.000254
12603	12815	3	0.000191
12603	15121	3	0.000191
12603	13273	5	0.000318
12603	13335	1	0.000064
12603	13720	1	0.000064
12603	14107	4	0.000254
12603	15173	4	0.000254
12603	14640	4	0.000254
12603	14372	20	0.001270
12603	13446	3	0.000191
12603	13483	3	0.000191
12603	13848	3	0.000191
12603	12975	3	0.000191
12603	13104	5	0.000318
12603	13064	3	0.000191
12603	12979	12	0.000762
12603	12724	9	0.000572
12603	12853	1	0.000064
12603	12726	25	0.001588
12603	13241	4	0.000254
12603	15164	8	0.000508
12603	13758	10	0.000635
12603	15413	3	0.000191
12603	12993	3	0.000191
12603	12740	1	0.000064
12603	12854	8	0.000508
12603	13127	12	0.000762
12603	13773	1	0.000064
12603	15438	1	0.000064
12603	13837	3	0.000191
12603	14160	2	0.000127
12603	15182	4	0.000254
12603	13142	3	0.000191
12603	14296	1	0.000064
12603	12761	1	0.000064
12603	12879	1	0.000064
12603	13775	3	0.000191
12603	15283	3	0.000191
12603	13406	3	0.000191
12603	13412	8	0.000508
12603	13156	18755	1.190945
12603	13413	4	0.000254
12603	14644	3	0.000191
12603	14696	9	0.000572
12603	14186	23	0.001461
12603	13931	3	0.000191
12603	12909	1	0.000064
12603	13422	12	0.000762
12603	15346	2	0.000127
12603	13950	1	0.000064
12603	13558	9	0.000572
12603	14839	3	0.000191
12603	14783	8	0.000508
12603	14076	8	0.000508
12603	14718	1	0.000064
12604	14206	1	0.028571
12604	14406	1	0.028571
12605	13711	3	3.000000
12607	14592	2	0.000126
12607	12854	8	0.000505
12607	12761	1	0.000063
12607	13700	1	0.000063
12607	14806	3	0.000189
12607	12889	623	0.039304
12607	12679	3	0.000189
12607	14216	1	0.000063
12607	15114	2	0.000126
12607	13335	1	0.000063
12607	13197	270	0.017034
12607	14222	4	0.000252
12607	12815	4	0.000252
12607	15121	3	0.000189
12607	14871	3	0.000189
12607	13720	1	0.000063
12607	14107	5	0.000315
12607	13104	6	0.000379
12607	14372	20	0.001262
12607	13446	3	0.000189
12607	13483	3	0.000189
12607	13848	3	0.000189
12607	12975	3	0.000189
12607	14640	5	0.000315
12607	13064	3	0.000189
12607	12979	12	0.000757
12607	12724	9	0.000568
12607	12853	2	0.000126
12607	12726	25	0.001577
12607	13241	4	0.000252
12607	13837	3	0.000189
12607	13758	10	0.000631
12607	15413	3	0.000189
12607	12993	3	0.000189
12607	12740	2	0.000126
12607	15173	4	0.000252
12607	13127	12	0.000757
12607	13773	2	0.000126
12607	15182	5	0.000315
12607	12879	1	0.000063
12607	14160	2	0.000126
12607	15438	2	0.000126
12607	13142	3	0.000189
12607	14296	1	0.000063
12607	13273	6	0.000379
12607	13775	3	0.000189
12607	15283	3	0.000189
12607	13406	3	0.000189
12607	13412	8	0.000505
12607	13156	19038	1.201060
12607	13413	5	0.000315
12607	14644	3	0.000189
12607	14696	9	0.000568
12607	15164	8	0.000505
12607	14186	45	0.002839
12607	13931	3	0.000189
12607	12909	1	0.000063
12607	13422	12	0.000757
12607	15346	2	0.000126
12607	14718	1	0.000063
12607	13558	10	0.000631
12607	14839	3	0.000189
12607	14783	8	0.000505
12607	14076	8	0.000505
12607	13950	2	0.000126
12608	12889	1	0.035714
12608	12625	3	0.107143
12609	13803	1	0.071429
12610	12889	1	0.002959
12610	13323	1	0.002959
12610	15070	1	0.002959
12610	12879	1	0.002959
12612	12772	2	0.012739
12612	12774	138	0.878981
12612	14534	2	0.012739
12612	13226	3	0.019108
12612	12889	3	0.019108
12612	12761	4	0.025478
12612	14010	1	0.006369
12612	13374	2	0.012739
12613	14360	1	0.100000
12613	12889	2	0.200000
12613	15346	2	0.200000
12614	13952	1	0.000873
12614	14913	1	0.000873
12614	12913	2	0.001745
12614	15244	1	0.000873
12614	12778	2	0.001745
12614	14444	3	0.002618
12614	12909	1	0.000873
12614	13388	2	0.001745
12614	14097	1	0.000873
12614	12853	4	0.003490
12614	13921	3	0.002618
12614	14718	1	0.000873
12614	12761	2281	1.990401
12614	13947	2	0.001745
12614	12988	1	0.000873
12614	13790	9	0.007853
12615	14592	1	0.000064
12615	13700	1	0.000064
12615	14806	3	0.000191
12615	12889	615	0.039204
12615	12679	3	0.000191
12615	14216	1	0.000064
12615	15114	1	0.000064
12615	14871	3	0.000191
12615	13197	268	0.017084
12615	14222	4	0.000255
12615	12815	3	0.000191
12615	15121	3	0.000191
12615	13273	5	0.000319
12615	13335	1	0.000064
12615	13720	1	0.000064
12615	14107	4	0.000255
12615	15173	4	0.000255
12615	14640	4	0.000255
12615	14372	20	0.001275
12615	13446	3	0.000191
12615	13483	3	0.000191
12615	13848	3	0.000191
12615	12975	3	0.000191
12615	13104	5	0.000319
12615	13064	3	0.000191
12615	12979	12	0.000765
12615	12724	9	0.000574
12615	12853	1	0.000064
12615	12726	25	0.001594
12615	13241	4	0.000255
12615	13837	1	0.000064
12615	13758	10	0.000637
12615	15413	3	0.000191
12615	12993	3	0.000191
12615	12740	1	0.000064
12615	12854	8	0.000510
12615	13127	12	0.000765
12615	13773	1	0.000064
12615	15438	1	0.000064
12615	12879	1	0.000064
12615	14160	1	0.000064
12615	15182	4	0.000255
12615	13142	3	0.000191
12615	14296	1	0.000064
12615	12761	1	0.000064
12615	13775	3	0.000191
12615	15283	3	0.000191
12615	13406	3	0.000191
12615	13412	8	0.000510
12615	13156	18546	1.182253
12615	13413	4	0.000255
12615	14644	3	0.000191
12615	14696	9	0.000574
12615	15164	8	0.000510
12615	14186	23	0.001466
12615	13931	3	0.000191
12615	12909	1	0.000064
12615	13422	12	0.000765
12615	15346	2	0.000127
12615	13950	1	0.000064
12615	13558	9	0.000574
12615	14839	3	0.000191
12615	14783	8	0.000510
12615	14076	8	0.000510
12615	14718	1	0.000064
12616	15346	1	0.058824
12616	13855	3	0.176471
12616	13711	140	8.235294
12617	12889	3	0.010949
12617	13700	340	1.240876
12617	13478	1	0.003650
12617	13681	1	0.003650
12618	13344	444	4.228571
12619	13803	252	3.000000
12621	13264	4	0.016667
12621	14289	1	0.004167
12621	15346	22	0.091667
12621	12761	8	0.033333
12621	12889	99	0.412500
12621	13307	209	0.870833
12622	14406	6	1.000000
12623	14592	1	0.000063
12623	12854	8	0.000507
12623	13700	1	0.000063
12623	14806	3	0.000190
12623	12889	632	0.040079
12623	12679	3	0.000190
12623	14216	1	0.000063
12623	15114	1	0.000063
12623	14871	3	0.000190
12623	13197	264	0.016742
12623	14222	4	0.000254
12623	12815	3	0.000190
12623	15121	3	0.000190
12623	13273	5	0.000317
12623	13335	1	0.000063
12623	13720	1	0.000063
12623	14107	4	0.000254
12623	14640	4	0.000254
12623	14372	20	0.001268
12623	13446	3	0.000190
12623	13483	3	0.000190
12623	13848	3	0.000190
12623	12975	3	0.000190
12623	13104	5	0.000317
12623	13064	3	0.000190
12623	12979	12	0.000761
12623	12724	9	0.000571
12623	12853	1	0.000063
12623	12726	25	0.001585
12623	13241	4	0.000254
12623	13837	3	0.000190
12623	13758	10	0.000634
12623	15413	3	0.000190
12623	12993	3	0.000190
12623	12740	1	0.000063
12623	15173	4	0.000254
12623	13127	12	0.000761
12623	13773	1	0.000063
12623	15438	1	0.000063
12623	12879	1	0.000063
12623	14160	2	0.000127
12623	15182	4	0.000254
12623	13142	3	0.000190
12623	14296	1	0.000063
12623	12761	1	0.000063
12623	13775	3	0.000190
12623	15283	3	0.000190
12623	13406	3	0.000190
12623	13412	8	0.000507
12623	13156	18855	1.195700
12623	13413	4	0.000254
12623	14644	3	0.000190
12623	14696	9	0.000571
12623	15164	8	0.000507
12623	14186	23	0.001459
12623	13931	3	0.000190
12623	12909	1	0.000063
12623	13422	12	0.000761
12623	15346	2	0.000127
12623	13950	1	0.000063
12623	13558	9	0.000571
12623	14839	3	0.000190
12623	14783	8	0.000507
12623	14076	8	0.000507
12623	14718	1	0.000063
12624	12889	2	0.001574
12624	14206	73	0.057435
12624	14406	73	0.057435
12625	14866	2	0.018018
12627	12889	2	0.074074
12628	12772	1	0.005952
12628	15146	6	0.035714
12628	15244	4	0.023810
12628	13837	12	0.071429
12628	12757	2	0.011905
12628	13374	2	0.011905
12628	12853	2	0.011905
12631	13711	11	0.016442
12632	13803	9	0.642857
12635	12889	4	0.042553
12635	14010	2	0.021277
12635	14979	5	0.053191
12635	13638	4	0.042553
12635	15087	13	0.138298
12637	14913	1	0.052632
12637	13803	5	0.263158
12638	12889	2	0.080000
12638	14406	8	0.320000
12638	12807	2	0.080000
12639	14406	6	3.000000
12640	12889	1	0.125000
12640	13973	11	1.375000
12642	12960	1	0.005682
12642	12961	1179	6.698864
12642	15094	1	0.005682
12642	13623	1	0.005682
12642	14216	2	0.011364
12642	13291	1	0.005682
12642	14159	9	0.051136
12642	14160	6	0.034091
12642	13393	1	0.005682
12642	12755	161	0.914773
12642	13589	161	0.914773
12642	12726	1	0.005682
12642	13271	2	0.011364
12642	13335	1	0.005682
12642	15097	1	0.005682
12642	13180	1	0.005682
12642	12889	1	0.005682
12642	15285	1	0.005682
12645	15004	50	2.000000
12646	13803	10	0.555556
12647	12993	1	0.000246
12647	15428	43	0.010578
12647	15081	2	0.000492
12647	13483	1	0.000246
12647	14444	1	0.000246
12647	14162	1	0.000246
12647	13714	17	0.004182
12647	13741	1	0.000246
12647	13488	1694	0.416728
12647	15346	9	0.002214
12647	14196	1	0.000246
12647	12654	1	0.000246
12647	12726	1	0.000246
12647	14296	8	0.001968
12647	12889	80	0.019680
12647	12891	1	0.000246
12647	14684	46	0.011316
12647	15124	1	0.000246
12647	13983	1	0.000246
12649	12873	116	2.000000
12649	15309	61	1.051724
12649	14862	1	0.017241
12649	12889	1	0.017241
12650	12679	26	0.017520
12650	15244	20	0.013477
12650	13837	9	0.006065
12650	13967	5	0.003369
12650	14866	1	0.000674
12650	15133	2	0.001348
12650	13226	1	0.000674
12650	14471	6	0.004043
12650	12853	4	0.002695
12650	14778	1	0.000674
12650	13374	2	0.001348
12650	14913	6	0.004043
12650	14305	2	0.001348
12650	13644	2	0.001348
12650	15316	2	0.001348
12650	12761	4	0.002695
12650	12815	1	0.000674
12650	13790	4	0.002695
12650	14304	4	0.002695
12650	13921	2	0.001348
12650	12772	4	0.002695
12650	12778	3	0.002022
12650	14059	2	0.001348
12650	12909	2	0.001348
12650	13681	13	0.008760
12651	15362	220	0.483516
12651	15363	107	0.235165
12651	13316	2	0.004396
12651	13061	1	0.002198
12651	14599	217	0.476923
12651	15113	4	0.008791
12651	14731	211	0.463736
12651	12815	1	0.002198
12651	12867	90	0.197802
12651	12889	134	0.294505
12651	15383	1	0.002198
12651	13337	1	0.002198
12651	13212	145	0.318681
12651	15261	301	0.661538
12651	12960	1	0.002198
12651	13866	1	0.002198
12651	13362	185	0.406593
12651	14899	1	0.002198
12651	12853	2	0.004396
12651	15163	1	0.002198
12651	13244	231	0.507692
12651	14525	1	0.002198
12651	13374	1	0.002198
12651	15285	2	0.004396
12651	13635	345	0.758242
12651	14681	1	0.002198
12651	13255	155	0.340659
12651	13386	32854	72.206593
12651	14158	1	0.002198
12651	13264	2	0.004396
12651	14161	1	0.002198
12651	15191	4	0.008791
12651	14296	1	0.002198
12651	12761	4	0.008791
12651	13279	1	0.002198
12651	13921	1	0.002198
12651	14826	203	0.446154
12651	14571	103	0.226374
12651	14444	1	0.002198
12651	15346	5	0.010989
12651	14067	1	0.002198
12651	14074	1	0.002198
12651	13054	1	0.002198
12651	13951	1	0.002198
12652	14097	1	0.007353
12652	13826	1	0.007353
12652	14892	2	0.014706
12653	14406	42	1.909091
12654	13958	3	0.000298
12654	12679	2	0.000198
12654	13714	18	0.001785
12654	15124	3	0.000298
12654	15383	2	0.000198
12654	13598	2	0.000198
12654	13983	18	0.001785
12654	13483	1	0.000099
12654	13741	1	0.000099
12654	13488	3191	0.316473
12654	12978	3	0.000298
12654	12726	2	0.000198
12654	14780	3	0.000298
12654	13120	1	0.000099
12654	12993	1	0.000099
12654	14914	22	0.002182
12654	15428	47	0.004661
12654	15173	6	0.000595
12654	14799	2	0.000198
12654	14162	1	0.000099
12654	14296	8	0.000793
12654	12889	126	0.012496
12654	12891	2	0.000198
12654	14684	309	0.030646
12654	15081	6	0.000595
12654	14444	2	0.000198
12654	12909	6	0.000595
12654	13678	2	0.000198
12654	15346	19	0.001884
12654	14196	1	0.000099
12654	13947	3	0.000298
12656	14406	2	0.142857
12659	13803	2	0.222222
12660	13711	26	3.250000
12664	12625	3	0.120000
12666	12761	7	0.004581
12666	13062	1	0.000654
12666	12679	4	0.002618
12666	15244	27	0.017670
12666	13837	51	0.033377
12666	13967	2	0.001309
12666	14866	1	0.000654
12666	14999	1	0.000654
12666	15133	1	0.000654
12666	13226	2	0.001309
12666	14471	7	0.004581
12666	13623	1	0.000654
12666	13374	1	0.000654
12666	14913	9	0.005890
12666	12610	3	0.001963
12666	14534	1	0.000654
12666	13515	1	0.000654
12666	14160	1	0.000654
12666	12889	2	0.001309
12666	14169	7	0.004581
12666	13790	3	0.001963
12666	13921	1	0.000654
12666	12772	11	0.007199
12666	15207	1	0.000654
12666	12650	1	0.000654
12666	13681	5	0.003272
12666	13170	1	0.000654
12666	13447	2	0.001309
12666	14718	1	0.000654
12667	13841	2	0.002571
12667	15437	16	0.020566
12667	15439	2	0.002571
12667	13744	18	0.023136
12667	13873	521	0.669666
12667	12889	2	0.002571
12667	13759	1	0.001285
12668	12761	17	0.007234
12668	14727	2	0.000851
12668	14444	4	0.001702
12668	15244	7	0.002979
12668	13967	5	0.002128
