Src	Trg	LinkCount	RelLinkCount
16384	16545	8	0.002996
16384	16516	2656	0.994757
16384	15592	8	0.002996
16384	15754	6	0.002247
16384	15477	2	0.000749
16384	16461	4	0.001498
16384	16573	4	0.001498
16384	15667	10	0.003745
16384	16597	4	0.001498
16384	16886	1	0.000375
16384	15562	2	0.000749
16384	15652	2	0.000749
16384	16010	1	0.000375
16384	15710	10	0.003745
16384	15935	8	0.002996
16385	15477	2	0.003120
16385	16414	2	0.003120
16388	16321	21	0.875000
16388	15877	23	0.958333
16389	15817	1	0.035714
16389	16814	1	0.035714
16389	15881	1	0.035714
16392	16257	3	0.002475
16392	16516	1	0.000825
16392	16769	1	0.000825
16392	16365	142	0.117162
16392	16913	16	0.013201
16392	16659	5	0.004125
16392	16019	1	0.000825
16392	16405	3	0.002475
16392	16151	1	0.000825
16392	15903	2	0.001650
16392	16416	2	0.001650
16392	16545	2	0.001650
16392	16475	32	0.026403
16392	16036	50	0.041254
16392	16805	11	0.009076
16392	16423	182	0.150165
16392	16553	9	0.007426
16392	16170	5	0.004125
16392	15667	95	0.078383
16392	16820	16	0.013201
16392	15799	1	0.000825
16392	16824	6	0.004950
16392	16436	40	0.033003
16392	15932	2	0.001650
16392	16573	5	0.004125
16392	16064	3	0.002475
16392	15811	244	0.201320
16392	16068	5	0.004125
16392	15562	251	0.207096
16392	16845	1	0.000825
16392	16334	1	0.000825
16392	15565	2	0.001650
16392	16722	1	0.000825
16392	15955	11	0.009076
16392	16085	2	0.001650
16392	16420	3	0.002475
16392	16347	1	0.000825
16392	15836	2	0.001650
16392	15718	1	0.000825
16392	16707	1	0.000825
16392	16107	176	0.145215
16392	16108	2	0.001650
16392	15853	120	0.099010
16392	15731	3	0.002475
16392	15477	17	0.014026
16392	16378	1	0.000825
16392	15996	1	0.000825
16392	15527	1	0.000825
16394	16545	4	0.004255
16394	15811	2	0.002128
16394	16005	2	0.002128
16394	15912	12	0.012766
16394	15853	10	0.010638
16394	15592	6	0.006383
16394	15477	2	0.002128
16394	15575	5	0.005319
16394	15547	2	0.002128
16394	16475	4	0.004255
16394	15710	2	0.002128
16394	15615	5	0.005319
16398	16374	2	0.003339
16398	15718	1	0.001669
16398	16877	1	0.001669
16399	15932	16	1.000000
16401	16880	1	0.001613
16401	15849	2	0.003226
16401	16093	1	0.001613
16402	15718	1	0.003559
16402	15853	3	0.010676
16402	15984	6	0.021352
16402	16341	3	0.010676
16402	16094	3	0.010676
16402	16597	9	0.032028
16405	15648	1	0.001122
16405	16644	21	0.023569
16405	15853	1	0.001122
16405	16783	1	0.001122
16405	16114	1	0.001122
16405	15667	1	0.001122
16405	16660	1	0.001122
16405	15477	1	0.001122
16405	15607	1	0.001122
16405	16493	1	0.001122
16405	16573	1	0.001122
16406	15648	4	0.012308
16406	15522	2	0.006154
16406	16068	4	0.012308
16406	16805	2	0.006154
16406	15816	4	0.012308
16406	16553	325	1.000000
16406	16841	2	0.006154
16406	16434	2	0.006154
16406	16659	325	1.000000
16406	16436	4	0.012308
16406	16085	2	0.006154
16406	16697	2	0.006154
16406	16824	10	0.030769
16406	16884	6	0.018462
16406	16475	1950	6.000000
16408	16803	37	1.000000
16408	15919	2	0.054054
16408	15664	37	1.000000
16408	15459	37	1.000000
16408	16377	37	1.000000
16408	15931	37	1.000000
16409	15776	34975	3.089664
16409	16705	1	0.000088
16409	15968	1	0.000088
16409	16035	7	0.000618
16409	15718	4900	0.432862
16409	15592	2	0.000177
16409	15754	6	0.000530
16409	15853	2	0.000177
16409	15827	10	0.000883
16409	16424	3	0.000265
16409	15667	2	0.000177
16409	15477	4	0.000353
16409	15575	1	0.000088
16409	15726	3	0.000265
16409	16341	1	0.000088
16409	16414	8	0.000707
16409	15711	2	0.000177
16413	15672	2	0.003774
16413	16824	1	0.001887
16413	15915	1	0.001887
16413	16420	8	0.015094
16413	16414	27	0.050943
16414	15984	4	0.005502
16414	16597	2	0.002751
16414	16035	1	0.001376
16414	16008	1	0.001376
16414	15853	1	0.001376
16414	16752	1	0.001376
16414	15601	1	0.001376
16414	16051	4	0.005502
16414	16917	2	0.002751
16414	15672	2	0.002751
16414	16347	3	0.004127
16414	16094	1	0.001376
16414	16725	3	0.004127
16416	15667	1	0.019231
16416	15932	6	0.115385
16416	15853	1	0.019231
16416	16350	3	0.057692
16417	15592	2	0.047619
16421	15742	909	0.429584
16423	15648	3	0.007299
16423	16776	1	0.002433
16423	16123	1	0.002433
16423	16068	1	0.002433
16423	16550	1	0.002433
16423	15816	3	0.007299
16423	16105	69	0.167883
16423	16170	1	0.002433
16423	15915	4	0.009732
16423	16434	1	0.002433
16423	15592	2	0.004866
16423	15667	1	0.002433
16423	15731	29	0.070560
16423	16085	5	0.012165
16423	16841	1	0.002433
16423	16824	2	0.004866
16423	16089	2	0.004866
16423	16475	407	0.990268
16423	15965	1	0.002433
16424	15718	9	0.005725
16424	15575	9	0.005725
16426	16736	1	0.012821
16426	16545	9	0.115385
16428	16545	1	0.001206
16428	16258	45	0.054282
16428	16035	5	0.006031
16428	15460	2	0.002413
16428	16005	119320	143.932449
16428	16550	1	0.001206
16428	15912	1	0.001206
16428	16394	1	0.001206
16428	16203	811	0.978287
16428	16684	50	0.060314
16428	15501	1	0.001206
16428	16656	18	0.021713
16428	15984	3	0.003619
16428	16744	33	0.039807
16428	15477	1	0.001206
16428	15920	20	0.024125
16428	16824	1	0.001206
16428	15644	1	0.001206
16428	16437	31	0.037394
16428	16069	675	0.814234
16429	16017	110	0.743243
16429	16633	2	0.013514
16432	16035	1	0.000524
16432	16516	28	0.014675
16432	16198	1	0.000524
16432	16136	2	0.001048
16432	15754	1	0.000524
16432	16573	2	0.001048
16432	16085	2	0.001048
16432	16824	3	0.001572
16432	15897	3	0.001572
16432	16443	1	0.000524
16432	15581	2	0.001048
16433	16265	20	0.006852
16433	16913	2	0.000685
16433	16406	4	0.001370
16433	16667	14	0.004796
16433	15648	2	0.000685
16433	16545	2	0.000685
16433	16550	8	0.002741
16433	15656	16	0.005481
16433	16364	26	0.008907
16433	15667	88	0.030147
16433	16824	2	0.000685
16433	16826	2	0.000685
16433	15932	30	0.010277
16433	16501	2	0.000685
16433	16198	4	0.001370
16433	15816	4	0.001370
16433	15694	6	0.002055
16433	15831	14	0.004796
16433	15705	2	0.000685
16433	15962	54	0.018499
16433	16475	2	0.000685
16433	16484	16	0.005481
16433	16108	4	0.001370
16433	15853	12	0.004111
16433	15477	24	0.008222
16433	16255	14	0.004796
16434	15648	1460	2.874016
16434	16659	468	0.921260
16434	16553	468	0.921260
16434	16136	2	0.003937
16434	15816	2	0.003937
16434	15667	2	0.003937
16434	16824	10	0.019685
16434	16475	2808	5.527559
16435	16170	11	0.069620
16435	16347	4	0.025316
16436	16132	2	0.004320
16436	16392	2	0.004320
16436	16270	1	0.002160
16436	16783	2	0.004320
16436	16913	1	0.002160
16436	15509	2	0.004320
16436	16151	2	0.004320
16436	16029	2	0.004320
16436	15648	2	0.004320
16436	16420	2	0.004320
16436	16423	1	0.002160
16436	16553	1	0.002160
16436	15915	2	0.004320
16436	15661	2	0.004320
16436	16305	2	0.004320
16436	16565	2	0.004320
16436	15799	1	0.002160
16436	16824	2	0.004320
16436	15547	1	0.002160
16436	16447	2	0.004320
16436	16715	2	0.004320
16436	16843	2	0.004320
16436	16085	3	0.006479
16436	16484	2	0.004320
16436	16475	1	0.002160
16436	15836	2	0.004320
16436	16736	2	0.004320
16436	15588	2	0.004320
16436	16873	2	0.004320
16436	16618	2	0.004320
16436	15984	1	0.002160
16436	16831	2	0.004320
16436	16509	2	0.004320
16436	16894	2	0.004320
16436	16405	2	0.004320
16437	16545	1	0.001462
16437	16258	45	0.065789
16437	16035	5	0.007310
16437	15460	2	0.002924
16437	16005	111926	163.634503
16437	16550	1	0.001462
16437	16744	33	0.048246
16437	16684	50	0.073099
16437	16394	1	0.001462
16437	16203	722	1.055556
16437	16428	23	0.033626
16437	15501	1	0.001462
16437	16656	18	0.026316
16437	15984	3	0.004386
16437	15912	1	0.001462
16437	15477	1	0.001462
16437	15920	20	0.029240
16437	16824	1	0.001462
16437	15644	1	0.001462
16437	16069	638	0.932749
16438	15911	36	18.000000
16439	16866	26	1.000000
16439	16423	52	2.000000
16439	16105	1	0.038462
16439	16170	26	1.000000
16439	15522	26	1.000000
16439	16654	52	2.000000
16439	16913	26	1.000000
16439	16436	1	0.038462
16439	15477	26	1.000000
16439	15758	1	0.038462
16439	16475	26	1.000000
16440	15552	179	1.000000
16440	15784	358	2.000000
16440	16045	179	1.000000
16440	15750	179	1.000000
16440	16799	179	1.000000
16441	15984	2	0.005556
16441	16035	4	0.011111
16441	16597	1	0.002778
16441	16094	1	0.002778
16443	15968	1	0.000601
16443	15915	1	0.000601
16443	16515	1	0.000601
16443	16516	59	0.035457
16443	15652	1	0.000601
16443	15667	1	0.000601
16443	15754	2	0.001202
16443	16171	1	0.000601
16443	15805	1	0.000601
16443	15811	1	0.000601
16443	15615	1	0.000601
16443	16035	15	0.009014
16443	16068	1	0.000601
16443	15477	5	0.003005
16443	15575	35	0.021034
16443	15513	6	0.003606
16443	15738	3	0.001803
16443	16475	2	0.001202
16443	16573	4	0.002404
16443	15935	1	0.000601
16446	15492	1	0.000547
16446	15718	7	0.003831
16446	16170	2	0.001095
16446	16845	2	0.001095
16446	16917	6	0.003284
16446	15575	1	0.000547
16446	16414	1	0.000547
16447	16205	1	0.000645
16447	16136	2	0.001290
16447	16364	2	0.001290
16447	15629	13	0.008387
16447	16277	6	0.003871
16447	16407	1	0.000645
16447	16667	13	0.008387
16447	15962	1	0.000645
16447	16414	2	0.001290
16447	16347	1	0.000645
16447	16420	8	0.005161
16447	16550	2	0.001290
16447	15655	2	0.001290
16447	16168	8	0.005161
16447	15657	12	0.007742
16447	16170	9	0.005806
16447	15965	2	0.001290
16447	16433	2	0.001290
16447	15667	38	0.024516
16447	16436	2	0.001290
16447	16565	2	0.001290
16447	15929	8	0.005161
16447	16442	8	0.005161
16447	15477	2	0.001290
16447	16027	1	0.000645
16447	16843	2	0.001290
16447	16716	1	0.000645
16447	16845	18	0.011613
16447	16207	12	0.007742
16447	15570	5	0.003226
16447	16214	6	0.003871
16447	15575	4	0.002581
16447	15705	1	0.000645
16447	15578	12	0.007742
16447	16475	8	0.005161
16447	16236	2	0.001290
16447	16610	2	0.001290
16447	15592	2	0.001290
16447	16423	1	0.000645
16447	16108	9	0.005806
16447	15853	1	0.000645
16447	15983	4	0.002581
16447	16501	7	0.004516
16447	15735	12	0.007742
16447	15868	12	0.007742
16447	15509	2	0.001290
16450	16516	3259	0.983998
16450	16651	11	0.003321
16450	15647	1	0.000302
16450	16035	50	0.015097
16450	16680	4	0.001208
16450	16553	1	0.000302
16450	16814	2	0.000604
16450	15537	12	0.003623
16450	15667	1	0.000302
16450	16824	9	0.002717
16450	15811	1	0.000302
16450	16011	1	0.000302
16450	16852	3	0.000906
16450	16085	1	0.000302
16450	15959	1	0.000302
16450	16089	1	0.000302
16450	16093	2	0.000604
16450	15968	1	0.000302
16450	15713	2	0.000604
16450	15460	1	0.000302
16450	15718	4	0.001208
16450	15592	2	0.000604
16450	16493	2	0.000604
16450	15990	2	0.000604
16450	16890	2	0.000604
16450	16123	1	0.000302
16450	16253	8	0.002415
16450	16597	1	0.000302
16452	16384	2	0.023529
16452	15811	2	0.023529
16452	15910	2	0.023529
16452	15580	5	0.058824
16452	16010	2	0.023529
16452	15854	2	0.023529
16452	15939	2	0.023529
16452	16056	2	0.023529
16452	16476	2	0.023529
16452	15754	2	0.023529
16452	16862	4	0.047059
16452	15711	2	0.023529
16453	16755	2429	0.549423
16453	16035	1	0.000226
16453	15718	3	0.000679
16456	16416	1	0.017241
16456	16543	61	1.051724
16459	15681	1	0.005556
16459	16514	1	0.005556
16459	16475	1	0.005556
16459	15477	3	0.016667
16459	15655	1	0.005556
16460	16770	2	0.010582
16460	15811	2	0.010582
16460	16327	1	0.005291
16460	16553	190	1.005291
