Src	Trg	LinkCount	RelLinkCount
16922	16931	4	0.160000
16924	17003	1	0.005780
16926	17090	6	0.260870
16926	16931	2	0.086957
16931	17026	1	0.001996
16931	17027	1	0.001996
16931	17028	1	0.001996
16931	17031	1	0.001996
16931	17218	1	0.001996
16931	17038	1	0.001996
16931	17219	1	0.001996
16931	17045	1	0.001996
16931	17156	1	0.001996
16931	16925	1	0.001996
16931	16926	1	0.001996
16931	17184	1	0.001996
16931	16935	1	0.001996
16931	16936	2	0.003992
16931	17193	16	0.031936
16931	17066	1	0.001996
16931	17199	3	0.005988
16931	16947	4	0.007984
16931	17076	1	0.001996
16931	16949	6	0.011976
16931	17207	1	0.001996
16931	17208	1	0.001996
16931	16956	1	0.001996
16931	16957	1	0.001996
16931	17086	1	0.001996
16931	16959	1	0.001996
16931	17090	5	0.009980
16931	17091	1	0.001996
16931	17094	1	0.001996
16931	17249	1	0.001996
16931	17226	1	0.001996
16931	17102	1	0.001996
16931	17080	8	0.015968
16931	17106	2	0.003992
16931	17235	1	0.001996
16931	16980	5	0.009980
16931	17240	2	0.003992
16931	17124	1	0.001996
16931	17114	1	0.001996
16931	17116	1	0.001996
16931	17118	1	0.001996
16931	16992	1	0.001996
16931	16993	7	0.013972
16931	17252	1	0.001996
16931	17254	1	0.001996
16931	16999	1	0.001996
16931	17128	1	0.001996
16931	17003	3	0.005988
16931	17134	1	0.001996
16931	17138	1	0.001996
16931	17214	1	0.001996
16931	17065	1	0.001996
16931	17215	3	0.005988
16931	17022	2	0.003992
16933	16931	1	0.023256
16935	16931	2	0.035714
16936	17218	1696	3.990588
16936	16964	2	0.004706
16936	17030	1	0.002353
16936	17193	23	0.054118
16936	17035	16	0.037647
16936	17134	1	0.002353
16936	17047	1	0.002353
16936	17182	1	0.002353
16942	16936	1	0.001468
16942	16931	736	1.080764
16943	17193	6	0.153846
16944	17171	1	0.001513
16944	17020	1	0.001513
16944	17214	1	0.001513
16946	17112	42	1.000000
16946	17226	42	1.000000
16946	17181	42	1.000000
16946	17094	42	1.000000
16946	17077	42	1.000000
16947	16960	6	0.002221
16947	16993	2	0.000740
16947	17186	3	0.001110
16947	17059	4	0.001480
16947	16964	1	0.000370
16947	16998	13	0.004811
16947	17193	88	0.032568
16947	17034	6	0.002221
16947	17003	3	0.001110
16947	17230	6	0.002221
16947	17231	10	0.003701
16947	17106	1	0.000370
16947	17076	2	0.000740
16947	16953	12	0.004441
16947	17199	1	0.000370
16947	17180	20	0.007402
16947	17149	2	0.000740
16948	16949	1	0.023256
16949	17218	3772	3.920998
16949	17091	2	0.002079
16949	16964	14	0.014553
16949	17030	10	0.010395
16949	17095	1	0.001040
16949	16936	4	0.004158
16949	17193	185	0.192308
16949	17035	1	0.001040
16949	17134	4	0.004158
16949	17199	4	0.004158
16949	16931	1	0.001040
16949	17106	1	0.001040
16949	17059	1	0.001040
16949	17076	4	0.004158
16949	16942	1	0.001040
