Src	Trg	LinkCount	RelLinkCount
18432	17592	9	0.063380
18432	18220	150	1.056338
18432	18054	19	0.133803
18433	17592	1	0.007752
18433	18033	9	0.069767
18434	17308	80	8.888889
18436	17592	4	0.181818
18436	17418	89	4.045455
18438	17592	2	0.068966
18438	17698	5	0.172414
18439	17592	3	0.000210
18440	17464	160	3.902439
18440	18184	1	0.024390
18440	18251	44	1.073171
18440	18516	3	0.073171
18440	17654	6	0.146341
18442	17321	2	1.000000
18442	17842	2	1.000000
18442	17341	2	1.000000
18444	17988	29	1.000000
18444	18374	29	1.000000
18448	17592	2	0.285714
18450	17326	32	0.500000
18453	18338	54	2.347826
18455	17357	95	0.124672
18456	17506	264	0.942857
18456	17411	264	0.942857
18456	17414	264	0.942857
18456	18502	264	0.942857
18456	17773	264	0.942857
18456	18384	264	0.942857
18456	17426	264	0.942857
18456	17955	2	0.007143
18456	18516	2	0.007143
18456	18038	264	0.942857
18456	17592	21	0.075000
18456	17562	264	0.942857
18456	18363	527	1.882143
18456	17822	9555	34.125000
18457	17308	5	0.080645
18458	18071	1	0.200000
18460	17593	10	1.000000
18460	17314	20	2.000000
18460	17875	20	2.000000
18460	17260	5	0.500000
18460	17289	18	1.800000
18461	17592	1	0.011364
18462	17592	1	0.000776
18462	18275	22	0.017067
18464	18178	2	0.066667
18464	18155	1	0.033333
18464	18030	1	0.033333
18464	18289	2	0.066667
18464	18388	1	0.033333
18464	18485	1	0.033333
18464	17752	1	0.033333
18465	17475	3	0.014286
18465	17830	3	0.014286
18465	17289	3	0.014286
18465	18155	154	0.733333
18465	17843	3	0.014286
18465	17752	3	0.014286
18465	17875	169	0.804762
18465	18388	3	0.014286
18465	17579	3	0.014286
18465	17464	3	0.014286
18465	17784	151	0.719048
18465	18458	3	0.014286
18465	18275	3	0.014286
18467	17520	2	0.002740
18468	17850	10	2.000000
18468	17283	35	7.000000
18469	18112	293	0.738035
18469	17898	293	0.738035
18469	17732	293	0.738035
18469	17734	293	0.738035
18469	17478	293	0.738035
18469	17927	293	0.738035
18469	17322	293	0.738035
18469	17483	590	1.486146
18469	17422	293	0.738035
18469	17359	293	0.738035
18469	17592	12	0.030227
18469	18226	293	0.738035
18469	18149	293	0.738035
18469	18190	293	0.738035
18469	18237	293	0.738035
18469	18286	293	0.738035
18469	17753	293	0.738035
18469	17533	293	0.738035
18469	18494	293	0.738035
18469	17695	293	0.738035
18471	18412	10	0.117647
18471	17698	1	0.011765
18471	17988	23	0.270588
18476	17536	1	0.021277
18476	18275	3	0.063830
18476	17579	1	0.021277
18476	18157	3	0.063830
18476	18482	7	0.148936
18476	18388	1	0.021277
18476	18138	1	0.021277
18478	17920	1	0.016667
18478	17413	4	0.066667
18478	18440	4	0.066667
18478	17289	206	3.433333
18478	17806	1	0.016667
18478	18067	3	0.050000
18478	17563	1	0.016667
18478	17698	14	0.233333
18478	18468	2	0.033333
18478	17445	1	0.016667
18478	17579	2	0.033333
18478	17843	1	0.016667
18478	17464	20	0.333333
18478	18105	1	0.016667
18478	18496	4	0.066667
18478	18251	6	0.100000
18478	17996	1	0.016667
18478	17592	3	0.050000
18478	18516	24	0.400000
18478	18269	5	0.083333
18478	17504	8	0.133333
18478	18275	1	0.016667
18478	18536	1	0.016667
18478	17260	2	0.033333
18478	18289	1	0.016667
18478	17654	1	0.016667
18479	18531	1	0.011111
18479	17579	1	0.011111
18479	17751	2	0.022222
18480	17344	330	1.284047
18480	18180	495	1.926070
18480	18310	330	1.284047
18480	17793	330	1.284047
18480	17546	330	1.284047
18480	17805	330	1.284047
18480	18321	330	1.284047
18480	17558	330	1.284047
18480	17560	330	1.284047
18480	17924	330	1.284047
18480	17310	330	1.284047
18480	17312	330	1.284047
18480	18352	330	1.284047
18480	18091	990	3.852140
18480	17324	165	0.642023
18480	17453	330	1.284047
18480	17712	330	1.284047
18480	17462	165	0.642023
18480	18487	330	1.284047
18480	17336	330	1.284047
18480	17466	330	1.284047
18480	18365	330	1.284047
18480	17342	330	1.284047
18480	17856	330	1.284047
18480	17986	330	1.284047
18480	18379	330	1.284047
18480	18378	330	1.284047
18480	17527	330	1.284047
18480	18125	330	1.284047
18480	18511	330	1.284047
18480	18257	330	1.284047
18480	18387	330	1.284047
18480	18262	330	1.284047
18480	18263	330	1.284047
18480	17627	330	1.284047
18480	17346	330	1.284047
18480	18532	330	1.284047
18480	17509	330	1.284047
18480	18406	165	0.642023
18480	18122	330	1.284047
18480	17385	165	0.642023
18480	17258	165	0.642023
18480	18027	330	1.284047
18480	17774	330	1.284047
18480	17910	165	0.642023
18480	18153	330	1.284047
18480	18424	330	1.284047
18480	17914	330	1.284047
18480	17916	330	1.284047
18482	17536	1	0.005882
18482	17579	9	0.052941
18482	17654	1	0.005882
18482	18184	1	0.005882
18482	17289	13	0.076471
18482	18251	2	0.011765
18482	18476	3	0.017647
18482	18063	1	0.005882
18482	18138	1	0.005882
18482	18440	2	0.011765
18482	18275	4	0.023529
18482	18388	1	0.005882
18482	18422	1	0.005882
18482	17464	1	0.005882
18482	17592	1	0.005882
18482	17708	1	0.005882
18482	18269	1	0.005882
18482	17260	2	0.011765
18484	17592	2	0.285714
18485	17752	2	0.000910
18485	18178	2	0.000910
18485	18157	1	0.000455
18485	18182	8	0.003638
18485	17289	4	0.001819
18485	17418	1	0.000455
18485	17806	9	0.004093
18485	18285	1	0.000455
18485	17681	1	0.000455
18485	18322	30	0.013643
18485	18067	5	0.002274
18485	17940	1	0.000455
18485	18030	16	0.007276
18485	17399	1	0.000455
18485	18200	1	0.000455
18485	17437	1	0.000455
18485	17822	1	0.000455
18485	18094	4	0.001819
18485	18338	1	0.000455
18485	17955	5	0.002274
18485	17670	1	0.000455
18485	18289	1	0.000455
18485	17963	1	0.000455
18485	17266	1	0.000455
18485	17326	1	0.000455
18485	17455	1	0.000455
18485	17715	1	0.000455
18485	17400	1	0.000455
18485	18001	2	0.000910
18485	17464	1	0.000455
18485	17593	14	0.006367
18485	18234	1	0.000455
18485	18271	1	0.000455
18485	17468	2	0.000910
18485	18496	2	0.000910
18485	18251	1	0.000455
18485	17866	1	0.000455
18485	17867	1	0.000455
18485	18381	1	0.000455
18485	17592	6	0.002729
18485	18516	4	0.001819
18485	18041	2	0.000910
18485	17496	1	0.000455
18485	18194	1	0.000455
18485	18063	3	0.001364
18485	18269	1	0.000455
18485	18527	3	0.001364
18485	18529	1	0.000455
18485	18274	1	0.000455
18485	18275	1	0.000455
18485	18279	1	0.000455
18485	18536	1	0.000455
18485	17698	1	0.000455
18485	18155	1	0.000455
18485	17260	4	0.001819
18485	17261	2	0.000910
18485	18542	5	0.002274
18485	18173	2	0.000910
18485	17521	2	0.000910
18485	17304	1	0.000455
18485	18163	1	0.000455
18485	18037	1	0.000455
18485	18051	1	0.000455
18485	17768	1	0.000455
18485	18195	1	0.000455
18485	17492	19	0.008640
18485	17274	1	0.000455
18485	18429	1	0.000455
18487	17344	348	1.288889
18487	18180	522	1.933333
18487	18310	348	1.288889
18487	17793	348	1.288889
18487	17546	348	1.288889
18487	17805	348	1.288889
18487	18321	348	1.288889
18487	17558	348	1.288889
18487	17560	348	1.288889
18487	17924	348	1.288889
18487	17310	348	1.288889
18487	17312	348	1.288889
18487	18480	348	1.288889
18487	18091	1044	3.866667
18487	17324	174	0.644444
18487	17453	348	1.288889
18487	17712	348	1.288889
18487	17462	174	0.644444
18487	17336	348	1.288889
18487	17466	348	1.288889
18487	18365	348	1.288889
18487	17342	348	1.288889
18487	17856	348	1.288889
18487	17986	348	1.288889
18487	18379	348	1.288889
18487	18378	348	1.288889
18487	17527	348	1.288889
18487	18125	348	1.288889
18487	18511	348	1.288889
18487	18257	348	1.288889
18487	18387	348	1.288889
18487	18262	348	1.288889
18487	18263	348	1.288889
18487	17627	348	1.288889
18487	17346	348	1.288889
18487	18352	348	1.288889
18487	18532	348	1.288889
18487	17509	348	1.288889
18487	18406	174	0.644444
18487	18122	348	1.288889
18487	17385	174	0.644444
18487	17258	174	0.644444
18487	18027	348	1.288889
18487	17774	348	1.288889
18487	17910	174	0.644444
18487	18153	348	1.288889
18487	18424	348	1.288889
18487	17914	348	1.288889
18487	17916	348	1.288889
18492	17592	3	0.000203
18493	17887	3	1.000000
18494	17927	218	0.908333
18494	17422	218	0.908333
18494	17695	218	0.908333
18494	17478	218	0.908333
18494	17322	218	0.908333
18494	18226	218	0.908333
18494	17592	11	0.045833
18494	18237	218	0.908333
18494	18112	218	0.908333
18494	17732	218	0.908333
18494	17734	218	0.908333
18494	17483	437	1.820833
18494	17359	218	0.908333
18494	17464	2	0.008333
18494	17492	2	0.008333
18494	18190	218	0.908333
18494	17753	218	0.908333
18494	18469	218	0.908333
18494	18149	218	0.908333
18494	17898	218	0.908333
18494	18286	218	0.908333
18494	17533	218	0.908333
18495	17592	2	0.080000
18496	17492	4	0.057143
18496	17348	40	0.571429
18497	17291	86	1.508772
18497	17333	251	4.403509
18497	18063	2	0.035088
18498	17698	4	0.000330
18499	17308	18	1.636364
18500	17464	22	2.000000
18500	17289	1	0.090909
18500	17260	1	0.090909
18502	17506	65	0.902778
18502	17411	65	0.902778
18502	17414	65	0.902778
18502	17773	65	0.902778
18502	18384	65	0.902778
18502	17592	1	0.013889
18502	17426	65	0.902778
18502	18038	65	0.902778
18502	18456	65	0.902778
18502	17562	65	0.902778
18502	18363	65	0.902778
18502	17822	2942	40.861111
18503	18178	1	0.016667
18503	17289	25	0.416667
18503	17260	6	0.100000
18503	17698	11	0.183333
18503	17520	1	0.016667
18503	17752	1	0.016667
18503	18071	1	0.016667
18503	17464	120	2.000000
18503	18203	1	0.016667
18503	17662	1	0.016667
18503	18527	2	0.033333
18504	17464	72	3.000000
18504	17289	24	1.000000
18504	17260	23	0.958333
18505	17341	16	0.941176
18507	17592	10	0.384615
18507	17481	6	0.230769
18507	18516	20	0.769231
18507	17425	2	0.076923
18511	17344	358	1.283154
18511	18180	537	1.924731
18511	18310	358	1.283154
18511	17793	358	1.283154
18511	17546	358	1.283154
18511	17805	358	1.283154
18511	18321	358	1.283154
18511	17558	358	1.283154
18511	17560	358	1.283154
18511	17924	358	1.283154
18511	17310	358	1.283154
18511	17312	358	1.283154
18511	18480	358	1.283154
18511	18091	1074	3.849462
18511	17324	179	0.641577
18511	17453	358	1.283154
18511	17712	358	1.283154
18511	17462	179	0.641577
18511	18487	358	1.283154
18511	17336	358	1.283154
18511	17466	358	1.283154
18511	18365	358	1.283154
18511	17342	358	1.283154
18511	17856	358	1.283154
18511	17986	358	1.283154
18511	18379	358	1.283154
18511	18378	358	1.283154
18511	17527	358	1.283154
18511	18125	358	1.283154
18511	18257	358	1.283154
18511	18387	358	1.283154
18511	18262	358	1.283154
18511	18263	358	1.283154
18511	17627	358	1.283154
18511	17346	358	1.283154
18511	18352	358	1.283154
18511	18532	358	1.283154
18511	17509	358	1.283154
18511	18406	179	0.641577
18511	18122	358	1.283154
18511	17385	179	0.641577
18511	17258	179	0.641577
18511	18027	358	1.283154
18511	17774	358	1.283154
18511	17910	179	0.641577
18511	18153	358	1.283154
18511	18424	358	1.283154
18511	17914	358	1.283154
18511	17916	358	1.283154
18512	17698	1	0.200000
18512	17308	6	1.200000
18512	18031	1	0.200000
18514	18178	1	0.016393
18514	17413	2	0.032787
18514	17289	2	0.032787
18514	17738	1	0.016393
18514	17679	2	0.032787
18514	18067	1	0.016393
18514	18516	1	0.016393
18514	17464	123	2.016393
18514	17626	1	0.016393
18514	17534	1	0.016393
18516	17920	4	0.006088
18516	17670	85	0.129376
18516	18440	3	0.004566
18516	17289	833	1.267884
18516	18251	17	0.025875
18516	17850	1	0.001522
18516	17806	1	0.001522
18516	18063	3	0.004566
18516	18320	7	0.010654
18516	18132	2	0.003044
18516	18030	2	0.003044
18516	18071	4	0.006088
18516	17988	2	0.003044
18516	18458	5	0.007610
18516	18479	2	0.003044
18516	17693	4	0.006088
18516	17311	2	0.003044
18516	17697	1	0.001522
18516	17698	16	0.024353
18516	17316	1	0.001522
18516	18182	1	0.001522
18516	17579	7	0.010654
18516	18095	2	0.003044
18516	17584	7	0.010654
18516	18353	1	0.001522
18516	17715	4	0.006088
18516	17334	1	0.001522
18516	17592	11	0.016743
18516	17593	1	0.001522
18516	18234	3	0.004566
18516	17468	4	0.006088
18516	17597	2	0.003044
18516	17726	2	0.003044
18516	18371	11	0.016743
18516	17348	1	0.001522
18516	17738	1	0.001522
18516	17739	2	0.003044
18516	17358	1	0.001522
18516	17872	1	0.001522
18516	17464	947	1.441400
18516	18514	4	0.006088
18516	17875	11	0.016743
18516	17492	4	0.006088
18516	18105	4	0.006088
18516	17752	2	0.003044
18516	17626	2	0.003044
18516	18275	12	0.018265
18516	17372	2	0.003044
18516	18269	5	0.007610
18516	18386	2	0.003044
18516	17848	1	0.001522
18516	18531	2	0.003044
18516	18536	4	0.006088
18516	18281	6	0.009132
18516	17899	7	0.010654
18516	17260	19	0.028919
18516	17261	10	0.015221
18516	18542	4	0.006088
18516	18289	1	0.001522
18516	17363	1	0.001522
18516	17910	6	0.009132
18516	18388	2	0.003044
18516	18259	2	0.003044
18516	17791	1	0.001522
18518	17464	10	2.000000
18518	17468	2	0.400000
18518	17373	2	0.400000
18518	17261	10	2.000000
18519	17592	26	2.000000
18519	17804	13	1.000000
18519	17828	354	27.230769
18519	18101	13	1.000000
18520	17344	12	0.750000
18520	18180	18	1.125000
18520	18310	12	0.750000
18520	17793	12	0.750000
18520	17546	12	0.750000
18520	17805	12	0.750000
18520	18321	12	0.750000
18520	17558	12	0.750000
18520	17560	12	0.750000
18520	17924	12	0.750000
18520	17310	12	0.750000
18520	17312	12	0.750000
18520	18480	12	0.750000
18520	18091	36	2.250000
18520	17324	12	0.750000
18520	17453	12	0.750000
18520	17712	12	0.750000
18520	17462	6	0.375000
18520	18487	12	0.750000
18520	17336	12	0.750000
18520	17466	12	0.750000
18520	18365	12	0.750000
18520	17342	12	0.750000
18520	17856	12	0.750000
18520	17986	12	0.750000
18520	18379	12	0.750000
18520	18378	12	0.750000
18520	17527	12	0.750000
18520	18125	12	0.750000
18520	18511	12	0.750000
18520	18257	12	0.750000
18520	18387	12	0.750000
18520	18262	12	0.750000
18520	18263	12	0.750000
18520	17627	12	0.750000
18520	17346	12	0.750000
18520	18352	12	0.750000
18520	18532	12	0.750000
18520	17509	12	0.750000
18520	18406	6	0.375000
18520	18122	12	0.750000
18520	17385	6	0.375000
18520	17258	6	0.375000
18520	18027	12	0.750000
18520	17774	12	0.750000
18520	17910	18	1.125000
18520	18153	12	0.750000
18520	18424	12	0.750000
18520	17914	12	0.750000
18520	17916	12	0.750000
18522	17592	10	0.909091
18522	18195	22	2.000000
18526	18033	119	2.016949
18526	18044	1	0.016949
18526	18388	1	0.016949
18526	18063	3	0.050847
18527	18178	1	0.001124
18527	17899	1	0.001124
18527	18183	3	0.003371
18527	17289	99	0.111236
18527	17806	1	0.001124
18527	18320	1	0.001124
18527	17368	2	0.002247
18527	17298	1	0.001124
18527	18071	4	0.004494
18527	18203	1	0.001124
18527	18468	1	0.001124
18527	17445	1	0.001124
18527	18289	1	0.001124
18527	18090	2	0.002247
18527	17843	1	0.001124
18527	17464	950	1.067416
18527	17593	1	0.001124
18527	18234	6	0.006742
18527	18109	1	0.001124
18527	18371	2	0.002247
18527	17989	2	0.002247
18527	18247	1	0.001124
18527	17959	1	0.001124
18527	17610	1	0.001124
18527	18253	1	0.001124
18527	18516	70	0.078652
18527	17752	7	0.007865
18527	18275	5	0.005618
18527	18281	1	0.001124
18527	18155	1	0.001124
18527	17260	243	0.273034
18527	17261	9	0.010112
18527	18542	1	0.001124
18527	17520	12	0.013483
18527	17521	806	0.905618
18527	18291	1	0.001124
18527	17897	2	0.002247
18527	18044	1	0.001124
18527	17662	26	0.029213
18528	17281	2	0.047619
18529	17592	3	0.005495
18529	18304	6	0.010989
18529	18043	24	0.043956
18529	17492	1	0.001832
18531	18275	2	0.076923
18531	17897	1	0.038462
18531	18251	2	0.076923
18531	18516	1	0.038462
18531	17579	2	0.076923
18531	17846	3	0.115385
18531	17289	2	0.076923
18531	17752	3	0.115385
18532	17344	364	1.300000
18532	18180	546	1.950000
18532	18310	364	1.300000
18532	17793	364	1.300000
18532	17546	364	1.300000
18532	17805	364	1.300000
18532	18321	364	1.300000
18532	17558	364	1.300000
18532	17560	364	1.300000
18532	17924	364	1.300000
18532	17310	364	1.300000
18532	17312	364	1.300000
18532	18480	364	1.300000
18532	18091	1092	3.900000
18532	17324	182	0.650000
18532	17453	364	1.300000
18532	17712	364	1.300000
18532	17462	182	0.650000
18532	18487	364	1.300000
18532	17336	364	1.300000
18532	17466	364	1.300000
18532	18365	364	1.300000
18532	17342	364	1.300000
18532	17856	364	1.300000
18532	17986	364	1.300000
18532	18379	364	1.300000
18532	18378	364	1.300000
18532	17527	364	1.300000
18532	18125	364	1.300000
18532	18511	364	1.300000
18532	18257	364	1.300000
18532	18387	364	1.300000
18532	18262	364	1.300000
18532	18263	364	1.300000
18532	17627	364	1.300000
18532	17346	364	1.300000
18532	18352	364	1.300000
18532	17509	364	1.300000
18532	18406	182	0.650000
18532	18122	364	1.300000
18532	17385	182	0.650000
18532	17258	182	0.650000
18532	18027	364	1.300000
18532	17774	364	1.300000
18532	17910	364	1.300000
18532	18153	364	1.300000
18532	18424	364	1.300000
18532	17914	364	1.300000
18532	17916	364	1.300000
18533	17592	2	0.083333
18534	17633	1	0.001701
18534	18178	2	0.003401
18534	17923	1	0.001701
18534	18468	1	0.001701
18534	17381	1	0.001701
18534	17830	1	0.001701
18534	17289	2	0.003401
18534	18030	1	0.001701
18534	18063	4	0.006803
18534	18227	1	0.001701
18534	18485	1	0.001701
18534	18071	1	0.001701
18534	17592	5	0.008503
18534	17850	1	0.001701
18536	18468	1	0.007874
18536	17289	164	1.291339
18536	18251	1	0.007874
18536	17260	130	1.023622
18536	17848	1	0.007874
18536	18516	3	0.023622
18536	18073	1	0.007874
18536	17464	252	1.984252
18536	17593	3	0.023622
18536	18269	5	0.039370
18536	17663	1	0.007874
18538	17592	1	0.007634
18538	18033	9	0.068702
18539	18272	1	0.021277
18539	18275	2	0.042553
18539	17636	1	0.021277
18539	17670	1	0.021277
18539	17318	2	0.042553
18539	18183	1	0.021277
18539	18251	2	0.042553
18539	17580	1	0.021277
18539	18289	3	0.063830
18539	18388	11	0.234043
18539	18422	1	0.021277
18539	17655	2	0.042553
18539	17848	1	0.021277
18539	18516	93	1.978723
18540	18338	1	0.016393
18540	17923	2	0.032787
18540	17486	1	0.016393
18540	18063	2	0.032787
18540	17424	1	0.016393
18540	18297	2	0.032787
18540	17597	1	0.016393
18541	17592	31	0.031219
18541	17899	4	0.004028
18541	17766	993	1.000000
18541	18063	1	0.001007
18542	17520	2	0.014815
18542	18371	1	0.007407
18542	18500	1	0.007407
18542	18422	1	0.007407
18542	17287	2	0.014815
18542	18281	10	0.074074
18542	17899	3	0.022222
18542	17260	12	0.088889
18542	18094	1	0.007407
18542	18063	3	0.022222
18542	18320	2	0.014815
18542	18289	2	0.014815
18542	18291	1	0.007407
18542	18516	70	0.518519
18542	18132	1	0.007407
18542	17289	5	0.037037
18542	17593	3	0.022222
18542	18202	1	0.007407
18542	17868	1	0.007407
18542	18227	2	0.014815
18542	18527	27	0.200000
17256	17308	6	1.500000
17258	17344	218	1.321212
17258	18180	327	1.981818
17258	18310	218	1.321212
17258	17793	218	1.321212
17258	17546	218	1.321212
17258	17805	218	1.321212
17258	18321	218	1.321212
17258	17558	218	1.321212
17258	17560	218	1.321212
17258	17924	218	1.321212
17258	17310	218	1.321212
17258	17312	218	1.321212
17258	18480	218	1.321212
17258	18091	654	3.963636
17258	17324	109	0.660606
17258	17453	218	1.321212
17258	17712	218	1.321212
17258	17462	109	0.660606
17258	18487	218	1.321212
17258	17336	218	1.321212
17258	17466	218	1.321212
17258	18365	218	1.321212
17258	17342	218	1.321212
17258	17856	218	1.321212
17258	17986	218	1.321212
17258	18379	218	1.321212
17258	18378	218	1.321212
17258	17527	218	1.321212
17258	18125	218	1.321212
17258	18511	218	1.321212
17258	18257	218	1.321212
17258	18387	218	1.321212
17258	18262	218	1.321212
17258	18263	218	1.321212
17258	17627	218	1.321212
17258	17346	218	1.321212
17258	18352	218	1.321212
17258	18532	218	1.321212
17258	17509	218	1.321212
17258	18406	109	0.660606
17258	18122	218	1.321212
17258	17385	109	0.660606
17258	18027	218	1.321212
17258	17774	218	1.321212
17258	17910	109	0.660606
17258	18153	218	1.321212
17258	18424	218	1.321212
17258	17914	218	1.321212
17258	17916	218	1.321212
17260	17492	39	0.017623
17260	18152	4	0.001808
17260	17897	39	0.017623
17260	17413	39	0.017623
17260	17670	5	0.002259
17260	18183	39	0.017623
17260	17289	8862	4.004519
17260	17687	38	0.017171
17260	17932	32	0.014460
17260	18320	38	0.017171
17260	17682	39	0.017623
17260	18067	39	0.017623
17260	17390	39	0.017623
17260	18071	39	0.017623
17260	17689	39	0.017623
17260	18458	16	0.007230
17260	17311	5	0.002259
17260	18080	39	0.017623
17260	17904	16	0.007230
17260	17955	20	0.009038
17260	18473	39	0.017623
17260	17579	38	0.017171
17260	17454	27	0.012201
17260	18353	29	0.013104
17260	17715	7	0.003163
17260	17464	4508	2.037054
17260	17465	37	0.016719
17260	18234	2219	1.002711
17260	18500	7	0.003163
17260	17848	5	0.002259
17260	17348	39	0.017623
17260	17697	22	0.009941
17260	17592	39	0.017623
17260	17747	39	0.017623
17260	18388	78	0.035246
17260	17752	39	0.017623
17260	18527	39	0.017623
17260	17504	17	0.007682
17260	18275	39	0.017623
17260	18020	7	0.003163
17260	18405	44	0.019883
17260	18534	39	0.017623
17260	18536	37	0.016719
17260	18281	38	0.017171
17260	17899	38	0.017171
17260	17261	2248	1.015816
17260	18542	38	0.017171
17260	17520	38	0.017171
17260	18289	9	0.004067
17260	18327	11	0.004971
17260	17911	51	0.023046
17260	18516	77	0.034794
17260	17662	39	0.017623
17261	17920	2	0.105263
17261	17827	18	0.947368
17261	17671	2	0.105263
17261	17289	19	1.000000
17261	17579	1	0.052632
17261	17260	2	0.105263
17261	18322	8	0.421053
17261	17593	1	0.052632
17261	17464	57	3.000000
17261	17881	4	0.210526
17261	18234	1	0.052632
17261	17468	6	0.315789
17262	18275	4	0.093023
17262	18109	1	0.023256
17262	18183	3	0.069767
17263	18178	6	0.025424
17263	17381	2	0.008475
17263	17698	2	0.008475
17263	18285	2	0.008475
17263	18485	8	0.033898
17263	17371	12	0.050847
17263	18526	2	0.008475
17266	18067	3	0.035714
17267	17698	1	0.043478
17267	17308	81	3.521739
17267	17957	1	0.043478
17270	18539	1	0.031250
17270	17908	1	0.031250
