Src	Trg	LinkCount	RelLinkCount
18547	18890	1	0.004016
18547	19362	2	0.008032
18547	19700	1	0.004016
18547	19034	1	0.004016
18547	19765	1	0.004016
18548	19186	29	0.123932
18550	18660	2	1.000000
18550	19679	2	1.000000
18551	19937	1	0.062500
18551	19436	1	0.062500
18551	19173	1	0.062500
18551	19679	1	0.062500
18552	19803	5	0.125000
18552	19196	1	0.025000
18552	18550	1	0.025000
18555	19001	8	0.039024
18555	19514	3	0.014634
18555	18662	4	0.019512
18555	18817	1	0.004878
18556	18856	4	0.010283
18556	19001	2	0.005141
18556	19803	2	0.005141
18556	18876	5	0.012853
18558	19362	1	0.000315
18560	19937	6	1.200000
18561	19904	6	0.004338
18561	18876	6	0.004338
18561	19803	8	0.005785
18561	19332	10	0.007231
18561	18967	4	0.002892
18564	20016	2	0.074074
18564	18817	2	0.074074
18564	19821	2	0.074074
18564	19430	2	0.074074
18564	19382	2	0.074074
18565	18817	6	1.500000
18565	19316	1	0.250000
18565	19894	1	0.250000
18565	19679	4	1.000000
18567	19904	2	0.000898
18567	18817	26	0.011670
18567	19906	2	0.000898
18567	19766	2	0.000898
18567	18598	45	0.020197
18567	19014	2	0.000898
18567	19815	2543	1.141382
18567	19821	4	0.001795
18567	19598	2	0.000898
18567	18609	6	0.002693
18567	18674	2	0.000898
18567	18771	2	0.000898
18567	19765	8	0.003591
18567	19894	2	0.000898
18567	19991	2	0.000898
18567	19001	4	0.001795
18567	19706	4	0.001795
18567	19803	7	0.003142
18567	19391	1771	0.794883
18568	19904	2	0.006711
18568	18817	10	0.033557
18568	19683	4	0.013423
18568	19173	2	0.006711
18568	18598	2	0.006711
18568	20042	6	0.020134
18568	18736	3	0.010067
18568	19270	2	0.006711
18568	19766	1	0.003356
18568	19959	2	0.006711
18568	19803	4	0.013423
18568	19773	171	0.573826
18570	19001	2	0.011976
18571	19803	1	0.058824
18571	18767	3	0.176471
18571	19709	19	1.117647
18571	18822	1	0.058824
18571	19453	6	0.352941
18575	18817	25	0.009325
18575	19392	2	0.000746
18575	18708	2	0.000746
18575	19991	4	0.001492
18575	19999	1	0.000373
18575	18722	4	0.001492
18575	18598	12	0.004476
18575	18983	1	0.000373
18575	18609	1	0.000373
18575	19766	3	0.001119
18575	19383	2	0.000746
18575	19001	3	0.001119
18575	19904	2	0.000746
18575	19906	4	0.001492
18575	19017	1	0.000373
18575	18890	1	0.000373
18575	18895	1	0.000373
18575	19799	2	0.000746
18575	19803	7	0.002611
18575	18780	3953	1.474450
18575	19679	4	0.001492
18575	19041	3	0.001119
18575	19683	4	0.001492
18575	18660	3	0.001119
18575	19045	1	0.000373
18575	19821	1	0.000373
18575	18674	2	0.000746
18575	19706	22	0.008206
18576	18817	1	0.002304
18576	19643	2	0.004608
18576	19621	5	0.011521
18576	18598	3	0.006912
18576	20033	1	0.002304
18576	18951	1	0.002304
18576	19631	10	0.023041
18576	19991	4	0.009217
18576	19001	1	0.002304
18576	19003	1	0.002304
18576	19485	2	0.004608
18577	18786	2	0.014493
18577	19173	3	0.021739
18577	19631	1	0.007246
18578	18817	1	0.000539
18578	18967	10	0.005385
18578	19087	6	0.003231
18578	19095	10	0.005385
