Src	Trg	LinkCount	RelLinkCount
20480	20752	9	0.214286
20480	20624	1	0.023810
20480	21082	1	0.023810
20480	20172	1	0.023810
20480	20126	1	0.023810
20485	20752	2	1.000000
20485	21346	2	1.000000
20487	20752	286	13.000000
20487	20625	150	6.818182
20490	20588	11	1.000000
20490	20357	11	1.000000
20490	21414	11	1.000000
20490	20831	11	1.000000
20491	21641	49	1.000000
20491	20215	49	1.000000
20491	20511	970	19.795918
20493	20204	31	1.000000
20496	20752	74	0.124789
20496	21641	1	0.001686
20496	21082	8	0.013491
20496	20610	2	0.003373
20499	21641	47	0.903846
20499	21270	47	0.903846
20500	20752	12	0.014151
20500	20161	4	0.004717
20500	21346	8	0.009434
20503	20814	6	0.666667
20504	21528	15	0.007920
20508	20752	1	0.003831
20508	21346	204	0.781609
20511	21641	630	0.771114
20511	21098	1	0.001224
20511	20215	624	0.763770
20513	21783	2	0.002141
20514	20555	246	0.530172
20514	21579	246	0.530172
20514	20653	246	0.530172
20514	21346	2	0.004310
20514	21111	1230	2.650862
20517	21632	1	0.002646
20517	21250	1	0.002646
20517	20868	1	0.002646
20517	20997	1	0.002646
20517	21255	367	0.970899
20517	21258	1	0.002646
20517	21388	1	0.002646
20517	20610	1	0.002646
20517	20752	5186	13.719577
20517	20142	1	0.002646
20517	20740	1	0.002646
20517	21151	5	0.013228
20517	20640	1	0.002646
20517	20899	1	0.002646
20517	21030	1	0.002646
20517	21127	1	0.002646
20517	21676	6	0.015873
20517	20910	1	0.002646
20517	20914	3	0.007937
20517	21171	1	0.002646
20517	20937	1	0.002646
20517	21048	1	0.002646
20517	21819	1	0.002646
20517	21313	1	0.002646
20517	21443	1	0.002646
20517	21317	1	0.002646
20517	20678	2	0.005291
20517	20424	1	0.002646
20517	20236	1	0.002646
20517	21581	1	0.002646
20517	20814	1	0.002646
20517	20259	1	0.002646
20517	21849	1	0.002646
20517	20186	1	0.002646
20517	21855	5	0.013228
20517	20192	12	0.031746
20517	21392	1	0.002646
20517	20384	4	0.010582
20517	21102	1	0.002646
20517	21487	1	0.002646
20517	20208	1	0.002646
20517	21745	1	0.002646
20517	21362	1	0.002646
20517	21498	1	0.002646
20517	20860	1	0.002646
20517	20733	1	0.002646
20520	20752	11	0.012776
20520	20161	4	0.004646
20520	21346	8	0.009292
20523	20752	4	0.022472
20523	20971	103	0.578652
20524	20192	2	0.019231
20524	20678	3011	28.951923
20524	21806	2	0.019231
20524	20752	528	5.076923
20524	20914	1	0.009615
20524	21082	1	0.009615
20527	20192	14	0.009079
20527	21416	1	0.000649
20527	20752	26	0.016861
20527	21750	2	0.001297
20527	21806	33	0.021401
20529	20752	7	0.017903
20529	21346	7	0.017903
20529	20172	4	0.010230
20529	21806	6	0.015345
20534	20752	2319	21.081818
20534	20914	2	0.018182
20535	20752	50	0.218341
20535	21831	1	0.004367
20536	20752	6	0.029851
20536	21641	4	0.019900
20536	21766	184	0.915423
20537	20793	4	0.001988
20538	21761	5	0.003274
20538	20230	1	0.000655
20538	21255	1	0.000655
20538	21256	5	0.003274
20538	21641	1	0.000655
20538	20624	3	0.001965
20538	20626	3	0.001965
20538	21526	2	0.001310
20538	21281	1	0.000655
20538	21676	2	0.001310
20538	21806	8	0.005239
20538	20914	250	0.163720
20538	21174	1	0.000655
20538	21819	1	0.000655
20538	21569	10	0.006549
20538	20678	3052	1.998690
20538	21587	2	0.001310
20538	20180	1	0.000655
20538	21593	1	0.000655
20538	21082	3	0.001965
20538	20752	11340	7.426326
20538	21346	43	0.028160
20538	20835	1	0.000655
20538	21522	1	0.000655
20538	21487	1	0.000655
20538	21875	2	0.001310
20538	20215	1	0.000655
20543	20624	1	0.017241
20543	21346	1	0.017241
20543	21636	1	0.017241
20543	20678	1	0.017241
20543	20870	1	0.017241
20543	21127	4	0.068966
20543	21004	1	0.017241
20543	20461	3	0.051724
20543	21806	3	0.051724
20543	20752	12	0.206897
20543	21587	1	0.017241
20543	20654	1	0.017241
20543	21174	1	0.017241
20543	20341	1	0.017241
20543	21784	1	0.017241
20543	21082	1	0.017241
20543	20828	1	0.017241
20543	21855	1	0.017241
20547	20752	4	0.013333
20547	21346	3	0.010000
20547	21445	1	0.003333
20547	20806	1	0.003333
20548	21889	83	0.314394
20548	20194	83	0.314394
20548	21699	83	0.314394
20548	21346	4	0.015152
20548	20752	4	0.015152
20548	20821	83	0.314394
20551	21346	2	0.133333
20552	20752	1	0.004525
20552	21346	1	0.004525
20552	20172	2	0.009050
20552	20215	1	0.004525
20555	20514	273	0.540594
20555	21579	273	0.540594
20555	20653	273	0.540594
20555	21346	2	0.003960
20555	21111	819	1.621782
20561	20777	2	0.005405
20561	21346	27	0.072973
20561	20187	2	0.005405
20561	21602	3	0.008108
20561	20733	2	0.005405
20562	21641	2	0.074074
20562	20620	1	0.037037
20562	21406	1	0.037037
20562	21039	1	0.037037
20565	20752	1	0.003322
20565	21346	15	0.049834
20565	21085	1	0.003322
20566	20752	3762	13.108014
20566	21142	9	0.031359
20566	21054	1	0.003484
20566	20654	3	0.010453
20567	21346	1	0.125000
20568	21346	4	0.001898
20568	21893	5	0.002373
20568	20668	5	0.002373
20568	20215	2	0.000949
20568	20172	1	0.000475
20568	21326	5	0.002373
20568	20752	3	0.001424
20568	21641	6	0.002848
20568	20440	6	0.002848
20568	21564	5	0.002373
20569	21728	304	0.723810
20569	20177	1	0.002381
20569	20328	304	0.723810
20569	21770	304	0.723810
20569	20399	316	0.752381
20569	21168	304	0.723810
20569	21617	304	0.723810
20569	21618	304	0.723810
20569	20150	304	0.723810
20569	20282	304	0.723810
20569	21436	304	0.723810
20570	21346	3	0.062500
20570	20215	1	0.020833
20572	20752	1	0.005882
20572	20838	4	0.023529
20572	21641	11	0.064706
20572	21166	4	0.023529
20572	20624	1	0.005882
20572	21816	4	0.023529
20573	20610	1	0.011765
20573	21641	2	0.023529
20573	20162	1	0.011765
20573	20752	20	0.235294
20573	21910	7	0.082353
20573	21784	1	0.011765
20573	20904	2	0.023529
20573	21034	1	0.011765
20573	21292	1	0.011765
20573	20656	1	0.011765
20573	20657	1	0.011765
20573	21698	2	0.023529
20573	20678	2	0.023529
20573	20215	6	0.070588
20573	21455	2	0.023529
20573	20048	1	0.011765
20573	21676	1	0.011765
20573	21082	2	0.023529
20573	21854	10	0.117647
20573	21221	2	0.023529
20573	20333	1	0.011765
20573	20212	1	0.011765
20573	21239	1	0.011765
20573	21116	1	0.011765
20574	20172	1	0.052632
20575	20752	12	0.012848
20575	20161	4	0.004283
20575	21346	8	0.008565
20580	20416	2457	0.938503
20580	20673	4914	1.877005
20580	21346	602	0.229947
20580	20675	2	0.000764
20580	20177	1	0.000382
20580	21641	10	0.003820
20580	21679	2457	0.938503
20580	20752	37	0.014133
20580	20817	2457	0.938503
20580	20339	2457	0.938503
20584	20752	2	0.400000
20585	20752	1	0.040000
20585	21312	1	0.040000
20585	21346	2	0.080000
20585	20197	1	0.040000
20585	20174	1	0.040000
20592	20752	1	0.002857
20592	21673	1	0.002857
20592	21796	2	0.005714
20592	21445	1	0.002857
20593	20752	3	0.036145
20593	21346	5	0.060241
20593	20215	1	0.012048
20594	20373	4	0.051282
20595	21878	45	1.046512
20597	21112	61	0.762500
20597	20265	61	0.762500
20597	21346	63	0.787500
20597	20836	61	0.762500
20597	20752	61	0.762500
20599	20752	2	0.200000
20602	21920	359	1.000000
20602	21761	366	1.019499
20602	20384	10	0.027855
20602	20517	41	0.114206
20602	20678	48	0.133705
20602	20712	358	0.997214
20602	21166	359	1.000000
20602	20752	54	0.150418
20602	20625	6	0.016713
20602	20914	6	0.016713
20602	20180	27	0.075209
20602	21806	21	0.058496
20602	21174	368	1.025070
20602	21784	27	0.075209
20602	21082	8	0.022284
20602	20316	359	1.000000
20602	21151	11	0.030641
20603	21346	1	0.022222
20603	20436	1	0.022222
20604	21898	1555	0.800309
20604	20752	3110	1.600618
20604	21683	1555	0.800309
20604	21332	1555	0.800309
20604	20406	1555	0.800309
20604	21915	1555	0.800309
20605	20408	11	0.029730
20605	20708	1	0.002703
20608	20259	4	0.005362
20608	21223	1	0.001340
20608	20620	1	0.001340
20608	20172	1	0.001340
20608	21806	2	0.002681
20608	20752	14	0.018767
20608	21784	1	0.001340
20608	21082	4	0.005362
20610	20192	38	0.067979
20610	20624	2	0.003578
20610	21346	4	0.007156
20610	20517	2	0.003578
20610	20678	1	0.001789
20610	21255	399	0.713775
20610	21256	1	0.001789
20610	21004	1	0.001789
20610	21676	21	0.037567
20610	21218	2	0.003578
20610	21158	1	0.001789
20610	20752	5473	9.790698
20610	20904	4	0.007156
20610	20626	2	0.003578
20610	21174	6	0.010733
20610	20215	2	0.003578
20610	21784	19	0.033989
20610	21526	2	0.003578
20610	21082	2	0.003578
20610	21829	1	0.001789
20611	20752	412	16.480000
20611	20624	24	0.960000
20611	20215	91	3.640000
20612	20752	1	0.041667
20612	21641	2	0.083333
20612	21784	1	0.041667
20613	20066	534	1.057426
20613	20902	1	0.001980
20613	21346	2	0.003960
20613	20752	24	0.047525
20613	20145	36	0.071287
20613	20184	31	0.061386
20615	21346	166	0.599278
20616	20676	1	1.000000
20617	20752	1	0.083333
20618	20701	1	0.083333
20620	20752	8	0.007067
20620	20610	8	0.007067
20624	20870	56	0.358974
20624	21255	61	0.391026
20624	20752	1954	12.525641
20624	20914	224	1.435897
20624	21587	53	0.339744
20624	20215	66	0.423077
20624	21784	1	0.006410
20625	20192	54	0.165138
20625	21392	1	0.003058
20625	20259	1	0.003058
20625	20678	56	0.171254
20625	20624	2	0.006116
20625	21898	1	0.003058
20625	21519	2	0.006116
20625	20752	4961	15.171254
20625	21459	4	0.012232
20625	20180	159	0.486239
20625	20215	1	0.003058
20626	20752	1659	14.552632
20626	20610	15	0.131579
20626	21459	1	0.008772
20626	21668	110	0.964912
20627	20192	1	0.002012
20627	21388	2	0.004024
20627	21676	1	0.002012
20627	21711	1	0.002012
20627	20752	10	0.020121
20627	21110	3	0.006036
20628	20953	171	2.898305
20628	21346	1	0.016949
20630	21248	2	0.010000
20630	20752	13	0.065000
20630	20610	4	0.020000
20630	21796	4	0.020000
20630	20517	4	0.020000
20630	20678	2	0.010000
20630	21292	5	0.025000
20630	21641	10	0.050000
20630	21676	2	0.010000
20630	21070	4	0.020000
20630	21871	2	0.010000
20630	21072	3	0.015000
20630	20213	2	0.010000
20630	20792	2	0.010000
20630	20089	3	0.015000
20632	21346	2	0.500000
20634	21346	1	0.016667
20637	20192	1	0.001575
20637	20865	1	0.001575
20637	21346	1	0.001575
20637	21444	1	0.001575
20637	20262	1	0.001575
20637	20496	1	0.001575
20637	21641	2	0.003150
20637	20752	8	0.012598
20637	21587	2	0.003150
20637	21556	4	0.006299
20637	21048	6	0.009449
20637	21465	1	0.001575
20638	21587	5	0.016892
20638	20865	1	0.003378
20638	20610	9	0.030405
20638	20100	1	0.003378
20638	20566	4	0.013514
20638	20870	9	0.030405
20638	21895	1	0.003378
20638	21512	3	0.010135
20638	21676	9	0.030405
20638	21209	1	0.003378
20638	21271	1	0.003378
20638	21004	10	0.033784
20638	20752	227	0.766892
20638	20625	7	0.023649
20638	20626	4	0.013514
20638	20654	1	0.003378
20638	20630	2	0.006757
20638	21593	6	0.020270
20638	21784	17	0.057432
20638	21467	3	0.010135
20638	21916	1	0.003378
20638	21534	1	0.003378
20638	20873	2	0.006757
20638	21281	1	0.003378
20638	21666	1	0.003378
20638	20955	1	0.003378
20638	21668	6	0.020270
20638	20517	8	0.027027
20638	21158	1	0.003378
20638	21672	1	0.003378
20638	20906	3	0.010135
20638	21255	4	0.013514
20638	21164	1	0.003378
20638	21806	9	0.030405
20638	20524	1	0.003378
20638	21256	1	0.003378
20638	20914	6	0.020270
20638	21174	9	0.030405
20638	20279	2	0.006757
20638	21641	7	0.023649
20638	21526	1	0.003378
20638	21411	3	0.010135
20638	21054	1	0.003378
20638	21568	1	0.003378
20638	20384	4	0.013514
20638	20803	1	0.003378
20638	21061	3	0.010135
20638	20678	17	0.057432
20638	21831	6	0.020270
20638	21761	3	0.010135
20638	21218	1	0.003378
20638	21070	1	0.003378
20638	21585	1	0.003378
20638	21459	3	0.010135
20638	20180	8	0.027027
20638	20054	1	0.003378
20638	20825	1	0.003378
20638	21082	10	0.033784
20638	21851	1	0.003378
