Src	Trg	LinkCount	RelLinkCount
22528	21986	3	0.005650
22528	22505	2	0.003766
22528	22412	3	0.005650
22528	22125	1	0.001883
22528	22350	1	0.001883
22528	22545	1	0.001883
22528	22868	1	0.001883
22528	22805	1	0.001883
22528	22519	3	0.005650
22528	22042	5	0.009416
22528	22670	11	0.020716
22530	22381	1	0.001852
22533	22664	119	4.958333
22533	22505	2	0.083333
22533	22667	1	0.041667
22533	22125	46	1.916667
22533	22868	3	0.125000
22533	22714	1	0.041667
22535	22042	1	0.000763
22540	22560	1	0.000211
22540	21986	2	0.000421
22540	22470	1	0.000211
22540	22440	1	0.000211
22540	21961	1	0.000211
22540	22519	4	0.000842
22540	22125	2	0.000421
22540	22350	2	0.000421
22540	21935	45	0.009478
22540	22441	1	0.000211
22540	22505	5	0.001053
22540	22042	1	0.000211
22540	22941	1	0.000211
22540	22206	2	0.000421
22540	22143	1	0.000211
22541	22877	3	0.004458
22541	22038	9	0.013373
22542	22564	2	0.005333
22542	22441	8	0.021333
22542	21965	1	0.002667
22542	22382	17	0.045333
22542	22941	3	0.008000
22542	21961	2	0.005333
22542	22168	2	0.005333
22542	22810	8	0.021333
22542	22780	2	0.005333
22542	22650	8	0.021333
22544	22624	1	0.019231
22544	22441	1	0.019231
22545	21986	168	12.000000
22545	21961	1	0.071429
22545	22125	11	0.785714
22545	22800	1	0.071429
22545	22868	2	0.142857
22545	22519	2	0.142857
22545	22553	2	0.142857
22552	22545	3	0.012097
22552	21932	1	0.004032
22552	22085	3	0.012097
22553	22147	12	0.003186
22553	22918	3	0.000796
22553	22412	1	0.000265
22553	22670	1	0.000265
22553	22800	7	0.001858
22553	22674	1	0.000265
22553	22042	18	0.004778
22553	22560	2	0.000531
22553	22820	46	0.012211
22553	22441	11	0.002920
22553	22954	2	0.000531
22553	21937	1	0.000265
22553	21940	1	0.000265
22553	22709	1	0.000265
22553	22714	1	0.000265
22553	22207	1	0.000265
22553	22854	1	0.000265
22553	22217	1	0.000265
22553	22602	5	0.001327
22553	22350	1	0.000265
22553	21967	2	0.000531
22553	22610	1	0.000265
22553	22868	4	0.001062
22553	22744	3	0.000796
22553	22108	2	0.000531
22553	22877	2	0.000531
22553	21986	40	0.010619
22553	22523	1	0.000265
22553	22505	3	0.000796
22553	22890	29	0.007698
22553	22125	11	0.002920
22553	22899	1	0.000265
22553	22004	5	0.001327
22553	22517	1	0.000265
22553	22776	1	0.000265
22553	22779	1	0.000265
22555	22280	3	0.001542
22555	22505	6	0.003083
22555	22602	13	0.006680
22555	22899	2	0.001028
22555	22412	1	0.000514
22555	22269	7	0.003597
22555	22323	34	0.017472
22555	22324	1	0.000514
22555	22071	2	0.001028
22555	22553	1	0.000514
22555	22042	3	0.001542
22555	21980	40	0.020555
22555	22877	2	0.001028
22556	21961	1	0.000881
22556	22055	1	0.000881
22556	22505	2	0.001762
22556	22071	8	0.007048
22556	22125	2	0.001762
22556	22269	22	0.019383
22556	22519	1	0.000881
22556	21980	2	0.001762
22556	22941	2	0.001762
22558	22624	16	0.018935
22558	22726	6	0.007101
22558	22247	835	0.988166
22558	22505	89	0.105325
22558	22350	26	0.030769
22558	22004	1	0.001183
22558	22441	30	0.035503
22558	22042	7	0.008284
22560	22085	3	0.005435
22560	22088	1	0.001812
22560	22505	3	0.005435
22560	22731	1	0.001812
22560	22412	4	0.007246
22560	22125	1088	1.971014
22560	22441	3	0.005435
22560	22553	1	0.001812
22560	22042	581	1.052536
22561	22332	1	0.001477
22564	22441	1	0.005263
22564	22889	1	0.005263
22564	22519	1	0.005263
22564	22350	4	0.021053
22564	22647	3	0.015789
22566	22274	1	0.017241
22566	22885	1	0.017241
22566	22824	1	0.017241
22566	21961	1	0.017241
22566	22519	1	0.017241
22566	22125	3	0.051724
22566	22350	5	0.086207
22566	22674	2	0.034483
22566	22004	1	0.017241
22566	22505	2	0.034483
22568	22890	1	0.050000
22568	22809	1	0.050000
22568	22602	2	0.100000
22568	22325	1	0.050000
22568	22854	3	0.150000
22569	22624	3	0.055556
22569	22824	3	0.055556
22569	22441	1	0.018519
22569	21996	1	0.018519
22569	22125	8	0.148148
22569	22505	1	0.018519
22569	22042	3	0.055556
22576	22505	6	0.001168
22576	22602	5	0.000973
22576	22731	3	0.000584
22576	22553	1	0.000195
22577	22027	602	0.990132
22577	22311	603	0.991776
22580	22505	1	0.002632
22580	22941	1	0.002632
22580	22670	1	0.002632
22582	22854	1	0.011236
22582	21959	97	1.089888
22582	22505	174	1.955056
22582	22858	6	0.067416
22582	22125	95	1.067416
22582	22641	2	0.022472
22582	22873	4	0.044944
22582	22042	7	0.078652
22583	22441	1	0.006803
22583	22125	147	1.000000
22586	22602	1	0.003106
22586	21965	5	0.015528
22586	22638	2	0.006211
22587	21932	510	3.053892
22592	22659	1	0.000885
22592	22027	1	0.000885
22592	22412	3	0.002655
22592	22752	1	0.000885
22592	22670	201	0.177876
22592	22287	1	0.000885
22592	22800	1	0.000885
22592	22545	1	0.000885
22592	22553	3	0.002655
22592	22042	41	0.036283
22592	22811	1	0.000885
22592	22812	2	0.001770
22592	22941	3	0.002655
22592	22558	1	0.000885
22592	22560	1	0.000885
22592	22953	1	0.000885
22592	22820	1	0.000885
22592	22309	1	0.000885
22592	22824	3	0.002655
22592	22441	16	0.014159
22592	22062	1	0.000885
22592	22832	1	0.000885
22592	22065	2	0.001770
22592	21938	755	0.668142
22592	22069	13015	11.517699
22592	22326	1	0.000885
22592	22072	1	0.000885
22592	22201	1	0.000885
22592	22459	21	0.018584
22592	22844	1	0.000885
22592	22078	1	0.000885
22592	22207	33	0.029204
22592	22081	1	0.000885
22592	22082	5	0.004425
22592	22667	1	0.000885
22592	22602	2	0.001770
22592	21965	2	0.001770
22592	22350	929	0.822124
22592	22712	4	0.003540
22592	22868	10	0.008850
22592	22613	4	0.003540
22592	22742	5	0.004425
22592	22692	1	0.000885
22592	22624	2065	1.827434
22592	22544	1	0.000885
22592	21986	4	0.003540
22592	22523	3	0.002655
22592	22885	1	0.000885
22592	22505	141	0.124779
22592	22122	1	0.000885
22592	21996	2	0.001770
22592	22125	4	0.003540
22592	22638	1	0.000885
22592	22384	2	0.001770
22592	22899	1	0.000885
22592	22206	1	0.000885
22592	22519	2	0.001770
22592	22776	1	0.000885
22592	22137	1	0.000885
22592	22010	1	0.000885
22592	22719	1	0.000885
22592	22396	1	0.000885
22592	22269	1	0.000885
22592	22142	1	0.000885
22594	22824	355	1.000000
22595	22553	2	0.022727
22595	22258	1	0.011364
22595	22890	1	0.011364
22596	22208	8	0.005083
22596	22854	2	0.001271
22596	22953	7591	4.822745
22596	22218	4	0.002541
22596	22519	10	0.006353
22596	22412	1516	0.963151
22596	22125	1520	0.965693
22596	22835	2	0.001271
22596	22441	4	0.002541
22596	22042	2	0.001271
22596	22108	12	0.007624
22596	22060	4	0.002541
22599	22664	1	0.004219
22599	22602	20	0.084388
22599	22147	3	0.012658
22599	22125	5	0.021097
22599	21965	1	0.004219
22600	22602	30	1.578947
22601	22505	4	0.001606
22601	22602	9	0.003613
22601	21965	3	0.001204
22602	22914	4	0.000891
22602	22533	2	0.000445
22602	22918	3	0.000668
22602	22024	3	0.000668
22602	22667	3	0.000668
22602	22412	4	0.000891
22602	22670	1	0.000223
22602	22287	1	0.000223
22602	22800	1	0.000223
22602	22674	3	0.000668
22602	22553	5	0.001113
22602	22042	24	0.005344
22602	22560	2	0.000445
22602	22436	1	0.000223
22602	22854	3	0.000668
22602	22441	3	0.000668
22602	22957	1	0.000223
22602	22702	4	0.000891
22602	21937	3	0.000668
22602	22835	1	0.000223
22602	22709	1	0.000223
22602	22664	1	0.000223
22602	22206	2	0.000445
22602	21951	2	0.000445
22602	22624	5	0.001113
22602	22726	3	0.000668
22602	22217	3	0.000668
22602	22731	3	0.000668
22602	21965	15	0.003340
22602	21967	3	0.000668
22602	21968	17	0.003785
22602	22610	3	0.000668
22602	22868	2	0.000445
22602	22108	3	0.000668
22602	22877	6	0.001336
22602	22752	1	0.000223
22602	21986	1	0.000223
22602	22115	1	0.000223
