Src	Trg	LinkCount	RelLinkCount
24576	24097	1	0.001845
24576	24321	1	0.001845
24576	24493	2	0.003690
24576	24370	198	0.365314
24576	23959	1	0.001845
24576	24603	2	0.003690
24577	24493	20	2.500000
24583	24032	1	0.001346
24583	24321	1	0.001346
24583	24842	1	0.001346
24583	24493	1	0.001346
24583	25101	1	0.001346
24583	24112	1	0.001346
24583	24603	2	0.002692
24586	24493	4	0.444444
24587	24096	55	0.654762
24587	24326	1	0.011905
24587	24105	84	1.000000
24587	24842	1	0.011905
24587	24493	125	1.488095
24587	24111	1	0.011905
24587	24112	7	0.083333
24587	23890	1	0.011905
24587	24211	84	1.000000
24587	25039	1	0.011905
24587	24335	1	0.011905
24587	24733	2	0.023810
24588	24112	55	0.298913
24588	24409	181	0.983696
24588	25026	4	0.021739
24588	24493	38	0.206522
24590	24032	1	0.002227
24590	24097	1	0.002227
24590	23959	1	0.002227
24590	25068	1	0.002227
24590	25101	7	0.015590
24590	25134	2	0.004454
24590	24239	767	1.708241
24590	24656	4	0.008909
24590	24535	1	0.002227
24590	24185	1	0.002227
24590	24603	2	0.004454
24590	24573	1	0.002227
24590	24639	1	0.002227
24593	24091	3	0.000787
24593	24097	139	0.036464
24593	24603	218	0.057188
24593	24740	1	0.000262
24593	24389	34716	9.107030
24593	24007	1	0.000262
24593	24556	1	0.000262
24593	23978	2184	0.572928
24593	24475	1	0.000262
24593	24493	2076	0.544596
24593	25101	2	0.000525
24593	24656	2189	0.574239
24593	24032	2	0.000525
24593	23862	1	0.000262
24593	24112	15	0.003935
24593	24090	1	0.000262
24593	24379	145	0.038038
24594	25154	2	0.066667
24595	24097	3	0.001461
24595	24656	1	0.000487
24595	24493	2	0.000974
24595	25134	1	0.000487
24595	25101	4	0.001947
24595	24112	3	0.001461
24595	23923	2	0.000974
24595	24090	1	0.000487
24595	24603	2	0.000974
24595	24221	2145	1.044304
24596	24032	1	0.000343
24596	24097	3	0.001030
24596	24130	6	0.002059
24596	24475	3	0.001030
24596	24233	5824	1.998627
24596	23978	3	0.001030
24596	23959	1	0.000343
24596	24656	4	0.001373
24596	24405	38	0.013040
24596	24041	1	0.000343
24596	24603	5	0.001716
24597	24097	1016	2.680739
24597	23914	254	0.670185
24598	24091	3	0.000817
24598	24097	141	0.038420
24598	24379	147	0.040054
24598	24389	33218	9.051226
24598	23978	2144	0.584196
24598	24556	1	0.000272
24598	24493	2089	0.569210
24598	24656	2149	0.585559
24598	24032	2	0.000545
24598	24112	15	0.004087
24598	24090	1	0.000272
24598	24603	218	0.059401
24599	24032	29	0.016505
24599	24097	363	0.206602
24599	24419	23	0.013090
24599	25124	634	0.360842
24599	24656	82	0.046670
24599	23978	170	0.096756
24599	24493	5	0.002846
24599	24272	1963	1.117245
24599	25024	1	0.000569
24599	24484	113	0.064314
24599	24603	708	0.402960
24600	24097	3	0.005415
24600	24707	4	0.007220
24600	24070	5	0.009025
24600	24535	1	0.001805
