Src	Trg	LinkCount	RelLinkCount
25602	25472	1	0.010526
25602	25856	2	0.021053
25602	25987	3	0.031579
25602	25993	2	0.021053
25602	26000	3	0.031579
25602	25710	2	0.021053
25602	25373	1	0.010526
25602	25246	2	0.021053
25602	25764	1	0.010526
25602	25641	1	0.010526
25602	25906	2	0.021053
25602	25481	2	0.021053
25602	26042	1	0.010526
25602	25661	13	0.136842
25602	25312	1	0.010526
25602	25670	1	0.010526
25602	25160	3	0.031579
25602	25171	1	0.010526
25602	25429	2	0.021053
25602	25562	1	0.010526
25602	25952	2	0.021053
25602	25616	1	0.010526
25602	25958	1	0.010526
25602	25319	1	0.010526
25602	25197	2	0.021053
25602	25454	2	0.021053
25602	25456	1	0.010526
25602	25202	1	0.010526
25602	25331	2	0.021053
25602	25972	2	0.021053
25602	25717	1	0.010526
25602	25210	1	0.010526
25602	25685	1	0.010526
26027	25641	2	0.000129
26027	25988	2	0.000129
26027	25461	1	0.000065
25604	25210	88	0.988764
25605	25988	2	1.000000
25608	25210	6	0.230769
25764	25391	1	0.055556
25764	25330	1	0.055556
25764	25331	3	0.166667
25764	25204	316	17.555556
25764	25751	2	0.111111
25764	25660	2	0.111111
25744	25544	1	0.003165
25744	25644	5	0.015823
25744	25252	308	0.974684
25744	25981	1	0.003165
25614	25472	26	0.033548
25614	25488	4	0.005161
25614	25930	2	0.002581
25614	25661	2	0.002581
25615	25803	1	0.062500
25616	25605	1	0.000460
25616	25224	1	0.000460
25616	25354	1	0.000460
25616	26000	2	0.000920
25616	25746	1	0.000460
25616	25751	1	0.000460
25616	25884	1	0.000460
25616	25245	1	0.000460
25616	25630	1	0.000460
25616	25861	1	0.000460
25616	25633	1	0.000460
25616	25764	1	0.000460
25616	25641	2	0.000920
25616	25774	2	0.000920
25616	25821	1	0.000460
25616	25945	1	0.000460
25616	25246	2	0.000920
25616	25398	1	0.000460
25616	25280	1	0.000460
25616	25544	1	0.000460
25616	25298	4	0.001840
25616	25443	2	0.000920
25616	25177	2	0.000920
25616	25466	2	0.000920
25616	25951	1	0.000460
25616	25952	1	0.000460
25616	25187	1	0.000460
25616	25319	1	0.000460
25616	25704	1	0.000460
25616	25325	1	0.000460
25616	25719	2166	0.996320
25616	25210	2	0.000920
25616	25854	1	0.000460
25688	25472	3	0.038961
25688	25218	1	0.012987
25688	25354	1	0.012987
25688	25751	2	0.025974
25688	25241	2	0.025974
25688	25246	1	0.012987
25688	25634	9	0.116883
25688	25508	1	0.012987
25688	25396	2	0.025974
25688	25398	1	0.012987
25688	25784	1	0.012987
25688	25159	1	0.012987
25688	25544	1	0.012987
25688	25175	1	0.012987
25688	25177	4	0.051948
25688	25821	1	0.012987
25688	25312	1	0.012987
25688	25187	2	0.025974
25688	25210	1	0.012987
25688	25323	1	0.012987
25688	25330	4	0.051948
25688	25331	6	0.077922
25688	25204	40	0.519481
25688	25976	2	0.025974
25688	25466	1	0.012987
25688	25854	1	0.012987
25619	25472	221	0.358185
25619	25488	1	0.001621
25620	26016	63	0.056757
25620	25187	2	0.001802
25620	25572	910	0.819820
25620	25544	3	0.002703
25620	25900	915	0.824324
25620	25424	2	0.001802
25620	25331	1	0.000901
25620	25751	6	0.005405
25620	25821	11	0.009910
25621	25416	3	0.002896
25621	25838	1	0.000965
25621	25981	2	0.001931
25621	25544	3	0.002896
25621	25746	2	0.001931
25621	25331	2	0.001931
25621	25466	2	0.001931
25621	25309	5	0.004826
25621	25246	17	0.016409
25945	25760	2	0.029412
25945	25633	3	0.044118
25945	25987	1	0.014706
25945	25670	2	0.029412
25945	25478	3	0.044118
25945	25323	2	0.029412
25945	25932	1	0.014706
25945	26000	2	0.029412
25945	25435	3	0.044118
25945	25759	2	0.029412
