Src	Trg	LinkCount	RelLinkCount
26625	26161	1	0.002882
26625	26308	1	0.002882
26625	26533	1	0.002882
26625	26630	1	0.002882
26625	26423	1	0.002882
26626	26241	2	0.055556
26628	26241	1699	20.226190
26628	26470	4	0.047619
26628	26474	84	1.000000
26628	26675	84	1.000000
26628	26296	420	5.000000
26628	26493	168	2.000000
26630	26202	1	0.100000
26630	26610	2	0.200000
26631	26328	2	0.010471
26631	26186	2	0.010471
26631	26261	1	0.005236
26631	26591	2	0.010471
26633	26296	21	0.954545
26633	26082	1	0.045455
26633	26324	77	3.500000
26633	26159	1	0.045455
26634	26480	1	0.006173
26634	26553	1	0.006173
26634	26186	6	0.037037
26634	26296	1	0.006173
26634	26717	1	0.006173
26635	26480	1	0.090909
26635	26129	1	0.090909
26636	26202	8	0.296296
26637	26336	634	1.156934
26637	26368	6	0.010949
26637	26496	1	0.001825
26637	26075	1	0.001825
26637	26284	2	0.003650
26637	26159	568	1.036496
26637	26256	1	0.001825
26637	26072	2	0.003650
26637	26258	2	0.003650
26637	26676	634	1.156934
26637	26064	1	0.001825
26637	26296	1	0.001825
26637	26324	681	1.242701
26637	26619	12	0.021898
26637	26173	2	0.003650
26637	26462	2	0.003650
26639	26640	1	0.020408
26639	26181	220	4.489796
26639	26474	49	1.000000
26639	26605	4	0.081633
26639	26382	1	0.020408
26639	26589	2	0.040816
26639	26704	2	0.040816
26639	26642	2	0.040816
26639	26227	3	0.061224
26639	26324	1	0.020408
26639	26296	247	5.040816
26639	26159	1	0.020408
26639	26075	49	1.000000
26639	26460	1	0.020408
26639	26666	1	0.020408
26640	26181	21	0.019535
26640	26214	1	0.000930
26640	26185	1	0.000930
26640	26124	2	0.001860
26640	26605	28	0.026047
26640	26131	2	0.001860
26640	26385	2	0.001860
26640	26227	26	0.024186
26640	26202	1	0.000930
26641	26241	1	0.023810
26641	26498	1	0.023810
26641	26121	1	0.023810
26641	26488	1	0.023810
26641	26129	1	0.023810
26641	26387	2	0.047619
26641	26296	1	0.023810
26641	26105	1	0.023810
26641	26202	86	2.047619
26642	26368	4	0.007353
26642	26241	6	0.011029
26642	26269	546	1.003676
26642	26655	1	0.001838
26642	26272	1088	2.000000
26642	26275	1	0.001838
26642	26159	173	0.318015
26642	26296	3266	6.003676
26642	26169	546	1.003676
26642	26176	548	1.007353
26642	26450	1088	2.000000
26642	26195	548	1.007353
26642	26324	495	0.909926
26642	26197	1088	2.000000
26642	26718	1088	2.000000
26642	26084	546	1.003676
26642	26472	1	0.001838
26642	26474	544	1.000000
26642	26605	1	0.001838
26642	26104	1088	2.000000
26642	26619	3	0.005515
26642	26493	1	0.001838
26643	26066	2	0.111111
26643	26388	1	0.055556
26643	26598	1	0.055556
26644	26368	1	0.083333
26644	26241	410	34.166667
26644	26626	1	0.083333
26644	26470	1	0.083333
26644	26121	1	0.083333
26644	26474	12	1.000000
26644	26296	48	4.000000
26644	26202	1	0.083333
26646	26296	16	4.000000
26646	26474	4	1.000000
26647	26272	42	2.000000
26647	26176	21	1.000000
26647	26084	21	1.000000
26647	26474	21	1.000000
26647	26642	21	1.000000
26647	26159	3	0.142857
26647	26104	42	2.000000
26647	26450	42	2.000000
26647	26195	21	1.000000
26647	26324	21	1.000000
26647	26197	42	2.000000
26647	26296	126	6.000000
26647	26169	21	1.000000
26647	26269	21	1.000000
26647	26718	42	2.000000
26648	26272	54	2.000000
26648	26176	27	1.000000
26648	26084	27	1.000000
26648	26241	2	0.074074
26648	26474	27	1.000000
26648	26642	27	1.000000
26648	26159	5	0.185185
26648	26104	54	2.000000
26648	26450	54	2.000000
26648	26195	27	1.000000
26648	26324	27	1.000000
26648	26197	54	2.000000
26648	26296	162	6.000000
26648	26169	27	1.000000
26648	26269	27	1.000000
26648	26718	54	2.000000
26649	26296	90	3.000000
26649	26432	30	1.000000
26649	26474	30	1.000000
26655	26296	47	2.350000
26655	26474	20	1.000000
26655	26315	12	0.600000
26655	26237	3	0.150000
26655	26075	6	0.300000
26656	26336	1	1.000000
26656	26202	1	1.000000
26656	26636	1	1.000000
26656	26703	1	1.000000
26659	26508	35	0.945946
26659	26359	1	0.027027
26661	26296	44	2.315789
26661	26361	8	0.421053
26661	26474	14	0.736842
26661	26605	69	3.631579
26662	26145	1	0.015873
26664	26186	1	0.027778
26666	26480	616	2.248175
26666	26129	7	0.025547
26666	26589	7	0.025547
26666	26717	4	0.014599
26666	26263	12	0.043796
26668	26241	36	0.004781
26668	26619	7	0.000930
26668	26661	1	0.000133
26668	26214	7	0.000930
26668	26493	8	0.001062
26668	26344	7	0.000930
26668	26474	2	0.000266
26668	26095	1	0.000133
26668	26064	2	0.000266
26668	26129	5	0.000664
26668	26168	12	0.001594
26668	26675	2	0.000266
26668	26324	5041	0.669456
26668	26296	26	0.003453
26668	26105	3	0.000398
26668	26106	1	0.000133
26668	26159	13	0.001726
26668	26589	3	0.000398
26668	26075	1	0.000133
26671	26202	15	0.127119
26671	26087	2	0.016949
26674	26296	12	3.000000
26674	26474	4	1.000000
26674	26075	4	1.000000
26675	26432	1	0.004950
26675	26241	5593	27.688119
26675	26275	2	0.009901
26675	26214	1	0.004950
26675	26474	202	1.000000
26675	26159	13	0.064356
26675	26147	1	0.004950
26675	26296	1010	5.000000
26675	26493	404	2.000000
26675	26175	2	0.009901
26676	26659	1	0.001218
26676	26371	1	0.001218
26676	26494	2	0.002436
26676	26477	2	0.002436
26676	26284	1	0.001218
26676	26122	2	0.002436
26676	26124	2	0.002436
26676	26510	2	0.002436
26676	26511	6	0.007308
26676	26128	1	0.001218
26676	26584	2	0.002436
26676	26131	1	0.001218
26676	26388	4	0.004872
26676	26517	1	0.001218
26676	26646	1	0.001218
26676	26461	2	0.002436
26676	26392	5	0.006090
26676	26266	1	0.001218
26676	26678	2	0.002436
26676	26397	1	0.001218
26676	26270	1	0.001218
26676	26145	2	0.002436
26676	26593	1	0.001218
26676	26532	2	0.002436
26676	26405	1	0.001218
26676	26406	4	0.004872
26676	26153	2	0.002436
26676	26666	1	0.001218
26676	26375	1	0.001218
26676	26668	1	0.001218
26676	26158	3	0.003654
26676	26159	3	0.003654
26676	26568	2	0.002436
26676	26422	1	0.001218
26676	26296	7	0.008526
26676	26297	3	0.003654
26676	26426	3	0.003654
26676	26299	2	0.002436
26676	26173	1	0.001218
26676	26558	1	0.001218
26676	26529	1	0.001218
26676	26560	2	0.002436
26676	26434	1	0.001218
