Src	Trg	LinkCount	RelLinkCount
26721	27106	4	0.142857
26721	27355	2	0.071429
26721	27092	27	0.964286
26722	27306	5	0.089286
26723	27208	3	1.000000
26724	27208	1	0.066667
26724	26915	1	0.066667
26724	26740	6	0.400000
26724	26854	9	0.600000
26726	27296	9	0.004747
26726	26849	1	0.000527
26726	26758	1	0.000527
26726	27178	2	0.001055
26726	27022	1	0.000527
26726	27375	2	0.001055
26726	26835	3	0.001582
26726	26933	4	0.002110
26726	26806	1	0.000527
26726	26939	2	0.001055
26726	27357	1	0.000527
26726	26741	1	0.000527
26728	26996	4	0.001935
26728	27340	4	0.001935
26728	27125	1	0.000484
26728	26831	19143	9.261248
26729	26881	2	0.013423
26729	27078	1	0.006711
26729	26950	1	0.006711
26729	27306	1	0.006711
26729	26892	2	0.013423
26729	26797	3	0.020134
26729	27214	1	0.006711
26729	27022	12	0.080537
26729	26904	1	0.006711
26729	26873	1	0.006711
26729	27165	3	0.020134
26729	27326	1	0.006711
26730	27179	2	0.006645
26730	26881	2	0.006645
26730	26831	2	0.006645
26730	26933	4	0.013289
26730	26967	18	0.059801
26731	26741	10	5.000000
26732	27078	1	0.001376
26732	27143	3	0.004127
26732	26856	8	0.011004
26732	26729	2	0.002751
26732	27306	2	0.002751
26732	26892	347	0.477304
26732	26957	6	0.008253
26732	27087	4	0.005502
26732	26806	297	0.408528
26734	27008	23	0.017774
26734	26881	27	0.020866
26734	27143	1	0.000773
26734	27400	1	0.000773
26734	26892	2	0.001546
26734	26894	8	0.006182
26734	27151	8	0.006182
26734	27156	1	0.000773
26734	27034	2	0.001546
26734	27375	2	0.001546
26734	27167	1	0.000773
26734	26772	1	0.000773
26734	26915	5	0.003864
26734	27035	1	0.000773
26734	27046	3	0.002318
26734	26793	1737	1.342349
26734	27306	1	0.000773
26734	27185	2	0.001546
26734	26933	3	0.002318
26734	26806	1	0.000773
26734	26808	1	0.000773
26734	27067	1	0.000773
26734	27068	3	0.002318
26734	27198	1	0.000773
26734	27327	2	0.001546
26734	27334	17	0.013138
26734	26825	2	0.001546
26734	27214	1	0.000773
26734	26959	42	0.032457
26734	27092	2	0.001546
26734	27022	3	0.002318
26734	27119	1	0.000773
26734	27097	1	0.000773
26734	27098	68	0.052550
26734	27087	1	0.000773
26734	27229	1	0.000773
26734	27392	1	0.000773
26734	27103	1	0.000773
26734	26851	1	0.000773
26734	26726	1	0.000773
26734	26854	2	0.001546
26734	27367	1	0.000773
26734	26940	1	0.000773
26734	27370	1	0.000773
26734	26860	1	0.000773
26734	27245	1	0.000773
26734	26991	2	0.001546
26734	27124	1	0.000773
26734	27390	1	0.000773
26734	26873	24	0.018547
26734	27260	3	0.002318
26734	27006	1	0.000773
26735	26915	1	0.058824
26735	27365	2	0.117647
26735	26860	1	0.058824
26735	27375	1	0.058824
26735	27249	7	0.411765
26735	27092	1	0.058824
26735	27165	5	0.294118
26736	26851	5	0.035714
26737	26944	35	0.086634
26737	27034	3	0.007426
26737	27179	3	0.007426
26737	26941	3	0.007426
26739	26913	1141	13.267442
26739	27306	1	0.011628
26739	27134	1	0.011628
26739	27334	1	0.011628
26741	26881	22	0.015363
26741	26758	1	0.000698
26741	26894	3	0.002095
26741	27279	2	0.001397
26741	26899	3	0.002095
