Src	Trg	LinkCount	RelLinkCount
28674	28344	1	0.001088
28674	28113	2	0.002176
28674	27950	1	0.001088
28676	28416	6	0.000819
28676	27875	52	0.007100
28676	28453	3	0.000410
28676	29062	2	0.000273
28676	28327	2	0.000273
28676	28456	6224	0.849809
28676	28106	8	0.001092
28676	28811	4	0.000546
28676	27950	419	0.057209
28676	27899	2	0.000273
28676	28392	541	0.073867
28676	28835	2	0.000273
28676	28084	5	0.000683
28676	28341	6223	0.849672
28676	28919	4	0.000546
28676	28095	1	0.000137
28676	28029	33	0.004506
28676	28991	1	0.000137
28677	27899	17	0.944444
28678	27624	6	1.200000
28678	28655	3	0.600000
28679	28902	46	0.028607
28679	28035	59	0.036692
28679	28935	59	0.036692
28679	28815	46	0.028607
28679	27920	46	0.028607
28679	28051	59	0.036692
28679	28185	59	0.036692
28679	27419	46	0.028607
28679	28316	59	0.036692
28679	28957	46	0.028607
28679	27679	1142	0.710199
28679	27696	59	0.036692
28679	28325	59	0.036692
28679	28710	7328	4.557214
28679	28711	59	0.036692
28679	29044	46	0.028607
28679	28330	46	0.028607
28679	28848	46	0.028607
28679	27695	46	0.028607
28679	27824	59	0.036692
28679	27697	59	0.036692
28679	29104	46	0.028607
28679	27636	59	0.036692
28679	28091	46	0.028607
28679	28262	2	0.001244
28679	27839	46	0.028607
28679	27456	59	0.036692
28679	27588	59	0.036692
28679	27848	46	0.028607
28679	29136	46	0.028607
28679	28625	59	0.036692
28679	28884	59	0.036692
28679	29014	59	0.036692
28679	28633	46	0.028607
28679	28096	46	0.028607
28679	28641	59	0.036692
28679	28002	61	0.037935
28679	29027	59	0.036692
28679	27558	46	0.028607
28679	27750	46	0.028607
28679	28903	59	0.036692
28679	28525	46	0.028607
28679	28531	46	0.028607
28679	27764	59	0.036692
28679	27515	46	0.028607
28681	28192	2	0.002688
28681	28480	1	0.001344
28681	28739	3	0.004032
28681	27899	1	0.001344
28681	28106	2	0.002688
28681	28496	2	0.002688
28681	27707	1	0.001344
28681	28659	1	0.001344
28681	28918	7	0.009409
28681	28859	1	0.001344
28681	28029	1	0.001344
28683	28161	1	0.000186
28683	27652	1	0.000186
28683	28591	1	0.000186
28683	27654	1	0.000186
28683	27517	1	0.000186
28683	27656	1	0.000186
28683	29015	1	0.000186
28683	28172	1	0.000186
28683	28689	2	0.000372
28683	28690	4	0.000744
28683	27667	6	0.001116
28683	28078	1	0.000186
28683	27672	1	0.000186
28683	28698	19	0.003536
28683	28079	4	0.000744
28683	28701	1	0.000186
28683	27452	1	0.000186
28683	28194	1	0.000186
28683	28251	6	0.001116
28683	28558	1	0.000186
28683	27687	1	0.000186
28683	28200	3	0.000558
28683	28201	1	0.000186
28683	28202	1	0.000186
28683	27655	1	0.000186
28683	28209	1	0.000186
28683	28725	6	0.001116
28683	27702	1	0.000186
28683	28733	2	0.000372
28683	28085	1	0.000186
28683	28224	3	0.000558
28683	28225	1	0.000186
28683	28226	2	0.000372
28683	28739	1	0.000186
28683	28231	1	0.000186
28683	27720	1	0.000186
28683	28745	1	0.000186
28683	28234	1	0.000186
28683	27725	1	0.000186
28683	28751	4	0.000744
28683	27729	7	0.001303
28683	28242	1	0.000186
28683	27732	1	0.000186
28683	28759	1	0.000186
28683	28506	4	0.000744
28683	28762	14	0.002605
28683	28763	1	0.000186
28683	27740	1	0.000186
28683	27741	1	0.000186
28683	27743	1	0.000186
28683	28769	1	0.000186
28683	28260	1	0.000186
28683	28263	1	0.000186
28683	28777	1	0.000186
28683	27755	1	0.000186
28683	29096	1	0.000186
28683	28781	1	0.000186
28683	27758	2	0.000372
28683	27762	1	0.000186
28683	28275	2	0.000372
28683	27582	2	0.000372
28683	28790	1	0.000186
28683	27531	1	0.000186
28683	28280	1	0.000186
28683	27773	1	0.000186
