Src	Trg	LinkCount	RelLinkCount
29165	30088	2	0.051282
29165	30048	5	0.128205
29167	30048	4	0.102564
29167	30217	18	0.461538
29169	30048	38	2.000000
29170	30048	3	0.025210
29170	30147	1	0.008403
29170	30181	1	0.008403
29170	30393	9	0.075630
29170	31066	1	0.008403
29170	29342	2	0.016807
29171	30721	4	0.000680
29171	30725	4	0.000680
29171	30726	1	0.000170
29171	30728	4	0.000680
29171	30737	4	0.000680
29171	30738	4	0.000680
29171	30747	4	0.000680
29171	30754	4	0.000680
29171	30762	2	0.000340
29171	30763	4	0.000680
29171	30765	1	0.000170
29171	30775	4	0.000680
29171	30776	1	0.000170
29171	30777	4	0.000680
29171	30782	1	0.000170
29171	30789	4	0.000680
29171	30790	4	0.000680
29171	30791	6	0.001021
29171	30799	4	0.000680
29171	30800	4	0.000680
29171	30801	4	0.000680
29171	30803	4	0.000680
29171	30804	4	0.000680
29171	30805	4	0.000680
29171	30807	3	0.000510
29171	30808	4	0.000680
29171	30811	11	0.001871
29171	30814	5	0.000850
29171	30815	4	0.000680
29171	30816	4	0.000680
29171	30817	64	0.010886
29171	30818	1	0.000170
29171	30820	4	0.000680
29171	30822	4	0.000680
29171	30824	4	0.000680
29171	30828	3	0.000510
29171	30830	4	0.000680
29171	30833	4	0.000680
29171	30837	4	0.000680
29171	30839	4	0.000680
29171	30841	4	0.000680
29171	30844	1	0.000170
29171	30845	1	0.000170
29171	30846	4	0.000680
29171	30850	4	0.000680
29171	30852	4	0.000680
29171	30854	4	0.000680
29171	30855	4	0.000680
29171	30861	4	0.000680
29171	30862	4	0.000680
29171	30863	4	0.000680
29171	30866	4	0.000680
29171	30868	4	0.000680
29171	30869	4	0.000680
29171	30870	4	0.000680
29171	30876	4	0.000680
29171	30879	4	0.000680
29171	30881	4	0.000680
29171	30884	4	0.000680
29171	30885	4	0.000680
29171	30893	4	0.000680
29171	30894	4	0.000680
29171	30899	1	0.000170
29171	30905	4	0.000680
29171	30910	1	0.000170
29171	30911	11	0.001871
29171	30915	4	0.000680
29171	30916	4	0.000680
29171	30918	4	0.000680
29171	30919	4	0.000680
29171	30922	4	0.000680
29171	30923	4	0.000680
29171	30924	1	0.000170
29171	30925	1	0.000170
29171	30926	4	0.000680
29171	30927	4	0.000680
29171	30931	4	0.000680
29171	30932	4	0.000680
29171	30933	4	0.000680
29171	30940	4	0.000680
29171	30942	4	0.000680
29171	30943	4	0.000680
29171	30948	4	0.000680
29171	30949	4	0.000680
29171	30950	4	0.000680
29171	30952	3	0.000510
29171	30954	4	0.000680
29171	30959	4	0.000680
29171	30960	5	0.000850
29171	30961	4	0.000680
29171	30968	1	0.000170
29171	30971	7	0.001191
29171	30977	4	0.000680
29171	30978	4	0.000680
29171	30984	4	0.000680
29171	30985	4	0.000680
29171	30988	4	0.000680
29171	30994	4	0.000680
29171	30997	4	0.000680
29171	30998	4	0.000680
29171	30999	4	0.000680
29171	31000	1	0.000170
29171	31002	1	0.000170
29171	31003	2	0.000340
29171	31004	4	0.000680
29171	31005	4	0.000680
29171	31006	74	0.012587
29171	31009	1	0.000170
29171	31012	4	0.000680
29171	31015	4	0.000680
29171	31016	4	0.000680
29171	31020	4	0.000680
29171	31021	4	0.000680
29171	31023	1	0.000170
29171	31026	1	0.000170
29171	31038	6	0.001021
29171	31042	4	0.000680
29171	31044	1	0.000170
29171	31049	4	0.000680
29171	31050	4	0.000680
29171	31052	4	0.000680
29171	31058	4	0.000680
29171	31067	4	0.000680
29171	31068	4	0.000680
29171	31070	4	0.000680
29171	31071	4	0.000680
29171	31072	4	0.000680
29171	31074	4	0.000680
29171	31076	4	0.000680
29171	31077	4	0.000680
29171	31078	4	0.000680
29171	31079	4	0.000680
29171	31081	4	0.000680
29171	31087	4	0.000680
29171	31090	1	0.000170
29171	31093	4	0.000680
29171	31095	4	0.000680
29171	31096	2	0.000340
29171	31097	4	0.000680
29171	31098	4	0.000680
29171	31099	4	0.000680
29171	31101	4	0.000680
29171	31104	4	0.000680
29171	31106	1	0.000170
29171	31119	4	0.000680
29171	31123	4	0.000680
29171	31124	4	0.000680
29171	31126	8	0.001361
29171	31127	4	0.000680
29171	31135	4	0.000680
29171	31141	4	0.000680
29171	31148	4	0.000680
29171	31150	3	0.000510
29171	31151	4	0.000680
29171	31153	4	0.000680
29171	31156	4	0.000680
29171	31158	4	0.000680
29171	29169	4	0.000680
29171	29170	4	0.000680
29171	29172	4	0.000680
29171	29173	4	0.000680
29171	29175	4	0.000680
29171	29176	4	0.000680
29171	29182	4	0.000680
29171	29186	4	0.000680
29171	29189	4	0.000680
29171	29191	3	0.000510
29171	29193	4	0.000680
29171	29199	1	0.000170
29171	29201	4	0.000680
29171	29203	4	0.000680
29171	29204	4	0.000680
29171	29205	4	0.000680
29171	29218	4	0.000680
29171	29219	7	0.001191
29171	29221	4	0.000680
29171	29223	4	0.000680
29171	29229	4	0.000680
29171	29231	1	0.000170
29171	29233	4	0.000680
29171	29235	1	0.000170
29171	29238	4	0.000680
29171	29240	1	0.000170
29171	29241	4	0.000680
29171	29244	67	0.011396
29171	29246	4	0.000680
29171	29247	1	0.000170
29171	29257	4	0.000680
29171	29258	9	0.001531
29171	29259	4	0.000680
29171	29260	51	0.008675
29171	29269	4	0.000680
29171	29271	4	0.000680
29171	29272	4	0.000680
29171	29273	4	0.000680
29171	29278	4	0.000680
29171	29283	4	0.000680
29171	29285	4	0.000680
29171	29289	4	0.000680
29171	29293	4	0.000680
29171	29294	4	0.000680
29171	29295	4	0.000680
29171	29297	4	0.000680
29171	29298	4	0.000680
29171	29302	4	0.000680
29171	29309	4	0.000680
29171	29310	2	0.000340
29171	29314	4	0.000680
29171	29316	4	0.000680
29171	29319	4	0.000680
29171	29322	4	0.000680
29171	29324	4	0.000680
29171	29326	4	0.000680
29171	29328	4	0.000680
29171	29330	4	0.000680
29171	29332	4	0.000680
29171	29336	4	0.000680
29171	29337	4	0.000680
29171	29341	4	0.000680
29171	29342	1	0.000170
29171	29343	4	0.000680
29171	29350	4	0.000680
29171	29351	4	0.000680
29171	29352	4	0.000680
29171	29353	4	0.000680
29171	29357	4	0.000680
29171	29358	4	0.000680
29171	29359	4	0.000680
29171	29361	4	0.000680
29171	29363	4	0.000680
29171	29364	1	0.000170
29171	29370	8	0.001361
29171	29371	4	0.000680
29171	29375	4	0.000680
29171	29376	4	0.000680
29171	29379	4	0.000680
29171	29380	4	0.000680
29171	29387	4	0.000680
29171	29392	14	0.002381
29171	29393	4	0.000680
29171	29401	4	0.000680
29171	29406	4	0.000680
29171	29408	4	0.000680
29171	29409	4	0.000680
29171	29412	4	0.000680
29171	29413	4	0.000680
29171	29415	4	0.000680
29171	29417	3	0.000510
29171	29418	4	0.000680
29171	29419	1	0.000170
29171	29422	4	0.000680
29171	29424	4	0.000680
29171	29432	4	0.000680
29171	29435	4	0.000680
29171	29436	4	0.000680
29171	29438	4	0.000680
29171	29444	4	0.000680
29171	29445	4	0.000680
29171	29446	4	0.000680
29171	29448	4	0.000680
29171	29449	1	0.000170
29171	29450	4	0.000680
29171	29452	1	0.000170
29171	29455	4	0.000680
29171	29456	4	0.000680
29171	29460	4	0.000680
29171	29461	4	0.000680
29171	29465	4	0.000680
29171	29471	10	0.001701
29171	29479	4	0.000680
29171	29480	4	0.000680
29171	29486	4	0.000680
29171	29490	4	0.000680
29171	29491	4	0.000680
29171	29494	4	0.000680
29171	29495	4	0.000680
29171	29498	4	0.000680
29171	29503	4	0.000680
29171	29505	4	0.000680
29171	29506	4	0.000680
29171	29508	4	0.000680
29171	29511	4	0.000680
29171	29512	4	0.000680
29171	29516	4	0.000680
29171	29520	3	0.000510
29171	29524	4	0.000680
29171	29527	1	0.000170
29171	29529	4	0.000680
29171	29531	4	0.000680
29171	29536	4	0.000680
29171	29543	4	0.000680
29171	29544	12	0.002041
29171	29545	4	0.000680
29171	29550	4	0.000680
29171	29552	4	0.000680
29171	29554	4	0.000680
29171	29558	3	0.000510
29171	29559	4	0.000680
29171	29561	4	0.000680
29171	29563	75	0.012757
29171	29567	4	0.000680
29171	29568	4	0.000680
29171	29580	4	0.000680
29171	29583	4	0.000680
29171	29584	35	0.005953
29171	29585	1	0.000170
29171	29587	4	0.000680
29171	29589	4	0.000680
29171	29591	4	0.000680
29171	29592	4	0.000680
29171	29596	4	0.000680
29171	29597	4	0.000680
29171	29600	4	0.000680
29171	29601	1	0.000170
29171	29605	4	0.000680
29171	29608	4	0.000680
29171	29612	6	0.001021
29171	29614	1	0.000170
29171	29615	4	0.000680
29171	29622	1	0.000170
29171	29623	1	0.000170
29171	29627	4	0.000680
29171	29629	88	0.014969
29171	29630	4	0.000680
29171	29634	4	0.000680
29171	29637	1	0.000170
29171	29638	4	0.000680
29171	29640	4	0.000680
29171	29645	1	0.000170
29171	29646	3	0.000510
29171	29649	4	0.000680
29171	29651	4	0.000680
29171	29654	4	0.000680
29171	29655	4	0.000680
29171	29656	4	0.000680
29171	29657	4	0.000680
29171	29658	4	0.000680
29171	29670	4	0.000680
29171	29673	4	0.000680
29171	29674	4	0.000680
29171	29675	4	0.000680
29171	29676	3	0.000510
29171	29677	4	0.000680
29171	29680	4	0.000680
29171	29692	8	0.001361
29171	29700	4	0.000680
29171	29702	4	0.000680
29171	29704	8	0.001361
29171	29705	4	0.000680
29171	29707	1	0.000170
29171	29709	4	0.000680
29171	29714	4	0.000680
29171	29716	4	0.000680
29171	29719	129	0.021943
29171	29722	4	0.000680
29171	29723	4	0.000680
29171	29725	1	0.000170
29171	29731	4	0.000680
29171	29732	29	0.004933
29171	29733	4	0.000680
29171	29738	4	0.000680
