Src	Trg	LinkCount	RelLinkCount
32768	31776	5	0.008333
32768	31844	4	0.006667
32768	32261	3	0.005000
32768	32519	1	0.001667
32768	32651	6	0.010000
32768	32471	3	0.005000
32768	32690	3	0.005000
32768	32278	1	0.001667
32768	32599	8	0.013333
32768	32696	66	0.110000
32768	31802	3	0.005000
32768	32219	1	0.001667
32770	32848	4	0.021053
32773	31844	1	0.001209
32773	32965	2	0.002418
32773	32936	2	0.002418
32773	32431	1	0.001209
32773	32048	1	0.001209
32773	31737	1	0.001209
32773	31295	1	0.001209
32774	31649	1	0.002740
32774	33074	2	0.005479
32774	31179	3	0.008219
32774	32270	1	0.002740
32776	32160	1	0.005848
32776	31844	1	0.005848
32776	32149	1	0.005848
32776	32447	1	0.005848
32778	32524	148	2.508475
32779	32896	34	1.000000
32779	32960	1	0.029412
32779	32266	1	0.029412
32779	32647	34	1.000000
32779	32520	1	0.029412
32779	32522	1	0.029412
32779	32791	34	1.000000
32779	32770	1	0.029412
32779	32145	34	1.000000
32779	31508	1	0.029412
32779	32149	43	1.264706
32779	31882	1	0.029412
32779	32601	34	1.000000
32779	32664	34	1.000000
32779	32922	1	0.029412
32779	32239	1	0.029412
32779	31813	34	1.000000
32779	31648	34	1.000000
32779	31778	1	0.029412
32779	31524	39	1.147059
32779	32424	34	1.000000
32779	32848	1	0.029412
32779	31276	1	0.029412
32779	32302	1	0.029412
32779	31537	34	1.000000
32779	31538	1	0.029412
32779	32182	1	0.029412
32779	32695	1	0.029412
32779	31545	1	0.029412
32779	32698	39	1.147059
32779	32927	34	1.000000
32779	31805	34	1.000000
32779	32830	1	0.029412
32779	32319	1	0.029412
32779	31424	34	1.000000
32779	32160	1	0.029412
32779	31555	34	1.000000
32779	32452	1	0.029412
32779	32837	36	1.058824
32779	32198	44	1.294118
32779	31662	1	0.029412
32779	31820	34	1.000000
32779	31488	1	0.029412
32779	31819	34	1.000000
32779	32204	34	1.000000
32779	32845	34	1.000000
32779	31406	1	0.029412
32779	31825	1	0.029412
32779	32339	1	0.029412
32779	32084	1	0.029412
32779	32469	38	1.117647
32779	32726	1	0.029412
32779	31575	34	1.000000
32779	32676	34	1.000000
32779	32218	34	1.000000
32779	32475	34	1.000000
32779	31196	34	1.000000
32779	31710	34	1.000000
32779	32863	34	1.000000
32779	32993	1	0.029412
32779	31459	1	0.029412
32779	31462	34	1.000000
32779	31633	2	0.058824
32779	31208	1	0.029412
32779	32636	34	1.000000
32779	32746	1	0.029412
32779	31854	1	0.029412
32779	32637	1	0.029412
32779	32243	34	1.000000
32779	31486	1	0.029412
32779	31990	1	0.029412
32779	32247	34	1.000000
32779	31995	2	0.058824
32779	32764	34	1.000000
32779	31466	2	0.058824
32779	32254	34	1.000000
