Src	Trg	LinkCount	RelLinkCount
33280	33176	636	0.832461
33280	33290	636	0.832461
33280	33533	636	0.832461
33282	33176	3	0.007282
33282	33245	4	0.009709
33284	33245	1	0.002037
33284	33294	6	0.012220
33285	33383	1	0.020000
33285	33545	4	0.080000
33285	33579	1	0.020000
33285	33548	1	0.020000
33285	33359	1	0.020000
33285	33648	1	0.020000
33285	33628	1	0.020000
33286	33452	2	0.076923
33286	33581	1	0.038462
33286	33534	1	0.038462
33286	33679	1	0.038462
33287	33176	3	0.069767
33288	33216	1	0.001808
33288	33176	1	0.001808
33288	33237	358	0.647378
33288	33534	1	0.001808
33288	33581	1	0.001808
33290	33488	2	0.001727
33290	33675	3	0.002591
33290	33526	1	0.000864
33290	33545	1156	0.998273
33290	33163	1	0.000864
33290	33452	2	0.001727
33290	33294	1	0.000864
33290	33679	1	0.000864
33290	33168	2	0.001727
33290	33406	1	0.000864
33290	33142	21	0.018135
33290	33176	4	0.003454
33290	33407	1	0.000864
33290	33245	1	0.000864
33290	33534	3	0.002591
33290	33301	1	0.000864
33291	33534	2	0.057143
33292	33168	3	0.040541
33292	33648	3	0.040541
33292	33545	2	0.027027
33292	33163	4	0.054054
33292	33136	3	0.040541
33292	33176	3	0.040541
33292	33534	3	0.040541
33294	33376	2	0.080000
33294	33251	2	0.080000
33294	33290	1	0.040000
33294	33655	2	0.080000
33294	33452	1	0.040000
33294	33679	1	0.040000
33294	33681	1	0.040000
33294	33273	2	0.080000
33294	33529	1	0.040000
33294	33534	1	0.040000
33295	33506	1	0.055556
33297	33203	353	3.966292
33297	33452	1	0.011236
33298	33288	5	0.003320
33298	33545	2	0.001328
33298	33675	2	0.001328
33298	33168	1	0.000664
33298	33688	23	0.015272
33298	33176	3	0.001992
33298	33310	2	0.001328
33298	33136	11	0.007304
33298	33189	2	0.001328
33298	33447	1	0.000664
33298	33339	1	0.000664
33298	33163	3	0.001992
33298	33604	2	0.001328
33298	33488	8	0.005312
33298	33247	2	0.001328
33298	33506	3	0.001992
33298	33251	2	0.001328
33298	33253	2	0.001328
33298	33126	2	0.001328
33298	33133	1	0.000664
33298	33648	4	0.002656
33298	33530	2	0.001328
33298	33534	3	0.001992
33300	33168	1	0.035714
33301	33545	2	0.003643
33301	33675	907	1.652095
33301	33679	1	0.001821
33301	33168	4	0.007286
33301	33427	1	0.001821
33301	33173	1	0.001821
33301	33176	2	0.003643
33301	33314	5	0.009107
33301	33573	2	0.003643
33301	33323	1	0.001821
33301	33452	12	0.021858
33301	33325	1	0.001821
33301	33456	34	0.061931
33301	33351	1	0.001821
33301	33488	1	0.001821
33301	33273	1	0.001821
33301	33245	1	0.001821
33301	33251	4	0.007286
33301	33581	4	0.007286
33301	33515	1	0.001821
33301	33134	5	0.009107
33301	33139	2	0.003643
33301	33534	1	0.001821
33301	33142	1	0.001821
33301	33529	2	0.003643
33301	33406	2	0.003643
33302	33675	1	0.009901
33302	33581	7	0.069307
33302	33374	7718	76.415842
33303	33506	29	1.000000
33304	33620	1	0.076923
