Src	Trg	LinkCount	RelLinkCount
34816	33786	105	21.000000
34816	33925	3	0.600000
34816	34637	30	6.000000
34817	33866	6	0.006515
34817	33755	3	0.003257
34817	33818	2	0.002172
34817	34303	3	0.003257
34818	33866	6	0.008208
34818	33903	2	0.002736
34818	34034	2	0.002736
34818	34745	2	0.002736
34818	33755	2	0.002736
34818	33916	2	0.002736
34818	34430	2	0.002736
34820	34440	2	0.008658
34820	34011	2	0.008658
34820	34540	8	0.034632
34820	34061	2	0.008658
34820	33854	2	0.008658
34822	33866	1	0.003448
34825	33824	1	0.002778
34825	34816	1	0.002778
34825	34405	1	0.002778
34825	34375	2	0.005556
34825	34440	1	0.002778
34825	33867	3	0.008333
34825	34444	1	0.002778
34825	34509	3	0.008333
34825	34414	3	0.008333
34825	34776	1	0.002778
34825	33906	5	0.013889
34825	33877	3	0.008333
34825	34263	8	0.022222
34825	34488	13	0.036111
34825	34073	1	0.002778
34825	34011	6	0.016667
34825	34303	2	0.005556
34826	34691	6	0.003188
34826	34440	4	0.002125
34826	34748	2	0.001063
34826	33866	6	0.003188
34826	33854	2	0.001063
34826	34929	2	0.001063
34826	34611	8	0.004251
34826	33844	2	0.001063
34826	34718	2	0.001063
34826	34745	2	0.001063
34826	34170	2	0.001063
34826	33755	2	0.001063
34826	33916	2	0.001063
34826	34430	2	0.001063
34827	34816	3	0.007519
34827	33824	6	0.015038
34827	33925	681	1.706767
34827	34727	1	0.002506
34827	34440	3	0.007519
34827	34977	3	0.007519
34827	34122	1214	3.042607
34827	34444	3	0.007519
34827	34192	6	0.015038
34827	34488	1	0.002506
34827	34090	7	0.017544
34827	33854	1591	3.987469
34828	34816	2	0.002890
34828	33866	1320	1.907514
34828	34678	1	0.001445
34830	34816	19	0.013533
34830	33824	2	0.001425
34830	34405	1	0.000712
34830	34375	8	0.005698
34830	34440	8	0.005698
34830	34122	8	0.005698
34830	34637	1	0.000712
34830	33904	26	0.018519
34830	33845	1	0.000712
34830	33977	1	0.000712
34830	34011	3	0.002137
34830	33877	1	0.000712
34833	34567	2	0.002821
34833	34056	1	0.001410
34833	34583	1	0.001410
34833	34071	1	0.001410
34833	34712	1	0.001410
34833	34976	1	0.001410
34833	34209	1	0.001410
34833	34852	1	0.001410
34833	34597	1	0.001410
34833	34801	1	0.001410
34833	34473	2	0.002821
34833	34090	1	0.001410
34833	34859	1	0.001410
34833	34611	31	0.043724
34833	33845	1	0.001410
34833	34399	1	0.001410
