Src	Trg	LinkCount	RelLinkCount
35330	35096	8	0.045714
35330	35304	2	0.011429
35330	35322	1	0.005714
35331	35304	223	0.653959
35334	35346	1	0.040000
35336	35119	2	0.005587
35341	35322	1	0.023256
35342	35304	18	0.230769
35342	35040	2	0.025641
35342	35346	2	0.025641
35342	35074	4	0.051282
35342	35318	3	0.038462
35344	35232	2	0.181818
35344	35200	1	0.090909
35344	35042	1	0.090909
35344	35147	1	0.090909
35344	35022	1	0.090909
35344	35193	13	1.181818
35344	35322	6	0.545455
35344	35036	1	0.090909
35344	35069	1	0.090909
35346	35232	2	0.004396
35346	35042	1	0.002198
35346	35304	1	0.002198
35346	35209	2	0.004396
35346	35308	33	0.072527
35346	35022	2	0.004396
35346	35055	2	0.004396
35346	35058	1	0.002198
35346	35318	44	0.096703
35346	35322	4	0.008791
35346	35355	1	0.002198
35346	35102	1	0.002198
35352	35232	1	0.024390
35352	35209	1	0.024390
35352	35071	1	0.024390
35352	35309	1	0.024390
35352	35119	1	0.024390
35354	35088	42	0.385321
35354	35322	1	0.009174
35354	35308	1	0.009174
35355	35232	2	0.004651
35355	35304	4	0.009302
35355	35028	2	0.004651
35355	35193	4	0.009302
35355	35322	1	0.002326
35355	35066	2	0.004651
35356	35232	1	0.012346
35356	35304	1	0.012346
35356	35036	2	0.024691
35356	35055	2	0.024691
35356	35129	4	0.049383
35356	35193	3	0.037037
35356	35260	4	0.049383
35359	35304	6	0.181818
35359	35257	1	0.030303
35359	35285	1	0.030303
35361	35042	4	0.004561
35361	35304	8	0.009122
35361	35209	93	0.106043
35361	35147	621	0.708096
35361	35308	719	0.819840
35361	35181	2	0.002281
35361	35320	7	0.007982
35361	35318	10	0.011403
35361	35096	618	0.704675
35361	35322	617	0.703535
35361	35035	1	0.001140
35361	35036	6	0.006842
35361	35102	20	0.022805
35364	35079	1	0.002786
35364	35209	6	0.016713
35364	35091	1	0.002786
35364	35096	1	0.002786
35364	35355	1	0.002786
35364	35102	3	0.008357
35364	35232	1	0.002786
35364	35110	1	0.002786
35364	35111	1	0.002786
35364	35247	1	0.002786
35364	35123	1	0.002786
35364	35256	1	0.002786
35364	35260	4	0.011142
35364	35016	1	0.002786
35364	35017	1	0.002786
35364	35022	3	0.008357
35364	35028	5	0.013928
35364	35285	1	0.002786
35364	35035	3	0.008357
35364	35036	11	0.030641
35364	35040	1	0.002786
35364	35304	3	0.008357
35364	35309	1	0.002786
35364	35055	2	0.005571
35364	35048	1	0.002786
35364	35318	1	0.002786
35364	35320	4	0.011142
35364	35322	2	0.005571
35364	35071	1	0.002786
35369	35232	1	0.007634
35369	35304	4	0.030534
35369	35322	1	0.007634
35369	35247	1	0.007634
35373	35304	1	0.038462
35001	35304	6	0.062500
35001	35110	12	0.125000
35001	35119	4	0.041667
35003	35304	9	0.047872
35003	35217	1	0.005319
35003	35322	1	0.005319
35003	35088	1	0.005319
35005	35232	2173	1.423052
35005	35013	7	0.004584
35005	35079	10982	7.191880
35005	35209	1	0.000655
35005	35028	1078	0.705959
35005	35318	2	0.001310
35005	35036	6	0.003929
35006	35304	3	0.272727
35007	35308	2	0.125000
35007	35356	2	0.125000
35007	35318	3	0.187500
35007	35028	1	0.062500
35013	35232	3	0.011321
35013	35079	4	0.015094
35013	35217	1	0.003774
35013	35318	6	0.022642
35013	35320	2	0.007547
35013	35322	1	0.003774
35013	35260	1	0.003774
35013	35005	4	0.015094
35013	35096	1	0.003774
35015	35304	4	1.333333
35017	35304	3	0.032967
35017	35193	1	0.010989
35021	35304	2	0.090909
35022	35042	3	0.002273
35022	35207	28	0.021212
35022	35304	5	0.003788
35022	35177	1	0.000758
35022	35071	4	0.003030
35022	35119	3	0.002273
35022	35064	1	0.000758
35022	35058	3	0.002273
35022	35028	2	0.001515
35022	35317	259	0.196212
35022	35320	2	0.001515
35022	35193	117	0.088636
35022	35322	62	0.046970
35022	35355	3	0.002273
35022	35036	2	0.001515
35022	35102	1	0.000758
35022	35029	1	0.000758
35025	35304	1	0.022222
35025	35193	1	0.022222
35025	35042	1	0.022222
35025	35355	1	0.022222
35025	35322	4	0.088889
35026	35297	9	2.250000
35026	35036	1	0.250000
35026	35350	1	0.250000
35028	35330	1	0.000157
35028	35338	2	0.000313
35028	35343	2	0.000313
35028	35344	20	0.003130
35028	35346	1	0.000157
35028	35352	1	0.000157
35028	35354	1	0.000157
35028	35355	8	0.001252
35028	35356	770	0.120520
35028	35361	2	0.000313
35028	35364	868	0.135859
35028	35001	148	0.023165
35028	35004	8	0.001252
35028	35005	7	0.001096
35028	35013	1	0.000157
35028	35016	3	0.000470
35028	35020	1	0.000157
35028	35021	2	0.000313
35028	35022	156	0.024417
35028	35034	4	0.000626
35028	35035	1055	0.165128
35028	35036	7834	1.226170
35028	35040	31	0.004852
35028	35041	1	0.000157
35028	35042	12	0.001878
35028	35052	10	0.001565
35028	35055	333	0.052121
35028	35058	8	0.001252
35028	35060	3	0.000470
35028	35061	4	0.000626
35028	35062	4	0.000626
35028	35064	1	0.000157
35028	35065	3	0.000470
35028	35066	1	0.000157
35028	35068	2	0.000313
35028	35069	11	0.001722
35028	35071	41	0.006417
35028	35072	4	0.000626
35028	35074	1	0.000157
35028	35077	3	0.000470
35028	35079	5	0.000783
35028	35085	2	0.000313
35028	35089	2	0.000313
35028	35090	2	0.000313
35028	35091	15	0.002348
35028	35096	2566	0.401628
35028	35097	6	0.000939
35028	35101	1	0.000157
35028	35102	13372	2.092972
35028	35106	2	0.000313
35028	35109	2	0.000313
35028	35110	21	0.003287
35028	35111	40	0.006261
35028	35112	1	0.000157
35028	35117	1	0.000157
35028	35119	967	0.151354
35028	35129	122	0.019095
35028	35132	2	0.000313
35028	35133	2	0.000313
35028	35147	55	0.008609
35028	35149	1	0.000157
35028	35150	8	0.001252
35028	35156	2	0.000313
35028	35158	5	0.000783
35028	35176	2	0.000313
35028	35177	16	0.002504
35028	35182	1	0.000157
35028	35186	3	0.000470
35028	35193	249	0.038973
35028	35207	3	0.000470
35028	35209	467	0.073094
35028	35217	140	0.021913
35028	35226	149	0.023321
35028	35232	83	0.012991
35028	35246	1	0.000157
35028	35248	1	0.000157
35028	35256	13	0.002035
35028	35257	3	0.000470
35028	35258	290	0.045391
35028	35260	57	0.008922
35028	35269	2	0.000313
35028	35285	4	0.000626
35028	35292	1	0.000157
35028	35304	101284	15.852872
35028	35308	81	0.012678
35028	35309	192	0.030052
35028	35317	1	0.000157
35028	35318	2216	0.346846
35028	35320	369	0.057756
35028	35322	131	0.020504
35029	35232	1	0.004292
35029	35304	1	0.004292
35029	35022	1	0.004292
35032	35040	4	0.137931
35032	35232	8	0.275862
35032	35042	12	0.413793
35032	35022	10	0.344828
35032	35087	4	0.137931
35032	35317	3	0.103448
35032	35193	29	1.000000
35032	35322	14	0.482759
35032	35355	8	0.275862
35032	35069	6	0.206897
35035	35072	2	0.002548
35035	35074	1	0.001274
35035	35077	1	0.001274
35035	35207	2	0.002548
35035	35209	125	0.159236
35035	35330	1	0.001274
35035	35352	1	0.001274
35035	35090	1	0.001274
35035	35096	23	0.029299
35035	35097	6	0.007643
35035	35355	1	0.001274
35035	35101	1	0.001274
35035	35232	25	0.031847
35035	35364	18	0.022930
35035	35109	2	0.002548
35035	35110	1	0.001274
35035	35112	1	0.001274
35035	35292	1	0.001274
35035	35079	4	0.005096
35035	35117	1	0.001274
35035	35246	1	0.001274
35035	35119	13	0.016561
35035	35257	1	0.001274
35035	35258	1	0.001274
35035	35005	7	0.008917
35035	35317	1	0.001274
35035	35013	1	0.001274
35035	35016	1	0.001274
35035	35147	23	0.029299
35035	35022	2	0.002548
35035	35064	1	0.001274
35035	35028	1721	2.192357
35035	35158	1	0.001274
35035	35193	4	0.005096
35035	35034	2	0.002548
35035	35036	5	0.006369
35035	35066	1	0.001274
35035	35040	23	0.029299
35035	35042	3	0.003822
35035	35089	1	0.001274
35035	35304	2	0.002548
35035	35308	2	0.002548
35035	35055	2	0.002548
35035	35058	3	0.003822
35035	35061	3	0.003822
35035	35062	1	0.001274
35035	35320	117	0.149045
35035	35065	1	0.001274
35035	35322	92	0.117197
35035	35068	2	0.002548
35035	35069	3	0.003822
35035	35071	4	0.005096
35036	35209	5	0.004177
35036	35344	1	0.000835
35036	35217	1	0.000835
35036	35096	1	0.000835
35036	35226	1	0.000835
35036	35356	1	0.000835
35036	35101	1	0.000835
35036	35102	12	0.010025
35036	35232	17	0.014202
35036	35364	444	0.370927
35036	35111	1	0.000835
35036	35119	5	0.004177
35036	35256	1	0.000835
35036	35129	1	0.000835
35036	35258	3	0.002506
35036	35260	18	0.015038
35036	35062	1	0.000835
35036	35147	2	0.001671
35036	35150	1	0.000835
35036	35156	1	0.000835
35036	35001	1	0.000835
35036	35035	5	0.004177
35036	35176	1	0.000835
35036	35177	1	0.000835
35036	35308	42	0.035088
35036	35309	2	0.001671
35036	35055	3	0.002506
35036	35304	177	0.147870
35036	35052	1	0.000835
35036	35318	13	0.010860
35036	35028	60	0.050125
35036	35322	24	0.020050
35036	35193	1	0.000835
35040	35232	1	0.000528
35040	35334	2	0.001057
35040	35304	3	0.001585
35040	35308	1	0.000528
35040	35022	10	0.005283
35040	35119	4	0.002113
35040	35028	1	0.000528
35040	35193	16	0.008452
35040	35257	4	0.002113
35041	35304	1	0.015152
35041	35209	27	0.409091
35041	35322	1	0.015152
35041	35036	55	0.833333
35041	35119	1	0.015152
35047	35336	2	0.033898
35047	35315	3	0.050847
35048	35304	24	0.240000
35048	35193	2	0.020000
35051	35180	18	0.206897
35051	35020	19	0.218391
35051	35036	18	0.206897
35051	35308	4	0.045977
35051	35217	2	0.022989
35052	35322	1	0.008621
35052	35035	2	0.017241
35052	35028	347	2.991379
35052	35150	3	0.025862
35052	35119	1	0.008621
35054	35304	3	0.157895
35055	35260	2	0.060606
35055	35028	34	1.030303
35055	35102	2	0.060606
35055	35111	1	0.030303
35057	35304	2	0.011494
35057	35001	2	0.011494
35058	35193	2	0.004228
35060	35336	5	0.001101
35060	35193	1	0.000220
35062	35304	547	0.810370
35062	35036	1	0.001481
35062	35022	3	0.004444
35063	35271	5	0.208333
35064	35304	233	1.021930
35064	35318	3	0.013158
35065	35193	1	0.009346
35065	35322	5	0.046729
35066	35036	1	0.004505
35066	35355	1	0.004505
35066	35308	2	0.009009
35066	35028	1	0.004505
35066	35119	3	0.013514
