Src	Trg	LinkCount	RelLinkCount
35376	35523	1	0.002421
35376	35398	1	0.002421
35376	35850	1	0.002421
35376	35851	1	0.002421
35376	35727	2	0.004843
35376	35408	1	0.002421
35376	35569	1	0.002421
35378	35587	1	0.004587
35378	35922	1	0.004587
35378	35461	1	0.004587
35378	35718	1	0.004587
35378	35847	1	0.004587
35378	35848	1	0.004587
35378	35466	1	0.004587
35378	35851	1	0.004587
35378	35641	1	0.004587
35378	35469	1	0.004587
35378	35726	1	0.004587
35378	35599	1	0.004587
35378	35729	1	0.004587
35378	35477	1	0.004587
35378	35862	1	0.004587
35378	35863	1	0.004587
35378	35736	1	0.004587
35378	35994	1	0.004587
35378	35995	1	0.004587
35378	35870	1	0.004587
35378	35999	1	0.004587
35378	36001	1	0.004587
35378	35874	1	0.004587
35378	35803	1	0.004587
35378	35621	1	0.004587
35378	35622	3	0.013761
35378	35855	1	0.004587
35378	35591	1	0.004587
35378	35478	1	0.004587
35378	36013	1	0.004587
35378	35504	1	0.004587
35378	35380	1	0.004587
35378	36023	1	0.004587
35378	35768	1	0.004587
35378	36025	1	0.004587
35378	35514	1	0.004587
35378	35950	2	0.009174
35378	35772	5	0.022936
35378	35647	1	0.004587
35378	35907	1	0.004587
35378	35396	1	0.004587
35378	35605	1	0.004587
35378	35784	1	0.004587
35378	35785	1	0.004587
35378	35403	1	0.004587
35378	36044	1	0.004587
35378	35533	8	0.036697
35378	36047	2	0.009174
35378	35794	1	0.004587
35378	36051	1	0.004587
35378	35412	1	0.004587
35378	35982	1	0.004587
35378	35490	1	0.004587
35378	35416	1	0.004587
35378	35791	1	0.004587
35378	35578	1	0.004587
35378	36045	1	0.004587
35378	35684	1	0.004587
35378	35941	1	0.004587
35378	35558	1	0.004587
35378	35687	1	0.004587
35378	35816	1	0.004587
35378	36028	1	0.004587
35378	35946	1	0.004587
35378	35693	1	0.004587
35378	35694	1	0.004587
35378	35709	1	0.004587
35378	35952	1	0.004587
35378	35570	1	0.004587
35378	35444	1	0.004587
35378	35445	1	0.004587
35378	35574	1	0.004587
35378	35636	1	0.004587
35378	35924	1	0.004587
35378	35834	1	0.004587
35378	35835	1	0.004587
35378	35837	13	0.059633
35378	35454	1	0.004587
35378	36053	1	0.004587
35379	35950	3	0.600000
35380	35618	1	0.010000
35380	35970	1	0.010000
35380	35950	1	0.010000
35380	36047	1	0.010000
35380	35824	1	0.010000
35380	35569	1	0.010000
35380	35635	1	0.010000
35380	35477	2	0.020000
35383	35731	1	0.027027
35383	35900	1	0.027027
35383	35893	2	0.054054
35383	35847	3	0.081081
35384	35569	1	0.050000
35384	35618	1	0.050000
35384	35469	1	0.050000
35386	35569	3	0.002377
35386	36047	4	0.003170
35386	35725	1009	0.799525
35386	35581	1009	0.799525
35389	35589	24	0.960000
35389	35626	24	0.960000
35389	35632	234	9.360000
35389	35540	8	0.320000
35389	35897	18	0.720000
35389	35451	24	0.960000
35389	35402	24	0.960000
35390	36003	1	0.008547
35392	35950	9	0.042857
35398	35548	22	1.000000
35399	35731	3	0.010067
35399	35781	1	0.003356
35399	35950	6	0.020134
35399	35767	3	0.010067
35401	35944	1	0.111111
35402	35648	1	0.019231
35402	35536	1	0.019231
35402	35779	1	0.019231
35402	35589	51	0.980769
35402	35847	1	0.019231
35402	35626	51	0.980769
35402	36039	1	0.019231
35402	35950	31	0.596154
35402	35727	1	0.019231
35402	35632	2	0.038462
35402	35540	51	0.980769
35402	35989	1	0.019231
35402	35897	51	0.980769
35403	35408	37	1.000000
35403	35881	1	0.027027
35403	35970	3	0.081081
35403	36047	36	0.972973
35407	35569	1551	5.019417
35407	35618	3	0.009709
35407	35398	3	0.009709
35408	35847	3	0.004231
35408	35979	1	0.001410
35408	35598	1	0.001410
35408	35727	2	0.002821
35408	35742	1	0.001410
35408	35747	1	0.001410
35408	35750	1	0.001410
35408	35894	1	0.001410
35408	36024	1	0.001410
35408	35899	1	0.001410
35408	35648	14	0.019746
35408	36039	1	0.001410
35408	36047	16	0.022567
35408	35536	12	0.016925
35408	35537	1	0.001410
35408	35795	1	0.001410
35408	35676	1	0.001410
35408	35939	1	0.001410
35408	35878	1	0.001410
35408	35950	2	0.002821
35408	35698	1	0.001410
35408	35581	1	0.001410
35409	35443	2	0.200000
35410	35897	2	1.000000
35410	35468	2	1.000000
35412	35408	6	1.500000
35414	36003	109	0.990909
35415	35755	1	0.013514
35415	36044	1	0.013514
35416	35760	4	0.008368
35416	35970	4	0.008368
35416	35939	52	0.108787
35416	35398	24	0.050209
35416	35399	4	0.008368
35416	35660	1	0.002092
35416	35850	8	0.016736
35416	35564	4	0.008368
35416	35950	136	0.284519
35416	36047	20	0.041841
35416	35408	9	0.018828
35416	35601	4	0.008368
35416	35922	4	0.008368
35416	35764	4	0.008368
35416	35893	4	0.008368
35416	35864	4	0.008368
35416	35775	8	0.016736
35417	35792	1	0.000894
35417	35564	5	0.004472
35417	36013	6	0.005367
35417	35536	5	0.004472
35417	35408	1	0.000894
35417	35900	3	0.002683
35420	36003	1	0.002558
35420	35910	392	1.002558
35423	35618	1	0.001560
35423	35651	1	0.001560
35423	35398	3	0.004680
35423	35772	1	0.001560
35423	35628	3	0.004680
35423	35725	2	0.003120
35423	35569	2	0.003120
35423	35669	2	0.003120
35423	35452	2	0.003120
35423	35581	6	0.009360
35423	35861	2	0.003120
35424	35618	15	0.272727
35424	35628	16	0.290909
35424	35581	16	0.290909
35428	35647	1	0.071429
35431	35772	3	0.002477
35431	35637	1	0.000826
35431	35799	1	0.000826
35433	36003	82	0.987952
35433	35669	1	0.012048
35434	35737	1	0.111111
35435	35408	1	0.010309
35435	36041	1	0.010309
35435	35950	1	0.010309
35438	36001	3	0.048387
35438	35651	3	0.048387
35440	35950	2	0.066667
35441	35608	1	0.062500
35444	35970	2	0.024691
35444	35683	1	0.012346
35444	35716	2	0.024691
35444	35559	1	0.012346
35444	35760	1	0.012346
35444	35707	1	0.012346
35444	35548	1	0.012346
35447	35611	24	1.000000
35447	36045	24	1.000000
35451	35760	6	0.240000
35451	35589	23	0.920000
35451	35687	33	1.320000
35451	35626	23	0.920000
35451	35468	1	0.040000
35451	35950	2	0.080000
35451	35389	23	0.920000
35451	35632	219	8.760000
35451	35508	2	0.080000
35451	35540	23	0.920000
35451	35477	2	0.080000
35451	35897	26	1.040000
35451	35402	23	0.920000
35451	35909	1	0.040000
35452	35651	5	0.119048
35452	35772	147	3.500000
35452	35942	1	0.023810
35452	35974	50	1.190476
35452	36047	84	2.000000
35453	35603	2	0.125000
35453	36003	7	0.437500
35453	35697	2	0.125000
35453	35628	2	0.125000
35453	35633	1	0.062500
35453	35766	1	0.062500
35453	36026	2	0.125000
35453	35900	1	0.062500
35453	35518	2	0.125000
35453	35401	1	0.062500
35453	35530	1	0.062500
35453	35920	2	0.125000
35453	36049	1	0.062500
35453	35798	2	0.125000
35453	36056	2	0.125000
35453	35408	1	0.062500
35453	35665	1	0.062500
35453	35944	6	0.375000
35453	35644	1	0.062500
35453	35562	2	0.125000
35453	35432	2	0.125000
35453	35955	1	0.062500
35453	35828	2	0.125000
35453	35706	2	0.125000
35455	35847	1	0.016949
35455	35897	2	0.033898
35455	36047	4	0.067797
35455	35950	19	0.322034
35455	35399	2	0.033898
35461	35760	1	0.011765
35461	35408	1	0.011765
35461	35970	8	0.094118
35463	35944	1	0.002833
35463	35432	1	0.002833
35463	35772	2	0.005666
35466	35408	6	1.500000
35466	36047	3	0.750000
35467	35408	9	0.001803
35467	36047	3	0.000601
35467	35893	9	0.001803
35467	35847	22	0.004407
35468	35626	16	2.285714
35474	36003	7	0.777778
35475	35608	1	0.001447
35475	35569	2	0.002894
35476	35706	10	0.033670
35476	35900	1	0.003367
35476	35775	2	0.006734
35477	35632	1	0.005952
35477	35798	1	0.005952
35477	35837	1	0.005952
35477	35950	186	1.107143
35478	35894	4	1.000000
35479	35546	1	0.014925
35479	35743	2	0.029851
35479	36047	1	0.014925
35481	36003	53	0.963636
35482	35900	64	1.163636
35485	35608	2	0.020619
35485	35893	141	1.453608
35485	35950	3	0.030928
35485	35847	90	0.927835
35486	35770	1	0.055556
35486	35508	2	0.111111
35490	35660	1	0.009901
35490	35847	1	0.009901
35492	36000	3	0.014423
35492	35617	3	0.014423
35492	36003	242	1.163462
35492	35588	3	0.014423
35492	35976	3	0.014423
35492	35388	3	0.014423
35492	35850	3	0.014423
35492	35496	3	0.014423
35492	35407	3	0.014423
35492	35793	3	0.014423
35492	36018	3	0.014423
35492	35395	3	0.014423
35492	35477	4	0.019231
35492	36029	3	0.014423
35492	35708	3	0.014423
35492	35741	3	0.014423
35492	35519	3	0.014423
35496	35850	783	0.850163
35496	36003	783	0.850163
35496	35772	3923	4.259501
35501	35969	2	0.002837
35501	35651	2	0.002837
35501	35847	4	0.005674
35501	35772	8	0.011348
35501	35725	2	0.002837
35501	35569	16	0.022695
35501	35890	1	0.001418
35501	35669	1	0.001418
35501	35767	4	0.005674
35501	35897	1	0.001418
35501	35601	2	0.002837
35502	35424	1	0.004237
35502	35879	1	0.004237
35502	35628	1	0.004237
35502	35442	1	0.004237
35502	35772	3	0.012712
35502	35581	1	0.004237
35504	35408	5	0.051546
35504	35625	2	0.020619
35504	35555	2	0.020619
35504	35477	6	0.061856
35504	36047	2	0.020619
35509	35468	38	0.368932
35509	35626	135	1.310680
35509	35564	2	0.019417
35509	35402	1	0.009709
35510	36047	1	0.055556
35511	35731	2	0.012121
35511	35772	1	0.006061
35512	35944	1	0.333333
35514	35681	2	0.100000
35514	35565	2	0.100000
35514	35922	12	0.600000
35514	35635	1	0.050000
35514	35771	2	0.100000
35514	35644	2	0.100000
35519	35880	2	0.200000
35520	35900	1	0.055556
35522	35558	1	0.052632
35522	35518	3	0.157895
35523	35802	2	0.086957
35523	35950	2	0.086957
35523	35750	1	0.043478
35523	35727	1	0.043478
35524	35669	27	1.038462
35525	35850	1	0.111111
35527	35532	304	1.013333
35527	35997	1	0.003333
35528	35589	21	1.000000
35528	35389	21	1.000000
35528	35626	21	1.000000
35528	35471	20	0.952381
35528	35632	231	11.000000
35528	35540	21	1.000000
35528	35897	21	1.000000
35528	35451	21	1.000000
35528	35402	21	1.000000
35529	35445	19	1.055556
35531	35569	2	0.200000
35531	36027	1	0.100000
35531	35581	1	0.100000
35532	35651	2	0.006667
35532	35527	2	0.006667
35532	35950	5	0.016667
35532	35601	2	0.006667
35532	35475	1	0.003333
35532	35962	2	0.006667
35533	35802	1	0.004695
35533	35564	2	0.009390
35533	35989	17	0.079812
35533	35950	2	0.009390
35533	35423	1	0.004695
35535	35785	7	0.007625
35535	35997	16	0.017429
35535	35999	7	0.007625
35536	35847	1	0.200000
35537	35408	1	0.012195
35537	36031	83	1.012195
35537	35900	2	0.024390
35537	35879	83	1.012195
35538	35408	2	0.038462
35538	35477	2	0.038462
35539	35468	7	1.000000
35539	36047	14	2.000000
35540	35632	8	4.000000
35540	35402	4	2.000000
35540	35626	2	1.000000
35543	35777	1	0.011236
35543	35970	1	0.011236
35543	35687	89	1.000000
35543	35593	2	0.022472
35543	35837	1	0.011236
35543	35980	7	0.078652
35543	36047	10	0.112360
35543	35760	2	0.022472
35543	35569	1	0.011236
35543	35869	1	0.011236
35545	35794	7	0.001116
35545	35840	7	0.001116
35545	35587	7	0.001116
35545	35478	7	0.001116
35545	35718	7	0.001116
35545	35847	14	0.002232
35545	35848	7	0.001116
35545	35952	7	0.001116
35545	35466	7	0.001116
35545	36016	7	0.001116
35545	35469	14	0.002232
35545	35726	7	0.001116
35545	35471	25212	4.020411
35545	35729	14	0.002232
35545	35605	7	0.001116
35545	35862	14	0.002232
35545	35863	7	0.001116
35545	35736	7	0.001116
35545	35995	7	0.001116
35545	35870	7	0.001116
35545	35999	7	0.001116
35545	36001	7	0.001116
35545	35490	7	0.001116
35545	35803	14	0.002232
35545	35621	7	0.001116
35545	35791	14	0.002232
35545	35445	7	0.001116
35545	35855	14	0.002232
35545	35591	7	0.001116
35545	35966	7	0.001116
35545	35504	7	0.001116
35545	36013	7	0.001116
35545	35636	14	0.002232
35545	35767	5099	0.813108
35545	35641	7	0.001116
35545	35514	7	0.001116
35545	35772	1	0.000159
35545	35647	7	0.001116
35545	35570	7	0.001116
35545	35396	7	0.001116
35545	35694	7	0.001116
35545	35784	7	0.001116
35545	35785	7	0.001116
35545	35403	7	0.001116
35545	36044	7	0.001116
35545	35874	7	0.001116
35545	36047	9	0.001435
35545	35922	14	0.002232
35545	36051	7	0.001116
35545	35924	7	0.001116
35545	35982	7	0.001116
35545	35416	14	0.002232
35545	35599	7	0.001116
35545	35578	7	0.001116
35545	35941	7	0.001116
35545	35558	7	0.001116
35545	35687	2	0.000319
35545	35944	9	0.001435
35545	36028	7	0.001116
35545	35946	7	0.001116
35545	35693	7	0.001116
35545	35950	1745	0.278265
35545	35380	7	0.001116
35545	35461	7	0.001116
35545	35816	7	0.001116
35545	36045	7	0.001116
35545	35444	14	0.002232
35545	36023	14	0.002232
35545	35574	14	0.002232
35545	35538	7	0.001116
35545	35834	7	0.001116
35545	35835	7	0.001116
35545	35709	14	0.002232
35545	35454	7	0.001116
35545	36053	7	0.001116
35546	35618	1	0.040000
35546	35398	1	0.040000
35546	35850	1	0.040000
35546	35725	1	0.040000
35546	35569	1	0.040000
35546	35734	2	0.080000
35546	35479	3	0.120000
35547	35863	15	1.500000
35548	35398	600	1.081081
35548	35399	3	0.005405
35548	35772	2	0.003604
35548	35725	602	1.084685
35548	35950	6	0.010811
35548	36047	2	0.003604
35548	35569	588	1.059459
35548	35669	628	1.131532
35548	35767	2	0.003604
35548	35897	4	0.007207
35548	35407	9	0.016216
35548	35900	2	0.003604
35548	35615	1	0.001802
35550	35669	1	0.038462
35552	35922	2	0.002577
35552	35714	4	0.005155
35555	35408	4	0.026144
35555	35651	2	0.013072
35555	35908	5	0.032680
