Src	Trg	LinkCount	RelLinkCount
36065	36131	2	0.000804
36065	36490	4	0.001607
36065	36236	3	0.001205
36065	36336	2	0.000804
36065	36223	2254	0.905585
36065	36351	3	0.001205
36066	36344	1	1.000000
36067	36327	44	2.750000
36067	36308	12	0.750000
36067	36087	48	3.000000
36068	36522	2	0.001386
36068	36308	1288	0.892585
36068	36327	14	0.009702
36071	36327	56	2.800000
36071	36308	5	0.250000
36071	36087	60	3.000000
36072	36097	1	0.001761
36072	36228	2	0.003521
36072	36104	11	0.019366
36072	36362	4	0.007042
36072	36364	3	0.005282
36072	36121	1	0.001761
36072	36386	4	0.007042
36072	36262	3	0.005282
36072	36394	2	0.003521
36072	36267	2	0.003521
36072	36140	6	0.010563
36072	36232	1	0.001761
36072	36211	4	0.007042
36072	36156	1	0.001761
36072	36159	1	0.001761
36072	36163	1	0.001761
36072	36171	2110	3.714789
36072	36173	1	0.001761
36072	36302	5	0.008803
36072	36308	7	0.012324
36072	36069	559	0.984155
36072	36199	1	0.001761
36072	36327	1	0.001761
36072	36083	8	0.014085
36072	36342	5	0.008803
36072	36344	1	0.001761
36072	36473	2	0.003521
36072	36476	1	0.001761
36072	36522	3	0.005282
36072	36223	1	0.001761
36073	36232	1	0.025000
36073	36267	1	0.025000
36073	36308	234	5.850000
36073	36087	120	3.000000
36075	36480	1	0.000439
36075	36225	1	0.000439
36075	36098	1	0.000439
36075	36099	1	0.000439
36075	36228	2	0.000878
36075	36485	2	0.000878
36075	36358	4	0.001757
36075	36488	4	0.001757
36075	36233	2	0.000878
36075	36482	1	0.000439
36075	36494	1	0.000439
36075	36112	897	0.393939
36075	36371	1	0.000439
36075	36375	4	0.001757
36075	36121	10	0.004392
36075	36126	36	0.015810
36075	36384	1	0.000439
36075	36513	4	0.001757
36075	36386	3	0.001318
36075	36486	2	0.000878
36075	36264	1	0.000439
36075	36522	2	0.000878
36075	36269	6	0.002635
36075	36526	1	0.000439
36075	36128	1	0.000439
36075	36145	1	0.000439
36075	36403	2	0.000878
36075	36276	5	0.002196
36075	36277	4	0.001757
36075	36406	1	0.000439
36075	36151	4	0.001757
36075	36159	1	0.000439
36075	36417	4	0.001757
36075	36163	1	0.000439
36075	36166	2	0.000878
36075	36129	1	0.000439
36075	36168	4	0.001757
36075	36170	1	0.000439
36075	36489	1	0.000439
36075	36450	2	0.000878
36075	36174	2	0.000878
36075	36432	1	0.000439
36075	36433	4	0.001757
36075	36419	1	0.000439
36075	36435	2	0.000878
36075	36308	1000	0.439174
36075	36368	1	0.000439
36075	36446	1	0.000439
36075	36191	1	0.000439
36075	36320	5	0.002196
36075	36321	2	0.000878
36075	36194	4	0.001757
36075	36067	1	0.000439
36075	36377	1	0.000439
36075	36326	1824	0.801054
36075	36083	1	0.000439
36075	36483	1	0.000439
36075	36205	1	0.000439
36075	36334	3	0.001318
36075	36080	2	0.000878
36075	36209	4	0.001757
36075	36210	1	0.000439
36075	36211	3	0.001318
36075	36531	1	0.000439
36075	36214	2	0.000878
36075	36087	4	0.001757
36075	36216	2	0.000878
36075	36218	1	0.000439
36075	36287	1	0.000439
36075	36266	2	0.000878
36075	36223	2	0.000878
36077	36156	1	1.000000
36077	36308	3	3.000000
36078	36336	2	0.018692
36078	36403	3	0.028037
36078	36308	625	5.841121
36078	36406	2	0.018692
36078	36087	323	3.018692
36078	36089	1	0.009346
36078	36159	2	0.018692
36080	36352	1	0.001443
36080	36199	1	0.001443
36080	36548	6	0.008658
36080	36453	221	0.318903
36080	36326	10	0.014430
36080	36135	4	0.005772
36080	36328	1	0.001443
36080	36522	1	0.001443
36080	36231	2	0.002886
36080	36173	1	0.001443
36080	36174	244	0.352092
36080	36112	1	0.001443
36080	36232	1	0.001443
36080	36308	48	0.069264
36080	36334	2	0.002886
36080	36150	1	0.001443
36080	36302	3	0.004329
36080	36473	1	0.001443
36080	36186	1	0.001443
36080	36349	1	0.001443
36080	36309	5	0.007215
36081	36099	151	2.960784
36081	36104	1	0.019608
36081	36308	1	0.019608
36081	36087	204	4.000000
36081	36089	1	0.019608
36081	36415	7	0.137255
36082	36099	2	0.001936
36082	36486	2	0.001936
36082	36112	2	0.001936
36082	36121	31	0.030010
36082	36250	2	0.001936
36082	36126	62	0.060019
36082	36386	1	0.000968
36082	36517	6	0.005808
36082	36522	2	0.001936
36082	36268	11	0.010649
36082	36269	1	0.000968
36082	36529	2	0.001936
36082	36411	1877	1.817038
36082	36285	1	0.000968
36082	36290	1	0.000968
36082	36292	2	0.001936
36082	36302	1	0.000968
36082	36307	1889	1.828654
36082	36308	1093	1.058083
36082	36182	760	0.735721
36082	36326	1	0.000968
36082	36327	12	0.011617
36082	36083	7	0.006776
36082	36087	82	0.079380
36082	36089	7	0.006776
36083	36480	1	0.008197
36083	36097	1	0.008197
36083	36486	2	0.016393
36083	36327	2	0.016393
36083	36171	1	0.008197
36083	36364	1	0.008197
36083	36141	1	0.008197
36083	36302	2	0.016393
36083	36529	358	2.934426
36083	36308	484	3.967213
36083	36342	3	0.024590
36083	36087	366	3.000000
36083	36344	1	0.008197
36083	36468	238	1.950820
36083	36121	1	0.008197
36085	36327	60	3.000000
36085	36228	60	3.000000
36085	36262	120	6.000000
36085	36087	140	7.000000
36086	36327	9	3.000000
36086	36228	9	3.000000
36086	36262	21	7.000000
36086	36087	21	7.000000
36087	36352	27	0.012340
36087	36355	71	0.032450
36087	36358	5	0.002285
36087	36362	4	0.001828
36087	36363	5	0.002285
36087	36364	2	0.000914
36087	36371	2	0.000914
36087	36375	6	0.002742
36087	36376	1	0.000457
36087	36377	1	0.000457
36087	36386	3	0.001371
36087	36388	1	0.000457
36087	36389	1	0.000457
36087	36392	2	0.000914
36087	36394	1	0.000457
36087	36395	11	0.005027
36087	36398	1	0.000457
36087	36399	3	0.001371
36087	36402	1	0.000457
36087	36403	154	0.070384
36087	36406	1920	0.877514
36087	36411	2	0.000914
36087	36414	1	0.000457
36087	36415	970	0.443327
36087	36417	4	0.001828
36087	36419	205	0.093693
36087	36425	1	0.000457
36087	36429	2	0.000914
36087	36433	7	0.003199
36087	36435	16	0.007313
36087	36449	153	0.069927
36087	36450	7	0.003199
36087	36451	7	0.003199
36087	36453	10	0.004570
36087	36455	8	0.003656
36087	36456	95	0.043419
36087	36458	18	0.008227
36087	36462	1	0.000457
36087	36463	157	0.071755
36087	36464	178	0.081353
36087	36465	9	0.004113
36087	36466	1	0.000457
36087	36468	1	0.000457
36087	36473	1	0.000457
36087	36474	70	0.031993
36087	36475	1	0.000457
36087	36476	8	0.003656
36087	36477	123	0.056216
36087	36480	1	0.000457
36087	36482	1	0.000457
36087	36483	1	0.000457
36087	36485	3	0.001371
36087	36486	83	0.037934
36087	36488	5	0.002285
36087	36489	78	0.035649
36087	36490	2	0.000914
36087	36491	1	0.000457
36087	36492	58	0.026508
