Src	Trg	LinkCount	RelLinkCount
36864	36771	1	0.006849
36864	36585	1	0.006849
36864	36618	1	0.006849
36864	36589	1	0.006849
36864	37294	97	0.664384
36864	36751	2	0.013699
36864	37041	1	0.006849
36864	36818	8	0.054795
36864	37251	1	0.006849
36864	37081	19	0.130137
36864	36826	1	0.006849
36864	37178	1	0.006849
36865	36940	33	3.000000
36865	36751	5	0.454545
36866	36770	1	0.043478
36866	36967	3	0.130435
36866	36940	70	3.043478
36866	36751	1	0.043478
36866	36826	4	0.173913
36866	36859	2	0.086957
36867	37088	180	3.000000
36867	36818	11	0.183333
36867	36940	1	0.016667
36867	36934	10	0.166667
36868	36751	2	0.400000
36868	36859	2	0.400000
36868	36940	15	3.000000
36868	37311	5	1.000000
36871	36751	1	0.052632
36872	36770	2	0.083333
36872	37307	1	0.041667
36872	36934	2	0.083333
36872	36970	3	0.125000
36872	36940	6	0.250000
36872	37262	1	0.041667
36872	36751	4	0.166667
36872	37360	1	0.041667
36872	36851	2	0.083333
36872	37263	2	0.083333
36872	37134	1	0.041667
36872	37178	1	0.041667
36872	36655	2	0.083333
36872	36991	1	0.041667
36873	36805	1	0.008547
36873	37094	1	0.008547
36873	36940	3	0.025641
36873	37263	1	0.008547
36873	37173	1	0.008547
36873	37272	2	0.017094
36873	37177	1	0.008547
36873	37307	1	0.008547
36873	36934	5	0.042735
36874	36940	19	2.375000
36878	36707	1	0.003759
36879	36940	6	2.000000
36880	36697	1	0.000756
36880	36898	1	0.000756
36880	36708	1	0.000756
36880	36573	3	0.002268
36881	37304	2	0.000962
36881	37285	1	0.000481
36881	37297	2	0.000962
36881	36648	1	0.000481
36881	36585	2	0.000962
36881	36940	10	0.004808
36881	37070	2	0.000962
36881	36751	3	0.001442
36881	36816	3	0.001442
36881	37041	1	0.000481
36881	36818	4	0.001923
36881	37091	1	0.000481
36881	36980	1	0.000481
36881	36661	2	0.000962
36881	36758	1	0.000481
36881	36663	1	0.000481
36881	37080	1	0.000481
36881	37081	5	0.002404
36882	36611	1	0.005236
36882	37124	3	0.015707
36882	36745	1	0.005236
36882	37259	1	0.005236
36882	37005	1	0.005236
36882	37251	1	0.005236
36882	36758	1	0.005236
36882	37081	2	0.010471
36882	36636	5	0.026178
36882	36766	1	0.005236
36882	36897	6	0.031414
36882	36648	80	0.418848
36882	37304	2	0.010471
36882	37177	1	0.005236
36882	37307	3	0.015707
36882	37182	1	0.005236
36882	37311	4	0.020942
36882	37185	1	0.005236
36882	37188	1	0.005236
36882	36805	7	0.036649
36882	36934	15	0.078534
36882	36936	2	0.010471
36882	36940	53	0.277487
36882	36818	2	0.010471
36882	36697	2	0.010471
36882	37218	1	0.005236
36882	36838	1	0.005236
36882	36589	1	0.005236
36882	36590	2	0.010471
36882	37360	1	0.005236
36882	36981	1	0.005236
36882	36859	2	0.010471
36882	36991	1	0.005236
36883	36740	3	0.044776
36883	36934	1	0.014925
36883	36648	2	0.029851
36883	37129	1	0.014925
36883	36652	1	0.014925
36883	36685	1	0.014925
36883	36974	1	0.014925
36883	36940	1	0.014925
36883	36818	1	0.014925
36883	37177	65	0.970149
36883	36637	2	0.029851
36886	36940	274	2.000000
36886	37173	5	0.036496
36887	36867	1	0.000335
36887	36740	1	0.000335
36887	36745	1	0.000335
36887	37259	22	0.007363
36887	37134	1	0.000335
36887	36751	81	0.027108
36887	36882	9	0.003012
36887	36636	1	0.000335
36887	37023	3	0.001004
36887	36897	9	0.003012
36887	36648	1	0.000335
36887	37202	1	0.000335
36887	36782	1	0.000335
36887	37173	1	0.000335
36887	37047	244	0.081660
36887	36665	11	0.003681
36887	36795	9	0.003012
36887	36725	1	0.000335
36887	36805	21	0.007028
36887	36934	11	0.003681
36887	36940	42	0.014056
36887	36818	19	0.006359
36887	37263	2	0.000669
36887	37078	1	0.000335
36887	37177	1	0.000335
36887	37211	1	0.000335
36887	37212	1	0.000335
36887	37307	1	0.000335
36887	36585	3	0.001004
36887	36715	1	0.000335
36887	36589	1	0.000335
36887	37360	1	0.000335
36887	36981	1	0.000335
36887	37114	1	0.000335
36887	36991	1	0.000335
36888	36940	1	0.011765
36889	36940	22	2.000000
36891	37115	98	7.000000
36892	36897	2	0.117647
36892	36934	2	0.117647
36892	37185	1	0.058824
36892	36940	51	3.000000
36892	36751	26	1.529412
36892	37311	1	0.058824
36897	36818	3	1.000000
36897	36940	6	2.000000
36898	36897	1	0.000337
36898	37250	1	0.000337
36898	36931	5	0.001686
36898	37031	2	0.000674
36898	36648	2	0.000674
36898	36553	1	0.000337
36898	36940	13	0.004383
36898	36589	1	0.000337
36898	36720	1	0.000337
36898	37078	2	0.000674
36898	36663	1	0.000337
36898	37311	1	0.000337
36898	37087	4	0.001349
36900	36729	2	0.285714
36901	37185	1	0.010870
36901	37051	1	0.010870
36901	36758	1	0.010870
36901	36584	1	0.010870
36901	37036	1	0.010870
36901	36940	5	0.054348
36901	37005	1	0.010870
36901	36751	3	0.032609
36901	36648	1	0.010870
36901	36818	1	0.010870
36901	37078	1	0.010870
36901	37307	1	0.010870
36901	37199	1	0.010870
36902	36687	69	0.884615
36902	37343	2151	27.576923
36904	36897	3	1.000000
36904	36818	9	3.000000
36904	36940	9	3.000000
36905	37081	2	0.090909
36905	37250	8	0.363636
36906	37029	1	0.016949
36906	37031	1	0.016949
36906	36779	2	0.033898
36906	36940	13	0.220339
36906	36751	2	0.033898
36906	37263	1	0.016949
36907	36818	5	0.000885
36907	36608	1	0.000177
36907	37307	1	0.000177
36907	36805	4	0.000708
36907	36934	1	0.000177
36907	36897	2	0.000354
36907	36648	5	0.000885
36907	36874	2	0.000354
36907	37259	12	0.002124
36907	36940	28	0.004955
36907	36978	131	0.023182
36907	36751	17	0.003008
36907	36882	9	0.001593
36907	37263	2	0.000354
36907	36725	1	0.000177
36907	37078	1	0.000177
36907	37304	2	0.000354
36907	37081	1	0.000177
36907	37115	5058	0.895063
36907	37311	6	0.001062
36908	36816	1	0.040000
36908	36940	7	0.280000
36908	36653	2	0.080000
36908	36934	2	0.080000
36908	36663	2	0.080000
36910	36940	57	7.125000
36910	36751	1	0.125000
36911	36940	6	3.000000
36911	36751	4	2.000000
36912	36880	1	0.009346
36912	36898	1	0.009346
36912	37107	1	0.009346
36914	37185	3	0.005042
36914	37026	1292	2.171429
36914	36740	6	0.010084
36914	36805	3	0.005042
36914	36934	3	0.005042
36914	36961	3	0.005042
36914	36649	3	0.005042
36914	36569	3	0.005042
36914	36940	24	0.040336
36914	36751	6	0.010084
36914	37103	3	0.005042
36914	37232	3	0.005042
36914	37299	643	1.080672
36914	37081	6	0.010084
36914	37177	3	0.005042
36914	37039	3	0.005042
36916	37319	1	0.047619
36916	36940	1	0.047619
36916	36751	2	0.095238
36916	36689	1	0.047619
36916	36884	1	0.047619
36916	37302	2	0.095238
36916	37307	1	0.047619
36917	36751	9	0.142857
36917	36618	3	0.047619
36917	36940	127	2.015873
36917	37263	1	0.015873
36917	37199	1	0.015873
36917	36859	6	0.095238
36920	37314	4	2.000000
36920	36783	2	1.000000
36921	36897	1	0.002667
36921	36934	1	0.002667
36921	37259	2	0.005333
36921	36940	12	0.032000
36921	37134	5	0.013333
36921	36751	2	0.005333
36921	37041	275	0.733333
36921	36882	4	0.010667
36921	37209	831	2.216000
36921	37178	2	0.005333
36925	36940	91	3.033333
36925	36751	32	1.066667
36928	36740	1	0.019608
36928	36751	1	0.019608
36930	36940	6	2.000000
36932	36674	45	0.978261
36932	36553	46	1.000000
36932	36818	1	0.021739
36932	36884	46	1.000000
36932	37080	46	1.000000
36932	37081	1	0.021739
36933	37251	4	0.061538
36933	36740	3	0.046154
36933	37259	1	0.015385
36933	36751	11	0.169231
36933	36882	3	0.046154
36933	36770	4	0.061538
36933	37285	1	0.015385
36933	36648	6	0.092308
36933	37173	3	0.046154
36933	36725	2	0.030769
36933	36925	2	0.030769
36933	37311	3	0.046154
36933	37188	3	0.046154
36933	36934	31	0.476923
36933	37191	1	0.015385
36933	36682	1	0.015385
36933	36940	257	3.953846
