Src	Trg	LinkCount	RelLinkCount
38912	38560	1	0.002415
38912	38017	1	0.002415
38912	38402	6	0.014493
38912	38342	4	0.009662
38912	37478	1	0.002415
38912	38727	3	0.007246
38912	38634	21	0.050725
38912	37708	1	0.002415
38912	38286	8	0.019324
38912	38577	3	0.007246
38912	37650	6	0.014493
38912	38775	5	0.012077
38912	38042	1	0.002415
38912	39003	4	0.009662
38912	39199	1	0.002415
38913	38577	28	1.120000
38913	38634	53	2.120000
38913	39003	2	0.080000
38913	38727	1	0.040000
38914	38577	1	0.007634
38914	38634	2	0.015267
38914	39003	3	0.022901
38914	39037	112	0.854962
38914	39199	1	0.007634
38916	38560	5	0.029412
38916	38634	5	0.029412
38916	37708	3	0.017647
38916	37650	3	0.017647
38916	38042	2	0.011765
38916	39003	1	0.005882
38916	39070	4	0.023529
38916	39199	1	0.005882
38917	38993	49	1.884615
38917	38634	4	0.153846
38918	37632	3	0.200000
38918	38100	3	0.200000
38919	38560	1	0.010204
38919	39003	1	0.010204
38919	38634	2	0.020408
38919	38731	1	0.010204
38919	37807	1	0.010204
38919	38042	1	0.010204
38919	37915	5	0.051020
38919	37438	5	0.051020
38920	38560	1	0.012658
38920	38698	3	0.037975
38920	38798	3	0.037975
38920	39215	1	0.012658
38922	38634	16	0.084656
38923	38042	1	0.029412
38924	37504	1236	0.863128
38924	38661	1236	0.863128
38924	38415	1237	0.863827
38924	39056	1	0.000698
38924	37650	1	0.000698
38924	39108	1236	0.863128
38924	39196	21	0.014665
38924	38560	1	0.000698
38924	37681	1237	0.863827
38924	38321	1237	0.863827
38924	38070	1237	0.863827
38924	38586	1237	0.863827
38924	38075	1237	0.863827
38924	38973	1237	0.863827
38924	37571	1236	0.863128
38924	37828	1237	0.863827
38924	38470	1236	0.863128
38924	38361	1237	0.863827
38924	38587	1237	0.863827
38924	37478	1	0.000698
38924	37610	1237	0.863827
38924	38333	1	0.000698
38924	37622	1237	0.863827
38924	38395	1237	0.863827
38924	38634	3707	2.588687
38925	38438	1	0.008264
38925	38634	28	0.231405
38925	38898	1	0.008264
38925	38742	1	0.008264
38925	39192	1	0.008264
38925	37723	1	0.008264
38927	38330	40	0.975610
38927	38099	40	0.975610
38927	39215	44	1.073171
38930	38568	128	1.066667
38930	38560	2	0.016667
38930	39199	1	0.008333
38931	38560	7	0.013035
38931	39047	4	0.007449
38931	38634	2	0.003724
38931	37708	10	0.018622
38931	37650	4	0.007449
38931	38775	4	0.007449
38931	38394	592	1.102421
38931	39003	9	0.016760
38931	38042	1	0.001862
38935	38560	2	0.034483
38935	38797	3	0.051724
38935	37870	1	0.017241
38935	38577	1	0.017241
38935	39058	2	0.034483
38935	38775	1	0.017241
38935	38552	1	0.017241
38935	37723	1	0.017241
38936	38634	2	0.052632
38937	38800	5	0.039062
38937	38634	2	0.015625
38937	38230	2	0.015625
38937	38766	18	0.140625
38937	37650	1	0.007812
38938	38560	2	0.002205
38938	37956	2	0.002205
38938	37708	1	0.001103
38938	38634	2	0.002205
38938	37996	5	0.005513
38938	38577	4	0.004410
38938	37650	4	0.004410
38938	38042	3	0.003308
38938	37755	1	0.001103
38938	37642	1	0.001103
38939	37723	11	0.916667
38940	38560	1	0.008264
38940	38696	1	0.008264
38940	38634	2	0.016529
38940	37395	3	0.024793
38940	37650	1	0.008264
38940	39187	3	0.024793
38940	38742	1	0.008264
38940	39199	2	0.016529
38944	38634	1	0.009009
38944	38454	4	0.036036
38945	38634	2	0.285714
38946	37586	2	0.054054
38947	39199	1	0.010204
38947	37650	88	0.897959
38947	39003	1	0.010204
38947	38954	2	0.020408
38947	37663	1	0.010204
38950	37693	14	2.000000
38950	38558	14	2.000000
38950	37549	14	2.000000
38951	38560	22	0.159420
38951	38577	2	0.014493
38951	38634	4	0.028986
38951	39185	41	0.297101
38951	37493	2	0.014493
38951	38552	3	0.021739
38951	38909	22	0.159420
38952	38560	1	0.003040
38952	37478	5	0.015198
38952	38631	1	0.003040
38952	38634	6	0.018237
38952	38775	1	0.003040
38952	38552	1	0.003040
38952	37723	12	0.036474
38953	38560	18	0.033457
38953	37892	2	0.003717
38953	37478	1	0.001859
38953	38634	550	1.022305
38953	37870	31	0.057621
38953	38577	4	0.007435
38953	37650	10	0.018587
38953	38254	1058	1.966543
38953	38042	26	0.048327
38953	39003	2	0.003717
38953	39199	535	0.994424
38954	38947	46	2.000000
38954	38308	1	0.043478
38955	38560	1	0.045455
38955	38634	1	0.045455
38955	37775	1	0.045455
38955	37650	1	0.045455
38955	38552	1	0.045455
38955	38042	1	0.045455
38955	39199	1	0.045455
38956	37775	1	0.033333
38957	38727	1	0.009434
38957	38634	1	0.009434
38957	38766	11	0.103774
38957	38223	1	0.009434
38957	38323	3	0.028302
38957	37370	1	0.009434
38957	37755	1	0.009434
38957	37597	1	0.009434
38958	38034	1	0.041667
38959	38952	77	1.026667
38960	37688	2	0.030303
38960	37723	8	0.121212
38961	38560	2	0.090909
38961	38278	1	0.045455
38961	38438	1	0.045455
38961	38727	1	0.045455
38961	38634	1	0.045455
38961	39271	1	0.045455
38961	37837	1	0.045455
38961	38013	1	0.045455
38962	37363	2	0.076923
38962	37765	2	0.076923
38963	38634	2	0.002191
38963	39003	1	0.001095
38963	38042	4	0.004381
38963	38774	19	0.020811
38963	39199	1	0.001095
38968	37723	98	0.544444
38969	38560	1	0.058824
38969	37650	1	0.058824
38969	38196	3	0.176471
38969	38634	1	0.058824
38970	38560	2	0.004728
38970	37956	2	0.004728
38970	38634	4	0.009456
38970	37708	2	0.004728
38970	37870	4	0.009456
38970	38767	2	0.004728
38970	39199	2	0.004728
38971	38955	2	1.000000
38973	38560	5	0.040000
38973	38924	17	0.136000
38973	38634	2	0.016000
38973	38284	210	1.680000
38973	37650	4	0.032000
38973	39003	1	0.008000
38973	38079	3	0.024000
38976	37642	1	0.001439
38976	37723	7	0.010072
38976	38634	3	0.004317
38976	38075	226	0.325180
38977	38634	1	0.111111
38978	38634	2	0.054054
38978	37755	7	0.189189
38978	37650	5	0.135135
38978	38614	2	0.054054
38978	38613	4	0.108108
38979	38528	1	0.001689
38979	38912	1	0.001689
38979	38659	1	0.001689
38979	37509	1	0.001689
38979	37642	1	0.001689
38979	38412	1	0.001689
38979	37775	2	0.003378
38979	38544	1	0.001689
38979	38680	1	0.001689
38979	37650	14	0.023649
38979	37870	1	0.001689
38979	38038	1	0.001689
38979	38039	1	0.001689
38979	38168	1	0.001689
38979	39065	1	0.001689
38979	38042	1	0.001689
38979	39070	1	0.001689
38979	39199	3	0.005068
38979	37922	1	0.001689
38979	38179	1	0.001689
38979	37925	1	0.001689
38979	38062	1	0.001689
38979	38959	1	0.001689
38979	37813	1	0.001689
38979	37688	2	0.003378
38979	38587	1	0.001689
38979	37826	1	0.001689
38979	39108	3	0.005068
38979	37958	3	0.005068
38979	39040	1	0.001689
38979	38050	1	0.001689
38979	38737	1	0.001689
38979	38869	1	0.001689
38979	38870	1	0.001689
38979	38875	1	0.001689
38979	37863	1	0.001689
38979	37736	3	0.005068
38979	38889	1	0.001689
38979	38634	1283	2.167230
38979	37483	1	0.001689
38979	38764	1	0.001689
38979	38766	1	0.001689
38979	38387	1	0.001689
38979	37622	1	0.001689
38979	38647	2	0.003378
38979	37753	1	0.001689
38979	37755	1	0.001689
38980	39224	3	0.003330
38980	37753	8	0.008879
38980	37723	3	0.003330
38980	38727	3	0.003330
38983	38634	21	0.046771
38983	37723	18	0.040089
38983	37956	2	0.004454
38984	37609	1	0.047619
38986	37723	40	0.014881
38988	37723	1	0.200000
38988	37509	2	0.400000
38988	37526	2	0.400000
38988	38335	7	1.400000
38991	38560	3	0.014493
38991	37755	23	0.111111
38991	39047	2	0.009662
38991	38634	4	0.019324
38991	38190	2	0.009662
38991	37650	2	0.009662
38991	38042	1	0.004831
38991	39003	1	0.004831
38991	37757	1	0.004831
38991	39199	2	0.009662
38992	38634	3	1.000000
38993	38634	9	0.132353
38993	37723	4	0.058824
38993	37468	8	0.117647
38993	38042	4	0.058824
38994	38912	1	0.017544
38994	38286	1	0.017544
38995	38577	1	0.018182
38995	37650	5	0.090909
38995	37915	2	0.036364
38995	38634	4	0.072727
38995	38042	2	0.036364
38996	38560	1	0.038462
38996	38634	157	6.038462
38997	38539	4	0.001122
38997	38028	4	0.001122
38997	37779	4	0.001122
38997	38166	4	0.001122
38997	38935	4	0.001122
38997	37529	4	0.001122
38997	37532	4	0.001122
38997	37535	4	0.001122
38997	37669	4	0.001122
38997	37674	4	0.001122
38997	38956	4	0.001122
38997	38062	4	0.001122
38997	39087	4	0.001122
38997	38067	4	0.001122
38997	38710	4	0.001122
38997	38332	4	0.001122
38997	37958	4	0.001122
38997	37709	4	0.001122
38997	38223	1	0.000280
38997	37712	4	0.001122
38997	37459	3261	0.914470
38997	38106	3261	0.914470
38997	37725	4	0.001122
38997	38750	4	0.001122
38997	38181	4	0.001122
38997	38627	4	0.001122
38997	38759	4	0.001122
38997	38254	4	0.001122
38997	37618	4	0.001122
38998	38560	1	0.083333
38998	39215	1	0.083333
38998	37915	1	0.083333
38998	37735	8	0.666667
39001	38560	5	0.011848
39001	38912	4	0.009479
39001	38634	5	0.011848
39001	38286	1	0.002370
39001	37650	2	0.004739
39001	37977	1	0.002370
39001	39003	1	0.002370
39001	39199	1	0.002370
39003	38560	1	0.005814
39003	38577	5	0.029070
39003	38634	4373	25.424419
39003	37708	2	0.011628
39003	37650	1	0.005814
39004	37688	1	0.021739
39004	38042	1	0.021739
39004	39038	1	0.021739
39004	39199	4	0.086957
39006	38985	6	0.162162
39006	37723	34	0.918919
39006	37915	1	0.027027
39010	38560	2	0.023810
39010	38577	2	0.023810
39010	38634	2	0.023810
39010	37708	1	0.011905
39010	39175	2	0.023810
39011	37723	3	0.150000
39012	37723	16	0.152381
39012	37478	2	0.019048
39012	38634	5	0.047619
39012	38795	3	0.028571
39012	37786	2	0.019048
39012	37915	1	0.009524
39012	38042	1	0.009524
39013	38912	4	0.032787
39013	38560	8	0.065574
39013	38305	2	0.016393
39013	38634	11	0.090164
39013	38286	4	0.032787
39013	38577	4	0.032787
39013	38042	1	0.008197
39013	39199	1	0.008197
39014	38634	26	0.005515
39014	37723	26	0.005515
39015	38042	5	0.057471
39015	39003	1	0.011494
39015	38634	1	0.011494
39015	37650	2	0.022989
39019	39106	1	0.090909
39019	38914	4	0.363636
39019	39037	6	0.545455
39021	38433	4	0.086957
39021	38149	4	0.086957
39021	37638	4	0.086957
39021	39017	4	0.086957
39021	38634	42	0.913043
39021	38834	4	0.086957
39021	37491	1	0.021739
39021	37723	44	0.956522
39022	37793	62	1.127273
39022	37650	1	0.018182
39022	37747	62	1.127273
39022	37708	1	0.018182
39022	38774	1	0.018182
39024	39048	1	0.028571
39024	37650	2	0.057143
39024	38438	3	0.085714
39025	38912	2	0.002268
39025	38402	2	0.002268
39025	37478	3	0.003401
39025	37609	2	0.002268
