Src	Trg	LinkCount	RelLinkCount
39426	39472	4741	42.711712
39426	39525	108	0.972973
39428	39747	16	0.888889
39428	39273	1	0.055556
39428	39562	16	0.888889
39428	39339	64	3.555556
39428	39570	10	0.555556
39428	39743	16	0.888889
39802	39529	3	0.093750
39433	39681	1	0.004184
39433	39558	1	0.004184
39433	39690	1	0.004184
39433	39563	1	0.004184
39433	39568	2	0.008368
39433	39570	3	0.012552
39433	39294	7	0.029289
39433	39450	3	0.012552
39433	39323	1	0.004184
39433	39453	1	0.004184
39433	39583	2	0.008368
39433	39600	1	0.004184
39433	39590	1	0.004184
39433	39720	1	0.004184
39433	39339	3	0.012552
39433	39342	1	0.004184
39433	39472	1	0.004184
39433	39735	1	0.004184
39433	39356	4	0.016736
39433	39742	1	0.004184
39433	39743	8	0.033473
39433	39435	5	0.020921
39433	39751	2	0.008368
39433	39371	2	0.008368
39433	39631	1	0.004184
39433	39768	2	0.008368
39433	39513	2	0.008368
39433	39778	4	0.016736
39433	39526	3	0.012552
39433	39528	4	0.016736
39433	39283	1	0.004184
39433	39540	2	0.008368
39433	39285	4	0.016736
39433	39414	1	0.004184
39433	39415	1	0.004184
39433	39545	1	0.004184
39433	39805	2	0.008368
39433	39678	6	0.025105
39433	39551	1	0.004184
39434	39314	13	1.000000
39434	39687	14	1.076923
39435	39451	2	0.007634
39435	39273	4	0.015267
39435	39563	8	0.030534
39435	39341	3	0.011450
39435	39758	4	0.015267
39435	39823	3	0.011450
39435	39504	3	0.011450
39435	39639	10	0.038168
39435	39801	3	0.011450
39435	39547	3	0.011450
39315	39768	2	0.009174
39315	39818	2	0.009174
39439	39273	1	0.004348
39439	39831	1	0.004348
39439	39708	1	0.004348
39439	39583	1	0.004348
39440	39553	3	0.009494
39440	39426	16	0.050633
39440	39525	310	0.981013
39440	39472	16337	51.699367
39440	39676	1	0.003165
39440	39728	2	0.006329
39441	39744	12	0.005709
39442	39818	1	0.002160
39442	39435	3	0.006479
39442	39564	2	0.004320
39442	39694	2	0.004320
39442	39697	1	0.002160
39442	39451	134	0.289417
39442	39453	1	0.002160
39442	39326	150	0.323974
39442	39592	463	1.000000
39442	39472	5	0.010799
39442	39742	1	0.002160
39442	39492	6	0.012959
39442	39631	4	0.008639
39442	39516	8	0.017279
39442	39786	14	0.030238
39442	39403	5	0.010799
39442	39278	118	0.254860
39442	39336	4	0.008639
39442	39668	1	0.002160
39442	39669	6	0.012959
39442	39545	3	0.006479
39442	39676	3	0.006479
39442	39294	2	0.004320
39443	39553	4	0.033613
39443	39818	1	0.008403
39443	39442	1	0.008403
39443	39450	3	0.025210
39443	39451	1	0.008403
39443	39710	6	0.050420
39443	39456	1	0.008403
39443	39472	16	0.134454
39443	39594	1	0.008403
39443	39600	2	0.016807
39443	39474	1	0.008403
39443	39668	1	0.008403
39443	39744	3	0.025210
39443	39745	1	0.008403
39443	39492	1	0.008403
39443	39504	3	0.025210
39443	39765	3	0.025210
39443	39766	1	0.008403
39443	39513	1	0.008403
39443	39516	1	0.008403
39443	39525	1	0.008403
39443	39540	1	0.008403
39443	39801	3	0.025210
39443	39547	2	0.016807
39445	39513	65	1.000000
39445	39570	1	0.015385
39445	39515	2	0.030769
39445	39332	1	0.015385
39445	39730	1	0.015385
39447	39751	2	0.057143
39447	39725	2	0.057143
39447	39504	2	0.057143
39447	39762	2	0.057143
39447	39513	2	0.057143
39447	39356	2	0.057143
39450	39299	1	0.010638
39450	39687	2	0.021277
39450	39562	1	0.010638
39450	39308	1	0.010638
39450	39567	1	0.010638
39450	39314	1	0.010638
39450	39831	2	0.021277
39450	39341	1	0.010638
39450	39451	1	0.010638
39450	39533	1	0.010638
39450	39335	1	0.010638
39450	39465	1	0.010638
39450	39339	148	1.574468
39450	39469	1	0.010638
39450	39344	1	0.010638
39450	39473	1	0.010638
39450	39730	5	0.053191
39450	39477	1	0.010638
39450	39355	1	0.010638
39450	39359	1	0.010638
39450	39377	1	0.010638
39450	39510	1	0.010638
39450	39513	1	0.010638
39450	39517	1	0.010638
39450	39273	374	3.978723
39450	39570	191	2.031915
39450	39442	1	0.010638
39450	39284	1	0.010638
39450	39415	1	0.010638
39450	39743	4	0.042553
39451	39681	2	0.004843
39451	39299	1	0.002421
39451	39687	2	0.004843
39451	39304	3	0.007264
39451	39562	3	0.007264
39451	39341	5	0.012107
39451	39313	1	0.002421
39451	39570	383	0.927361
39451	39831	2	0.004843
39451	39450	2	0.004843
39451	39323	1	0.002421
39451	39586	1	0.002421
39451	39715	2	0.004843
39451	39335	1	0.002421
39451	39337	2	0.004843
39451	39339	1	0.002421
39451	39469	7	0.016949
39451	39343	1	0.002421
39451	39472	6	0.014528
39451	39474	1	0.002421
39451	39741	1	0.002421
39451	39488	2	0.004843
39451	39748	4	0.009685
39451	39751	206	0.498789
39451	39768	2	0.004843
39451	39513	3	0.007264
39451	39517	1	0.002421
39451	39402	1	0.002421
39451	39442	1	0.002421
39451	39540	1	0.002421
39451	39415	9	0.021792
39451	39676	21	0.050847
39451	39293	2	0.004843
39453	39472	1	0.003333
39453	39592	2	0.006667
39453	39676	3	0.010000
39459	39553	3	0.036585
39459	39747	2	0.024390
39459	39415	6	0.073171
