Src	Trg	LinkCount	RelLinkCount
40961	43076	1	0.000890
40961	41346	3	0.002669
40961	43355	1	0.000890
40961	42564	1	0.000890
40961	40133	5	0.004448
40961	40294	1	0.000890
40961	43081	1	0.000890
40961	42437	2	0.001779
40961	42956	1	0.000890
40961	40558	3	0.002669
40961	41337	5	0.004448
40961	40223	1	0.000890
40961	40063	1	0.000890
40964	43355	2	0.005013
40964	41427	836	2.095238
40966	41346	1	0.000474
40966	42043	1	0.000474
40966	41188	1	0.000474
40966	42088	1	0.000474
40966	40819	2	0.000949
40966	40467	1	0.000474
40966	41042	2	0.000949
40966	43507	3	0.001423
40966	40091	1	0.000474
40966	42232	1	0.000474
40966	43355	9	0.004269
40966	41341	1	0.000474
40967	40099	2	0.003817
40967	42565	1	0.001908
40967	41033	1	0.001908
40967	40467	15	0.028626
40967	43355	3	0.005725
40967	41086	10	0.019084
40968	42860	1	0.000916
40968	42895	1	0.000916
40968	41745	1	0.000916
40968	40341	1	0.000916
40968	42779	1	0.000916
40968	40877	1	0.000916
40968	40243	1	0.000916
40968	41015	1	0.000916
40968	43064	1	0.000916
40968	41786	1	0.000916
40968	41405	1	0.000916
40968	41284	1	0.000916
40968	41656	1	0.000916
40968	43091	1	0.000916
40968	41177	1	0.000916
40968	39900	1	0.000916
40968	40669	1	0.000916
40968	41339	1	0.000916
40968	43238	1	0.000916
40968	42987	1	0.000916
40968	43116	2	0.001832
40968	41683	1	0.000916
40968	41723	1	0.000916
40970	41425	3	0.007026
40971	40082	2	0.022727
40973	39842	1	0.014706
40973	42907	1	0.014706
40973	40391	1	0.014706
40973	41009	1	0.014706
40973	40467	9	0.132353
40973	40568	3	0.044118
40973	40506	3	0.044118
40973	43355	15	0.220588
40973	42653	2	0.029412
40973	43262	2	0.029412
40974	43002	5	0.035971
40974	43355	3	0.021583
40974	41053	2	0.014388
40976	42620	42	1.000000
40976	40724	42	1.000000
40976	42207	42	1.000000
40979	41701	41	1.051282
40982	40214	2	0.009901
40982	39941	125	0.618812
40982	42895	4	0.019802
40982	40976	2	0.009901
40982	43153	2	0.009901
40982	40339	1	0.004950
40982	40852	1	0.004950
40982	42006	1	0.004950
40982	42008	1	0.004950
40982	42912	2	0.009901
40982	41897	1	0.004950
40982	40490	1	0.004950
40982	41007	1	0.004950
40982	40242	1	0.004950
40982	40139	1	0.004950
40982	41015	12	0.059406
40982	41016	1	0.004950
40982	40892	1	0.004950
40982	41790	1	0.004950
40982	42431	1	0.004950
40982	42560	1	0.004950
40982	41794	1	0.004950
40982	42947	1	0.004950
40982	41285	2	0.009901
40982	41163	2	0.009901
40982	42066	1	0.004950
40982	43230	1	0.004950
40982	41697	2	0.009901
40982	42469	1	0.004950
40982	40166	1	0.004950
40982	40298	1	0.004950
40982	41964	1	0.004950
40982	39890	1	0.004950
40982	41455	1	0.004950
40982	42352	2	0.009901
40982	43005	1	0.004950
40983	42657	10	0.434783
40983	42907	1	0.043478
40983	42468	1	0.043478
40983	41281	1	0.043478
40983	41480	1	0.043478
40983	40553	1	0.043478
40983	42970	1	0.043478
40983	43355	2	0.086957
40984	41536	1	0.002037
40984	40803	484	0.985743
40984	43147	2	0.004073
40984	39953	19	0.038697
40984	41650	2	0.004073
40984	39926	2	0.004073
40984	40727	8	0.016293
40984	43355	1	0.002037
40985	40467	2	0.002985
40985	41086	11	0.016418
40987	41144	6	0.038217
40989	42072	1	1.000000
40990	41009	1	0.052632
40990	40467	1	0.052632
40990	40973	7	0.368421
40991	41655	5	0.185185
40992	41112	1726	1.001160
40992	43002	3460	2.006961
40992	43355	1	0.000580
40992	42010	1726	1.001160
40992	42663	1	0.000580
40993	40577	1	0.006329
40993	41986	1	0.006329
40993	41736	17	0.107595
40993	41738	48	0.303797
40993	43147	239	1.512658
40993	42895	2	0.012658
40993	40208	1	0.006329
40993	40467	2	0.012658
40993	42907	1	0.006329
40993	42653	1	0.006329
40993	40091	37	0.234177
40993	43484	1	0.006329
40993	43188	5	0.031646
40993	40767	2	0.012658
40993	43076	2	0.012658
40993	40266	52	0.329114
40993	43355	1	0.006329
40993	42588	2	0.012658
40993	41188	1	0.006329
40993	41708	1	0.006329
40993	43382	4	0.025316
40993	40568	1	0.006329
40995	41008	1	0.011111
40995	40747	1	0.011111
40995	43132	2	0.022222
40995	41877	1	0.011111
40999	39931	1	0.045455
40999	42699	45	2.045455
40999	42907	1	0.045455
40999	42695	1	0.045455
41000	40993	1	0.050000
41000	40747	35	1.750000
41000	42895	36	1.800000
41000	41877	440	22.000000
41000	41015	33	1.650000
41000	39839	26	1.300000
41001	41356	2	0.006061
41001	41598	2	0.006061
41004	43002	4	0.045977
41005	40121	36	18.000000
41005	41548	2	1.000000
41006	42588	1	0.100000
41007	40214	2	0.009901
41007	39941	125	0.618812
41007	42895	4	0.019802
41007	40976	2	0.009901
41007	43153	2	0.009901
41007	40339	1	0.004950
41007	40852	1	0.004950
41007	42006	1	0.004950
41007	42008	1	0.004950
41007	40982	1	0.004950
41007	42912	2	0.009901
41007	41897	1	0.004950
41007	40490	1	0.004950
41007	40242	1	0.004950
41007	40139	1	0.004950
41007	41015	12	0.059406
41007	41016	1	0.004950
41007	40892	1	0.004950
41007	41790	1	0.004950
41007	42431	1	0.004950
41007	42560	1	0.004950
41007	41794	1	0.004950
41007	42947	1	0.004950
41007	41285	2	0.009901
41007	41163	2	0.009901
41007	42066	1	0.004950
41007	43230	1	0.004950
41007	41697	2	0.009901
41007	42469	1	0.004950
41007	40166	1	0.004950
41007	40298	1	0.004950
41007	41964	1	0.004950
41007	39890	1	0.004950
41007	41455	1	0.004950
41007	42352	2	0.009901
41007	43005	1	0.004950
41008	40993	3	0.001198
41008	41346	2	0.000798
41008	43355	25	0.009980
41008	42895	3	0.001198
41008	42248	2	0.000798
41008	42588	4	0.001597
41008	40819	2	0.000798
41008	41736	1	0.000399
41008	42043	1	0.000399
41008	40467	1	0.000399
41008	40136	2	0.000798
41008	42871	16	0.006387
41008	40568	1	0.000399
41008	40602	2	0.000798
41008	40091	1	0.000399
41008	43132	2	0.000798
41008	42653	5	0.001996
41008	39839	4	0.001597
41009	40640	1	0.000203
41009	43009	1	0.000203
41009	40580	9	0.001829
41009	39926	4	0.000813
41009	40391	2	0.000407
41009	40424	29	0.005894
41009	41548	1	0.000203
41009	42437	1	0.000203
41009	40095	246	0.050000
41009	40973	6	0.001220
41009	43386	1	0.000203
41009	42088	2	0.000407
41009	41139	1	0.000203
41009	43157	1	0.000203
41009	40918	7	0.001423
41009	40568	2	0.000407
41009	42970	1	0.000203
41009	42907	191	0.038821
41009	42588	8	0.001626
41009	42653	13	0.002642
41009	40223	426	0.086585
41010	40993	1	0.010989
41010	40667	1	0.010989
41010	42024	1	0.010989
41010	39947	1	0.010989
41010	41341	1	0.010989
41010	39985	1	0.010989
41010	41682	1	0.010989
41010	40568	1	0.010989
41010	42075	2	0.021978
41010	42588	1	0.010989
41010	43165	1	0.010989
41010	41599	1	0.010989
41011	42699	19	1.266667
41013	43147	1	0.005376
41013	42653	3	0.016129
41015	40128	2	0.001385
41015	40424	2	0.001385
41015	40873	1	0.000693
41015	43147	4	0.002770
41015	42796	1	0.000693
41015	42895	1	0.000693
41015	39926	2	0.001385
41015	42871	2	0.001385
41015	43355	1	0.000693
41015	43484	2	0.001385
41015	42653	20	0.013850
41015	39839	2	0.001385
41016	40214	2	0.009901
41016	39941	125	0.618812
41016	42895	4	0.019802
41016	40976	2	0.009901
41016	43153	2	0.009901
41016	40339	1	0.004950
41016	40852	1	0.004950
41016	42006	1	0.004950
41016	42008	1	0.004950
41016	40982	1	0.004950
41016	42912	2	0.009901
41016	41897	1	0.004950
41016	40490	1	0.004950
41016	41007	1	0.004950
41016	40242	1	0.004950
41016	40139	1	0.004950
41016	41015	12	0.059406
41016	40892	1	0.004950
41016	41790	1	0.004950
41016	42431	1	0.004950
41016	42560	1	0.004950
41016	41794	1	0.004950
41016	42947	1	0.004950
41016	41285	2	0.009901
41016	41163	2	0.009901
41016	42066	1	0.004950
41016	43230	1	0.004950
41016	41697	2	0.009901
41016	42469	1	0.004950
41016	40166	1	0.004950
41016	40298	1	0.004950
41016	41964	1	0.004950
41016	39890	1	0.004950
41016	41455	1	0.004950
41016	42352	2	0.009901
41016	43005	1	0.004950
41021	43392	106	1.682540
41021	42265	1	0.015873
41021	42657	1	0.015873
41023	39926	1	1.000000
41024	42576	2	0.100000
41024	41188	1	0.050000
41024	41989	2	0.100000
41024	40624	89	4.450000
41024	39953	1	0.050000
41024	39931	2	0.100000
41026	40743	1	0.000615
41026	40624	2	0.001230
41026	39989	1	0.000615
41026	39926	1	0.000615
41026	40568	5	0.003075
41026	40793	1	0.000615
41026	42653	7	0.004305
41027	43298	1	0.006711
41027	42923	148	0.993289
41027	39882	1	0.006711
41027	41067	147	0.986577
41027	40206	16	0.107383
41027	41859	1	0.006711
41027	39930	147	0.986577
41027	43035	147	0.986577
41027	41885	1	0.006711
41028	40027	1	0.010000
41028	43355	1	0.010000
41030	40993	1	0.050000
41030	40747	35	1.750000
41030	42895	36	1.800000
41030	41877	440	22.000000
41030	41015	33	1.650000
41030	39839	26	1.300000
41032	40121	146	20.857143
41032	41548	2	0.285714
41033	41152	1	0.001103
41033	42416	1	0.001103
41033	42565	1	0.001103
41033	40967	1	0.001103
41033	40650	1	0.001103
41033	42288	1	0.001103
41033	39984	1	0.001103
41033	41620	1	0.001103
41033	40793	1	0.001103
41033	40223	1	0.001103
41033	42556	4	0.004410
41033	42942	1	0.001103
41033	41861	1	0.001103
41034	39870	658	1.000000
41035	42795	1	0.020408
41035	43147	1	0.020408
41035	42653	1	0.020408
41036	39926	3	0.076923
41038	39845	2	0.018868
41038	40710	1	0.009434
41038	43147	1	0.009434
41038	39953	5	0.047170
41038	39926	2	0.018868
41038	41015	3	0.028302
41042	43507	4	0.016064
41042	42588	4	0.016064
41042	42653	2	0.008032
41042	40966	5	0.020080
41046	41211	1	0.008696
41046	40997	1	0.008696
41046	42186	1	0.008696
41046	39895	1	0.008696
41046	41068	1	0.008696
41046	42461	1	0.008696
41046	41944	1	0.008696
41046	40434	1	0.008696
41046	41391	1	0.008696
41046	41718	1	0.008696
41046	41015	1	0.008696
41046	43512	118	1.026087
41046	42329	1	0.008696
41046	41435	1	0.008696
41046	40573	1	0.008696
41046	42910	1	0.008696
41047	42437	2	0.004751
41047	41620	2	0.004751
41047	43484	1	0.002375
41047	42653	3	0.007126
41047	41086	4	0.009501
41047	40223	2	0.004751
41049	42907	1	0.000869
41049	42797	6	0.005213
41049	40238	5	0.004344
41049	40624	1221	1.060817
41049	39953	11	0.009557
41049	41015	1	0.000869
41049	40506	4	0.003475
41049	43355	3	0.002606
41049	42653	10	0.008688
41052	42588	2	0.068966
41052	42895	1	0.034483
41053	43002	10	0.023474
41053	43355	1	0.002347
41053	43484	1	0.002347
41053	42805	2	0.004695
41053	40819	1	0.002347
41055	41346	2	0.029851
41055	39947	1	0.014925
41055	40204	1	0.014925
41055	40024	1	0.014925
41055	40467	13	0.194030
41055	39958	1	0.014925
41055	40600	1	0.014925
41055	41626	1	0.014925
41055	40091	1	0.014925
41055	40993	66	0.985075
41055	42588	1	0.014925
41055	40879	1	0.014925
41055	42290	1	0.014925
41055	41015	1	0.014925
41055	42043	2	0.029851
41055	41667	3	0.044776
41055	43076	1	0.014925
41055	42695	1	0.014925
41055	39882	1	0.014925
41055	40012	1	0.014925
41055	43220	1	0.014925
41055	41174	1	0.014925
41055	42328	1	0.014925
41055	42970	1	0.014925
41055	43484	1	0.014925
41055	43360	1	0.014925
41055	40170	1	0.014925
41055	41580	2	0.029851
41055	40177	1	0.014925
41055	43382	1	0.014925
41055	41086	7	0.104478
41057	41346	1	0.022222
41058	40993	1	0.045455
41058	42147	1	0.045455
41058	42191	4	0.181818
41058	40467	4	0.181818
41058	41795	1	0.045455
41058	41398	1	0.045455
41058	41015	1	0.045455
41058	41818	2	0.090909
41058	42043	1	0.045455
41058	42334	4	0.181818
41064	41795	38	0.169643
41064	42437	38	0.169643
41064	40467	3	0.013393
41064	39926	38	0.169643
41064	40601	2	0.008929
41064	40922	4	0.017857
41067	41027	5	0.111111
41067	40360	1	0.022222
41067	41291	1	0.022222
41067	42907	1	0.022222
41067	40467	1	0.022222
41067	40218	1	0.022222
41067	43035	7	0.155556
41067	41885	1	0.022222
41068	42785	1	0.002865
41068	42186	1	0.002865
41068	43147	2	0.005731
41068	40467	12	0.034384
41068	41046	1	0.002865
41068	40473	23	0.065903
41068	41407	1	0.002865
41072	43009	3	0.004702
41072	41174	2	0.003135
41072	43147	1	0.001567
41072	42895	1	0.001567
41072	43153	1	0.001567
41072	40082	1	0.001567
41072	43155	1	0.001567
41072	42133	1	0.001567
41072	40601	1	0.001567
41072	41369	238	0.373041
41072	42010	2	0.003135
41072	42397	1	0.001567
41072	40223	1	0.001567
41072	40736	1	0.001567
41072	40743	1	0.001567
41072	42588	2	0.003135
41072	39978	1	0.001567
41072	41259	1	0.001567
41072	42156	2	0.003135
41072	40499	1	0.001567
41072	42293	1	0.001567
41072	41015	2	0.003135
41072	40640	1	0.001567
41072	39876	1	0.001567
41072	40774	1	0.001567
41072	42167	1	0.001567
41072	40915	3	0.004702
41072	42196	1	0.001567
41072	40918	3	0.004702
41072	43355	8	0.012539
41072	43484	4	0.006270
41072	43418	2	0.003135
41072	42214	1	0.001567
41072	41580	1	0.001567
41072	40467	1	0.001567
41072	40566	1	0.001567
41072	40183	1	0.001567
41072	40063	1	0.001567
41072	41727	2	0.003135
41073	43114	1	0.005618
41073	40467	1	0.005618
41073	41052	2	0.011236
41073	41346	1	0.005618
41073	42653	1	0.005618
41074	43102	253	2.126050
41075	40993	1	0.006803
41075	41736	1	0.006803
41075	41420	1	0.006803
41075	42288	1	0.006803
41075	42290	5	0.034014
41075	40467	3	0.020408
41075	40506	1	0.006803
41075	43355	1	0.006803
41075	42653	1	0.006803
41075	42430	1	0.006803
41076	41344	1	0.002079
41076	40128	1	0.002079
41076	41987	1	0.002079
41076	42245	4	0.008316
41076	40705	1	0.002079
41076	42248	1	0.002079
41076	40074	4	0.008316
41076	42892	1	0.002079
41076	39883	1	0.002079
41076	43410	1	0.002079
41076	41876	4	0.008316
41076	40085	1	0.002079
41076	40607	1	0.002079
41076	41376	1	0.002079
41076	40359	4	0.008316
41076	43484	1	0.002079
41076	40878	1	0.002079
41076	41391	1	0.002079
41076	40202	1	0.002079
41076	40382	1	0.002079
41076	41407	1	0.002079
41076	42944	4	0.008316
41076	41696	1	0.002079
41076	41803	1	0.002079
41076	42437	295	0.613306
41076	42567	1	0.002079
41076	42186	1	0.002079
41076	40523	1	0.002079
41076	42704	287	0.596674
41076	43089	1	0.002079
41076	43223	1	0.002079
41076	41176	1	0.002079
41076	43228	1	0.002079
41076	40672	1	0.002079
41076	40801	1	0.002079
41076	41573	4	0.008316
41076	41308	1	0.002079
41076	42348	1	0.002079
41076	41966	1	0.002079
41076	39921	4	0.008316
41076	40051	1	0.002079
41076	40180	4	0.008316
