node	traffic
2	0.0006813725
3	0.0008933333
4	0.0004811765
5	0.00059
7	0.0200431395
8	0.0146489412
9	0.0018356471
10	0.0008034146
13	0.0001525581
14	0.0005081081
15	0.0034461224
16	0.0016924615
19	0.0002132558
20	0.0005311628
22	0.0008037805
23	0.0310634884
24	0.0002860465
25	0.004512907
28	0.0302743023
31	0.0012744186
32	0.0095070588
33	0.000431
35	0.0001758333
36	0.00004
37	0.0017003488
38	0.000603125
39	0.000805
40	0.015409186
43	0.0001154762
46	0.0005332857
47	0.0004356977
48	0.000062907
49	0.0084001176
50	0.0010624074
51	0.0001457143
52	0.0032948837
53	0.0006990588
54	0.0013022857
55	4.33333333333E-05
56	0.0004044186
58	0.0911716279
59	0.0003112791
60	0.0003871875
61	0.0286815116
62	0.0328072941
63	0.0331484884
64	0.00081
65	0.0003323377
66	0.0011035526
67	0.0002860465
68	0.0239009302
70	5.36231884058E-05
71	0.0026821127
72	0.0002925301
73	0.0254944186
74	0.0003174419
75	0.0119565385
76	0.0012744186
77	0.0010595238
79	0.0004357895
81	0.0029255556
82	0.0003444444
84	0.0004503571
85	0.0003171429
87	0.0059137209
88	0.0180663953
90	0.0008547368
91	0.0018065116
92	0.0004750909
93	0.0001711111
94	0.0014568919
95	0.0007390164
96	0.0007991463
97	0.0006929412
100	0.0008262353
101	0.0053133721
103	0.0015877907
105	0.0002931507
107	0.0007321429
108	0.0003495349
110	0.0045081395
111	0.0003775
112	0.0002860465
113	0.0007623256
114	0.0001354839
116	0.0004266667
117	4.53846153846E-05
118	0.0001711111
119	0.0013012791
121	0.0016315294
122	0.000168
124	0.00003
125	0.001194875
126	0.005015814
127	0.0031884884
128	0.0007417391
130	0.0020333333
131	0.0006802222
132	0.1242151163
133	0.0011427907
134	0.0066951163
137	0.0127472093
138	0.0005294186
139	0.0038252326
140	0.4247759302
141	0.0004336
142	0.000695
143	0.00044125
144	0.000087561
146	0.0014290698
148	0.004926
149	0.0003174419
150	0.0004319355
151	0.0004044186
152	0.0003333333
153	0.0001811628
154	0.0045929508
156	0.000337973
157	0.0004356977
158	0.000465
159	0.0007496429
160	0.0146287209
161	0.0104152326
162	0.0026568605
163	0.000618
164	0.0005311628
165	0.0003730233
167	0.0022218605
169	0.0066951163
170	0.0009567442
171	0.0207143023
172	9.96551724138E-05
173	0.0010793023
174	0.0026346512
175	0.000337973
177	0.9725696512
178	0.0005789286
179	0.0768052113
181	0.0070655814
182	0.000445
183	0.0004530769
184	0.0003332258
186	0.0012396552
187	0.0003174419
188	0.0011
189	0.0006990588
191	0.0033997674
192	0.0005257576
193	0.0003184884
195	0.000805
196	0.0254944186
197	0.0007174468
198	0.0009327907
199	0.0028931746
200	0.0007772093
202	0.0111805882
203	0.0118935821
204	0.0008826027
205	0.0021256977
206	0.007544359
207	0.0011138961
208	0.0008084146
209	0.0001711111
210	0.073114186
211	0.0003174419
212	0.0001831081
213	0.0494889535
216	0.0002490698
217	0.0024463333
218	0.001188
219	4.29577464789E-05
220	0.0007898182
221	0.0002195349
222	0.0003495349
223	0.007365
224	0.0008273684
225	0.0008906383
226	0.0001714286
227	0.0005609302
228	0.0040488889
229	0.009717093
230	0.0002573333
231	0.000085
232	0.0009664198
233	0.0007160465
239	0.0098834884
240	0.0004669333
241	0.0022707143
243	0.0001019512
244	0.063735814
247	0.0079704651
248	0.0016493023
249	0.001585
251	0.0017419608
252	0.000204375
253	0.0019368605
254	0.0018472222
255	0.0005416667
258	0.0004164
259	0.0033828302
260	0.0004114286
261	0.0003417778
262	0.0195543023
263	0.0018098837
264	0.0006725641
265	0.0029523256
266	0.0542884884
267	0.0007436047
268	0.0003335849
269	0.0003754167
270	0.000032
271	0.0056327907
272	0.0049209333
273	0.0008053659
274	0.0007991463
275	0.000337973
276	0.0002132558
277	1.8523354651
279	0.0019551948
280	8.14285714286E-05
281	0.0002977778
282	0.0392151163
283	0.0038280233
284	0.0015936047
285	0.0003184884
287	0.001757625
289	0.0003014815
290	0.0062702326
291	0.006802093
292	0.1434059302
293	0.0001406977
294	0.0014402564
295	0.0804464286
296	0.0032061628
297	0.0081548837
298	0.00137
299	0.0009209211
301	0.0010018571
302	0.0020953488
303	0.0732579268
306	0.0002132558
308	0.0008548077
311	0.0970061628
312	0.0287283721
313	0.0007627059
314	0.0008029268
315	0.000719322
317	0.000337973
319	0.0111590698
320	0.00012
321	0.0003174419
322	0.0003174419
323	0.0065910465
324	0.0019368605
325	0.0011445882
326	0.0007160465
327	0.008000814
331	0.0189552326
332	0.0004546154
333	0.0007457895
335	0.000485
336	0.00038
338	0.0054784884
339	0.0003730233
340	0.0008015854
341	0.008204
342	0.0025506977
343	0.00045
344	0.0004986667
345	0.0001210714
346	0.0006864
347	0.0028888372
348	0.000515
349	0.0019368605
351	0.000805122
352	0.0865576744
353	0.00096
354	0.1398690698
355	0.0013388372
357	0.0054398387
358	0.0008113415
360	0.0004592593
361	0.0307347674
362	0.0002448837
363	0.0002625
364	0.0019368605
365	0.00002
366	4.53846153846E-05
367	0.0002925301
368	0.0012715385
369	7.76811594203E-05
370	0.0534901176
371	0.0005609302
373	0.0012744186
374	0.0003965385
377	0.0001654762
378	0.00002
379	0.0008398837
381	0.0629040698
382	0.000444186
383	0.0020461538
384	0.0017774194
386	0.0007766667
387	0.0008746341
388	0.0004669333
389	0.0018410465
390	0.0063893023
391	0.0004762791
392	0.0018445833
393	0.0009567442
395	0.0435843023
396	0.000877439
397	0.0003193976
398	0.00031
399	0.0004669333
400	0.0003396429
401	0.0004281579
403	0.0030795349
404	0.0006024194
405	0.0000785
406	0.0007782609
408	0.0006
409	0.0012357143
411	1.2417381395
413	0.0004669333
414	0.0008876596
415	0.00098375
416	0.0004757813
417	2.66666666667E-05
418	0.000515
419	2.66666666667E-05
420	0.0020810811
421	0.0008569767
422	0.0002475556
423	0.013087619
425	0.0089234884
426	4.53846153846E-05
427	0.0020004651
428	0.0003171429
430	0.0840375581
431	0.001015814
432	0.000649
433	0.0002290698
434	0.0005029412
435	0.0002304348
437	0.0003322222
438	0.00136
439	0.0028833333
441	0.0214140698
442	0.0004127907
443	0.0020004651
444	0.0183953488
445	0.00013
447	0.0010422222
448	0.0054433721
449	0.0002444444
450	0.0019619512
451	0.001085
452	0.001242381
453	0.0003657778
455	0.5988623256
456	0.0002919048
459	0.4002030233
460	0.4365115116
461	0.0014916667
463	0.0005075581
468	0.0013012791
469	0.0025
470	0.0016111538
471	0.0012455263
474	0.0262865116
475	0.560143
476	0.003335
477	0.000444186
479	0.0556304651
480	0.0003392857
481	0.0040947674
482	0.00002
483	0.0011280645
484	0.0010261039
485	0.0256020513
486	0.0043008333
487	0.00041
488	0.0048636471
490	0.0160833824
491	0.0366483721
492	0.000444186
493	0.0001385294
495	0.0003746667
497	2.66666666667E-05
498	0.00048
499	0.0019684884
500	0.0001711111
501	0.004119403
502	0.0020004651
504	0.0863288372
506	0.00038
507	0.0003866667
508	0.0037944681
509	0.0007206154
511	0.0001056977
517	0.0003697561
521	0.0005789286
535	0.005739186
538	0.0007576923
539	0.0008891463
540	0.000217
541	0.000496
542	0.0042407792
544	0.0011106977
545	0.0009714286
546	0.000265
547	0.0015936047
548	0.0009211628
550	0.0005294186
551	0.0063765116
553	0.00057
554	0.0025029851
556	0.0017432558
557	0.0006532558
558	0.0080515294
559	0.0001595556
560	0.0001316667
563	0.0329544186
565	0.0717031395
566	0.0038252326
567	0.00032
569	0.000444186
570	0.0002528125
571	0.0015535088
573	0.0212589535
574	0.0034644872
578	0.0067232558
579	0.0008947561
580	0.0638695349
581	0.0004669333
582	0.0005241667
583	0.0007835135
584	0.0009383333
585	0.001015814
