Src	Trg	LinkCount	RelLinkCount
43535	44440	12	0.018547
43535	44112	8	0.012365
43535	44321	8	0.012365
43535	43813	427	0.659969
43535	43943	6	0.009274
43536	44523	6	2.000000
43540	43937	1	0.028571
43540	44199	1	0.028571
43540	44523	7	0.200000
43540	43567	1	0.028571
43540	44535	1	0.028571
43540	44440	7	0.200000
43540	43641	44	1.257143
43540	44446	2	0.057143
43540	44127	1	0.028571
43542	43778	1	0.025000
43542	43907	8	0.200000
43543	44146	6	0.006536
43545	43771	34	1.172414
43545	44029	31	1.068966
43545	44342	2	0.068966
43546	44440	4	0.024691
43547	43777	5	0.007102
43547	43783	3	0.004261
43547	44040	2	0.002841
43547	44433	3	0.004261
43547	43922	3	0.004261
43547	43795	3	0.004261
43547	43668	1	0.001420
43547	44053	3	0.004261
43547	44566	3	0.004261
43547	44440	3	0.004261
43547	43929	8	0.011364
43547	44059	2	0.002841
43547	44191	1	0.001420
43547	43813	3	0.004261
43547	43814	4	0.005682
43547	43560	4	0.005682
43547	44332	5	0.007102
43547	44599	10	0.014205
43547	44089	2	0.002841
43547	43965	3	0.004261
43547	43967	1	0.001420
43547	43718	2	0.002841
43547	43575	2	0.002841
43547	43724	1	0.001420
43547	44240	4	0.005682
43547	44371	2	0.002841
43547	44281	2	0.002841
43547	44632	2	0.002841
43547	43741	3	0.004261
43547	43685	1	0.001420
43547	44454	3	0.004261
43547	44006	2	0.002841
43547	44519	2	0.002841
43547	44523	11	0.015625
43547	44524	3	0.004261
43547	44013	2	0.002841
43547	44477	5	0.007102
43547	44486	1	0.001420
43547	43641	4	0.005682
43547	44155	1	0.001420
43547	43773	2	0.002841
43549	43975	1	0.009009
43549	44169	1	0.009009
43549	43783	1	0.009009
43549	44242	53	0.477477
43549	43796	1	0.009009
43549	43673	1	0.009009
43549	43641	8	0.072072
43549	44233	1	0.009009
43549	43965	1	0.009009
43550	43685	1	0.001751
43550	44240	1	0.001751
43550	43906	1	0.001751
43550	44523	1	0.001751
43550	44454	1	0.001751
43550	44390	2	0.003503
43550	44519	1	0.001751
43550	44599	2	0.003503
43550	44279	10	0.017513
43550	43824	2	0.003503
43550	43729	1	0.001751
43550	44242	1	0.001751
43550	43540	1	0.001751
43550	43943	4	0.007005
43550	44535	3	0.005254
43550	44440	2	0.003503
43550	43641	4	0.007005
43550	43929	3	0.005254
43550	44477	17	0.029772
43550	43806	1	0.001751
43550	44191	1	0.001751
43551	43813	1	0.005236
43551	44454	1	0.005236
43551	44519	1	0.005236
43551	44523	2	0.010471
43551	44477	2	0.010471
43551	43806	1	0.005236
43551	44127	1	0.005236
43552	44608	3	0.022901
43552	43777	2	0.015267
43552	43547	1	0.007634
43552	43780	1	0.007634
43552	44004	1	0.007634
43554	43906	1	0.000854
43554	43943	2	0.001708
43554	44523	2	0.001708
43554	43693	1	0.000854
43554	43982	2	0.001708
43554	43603	2	0.001708
43554	43574	4	0.003416
43554	44440	26	0.022203
43554	43641	1	0.000854
43554	44187	3	0.002562
43554	44574	1	0.000854
43556	44611	1	0.012195
43556	43974	1	0.012195
43556	44454	1	0.012195
43556	43575	1	0.012195
43556	44566	1	0.012195
43556	44599	3	0.036585
43556	44089	1	0.012195
43556	44317	2	0.024390
43556	44523	1	0.012195
43558	44339	2	0.002240
43558	43540	1	0.001120
43558	44477	1	0.001120
43558	43967	1	0.001120
43558	43813	3	0.003359
43559	44440	6	0.035088
43559	44446	1	0.005848
43559	43646	93	0.543860
43560	44191	3	0.214286
43561	43907	1	0.001346
43561	43783	2	0.002692
43561	44297	1	0.001346
43561	44172	10	0.013459
43561	44433	1	0.001346
43561	44572	15	0.020188
43561	44191	50	0.067295
43561	44199	4	0.005384
43561	44462	4	0.005384
43561	43567	6	0.008075
43561	44465	2	0.002692
43561	43699	1	0.001346
43561	44084	7	0.009421
43561	43701	15	0.020188
43561	44599	1	0.001346
43561	43836	10	0.013459
43561	43965	5	0.006729
43561	43967	2	0.002692
43561	44352	15	0.020188
43561	44242	9	0.012113
43561	44281	4	0.005384
43561	44636	15	0.020188
43561	43869	1	0.001346
43561	44003	3	0.004038
43561	44523	6	0.008075
43561	44524	1	0.001346
43561	43629	4	0.005384
43561	44530	1	0.001346
43561	44407	6	0.008075
43561	43641	11	0.014805
43563	43641	1	0.001938
43563	43986	2	0.003876
43563	43798	1	0.001938
43564	43929	1	0.013333
43564	44589	1	0.013333
43564	43967	1	0.013333
43566	44440	2	0.005831
43567	43937	6	0.007722
43567	43906	3	0.003861
43567	44427	3	0.003861
43567	44519	1	0.001287
43567	43641	8	0.010296
43567	44523	29	0.037323
43567	44142	1	0.001287
43567	44564	3	0.003861
43567	43943	2	0.002574
43567	44281	1	0.001287
43567	43924	286	0.368082
43567	43806	1	0.001287
43570	44242	1	0.013158
43570	44244	2	0.026316
43570	44191	5	0.065789
43571	44417	1	0.005556
43571	44106	3	0.016667
43571	43723	1	0.005556
43571	44332	7	0.038889
43571	44621	1	0.005556
43571	44462	8	0.044444
43571	44052	1	0.005556
43571	44344	2	0.011111
43572	44106	1	0.052632
43572	43941	2	0.105263
43573	44161	1	0.002457
43573	44612	2	0.004914
43573	44486	1	0.002457
43573	43967	404	0.992629
43575	44261	1	0.002242
43575	43718	1	0.002242
43575	43943	7	0.015695
43575	43600	1	0.002242
43575	43813	11	0.024664
43575	44446	1	0.002242
43575	44127	23	0.051570
43577	44523	1	0.062500
43578	44433	15	0.061475
43578	44462	3	0.012295
43579	43906	1	0.004444
43579	44003	1	0.004444
43579	44006	4	0.017778
43579	44168	9	0.040000
43579	43965	2	0.008889
43579	44523	1	0.004444
43579	43567	2	0.008889
43579	43920	25	0.111111
43579	44433	2	0.008889
43579	44242	11	0.048889
43579	43699	1	0.004444
43579	44564	1	0.004444
43579	44599	5	0.022222
43579	44281	7	0.031111
43579	44191	3	0.013333
43579	43645	230	1.022222
43579	43806	6	0.026667
43579	44084	1	0.004444
43580	44064	1	0.008547
43580	43618	2	0.017094
43580	43972	2	0.017094
43580	44266	3	0.025641
43580	44013	1	0.008547
43580	43699	1	0.008547
43580	43575	1	0.008547
43580	44440	18	0.153846
43580	44381	3	0.025641
43581	43584	957	0.119312
43581	44197	2	0.000249
43581	43567	6	0.000748
43581	44016	2	0.000249
43581	43858	2	0.000249
43581	44118	2	0.000249
43581	44536	6	0.000748
43581	43929	67	0.008353
43581	43934	2	0.000249
43581	44255	9	0.001122
43582	44258	3	0.004566
43582	44261	1	0.001522
43582	43947	4	0.006088
43582	44524	1	0.001522
43582	43757	3	0.004566
43582	43630	1	0.001522
43582	44433	2	0.003044
43582	43603	1	0.001522
43582	43765	1	0.001522
43582	43929	8	0.012177
43582	43993	2	0.003044
43582	43967	1	0.001522
43582	43741	1	0.001522
43582	44191	7	0.010654
43583	44440	7	0.015660
43583	44330	1	0.002237
43584	44422	1	0.000354
43584	44040	2	0.000709
43584	44221	2	0.000709
43584	43668	1	0.000354
43584	44188	2	0.000709
43584	44446	3	0.001063
43584	44197	26	0.009217
43584	44454	52	0.018433
43584	43689	2	0.000709
43584	44462	2	0.000709
43584	43567	1	0.000354
43584	43806	2	0.000709
43584	43575	1	0.000354
43584	44255	116	0.041120
43584	43581	155	0.054945
43584	43975	3	0.001063
43584	44491	2	0.000709
43584	44242	3	0.001063
43584	43990	1	0.000354
43584	43869	1	0.000354
43584	43941	1	0.000354
43584	44129	6	0.002127
43584	44003	1	0.000354
43584	44137	1	0.000354
43584	44523	1	0.000354
43584	43965	2	0.000709
43584	44536	9	0.003190
43584	44281	1	0.000354
43585	44611	2	0.250000
43586	44417	4627	1.996117
43586	44465	1	0.000431
43586	43990	1	0.000431
43586	44006	2	0.000863
43586	43633	1	0.000431
43586	44523	5	0.002157
43586	44332	8	0.003451
43586	44621	3	0.001294
43586	44462	2	0.000863
43586	43869	1	0.000431
43586	44433	4	0.001726
43586	44242	2	0.000863
43586	43699	2	0.000863
43586	43975	1	0.000431
43586	44599	1	0.000431
43586	43967	1	0.000431
43586	44317	2	0.000863
43586	43597	2	0.000863
43586	43941	2	0.000863
43587	44593	5	0.024390
43587	43806	3	0.014634
43587	44599	3	0.014634
43588	44433	2	0.038462
43588	44008	1	0.019231
43588	44330	2	0.038462
43588	44206	1	0.019231
43588	44104	1	0.019231
43588	43806	4	0.076923
43590	44176	1	0.011236
43590	44048	1	0.011236
43590	43772	1	0.011236
43590	44629	1	0.011236
43590	44462	1	0.011236
43591	44041	1	0.000636
43591	44052	7	0.004450
43591	44058	7	0.004450
43591	44060	1	0.000636
43591	43549	1	0.000636
43591	43561	1	0.000636
43591	44074	16	0.010172
43591	43567	21	0.013350
43591	44593	1	0.000636
43591	44599	1	0.000636
43591	44089	14	0.008900
43591	44617	1	0.000636
43591	44106	1	0.000636
43591	44638	1	0.000636
43591	44128	1	0.000636
43591	43618	1	0.000636
43591	44134	1	0.000636
43591	44139	1	0.000636
43591	43641	35	0.022250
43591	43646	7	0.004450
43591	44164	1	0.000636
43591	44171	1	0.000636
43591	43662	1	0.000636
43591	44179	1	0.000636
43591	44187	1	0.000636
43591	43694	1	0.000636
43591	43697	4	0.002543
43591	43704	2	0.001271
43591	43713	1	0.000636
43591	43718	7	0.004450
43591	44241	1	0.000636
43591	43730	1	0.000636
43591	43731	7	0.004450
43591	44244	1	0.000636
43591	44255	1	0.000636
43591	44258	1	0.000636
43591	44266	1	0.000636
43591	43757	1	0.000636
43591	44281	8	0.005086
43591	43777	7	0.004450
43591	43820	1	0.000636
43591	44321	1	0.000636
43591	43813	14	0.008900
43591	43816	1	0.000636
43591	44330	14	0.008900
43591	44332	4	0.002543
43591	43824	1	0.000636
43591	44339	1	0.000636
43591	44345	1	0.000636
43591	44353	1	0.000636
43591	43844	3	0.001907
43591	43848	1	0.000636
43591	43850	1	0.000636
43591	43864	1	0.000636
43591	43872	1	0.000636
43591	44385	1	0.000636
43591	44395	2	0.001271
43591	43884	1	0.000636
43591	43887	1	0.000636
43591	44411	1	0.000636
43591	44417	1	0.000636
43591	43906	13	0.008264
43591	43907	1	0.000636
43591	44433	40	0.025429
43591	44440	7	0.004450
43591	43929	28	0.017800
43591	43932	1	0.000636
43591	43934	1	0.000636
43591	44450	1	0.000636
43591	43947	1	0.000636
43591	44462	40	0.025429
43591	44464	1	0.000636
43591	44465	25	0.015893
43591	43959	1	0.000636
43591	44473	26	0.016529
43591	44477	14	0.008900
43591	44480	2	0.001271
43591	43977	1	0.000636
43591	43982	1	0.000636
43591	44496	1	0.000636
43591	44497	1	0.000636
43591	43986	1	0.000636
43591	44004	1	0.000636
43591	44519	10	0.006357
43591	44523	27	0.017165
43591	44532	1	0.000636
43592	44496	4	0.307692
43593	43755	1	0.007092
43593	43910	3	0.021277
43593	43754	1	0.007092
43593	44523	2	0.014184
43593	43788	2	0.014184
43593	44433	1	0.007092
43593	43764	1	0.007092
43593	44085	3	0.021277
43593	44084	2	0.014184
43593	44156	1	0.007092
43593	43965	4	0.028369
43593	44491	2	0.014184
43596	44440	4	0.235294
43597	44033	1	0.000546
43597	44037	1	0.000546
43597	44567	1	0.000546
43597	44056	1	0.000546
43597	44569	6	0.003273
43597	44059	120	0.065466
43597	43567	7	0.003819
43597	43571	1	0.000546
43597	43572	1	0.000546
43597	44599	28	0.015276
43597	44089	5	0.002728
43597	43591	1	0.000546
43597	44106	1	0.000546
43597	44112	1	0.000546
43597	44626	1	0.000546
43597	44127	12	0.006547
43597	44132	1	0.000546
43597	44645	1	0.000546
43597	44143	1	0.000546
43597	43633	1	0.000546
43597	43635	1	0.000546
43597	43641	2	0.001091
43597	44297	30	0.016367
43597	43646	133	0.072559
43597	44161	2	0.001091
43597	44169	44	0.024004
43597	44173	1	0.000546
43597	44175	1	0.000546
43597	44192	1	0.000546
43597	43681	1	0.000546
43597	43686	129	0.070376
43597	44199	829	0.452264
43597	44206	1	0.000546
43597	43697	1	0.000546
43597	43698	1	0.000546
43597	43699	1	0.000546
43597	44241	1	0.000546
43597	44244	6	0.003273
43597	44248	2	0.001091
43597	43741	1	0.000546
43597	44255	2	0.001091
43597	43746	2	0.001091
43597	44266	1	0.000546
43597	43687	1	0.000546
43597	43759	1	0.000546
43597	44273	1	0.000546
43597	44276	2	0.001091
43597	44278	1	0.000546
43597	43772	1	0.000546
43597	43777	40	0.021822
43597	43990	647	0.352973
43597	43820	3	0.001637
43597	43906	1	0.000546
43597	44306	1	0.000546
43597	43795	1	0.000546
43597	43806	1	0.000546
43597	44321	1	0.000546
43597	43814	3	0.001637
43597	44332	4	0.002182
43597	43824	1	0.000546
43597	43825	2	0.001091
43597	43828	3	0.001637
43597	44342	1	0.000546
43597	44344	4	0.002182
43597	44084	1	0.000546
43597	43838	1	0.000546
43597	43850	1	0.000546
43597	43575	8	0.004364
43597	44364	1	0.000546
43597	44373	1	0.000546
43597	43869	1694	0.924168
43597	44385	1	0.000546
43597	44395	1	0.000546
43597	44403	3	0.001637
43597	44404	1	0.000546
43597	44407	45	0.024550
43597	44417	2	0.001091
43597	44418	4	0.002182
43597	44523	62	0.033824
43597	44421	3	0.001637
43597	44427	192	0.104746
43597	44433	10	0.005456
43597	44436	1	0.000546
43597	44438	1	0.000546
43597	43929	1	0.000546
43597	43932	1	0.000546
43597	44446	4	0.002182
43597	44447	1	0.000546
43597	43937	5	0.002728
43597	44452	3	0.001637
43597	43941	209	0.114021
43597	44454	6	0.003273
43597	43943	3	0.001637
43597	44462	118	0.064375
43597	44464	1	0.000546
43597	43959	2	0.001091
43597	44473	15	0.008183
43597	43965	529	0.288598
43597	44363	2	0.001091
43597	44484	1	0.000546
43597	44486	1	0.000546
43597	43975	1957	1.067649
43597	44488	124	0.067649
43597	44491	1	0.000546
43597	44496	1	0.000546
43597	44497	2	0.001091
43597	44502	1	0.000546
43597	44511	2	0.001091
43597	44513	1	0.000546
43597	44003	6	0.003273
43597	44006	14	0.007638
43597	44011	1	0.000546
43597	44014	4	0.002182
43597	44530	3	0.001637
43597	44542	1	0.000546
43598	44266	1	0.111111
43598	44013	1	0.111111
43600	43777	2	0.000938
43600	43906	2	0.000938
43600	44205	1	0.000469
43600	44433	2	0.000938
43600	44161	3	0.001407
43600	44523	8	0.003752
43600	44519	4	0.001876
43600	44462	1	0.000469
43600	43567	1	0.000469
43600	43760	2	0.000938
43600	44401	2	0.000938
43600	44446	5	0.002345
43600	43575	5	0.002345
43600	44440	45	0.021107
43600	44281	1	0.000469
43600	44314	1	0.000469
43600	43646	12	0.005629
43603	43906	1	0.045455
43603	44523	2	0.090909
43603	44524	1	0.045455
43603	43540	6	0.272727
43603	43729	1	0.045455
43603	44084	22	1.000000
43603	43641	68	3.090909
43605	44604	1	0.083333
43605	43922	13	1.083333
43605	43795	5	0.416667
43605	44084	2	0.166667
43605	43967	24	2.000000
43606	44344	1	0.002000
43606	43699	1	0.002000
43606	44236	8	0.016000
43606	44125	1	0.002000
43606	44598	1	0.002000
43608	43777	5	0.003123
43608	44563	1	0.000625
43608	44436	1	0.000625
43608	44566	1	0.000625
43608	43806	1	0.000625
43608	44454	1	0.000625
43608	43559	1	0.000625
43608	44074	1	0.000625
43608	44205	1	0.000625
43608	44462	3	0.001874
43608	43567	4	0.002498
43608	44210	1	0.000625
43608	44446	10	0.006246
43608	44599	2	0.001249
43608	43575	2	0.001249
43608	43600	15	0.009369
43608	44242	1	0.000625
43608	44130	2	0.001249
43608	44006	1	0.000625
43608	44523	2	0.001249
43608	44142	1	0.000625
43608	44401	4	0.002498
43608	43795	1	0.000625
43608	44535	1	0.000625
43608	44281	3	0.001874
43609	43924	1	0.010753
43609	44267	3	0.032258
43609	44244	1	0.010753
43609	43965	1	0.010753
43609	44206	1	0.010753
43610	43869	1	0.022727
43611	44440	1	0.008264
43611	43575	1	0.008264
43612	44236	6	0.193548
43613	44477	2	0.025974
43614	44440	3	0.300000
43615	44135	3	0.007772
43615	43783	9	0.023316
43615	44524	3	0.007772
43615	44433	18	0.046632
43615	43641	3	0.007772
43615	44191	9	0.023316
43616	44484	1	0.002475
43616	44143	1	0.002475
43616	43857	5	0.012376
43616	44242	260	0.643564
43616	44244	4	0.009901
43616	44373	523	1.294554
43616	44344	2	0.004950
43618	44064	5	0.006693
43618	43972	4	0.005355
43618	43869	1	0.001339
43618	44599	1	0.001339
43618	43567	2	0.002677
43618	44145	1	0.001339
43618	44530	1	0.001339
43618	43603	1	0.001339
43618	43924	1	0.001339
43618	43863	5	0.006693
43618	43641	1	0.001339
43618	43580	12	0.016064
43618	44381	5	0.006693
43618	44191	1	0.001339
43619	43929	1	0.037037
43620	43986	3	0.041667
43621	44256	2	0.004505
43621	44640	2	0.004505
43621	44261	2	0.004505
43621	43975	2	0.004505
43621	44360	4	0.009009
43621	43965	2	0.004505
43621	44491	2	0.004505
43621	44333	2	0.004505
43621	43887	2	0.004505
43621	43568	2	0.004505
43621	43864	8	0.018018
43621	43945	2	0.004505
43621	44536	3	0.006757
43621	43567	2	0.004505
43621	43997	4	0.009009
43622	43777	64	0.329897
43622	44098	64	0.329897
43622	44276	64	0.329897
43622	44551	64	0.329897
43622	44268	64	0.329897
43622	44290	64	0.329897
43622	43699	14	0.072165
43622	43636	64	0.329897
43622	43929	128	0.659794
43622	44101	64	0.329897
43623	44006	1	0.001034
43623	44523	2	0.002068
43623	44462	21	0.021717
43623	44403	18	0.018614
43623	43731	2664	2.754912
43623	44599	1	0.001034
43623	44281	23	0.023785
43623	43965	2	0.002068
43623	43806	1	0.001034
43624	44040	26	0.036932
43624	43663	1	0.001420
43624	44433	3	0.004261
43624	44563	1	0.001420
43624	44567	2	0.002841
43624	44440	2	0.002841
43624	44059	1	0.001420
43624	43806	1	0.001420
43624	43942	1	0.001420
43624	43567	3	0.004261
43624	43699	2	0.002841
43624	44344	3	0.004261
43624	43965	4	0.005682
43624	43967	3	0.004261
43624	44615	1	0.001420
43624	43597	1	0.001420
43624	44111	90	0.127841
43624	44242	5	0.007102
43624	43641	4	0.005682
43624	44632	1	0.001420
43624	44389	1	0.001420
43624	44523	1	0.001420
43624	44524	2	0.002841
43624	44278	1	0.001420
43624	44407	1	0.001420
43624	44281	2	0.002841
43625	44440	8	0.008016
43625	44281	1	0.001002
43625	44523	1	0.001002
43625	43741	1	0.001002
43625	43965	1	0.001002
43626	43776	3	0.006726
43626	43783	2	0.004484
43626	44052	1	0.002242
43626	44053	3	0.006726
43626	44440	1	0.002242
43626	43929	2	0.004484
43626	44191	3	0.006726
43626	44202	3	0.006726
43626	44462	1	0.002242
43626	43567	1	0.002242
43626	44338	109	0.244395
43626	43699	4	0.008969
43626	44084	1	0.002242
43626	43575	5	0.011211
43626	44089	1	0.002242
43626	44348	2	0.004484
43626	43841	2	0.004484
43626	44242	40	0.089686
43626	43731	1	0.002242
43626	44127	8	0.017937
43626	44003	1	0.002242
43626	44523	3	0.006726
43626	44281	3	0.006726
43626	44330	1	0.002242
43627	44440	72	0.173494
43627	43575	1	0.002410
43627	44523	1	0.002410
43627	44519	1	0.002410
43628	44040	100	0.265957
43628	44219	14	0.037234
43629	44547	3	0.002144
43629	44040	1	0.000715
43629	44041	4	0.002859
43629	44567	24	0.017155
43629	43547	1	0.000715
43629	44060	3	0.002144
43629	43549	2	0.001430
43629	43550	1	0.000715
43629	43561	5	0.003574
43629	44074	1	0.000715
43629	43567	6	0.004289
43629	44593	3	0.002144
43629	43570	2	0.001430
43629	44084	1393	0.995711
43629	44085	3	0.002144
43629	44089	3	0.002144
43629	43578	2	0.001430
43629	44127	180	0.128663
43629	44094	3	0.002144
43629	44615	2	0.001430
43629	44617	2	0.001430
43629	44109	3	0.002144
43629	44111	5	0.003574
43629	43605	1	0.000715
43629	44632	1651	1.180129
43629	44122	3	0.002144
43629	44638	3	0.002144
43629	43615	3	0.002144
43629	43618	2	0.001430
43629	44134	3	0.002144
43629	44137	1	0.000715
43629	44138	3	0.002144
43629	44139	5	0.003574
43629	44142	2	0.001430
43629	43633	2	0.001430
43629	43641	17	0.012152
43629	43645	3	0.002144
43629	44164	3	0.002144
43629	43655	2	0.001430
43629	44171	2	0.001430
43629	43662	2	0.001430
43629	44179	5	0.003574
43629	43668	1	0.000715
43629	44181	2	0.001430
43629	44187	5	0.003574
43629	43680	4	0.002859
43629	44193	3	0.002144
43629	44199	3	0.002144
43629	44201	5	0.003574
43629	44574	1	0.000715
43629	44221	4	0.002859
43629	43713	2	0.001430
43629	43714	2	0.001430
43629	44234	5	0.003574
43629	44236	3	0.002144
43629	43725	3	0.002144
43629	44241	5	0.003574
43629	44242	12	0.008578
43629	44247	4	0.002859
43629	43741	1	0.000715
43629	44255	5	0.003574
43629	44258	3	0.002144
43629	43985	3	0.002144
43629	44268	2	0.001430
43629	43757	3	0.002144
43629	44281	5	0.003574
43629	43771	2	0.001430
43629	43781	1	0.000715
43629	43805	2	0.001430
43629	43806	7	0.005004
43629	44321	2	0.001430
43629	43810	2	0.001430
43629	44325	1	0.000715
43629	43820	3	0.002144
43629	43824	3	0.002144
43629	44338	2	0.001430
43629	44339	3	0.002144
43629	44344	515	0.368120
43629	44345	3	0.002144
43629	43839	1	0.000715
43629	43848	3	0.002144
43629	43850	4	0.002859
43629	44373	3	0.002144
43629	43864	3	0.002144
43629	43869	1	0.000715
43629	43872	2	0.001430
43629	44385	4	0.002859
43629	43884	5	0.003574
43629	43887	3	0.002144
43629	44401	2	0.001430
43629	44606	2	0.001430
43629	44407	2	0.001430
43629	44411	3	0.002144
43629	44417	3	0.002144
43629	43906	4	0.002859
43629	43907	3	0.002144
43629	44428	2	0.001430
43629	44433	4	0.002859
43629	43924	2	0.001430
43629	44437	3	0.002144
43629	44440	2	0.001430
43629	43932	3	0.002144
43629	43934	3	0.002144
43629	44450	2	0.001430
43629	44452	2	0.001430
43629	44453	4	0.002859
43629	43943	1	0.000715
43629	43947	3	0.002144
43629	44462	11	0.007863
43629	44464	1	0.000715
