Src	Trg	LinkCount	RelLinkCount
45056	44681	2	0.133333
45056	45194	1	0.066667
45056	44876	1	0.066667
45056	44973	2	0.133333
45056	45174	1	0.066667
45056	45081	13	0.866667
45056	44890	2	0.133333
45056	44734	13	0.866667
45056	44735	2	0.133333
45057	45120	1	0.001048
45057	44697	7	0.007338
45060	44897	2003	0.849089
45060	44966	4	0.001696
45060	45030	3	0.001272
45060	44881	1	0.000424
45060	44840	2005	0.849936
45060	44873	2028	0.859686
45060	44825	3	0.001272
45060	44715	3	0.001272
45060	44908	2001	0.848241
45060	45199	15	0.006359
45060	44977	2004	0.849513
45060	44754	2040	0.864773
45060	44727	2005	0.849936
45060	44953	2008	0.851208
45060	44730	52	0.022043
45060	45116	2004	0.849513
45060	45018	3	0.001272
45060	44703	2027	0.859262
45062	44768	158	1.000000
45062	44917	158	1.000000
45062	45199	159	1.006329
45064	44768	4	0.166667
45064	44897	4	0.166667
45064	44840	3	0.125000
45064	44873	6	0.250000
45064	44908	1	0.041667
45064	45199	12	0.500000
45064	44754	1	0.041667
45064	44727	2	0.083333
45064	44953	4	0.166667
45064	45116	3	0.125000
45064	44703	4	0.166667
45065	45184	1	0.002674
45065	44864	1	0.002674
45065	45187	2	0.005348
45065	45196	12	0.032086
45065	45122	1	0.002674
45065	44826	1	0.002674
45065	44703	5	0.013369
45065	44966	35	0.093583
45065	44976	2	0.005348
45065	44852	81	0.216578
45065	44985	1	0.002674
45065	45002	1	0.002674
45065	45120	4	0.010695
45065	44866	7	0.018717
45065	44996	1	0.002674
45065	44746	3	0.008021
45065	45005	1	0.002674
45065	44881	10	0.026738
45065	45139	1	0.002674
45065	45144	1	0.002674
45065	45017	1	0.002674
45065	45018	9	0.024064
45065	45025	1	0.002674
45065	45027	1	0.002674
45065	44655	2	0.005348
45065	45172	2	0.005348
45065	45174	5	0.013369
45065	45048	4	0.010695
45065	44922	1	0.002674
45066	44768	1	0.014706
45066	44966	76	1.117647
45066	44647	1	0.014706
45066	45000	68	1.000000
45066	44858	4	0.058824
45066	45040	1	0.014706
45066	44881	2	0.029412
45066	45139	2	0.029412
45066	44852	26	0.382353
45066	45174	1	0.014706
45066	45018	1	0.014706
45066	44890	5	0.073529
45066	45022	1	0.014706
45068	44917	28	1.000000
45068	44654	28	1.000000
45068	45199	28	1.000000
45071	45000	19	1.000000
45071	44966	19	1.000000
45073	45184	2	0.048780
45073	44722	3	0.073171
45073	44966	1	0.024390
45074	45157	2	0.002920
45074	45000	4	0.005839
45074	44845	2	0.002920
45074	45174	17	0.024818
45074	44858	2	0.002920
45074	44730	1	0.001460
45074	44766	4	0.005839
45076	45000	11	1.000000
45076	45018	8	0.727273
45076	44966	11	1.000000
45078	44786	2	0.200000
45078	44827	2	0.200000
45078	44652	45	4.500000
45078	44966	2	0.200000
45079	45000	9	1.000000
45079	44966	12	1.333333
45081	45056	13	0.866667
45081	44681	2	0.133333
45081	45194	1	0.066667
45081	44876	1	0.066667
45081	44973	2	0.133333
45081	45174	1	0.066667
45081	44890	2	0.133333
45081	44734	13	0.866667
45081	44735	2	0.133333
45082	44866	2	1.000000
45083	45120	2	0.003992
45083	44866	2	0.003992
45083	44966	2	0.003992
45083	45158	6	0.011976
45083	45000	5	0.009980
45083	45129	2	0.003992
45083	44937	3	0.005988
45083	45018	2	0.003992
45083	44703	4	0.007984
45085	44966	460	3.458647
45085	45041	1	0.007519
45085	45000	133	1.000000
45085	44716	133	1.000000
45085	44973	1	0.007519
45085	44881	1	0.007519
45085	44852	24	0.180451
45085	44825	1	0.007519
45085	44735	1	0.007519
45086	45120	3	0.090909
45086	44721	6	0.181818
45086	45000	1	0.030303
45086	44973	1	0.030303
45086	44703	1	0.030303
45087	45184	36	0.129964
45087	44803	12	0.043321
45087	44939	12	0.043321
45087	45197	4	0.014440
45087	44703	8	0.028881
45087	44966	16	0.057762
45087	44711	12	0.043321
45087	44840	20	0.072202
45087	44970	4	0.014440
45087	44973	8	0.028881
45087	44980	4	0.014440
45087	44726	4	0.014440
45087	44984	155	0.559567
45087	44852	4	0.014440
45087	44986	4	0.014440
45087	45118	4	0.014440
45087	44863	4	0.014440
45087	45120	32	0.115523
45087	44866	24	0.086643
45087	45000	40	0.144404
45087	45006	4	0.014440
45087	45139	4	0.014440
45087	44890	171	0.617329
45087	44858	4	0.014440
45087	44649	4	0.014440
45087	44778	4	0.014440
45087	45095	12	0.043321
45087	44653	156	0.563177
45087	44912	4	0.014440
45087	45174	20	0.072202
45087	45048	4	0.014440
45087	44991	4	0.014440
45087	44842	12	0.043321
45087	44798	4	0.014440
45088	45098	899	27.242424
45091	44917	2	1.000000
45092	45184	2	0.004090
45093	44713	2	0.125000
45094	45184	3	0.428571
45094	44866	6	0.857143
45094	44966	5	0.714286
45094	44977	2	0.285714
45094	44649	1	0.142857
45094	44746	1	0.142857
45094	44779	28	4.000000
45094	44881	5	0.714286
45094	44852	1	0.142857
45094	44949	11	1.571429
45094	45174	1	0.142857
45094	44890	1	0.142857
45094	45066	1	0.142857
45095	45197	1	0.008065
45095	44984	1	0.008065
45095	44827	2	0.016129
45095	44917	115	0.927419
45095	45199	5	0.040323
45096	45120	3	0.016304
45096	44897	4	0.021739
45096	44866	2	0.010870
45096	44966	13	0.070652
45096	45030	3	0.016304
45096	45098	513	2.788043
45096	44716	2	0.010870
45096	44858	2	0.010870
45097	44827	1	0.005376
45097	45199	5	0.026882
45098	45120	1	0.000765
45098	44897	14	0.010712
45098	44866	11	0.008416
45098	44966	4	0.003060
45098	45096	10	0.007651
45098	45066	1	0.000765
45098	44890	3	0.002295
45098	44845	5	0.003826
45098	44881	4	0.003060
45098	45139	4	0.003060
45098	44852	9	0.006886
45098	45174	49	0.037490
45098	45018	12	0.009181
45098	44829	6	0.004591
45103	44995	3	0.011494
45103	44966	491	1.881226
45103	44649	1	0.003831
45103	45000	240	0.919540
45103	45129	4	0.015326
45103	45066	2	0.007663
45103	44754	1	0.003831
45103	45006	1	0.003831
45103	44753	1	0.003831
45103	44722	1	0.003831
45103	45139	3	0.011494
45103	44852	1	0.003831
45103	44727	3	0.011494
45103	45083	1	0.003831
45103	44849	1	0.003831
45103	44703	1	0.003831
45104	44852	2	0.200000
45107	45123	2	0.083333
45107	44900	1	0.041667
45107	44838	1	0.041667
45107	44966	4	0.166667
45107	45191	1	0.041667
45107	45160	2	0.083333
45107	44686	1	0.041667
45107	44951	1	0.041667
45107	45018	22	0.916667
45107	44671	1	0.041667
45111	45120	6	0.015000
45111	44866	4	0.010000
45111	44966	28	0.070000
45111	44871	2	0.005000
45111	44969	2	0.005000
45111	44845	2	0.005000
45111	44973	14	0.035000
45111	44976	6	0.015000
45111	45139	2	0.005000
45111	44852	2	0.005000
45111	45174	16	0.040000
45111	45204	4	0.010000
45111	45018	12	0.030000
45111	44735	22	0.055000
45111	44890	6	0.015000
45111	44703	4	0.010000
45112	45129	1	0.076923
45112	44844	2	0.153846
45112	45101	2	0.153846
45112	45133	3	0.230769
45112	45141	2	0.153846
45112	44861	2	0.153846
45112	45013	3	0.230769
45113	44768	3	0.058824
45113	44930	2	0.039216
45113	44923	1	0.019608
45113	45060	1	0.019608
45113	44873	1	0.019608
45113	44908	1	0.019608
45113	45199	4	0.078431
45113	44977	1	0.019608
45113	44754	1	0.019608
45113	44917	1	0.019608
45113	44727	1	0.019608
45113	44825	1	0.019608
45113	44890	1	0.019608
45113	44827	2	0.039216
45113	44703	1	0.019608
45116	45184	4	0.006601
45116	45120	4	0.006601
45116	44795	2	0.003300
45116	45060	2	0.003300
45116	44966	1	0.001650
45116	44647	2	0.003300
45116	45129	1	0.001650
45116	44715	2	0.003300
45116	45199	1	0.001650
45116	44852	2	0.003300
45116	44727	1	0.001650
45116	44890	1	0.001650
45116	44827	2	0.003300
45116	45018	3	0.004950
45116	44703	3	0.004950
45117	44866	27	0.843750
45117	44917	27	0.843750
45117	45206	27	0.843750
45119	45120	1	0.038462
45119	44966	4	0.153846
45119	44844	24	0.923077
45119	44783	24	0.923077
45119	44881	2	0.076923
45119	45139	2	0.076923
45120	45184	4	0.006015
45120	44866	1	0.001504
45120	44902	1	0.001504
45120	44966	11	0.016541
45120	45000	1	0.001504
45120	45129	1	0.001504
45120	44976	3	0.004511
45120	45202	1	0.001504
45120	44852	55	0.082707
45120	45018	3	0.004511
45120	44959	1	0.001504
45120	44703	1	0.001504
45121	44917	5	1.000000
45121	45199	5	1.000000
45122	44768	1	0.021739
45122	44827	60	1.304348
45122	44917	60	1.304348
45122	44966	1	0.021739
45122	45199	3	0.065217
45123	45152	3	0.002676
45123	44838	3	0.002676
45123	44966	785	0.700268
45123	45000	777	0.693131
45123	44649	4	0.003568
45123	45002	63	0.056200
45123	45165	3	0.002676
45123	45199	2	0.001784
45123	44712	3	0.002676
45123	45107	3	0.002676
45123	45044	3	0.002676
45123	45174	5	0.004460
45123	45111	6	0.005352
45123	44980	3	0.002676
45123	45018	44	0.039251
45123	45211	7	0.006244
45123	44764	3	0.002676
45123	44826	1	0.000892
45126	45199	1	0.015625
45127	45000	26	1.000000
45127	44966	92	3.538462
45128	44866	14	1.000000
45129	44994	1	0.000730
45129	44966	3	0.002190
45129	44647	5	0.003650
45129	45000	1346	0.982482
45129	44653	1	0.000730
45129	44719	2	0.001460
45129	44852	4	0.002920
45129	45141	12	0.008759
45129	45048	2	0.001460
45129	45018	2	0.001460
45130	44768	4	0.013289
45132	45000	48	1.000000
45132	45139	1	0.020833
45132	44966	49	1.020833
45132	45199	2	0.041667
45134	45120	7	0.027344
45134	44866	4	0.015625
45134	44966	257	1.003906
45134	44647	1	0.003906
45134	45000	258	1.007812
45134	45068	1	0.003906
45134	44654	1	0.003906
45134	44694	266	1.039062
45134	44890	1	0.003906
45134	45018	1	0.003906
45134	44958	1	0.003906
45135	45139	2	0.004566
45135	44900	5	0.011416
45135	45078	2	0.004566
45135	44966	4	0.009132
45135	45000	394	0.899543
45135	44746	2	0.004566
45135	44652	8	0.018265
45135	44866	2	0.004566
45135	45107	2	0.004566
45135	44852	16	0.036530
45135	45174	4	0.009132
45135	45018	2	0.004566
45135	44890	1	0.002283
45135	45150	29	0.066210
45135	44703	62	0.141553
45136	45000	1	0.020000
45138	44866	2	0.019417
45138	44902	2	0.019417
45138	44966	119	1.155340
45138	45000	103	1.000000
45138	44649	4	0.038835
45138	45066	10	0.097087
45138	45132	4	0.038835
45138	45199	12	0.116505
45138	44881	2	0.019417
45138	45139	51	0.495146
45138	44852	46	0.446602
45138	45174	1	0.009709
45138	45018	6	0.058252
45138	45162	4	0.038835
45138	44799	8	0.077670
45139	44966	287	0.953488
45139	44647	2	0.006645
45139	45000	274	0.910299
45139	44649	10	0.033223
45139	44691	2	0.006645
45139	44852	11	0.036545
45139	45174	2	0.006645
45139	44890	1	0.003322
45139	45018	2	0.006645
45140	45120	1	0.002304
45140	45184	1	0.002304
45140	44966	401	0.923963
45140	44647	6	0.013825
45140	45000	397	0.914747
45140	45066	1	0.002304
45140	44915	1	0.002304
45140	44852	56	0.129032
45140	45098	1	0.002304
45140	45022	1	0.002304
45140	44703	1	0.002304
45141	45000	1	0.011236
45141	45129	2	0.022472
45142	45000	1	0.004149
45142	44917	1	0.004149
45142	45101	205	0.850622
45142	44966	1	0.004149
45142	45199	205	0.850622
45143	45199	45	0.918367
45144	45184	3	0.000815
45144	45187	3	0.000815
45144	44804	15012	4.080457
45144	44937	3	0.000815
45144	45196	3	0.000815
45144	44817	3	0.000815
45144	44826	3	0.000815
45144	44703	6	0.001631
45144	44966	2604	0.707801
45144	45098	3	0.000815
45144	44852	3	0.000815
45144	45065	4	0.001087
45144	44985	3	0.000815
45144	44866	6	0.001631
45144	44897	6	0.001631
45144	45000	3	0.000815
45144	45015	6	0.001631
45144	45017	3	0.000815
45144	45025	3	0.000815
45144	45027	3	0.000815
45144	44649	3	0.000815
45144	44908	6	0.001631
45144	44662	3	0.000815
45144	44670	3	0.000815
45145	44768	1	0.002151
45145	44932	1	0.002151
45145	45095	1	0.002151
45145	45199	4	0.008602
45145	44847	1	0.002151
45145	44916	2	0.004301
45145	45080	1	0.002151
45145	44827	1	0.002151
45145	44764	3	0.006452
45147	44682	1	0.021739
45147	45118	1	0.021739
45147	44991	1	0.021739
45148	44768	1	0.007299
45148	44966	1	0.007299
45148	45000	1	0.007299
45148	45199	293	2.138686
45148	44917	98	0.715328
45148	44827	1	0.007299
45149	44966	37	1.000000
45149	45030	3	0.081081
45149	44647	5	0.135135
45149	45000	37	1.000000
45149	44715	1	0.027027
45149	45073	1	0.027027
45149	45139	2	0.054054
45149	45018	3	0.081081
45150	45018	2	0.044444
45150	45135	1	0.022222
45150	45022	1	0.022222
45150	44966	2	0.044444
45150	44703	2	0.044444
45151	44768	1	0.001013
45151	44866	1	0.001013
45151	44966	2	0.002026
45151	45000	1	0.001013
45151	45199	4	0.004053
45151	44917	21	0.021277
45151	44827	4	0.004053
45152	45018	2	0.142857
45152	45123	1	0.071429
45153	45028	157	5.064516
45153	44966	86	2.774194
45153	45000	25	0.806452
45153	44649	22	0.709677
45153	44876	1	0.032258
45153	44653	9	0.290323
45153	45070	1	0.032258
45153	44881	1	0.032258
45153	44852	7	0.225806
45153	44830	8	0.258065
45153	44735	7	0.225806
45154	44852	9	0.126761
45155	44917	50	0.925926
45157	44866	4	0.078431
45157	45030	2	0.039216
45157	44966	8	0.156863
45157	45036	2	0.039216
45157	45165	1	0.019608
45157	44881	2	0.039216
45157	45074	2	0.039216
45157	45174	6	0.117647
45157	45048	2	0.039216
45157	45018	2	0.039216
45157	44890	2	0.039216
45159	45184	4	0.007299
45159	45188	3	0.005474
45159	44680	3	0.005474
45159	45199	2	0.003650
45159	44690	3	0.005474
45159	44966	30	0.054745
45159	44715	2	0.003650
45159	44852	6	0.010949
45159	44983	1	0.001825
45159	45120	34	0.062044
45159	44866	23	0.041971
45159	44995	6	0.010949
45159	45139	4	0.007299
45159	44759	5	0.009124
45159	45018	6	0.010949
45159	45149	2	0.003650
45159	44649	3	0.005474
45159	44788	6	0.010949
45159	44917	2	0.003650
45159	45174	3	0.005474
45159	45048	6	0.010949
45159	45054	4	0.007299
45160	44848	2	0.019802
45160	45107	2	0.019802
45160	44866	1	0.009901
45160	44979	2	0.019802
45160	44966	16	0.158416
45162	45000	6	1.000000
