Src	Trg	LinkCount	RelLinkCount
45215	46650	1	0.016949
45215	45492	1	0.016949
45215	45637	3	0.050847
45215	45442	1	0.016949
45217	45442	1	0.034483
45217	45637	1	0.034483
45217	45453	1	0.034483
45217	45742	1	0.034483
45217	45877	1	0.034483
45217	46235	1	0.034483
45217	46111	1	0.034483
45218	46473	27	0.964286
45219	45394	3	0.003497
45220	46125	1	0.007812
45221	46286	1	0.007752
45222	46464	1	0.016667
45222	45442	90	1.500000
45222	46235	5	0.083333
45222	45637	30	0.500000
45222	46024	41	0.683333
45222	46601	10	0.166667
45222	46186	6	0.100000
45222	45742	7	0.116667
45222	45976	38	0.633333
45222	46196	6	0.100000
45222	46582	2	0.033333
45222	46473	25	0.416667
45222	46232	19	0.316667
45222	45851	28	0.466667
45222	46602	40	0.666667
45222	46111	5	0.083333
45224	46304	1	0.000068
45224	45442	1	0.000068
45224	46244	14702	1.000204
45224	45637	2	0.000136
45224	45769	1	0.000068
45224	46594	1	0.000068
45225	46650	5	0.104167
45225	45851	2	0.041667
45225	45637	1	0.020833
45226	45220	2	0.034483
45226	45677	60	1.034483
45226	46397	3	0.051724
45226	46232	5	0.086207
45226	46142	3	0.051724
45226	45848	60	1.034483
45226	45469	59	1.017241
45226	45694	2	0.034483
45226	46111	1	0.017241
45227	46593	774	2.000000
45227	45734	3	0.007752
45227	46473	774	2.000000
45227	46677	4	0.010336
45227	45238	4	0.010336
45227	46601	2	0.005168
45227	46297	3	0.007752
45227	45342	4	0.010336
45228	46370	1	0.001842
45228	45897	566	1.042357
45228	45357	6	0.011050
45228	46303	2	0.003683
45228	45903	3	0.005525
45228	46293	1	0.001842
45228	46326	1	0.001842
45228	46473	5	0.009208
45228	46232	1	0.001842
45228	46671	1	0.001842
45228	45851	1	0.001842
45228	45694	3	0.005525
45228	46111	3	0.005525
45229	45890	1	0.000279
45229	46251	4	0.001116
45230	46370	8	0.013468
45230	46251	1	0.001684
45230	45608	1	0.001684
45230	45372	1	0.001684
45230	45931	1	0.001684
45230	45293	1	0.001684
45230	45442	3	0.005051
45230	46194	1	0.001684
45230	45620	1	0.001684
45230	45877	1	0.001684
45230	46326	8	0.013468
45230	46473	1	0.001684
45230	46293	1	0.001684
45230	46235	3	0.005051
45230	46300	2	0.003367
45230	46111	4	0.006734
45231	45442	15	3.750000
45231	46237	33	8.250000
45232	45473	2	0.011364
45232	45242	1	0.005682
45232	45442	1	0.005682
