Src	Trg	LinkCount	RelLinkCount
47104	47520	2	0.007812
47104	47365	4	0.015625
47104	46734	1	0.003906
47104	47056	1	0.003906
47104	46931	2	0.007812
47104	46840	14	0.054688
47105	46944	3	0.088235
47105	47532	2	0.058824
47105	46870	2	0.058824
47106	47105	1	0.025000
47106	47238	1	0.025000
47106	46731	1	0.025000
47106	46865	1	0.025000
47106	47380	1	0.025000
47106	46870	22	0.550000
47106	47337	1	0.025000
47106	46769	1	0.025000
47106	47273	1	0.025000
47106	46897	1	0.025000
47106	47414	1	0.025000
47106	47293	1	0.025000
47106	47557	1	0.025000
47106	47056	12	0.300000
47106	47441	1	0.025000
47106	47316	1	0.025000
47106	46806	1	0.025000
47106	46810	1	0.025000
47106	46817	1	0.025000
47106	47204	1	0.025000
47106	47590	1	0.025000
47106	47079	1	0.025000
47106	46825	397	9.925000
47106	47469	5	0.125000
47106	47088	1	0.025000
47106	47090	1	0.025000
47106	47230	1	0.025000
47106	47593	1	0.025000
47106	46841	1	0.025000
47106	46842	11	0.275000
47106	46974	1	0.025000
47107	46883	2	0.001800
47107	47078	1	0.000900
47107	47206	8	0.007201
47107	47463	2	0.001800
47107	47056	14	0.012601
47107	46898	2	0.001800
47107	47478	1	0.000900
47107	47255	4	0.003600
47109	47056	14	0.583333
47109	46883	1	0.041667
47109	47015	1	0.041667
47111	47363	4	0.057143
47111	46916	1	0.014286
47111	47181	1	0.014286
47111	47056	10	0.142857
47111	47478	7	0.100000
47111	47255	1	0.014286
47111	46842	1	0.014286
47112	47056	9	3.000000
47112	47284	3	1.000000
47112	47206	3	1.000000
47113	47056	592	0.986667
47113	46776	4	0.006667
47113	47580	584	0.973333
47113	46758	4	0.006667
47113	46870	4	0.006667
47114	46976	1	0.000695
47114	47296	1	0.000695
47114	47490	1	0.000695
47114	46979	1	0.000695
47114	47500	1	0.000695
47114	46734	6	0.004170
47114	46870	2	0.001390
47114	47134	14	0.009729
47114	46754	6	0.004170
47114	47141	1	0.000695
47114	46892	3	0.002085
47114	46895	1	0.000695
47114	47284	2	0.001390
47114	47419	1	0.000695
47114	46909	2	0.001390
47114	46911	1	0.000695
47114	47552	1	0.000695
47114	46916	4	0.002780
47114	46789	2	0.001390
47114	46790	1	0.000695
47114	47434	5	0.003475
47114	47565	1	0.000695
47114	47056	5	0.003475
47114	46935	1	0.000695
47114	46936	1	0.000695
47114	47588	9	0.006254
47114	47578	7	0.004864
47114	46692	1	0.000695
47114	47206	35	0.024322
47114	47078	1	0.000695
47114	47208	1	0.000695
47114	46827	1	0.000695
47114	46831	1	0.000695
47114	47101	2	0.001390
47115	47056	4	0.008677
47115	47181	1	0.002169
47115	46734	461	1.000000
47116	47056	93	3.000000
47116	47580	3	0.096774
47117	47056	332	3.688889
47118	47396	1	0.016667
47118	47206	5	0.083333
47119	47181	2	0.008889
47121	46780	1	0.003012
47121	47236	506	1.524096
47121	47173	1	0.003012
47121	47047	506	1.524096
47121	46985	1	0.003012
47121	47083	1	0.003012
47121	47056	563	1.695783
47121	46789	2	0.006024
47121	46819	1	0.003012
47121	47156	1	0.003012
47121	47063	1	0.003012
47121	46756	1	0.003012
47121	47322	506	1.524096
47121	47044	1	0.003012
47121	47199	1	0.003012
47122	47101	5	0.138889
47124	46800	3	0.005660
47124	46789	3	0.005660
47124	47206	14	0.026415
47124	47056	12	0.022642
47124	46870	3	0.005660
47124	46935	2	0.003774
47124	47033	3	0.005660
47124	47419	3	0.005660
47124	47141	1	0.001887
47125	46840	1	0.016667
47125	47441	1	0.016667
47125	46842	1	0.016667
47125	46789	1	0.016667
47125	46870	6	0.100000
47127	47105	1	0.025000
47127	47238	1	0.025000
47127	46731	1	0.025000
47127	46865	1	0.025000
47127	47380	1	0.025000
47127	46870	22	0.550000
47127	47337	1	0.025000
47127	46769	1	0.025000
47127	47273	1	0.025000
47127	46897	1	0.025000
47127	47414	1	0.025000
47127	47293	1	0.025000
47127	47557	1	0.025000
47127	47056	12	0.300000
47127	47441	1	0.025000
47127	47316	1	0.025000
47127	46806	1	0.025000
47127	46810	1	0.025000
47127	46817	1	0.025000
47127	47204	1	0.025000
47127	47590	1	0.025000
47127	47079	1	0.025000
47127	46825	397	9.925000
47127	47469	5	0.125000
47127	47088	1	0.025000
47127	47090	1	0.025000
47127	47230	1	0.025000
47127	47593	1	0.025000
47127	46841	1	0.025000
47127	46842	11	0.275000
47127	46974	1	0.025000
47128	47056	120	0.182648
47128	47563	1	0.001522
47130	46888	4	0.800000
47131	47232	2	0.005063
47131	47297	2	0.005063
47131	47363	2	0.005063
47131	46784	2	0.005063
47131	46789	106	0.268354
47131	46758	2	0.005063
47131	46985	2	0.005063
47131	47147	2	0.005063
47131	47190	1	0.002532
47131	47056	15	0.037975
47131	47441	1	0.002532
47131	46800	1	0.002532
47131	47478	8	0.020253
47131	47385	2	0.005063
47131	46842	13	0.032911
47131	47142	2	0.005063
