Src	Trg	LinkCount	RelLinkCount
47598	48162	1	0.250000
47599	47976	747	7.047170
47599	47917	1	0.009434
47599	47862	2	0.018868
47601	48237	10	0.454545
47606	48260	3	0.107143
47608	48050	1	0.001965
47608	48260	16	0.031434
47609	47672	6	0.011215
47609	47752	3	0.005607
47609	48150	15	0.028037
47611	48033	1	0.016949
47611	47672	1	0.016949
47611	47752	1	0.016949
47611	47852	1	0.016949
47611	48272	1	0.016949
47611	48076	1	0.016949
47611	47954	1	0.016949
47611	47664	1	0.016949
47611	48200	1	0.016949
47611	47762	1	0.016949
47611	48083	1	0.016949
47611	48277	1	0.016949
47611	48120	1	0.016949
47611	47730	1	0.016949
47611	47771	5	0.084746
47612	48088	2	0.008889
47612	48138	1	0.004444
47612	47853	3	0.013333
47613	48260	1	0.003077
47613	48200	2	0.006154
47613	48076	1	0.003077
47613	48014	1	0.003077
47613	48272	1	0.003077
47613	48209	2	0.006154
47613	47730	1	0.003077
47613	48277	1	0.003077
47614	48237	14	0.933333
47617	48257	2	0.001859
47617	48260	44	0.040892
47617	47882	2	0.001859
47617	48014	3	0.002788
47617	48272	3	0.002788
47617	47762	1	0.000929
47617	48020	1075	0.999071
47617	48277	4	0.003717
47617	47905	4	0.003717
47617	48034	3	0.002788
47617	47651	1	0.000929
47617	47780	2	0.001859
47617	48166	4	0.003717
47617	48295	4	0.003717
47617	47917	4	0.003717
47617	48174	1	0.000929
47617	48057	3	0.002788
47617	48059	4	0.003717
47617	48190	6	0.005576
47617	47943	2	0.001859
47617	48200	6	0.005576
47617	48076	3	0.002788
47617	48162	3	0.002788
47617	47822	1	0.000929
47617	48083	2	0.001859
47617	47705	2	0.001859
47617	47845	1	0.000929
47617	48233	3	0.002788
47617	47852	3	0.002788
47617	48237	1079	1.002788
47617	47730	3	0.002788
47617	47989	1	0.000929
47617	47608	1	0.000929
47617	47993	1	0.000929
47618	48089	22	0.025731
47619	48261	1	0.007143
47619	47617	1	0.007143
47619	48194	2	0.014286
47619	47747	1	0.007143
47619	48229	1	0.007143
47619	47705	1	0.007143
47619	47687	5	0.035714
47619	47688	3	0.021429
47619	48076	2	0.014286
47619	47884	6	0.042857
47619	48237	13	0.092857
47619	48142	4	0.028571
47619	48241	1	0.007143
47619	47762	2	0.014286
47619	48052	2	0.014286
47619	47989	1	0.007143
47619	47673	2	0.014286
47619	47761	2	0.014286
47619	47609	1	0.007143
47619	48221	2	0.014286
47619	47941	1	0.007143
47621	48059	2	0.051282
47623	47659	1187	4.239286
47623	48199	464	1.657143
47624	48260	1	0.083333
47624	47710	1	0.083333
47627	48034	10	0.109890
47627	47730	2	0.021978
47627	48062	2	0.021978
47628	48249	179	0.129429
47628	48286	2	0.001446
47629	47735	419	0.668262
47630	48272	2	0.001564
47630	47971	3	0.002346
47630	47784	1	0.000782
47630	47917	1	0.000782
47630	47951	1	0.000782
47630	47664	4	0.003127
47630	48209	2	0.001564
47631	47917	1	0.071429
47633	48200	1	0.027027
47633	47971	1	0.027027
47633	48237	4	0.108108
47633	48277	1	0.027027
47635	48083	33	0.092179
47638	48071	2	0.007092
47638	47660	2	0.007092
47638	48076	4	0.014184
47638	47709	1	0.003546
47638	48277	2	0.007092
47638	47805	61	0.216312
47638	48286	2	0.007092
47639	48131	1	0.005025
47639	47748	2	0.010050
47639	47835	1	0.005025
47639	47880	1	0.005025
47639	47882	1	0.005025
47639	48139	1	0.005025
47639	47884	1	0.005025
47639	48142	1	0.005025
47639	48015	1	0.005025
47639	48144	1	0.005025
47639	48277	3	0.015075
47639	48150	1	0.005025
47639	48260	1	0.005025
47639	48034	1	0.005025
47639	47853	1	0.005025
47639	48036	1	0.005025
47639	48174	1	0.005025
47639	47921	1	0.005025
47639	47924	1	0.005025
47639	48053	1	0.005025
47639	47673	1	0.005025
47639	47674	1	0.005025
47639	48187	73	0.366834
47639	47937	1	0.005025
47639	47682	1	0.005025
47639	48071	1	0.005025
47639	47688	1	0.005025
47639	47696	1	0.005025
47639	47992	1	0.005025
47639	48083	1	0.005025
47639	47700	1	0.005025
47639	48086	1	0.005025
47639	48021	1	0.005025
47639	48089	1	0.005025
47639	48091	1	0.005025
47639	47709	1	0.005025
47639	48224	1	0.005025
47639	47978	1	0.005025
47639	48237	62	0.311558
47639	48118	1	0.005025
47639	47735	1	0.005025
47639	47864	1	0.005025
47639	48249	1	0.005025
47639	48255	1	0.005025
47641	47744	5	0.003519
47641	47917	1	0.000704
47641	48209	2	0.001407
47641	48190	12	0.008445
47641	48250	11	0.007741
47641	48286	1	0.000704
47645	48052	12	4.000000
47645	47956	197	65.666667
47646	48237	4	0.173913
47648	47791	1	0.000829
47648	47617	2	0.001658
47648	48162	1	0.000829
47648	47869	1	0.000829
47648	47845	17	0.014096
47648	48071	5	0.004146
47648	48047	1	0.000829
47648	47882	5	0.004146
47648	47917	7	0.005804
47648	48270	19	0.015755
47648	48237	2	0.001658
47648	48059	3	0.002488
47648	47729	1	0.000829
47648	48083	5	0.004146
47648	48277	5	0.004146
47648	48086	6	0.004975
47648	47799	2	0.001658
47648	47867	6	0.004975
47648	47709	2	0.001658
47648	48286	3	0.002488
47648	47839	2	0.001658
47652	48237	15	0.576923
47654	47650	9	0.008079
47654	48099	1	0.000898
47654	47917	1	0.000898
47654	47750	3	0.002693
47654	47997	3	0.002693
47654	47752	6	0.005386
47654	47755	3	0.002693
47654	47981	3	0.002693
47654	48110	3	0.002693
47654	48111	6	0.005386
47654	47792	3	0.002693
47654	48145	3	0.002693
47654	48235	3	0.002693
47654	48148	3	0.002693
47654	47861	18	0.016158
47654	48136	3	0.002693
47654	47609	3	0.002693
47654	47631	3	0.002693
47654	48125	3	0.002693
47659	48098	10	0.011891
47659	47779	20	0.023781
47659	47945	10	0.011891
47659	47791	10	0.011891
47659	48083	3	0.003567
47659	47771	15	0.017836
47659	48159	10	0.011891
47660	48033	1	0.000495
47660	48176	2	0.000990
47660	48272	1	0.000495
47660	48237	1	0.000495
47660	47664	9	0.004455
47660	48209	1	0.000495
47660	48277	11	0.005446
47660	48086	1	0.000495
47660	47672	5	0.002475
47660	47709	2	0.000990
47660	48190	1	0.000495
47662	48076	37	0.136531
47662	47882	6	0.022140
47662	47852	4	0.014760
47662	48209	4	0.014760
47662	48286	7	0.025830
47662	48190	6	0.022140
47663	48162	1	0.009709
47663	48083	3	0.029126
47663	47700	1	0.009709
47663	48237	4	0.038835
47664	48240	80	0.046893
47664	47971	1	0.000586
47664	47992	3	0.001758
47664	47845	1	0.000586
47664	48134	2	0.001172
47664	48199	1	0.000586
47664	48200	3	0.001758
47664	48076	2	0.001172
47664	48272	1	0.000586
47664	47852	1	0.000586
47664	48237	1	0.000586
47664	48209	1	0.000586
47664	48176	63	0.036928
47664	47784	3	0.001758
47664	48083	1	0.000586
47664	48033	1	0.000586
47664	48277	2	0.001172
47664	47672	3	0.001758
47664	47709	1	0.000586
47664	48190	2	0.001172
47664	47660	8	0.004689
47665	47872	1	0.009091
47665	47937	1	0.009091
47665	48071	1	0.009091
47665	47882	5	0.045455
47665	48237	30	0.272727
47665	48083	1	0.009091
47665	48277	2	0.018182
47665	48190	1	0.009091
47667	48249	2	0.066667
47667	47628	1	0.033333
47668	48001	2	0.004651
47668	48229	1	0.002326
47668	48200	4	0.009302
47668	48209	4	0.009302
47668	47766	1	0.002326
47668	48284	2	0.004651
47672	48033	1	0.000984
47672	48162	962	0.946850
47672	47845	1	0.000984
47672	48209	3	0.002953
47672	48007	1	0.000984
47672	47752	8	0.007874
47672	47660	2	0.001969
47672	48076	1	0.000984
47672	47852	1	0.000984
47672	47762	1	0.000984
47672	47662	1	0.000984
47672	48237	1	0.000984
47672	48176	63	0.062008
47672	48200	1	0.000984
47672	47890	3	0.002953
47672	47730	1	0.000984
47672	47799	1	0.000984
47672	47954	1	0.000984
47672	47804	1	0.000984
47672	48190	19	0.018701
47674	47915	2	0.001051
47674	47660	2	0.001051
47674	48237	4	0.002102
47674	47824	7	0.003678
47674	47891	2	0.001051
47674	47828	2	0.001051
47674	47742	6	0.003153
47674	47800	6	0.003153
47674	47900	1	0.000525
47674	48158	7	0.003678
47676	47917	4	0.004673
47676	47805	1	0.001168
47677	48260	8	0.380952
47678	47689	30	0.303030
47678	47853	86	0.868687
47679	47712	3	0.003601
47679	48033	8	0.009604
47679	48129	30	0.036014
47679	48192	1	0.001200
47679	48272	1	0.001200
47679	47762	1	0.001200
47679	48142	5	0.006002
47679	47917	1	0.001200
47679	47664	2	0.002401
47679	48209	2	0.002401
47679	47954	7	0.008403
47679	48277	1	0.001200
47679	47672	1	0.001200
47679	48190	1	0.001200
47680	48272	13	0.481481
47680	47716	1	0.037037
47680	48176	4	0.148148
47680	47762	4	0.148148
47680	47664	1	0.037037
47680	47770	1	0.037037
47682	48289	1	0.002188
47682	47717	3	0.006565
47682	47974	3	0.006565
47682	47882	1	0.002188
47682	48237	1	0.002188
47682	47910	1	0.002188
47682	48179	2	0.004376
47682	47700	1	0.002188
47682	48277	1	0.002188
47682	47641	1	0.002188
47682	48250	3	0.006565
47682	48059	1	0.002188
47682	48083	2	0.004376
47682	47942	2	0.004376
47684	47648	1	0.008130
47684	48162	5	0.040650
47684	48233	1	0.008130
47684	47993	1	0.008130
47684	47867	2	0.016260
47684	47709	1	0.008130
47685	47905	17	0.005468
47685	47618	4	0.001287
47685	48200	2	0.000643
47685	48044	6	0.001930
47685	47882	6	0.001930
47685	48076	10	0.003216
47685	47917	10	0.003216
47685	47823	13	0.004181
47685	47952	16874	5.427469
47685	47762	3	0.000965
47685	48277	8	0.002573
47685	48089	38	0.012223
47685	47727	2	0.000643
47685	48286	2	0.000643
47687	47905	1	0.002924
47687	47812	1	0.002924
47687	48200	1	0.002924
47687	48076	1	0.002924
47687	48142	1	0.002924
47687	48144	26	0.076023
47687	47761	1	0.002924
47687	47890	2	0.005848
47687	47891	3	0.008772
47687	47929	2	0.005848
47687	48286	1	0.002924
47688	47992	3	0.013953
47688	47664	3	0.013953
47688	48162	2	0.009302
47688	47660	1	0.004651
47688	47882	6	0.027907
47689	48145	1	0.003472
47689	47917	12	0.041667
47692	47917	14	0.100000
47692	47848	1	0.007143
47692	47629	38	0.271429
47692	47735	56	0.400000
47693	47709	153	1.000000
47694	47737	1	0.000951
47694	48162	1	0.000951
47694	48131	7	0.006654
47694	47709	1	0.000951
47695	48162	2	0.022472
47695	47709	180	2.022472
47695	48237	16	0.179775
47696	48162	2	0.026667
47696	47882	1	0.013333
47696	48237	1	0.013333
47696	48111	3	0.040000
47696	48114	4	0.053333
47696	48086	3	0.040000
47696	47772	2	0.026667
47696	48221	1	0.013333
47700	48162	2	0.050000
47700	48237	50	1.250000
47700	48190	2	0.050000
47700	47709	2	0.050000
47701	47992	10	0.285714
47701	47784	1	0.028571
47701	48237	1	0.028571
47701	47630	1	0.028571
47701	47951	34	0.971429
47703	47917	3	0.004354
47703	48081	1	0.001451
47703	48277	3	0.004354
47703	47654	2	0.002903
47703	48015	9	0.013062
47704	47660	10	0.188679
47704	48237	2	0.037736
47705	47905	1	0.002212
47705	48034	18	0.039823
47705	48260	2	0.004425
47705	47882	1	0.002212
47705	48162	2	0.004425
47705	47917	2	0.004425
47705	47828	1	0.002212
47705	48059	2	0.004425
47705	48286	1	0.002212
47707	47762	1	0.010870
47707	48059	1	0.010870
47707	48277	1	0.010870
47707	47966	1	0.010870
47709	48128	1	0.000266
47709	47617	6	0.001596
47709	47618	1	0.000266
47709	48131	4	0.001064
47709	48133	3	0.000798
47709	47622	1	0.000266
47709	48129	1	0.000266
47709	48138	4	0.001064
47709	48139	5	0.001330
47709	48130	1	0.000266
47709	48142	15	0.003989
47709	48144	7	0.001862
47709	47619	56	0.014894
47709	48150	4	0.001064
47709	48151	1	0.000266
47709	48154	1	0.000266
47709	47644	1	0.000266
47709	48158	1	0.000266
47709	47648	6	0.001596
47709	48162	132	0.035106
47709	47651	2	0.000532
47709	48134	10	0.002660
47709	48169	2	0.000532
47709	48171	2	0.000532
47709	48172	1	0.000266
47709	48174	4	0.001064
47709	47664	6	0.001596
47709	47665	2	0.000532
47709	47672	1	0.000266
47709	47673	3	0.000798
47709	47674	5	0.001330
47709	48187	2	0.000532
47709	48190	26	0.006915
47709	47681	1	0.000266
47709	47682	4	0.001064
47709	48199	4	0.001064
47709	47688	5	0.001330
47709	47629	3	0.000798
47709	47696	2	0.000532
47709	48209	33	0.008777
47709	47715	3	0.000798
47709	47700	3	0.000798
47709	48213	2	0.000532
47709	47705	2	0.000532
47709	47707	4	0.001064
47709	48221	3	0.000798
47709	47717	2	0.000532
47709	48224	5	0.001330
47709	48225	2	0.000532
47709	48227	3	0.000798
47709	48229	4	0.001064
47709	47720	3	0.000798
47709	47722	1	0.000266
47709	47724	36	0.009574
47709	48237	533	0.141755
47709	47727	1	0.000266
47709	48241	4	0.001064
47709	47730	1	0.000266
47709	47725	2	0.000532
47709	48246	1	0.000266
47709	47735	6	0.001596
47709	47736	4	0.001064
47709	47737	1	0.000266
47709	48250	1	0.000266
47709	47739	3	0.000798
47709	47742	2	0.000532
47709	48255	2	0.000532
47709	47745	3	0.000798
47709	47747	1	0.000266
47709	48260	7	0.001862
47709	48261	5	0.001330
47709	48264	3	0.000798
47709	47756	36	0.009574
47709	48270	15	0.003989
47709	47759	2	0.000532
47709	48272	7	0.001862
47709	47761	1	0.000266
47709	47762	6	0.001596
47709	47811	7	0.001862
47709	47764	2	0.000532
47709	48277	10	0.002660
47709	48279	2	0.000532
47709	48280	1	0.000266
47709	47771	3	0.000798
47709	47772	1	0.000266
47709	48286	238	0.063298
47709	48287	1	0.000266
47709	47776	2	0.000532
47709	47778	1	0.000266
47709	47780	4	0.001064
47709	47729	71	0.018883
