Src	Trg	LinkCount	RelLinkCount
49152	49486	2	1.000000
49153	48513	1	0.000526
49153	48378	1	0.000526
49153	48303	2	0.001052
49153	48807	1398	0.735016
49154	49708	17	0.011980
49155	48975	1	0.028571
49160	48457	239	2.542553
49160	48914	1	0.010638
49160	48911	2	0.021277
49160	48868	9	0.095745
49160	48463	2	0.021277
49162	48536	3	1.000000
49162	48513	127	42.333333
49162	48381	3	1.000000
49162	48758	3	1.000000
49162	49177	3	1.000000
49163	49472	1	0.002000
49163	49543	1	0.002000
49163	49161	1	0.002000
49163	49173	1	0.002000
49163	49305	1	0.002000
49163	49685	1620	3.240000
49164	48536	3	1.000000
49164	49177	3	1.000000
49164	48381	3	1.000000
49164	48758	3	1.000000
49164	48513	88	29.333333
49165	48513	1	0.000044
49165	48978	1	0.000044
49165	48741	44962	2.000000
49165	48967	1	0.000044
49167	49088	1	0.002660
49167	48513	1	0.002660
49167	49315	1	0.002660
49167	49541	3	0.007979
49167	49766	1	0.002660
49167	49383	4	0.010638
49167	49148	1	0.002660
49167	48906	4	0.010638
49167	49771	1	0.002660
49167	48301	1	0.002660
49167	48398	1	0.002660
49167	48370	1	0.002660
49167	49185	1	0.002660
49167	48758	1	0.002660
49167	49593	1	0.002660
49167	49177	2	0.005319
49167	48914	1	0.002660
49167	49467	3	0.007979
49167	49308	1	0.002660
49167	49162	2	0.005319
49167	49567	1	0.002660
49169	48513	4	0.064516
49169	48903	4	0.064516
49172	49584	3	0.037037
49172	48513	1	0.012346
49173	49649	1	0.001099
49175	48536	2	1.000000
49175	49177	2	1.000000
49175	48381	2	1.000000
49175	48758	2	1.000000
49175	48513	26	13.000000
49176	49664	3	0.045455
49176	49467	1	0.015152
49176	48517	3	0.045455
49176	48870	1	0.015152
49176	49703	1	0.015152
49176	49449	4	0.060606
49176	49388	3	0.045455
49176	49007	1	0.015152
49176	48656	1	0.015152
49176	49042	1	0.015152
49176	49075	1	0.015152
49176	49781	1	0.015152
49176	49177	9	0.136364
49176	49531	5	0.075758
49176	49596	1	0.015152
49176	48798	1	0.015152
49176	49541	1	0.015152
49177	48513	7	0.038251
49177	49399	1	0.005464
49177	49541	1	0.005464
49177	48758	9	0.049180
49177	48381	1	0.005464
49179	48513	59	3.105263
49179	49177	1	0.052632
49180	49289	1	0.005882
49181	48513	2	0.013158
49181	48682	1	0.006579
49181	48507	1	0.006579
49181	49340	1	0.006579
49181	48769	1	0.006579
49182	48461	28	1.166667
49183	48903	1	0.004444
49183	48513	6	0.026667
49183	48895	2	0.008889
49183	48615	64	0.284444
49184	48953	85	0.615942
49184	48851	87	0.630435
49184	48513	135	0.978261
49185	48513	1	0.071429
49186	49021	1	0.002309
49186	49663	1	0.002309
49186	49685	1419	3.277136
49186	49143	2	0.004619
49187	48513	1	0.023810
49187	49221	1	0.023810
49188	48513	6	0.000960
49188	49221	3	0.000480
49188	49103	3	0.000480
49188	49649	7	0.001120
49188	49205	3	0.000480
49188	48953	4	0.000640
49189	48513	3413	0.845011
49189	49221	3	0.000743
49189	49103	1	0.000248
49192	49315	1	0.100000
49192	49053	3	0.300000
49196	49188	9	0.391304
49197	48797	30	2.000000
49198	48513	12	0.272727
