Src	Trg	LinkCount	RelLinkCount
50177	50201	2	0.028571
50178	50098	1	0.083333
50181	50201	2	0.083333
50181	50039	4	0.166667
50182	49998	14	2.333333
50183	50201	69	1.045455
50184	50201	2	0.064516
50184	50039	4	0.129032
50185	49905	1	0.100000
50185	50107	4	0.400000
50187	50040	6	0.013393
50187	50018	1	0.002232
50187	50109	3	0.006696
50188	50112	12	0.923077
50188	49998	39	3.000000
50190	50201	2	0.009804
50190	50018	2	0.009804
50190	49915	1	0.004902
50190	50070	1	0.004902
50190	49998	1	0.004902
50192	49930	21	0.002159
50192	49937	2	0.000206
50192	50131	19	0.001954
50192	50014	5	0.000514
50192	50070	66	0.006786
50192	50039	35	0.003599
50192	50201	400	0.041127
50192	50107	8	0.000823
50192	49820	10	0.001028
50192	50174	5	0.000514
50193	50201	2	0.009804
50193	50018	2	0.009804
50193	49915	1	0.004902
50193	50070	1	0.004902
50193	49998	1	0.004902
50194	50120	2	1.000000
50194	50174	2	1.000000
50196	50017	1	0.004630
50196	50146	4	0.018519
50196	50116	17	0.078704
50196	49899	1	0.004630
50196	50162	2	0.009259
50196	49998	4	0.018519
50196	49842	1	0.004630
50196	49908	1	0.004630
50196	50199	3	0.013889
50196	49828	1	0.004630
50196	50202	2	0.009259
50196	50107	4	0.018519
50196	49823	1	0.004630
50197	49833	5	1.250000
50198	50050	89	0.135464
50198	49963	11	0.016743
50198	49956	5	0.007610
50198	49957	44	0.066971
50198	49847	1	0.001522
50198	49998	6	0.009132
50198	49967	55	0.083714
50198	50201	2	0.003044
50198	49905	16	0.024353
50198	50196	2	0.003044
50198	50014	1	0.001522
50198	49942	7	0.010654
50198	50039	147	0.223744
50198	49945	2	0.003044
50198	49850	1	0.001522
50198	50107	36	0.054795
50198	50108	165	0.251142
50198	50070	4	0.006088
50198	50174	2	0.003044
50198	50143	4	0.006088
50199	49841	4	0.148148
50199	50107	18	0.666667
50199	50039	3	0.111111
50200	50049	1	0.000197
50200	49930	3	0.000592
50200	49933	1	0.000197
50200	50070	4	0.000790
50200	49946	3	0.000592
50200	49820	3	0.000592
50200	49828	1	0.000197
50200	49830	2	0.000395
50200	49906	4953	0.977694
50200	49841	16	0.003158
50200	49970	1	0.000197
50200	49843	9	0.001777
50200	49847	1	0.000197
50200	49849	3	0.000592
50200	49850	1	0.000197
50200	50107	3	0.000592
50200	50122	1	0.000197
50200	49989	1	0.000197
50200	49866	4	0.000790
50200	49996	7	0.001382
50200	49873	1	0.000197
50200	50139	2	0.000395
50200	50017	1	0.000197
50200	50018	1	0.000197
50200	49851	1	0.000197
50200	50150	1	0.000197
50200	50153	44	0.008685
50200	49899	2	0.000395
50200	50109	9	0.001777
50200	50162	1	0.000197
50200	50165	1	0.000197
50200	49842	2	0.000395
50200	50040	17	0.003356
50200	50174	1	0.000197
50201	50049	2	0.001524
50201	49946	3	0.002287
50201	49921	2	0.001524
50201	49931	2	0.001524
50201	49933	3	0.002287
50201	49935	3	0.002287
50201	50192	1	0.000762
50201	50222	1	0.000762
50201	50070	12	0.009146
50201	49943	1	0.000762
50201	50202	7	0.005335
50201	49820	7	0.005335
50201	49818	1	0.000762
50201	49954	3	0.002287
50201	49827	1	0.000762
50201	49826	3	0.002287
50201	49829	1	0.000762
50201	49830	3	0.002287
50201	50215	1	0.000762
50201	49832	3	0.002287
50201	49833	1	0.000762
50201	49834	1	0.000762
50201	49963	2	0.001524
50201	50220	3	0.002287
50201	50221	1	0.000762
50201	50094	6	0.004573
50201	49967	3	0.002287
50201	49969	1	0.000762
50201	49842	3	0.002287
50201	49908	3	0.002287
50201	49848	5	0.003811
50201	49849	3	0.002287
50201	49850	1	0.000762
50201	50107	26	0.019817
50201	50108	4	0.003049
50201	50115	3	0.002287
50201	49866	2	0.001524
50201	49997	1	0.000762
50201	50126	1	0.000762
50201	49871	9	0.006860
50201	49872	3	0.002287
50201	50131	7	0.005335
50201	50004	17	0.012957
50201	50135	3	0.002287
50201	50139	3	0.002287
50201	50013	4	0.003049
50201	50085	1	0.000762
50201	50021	1	0.000762
50201	50150	3	0.002287
50201	50153	3	0.002287
50201	49899	3	0.002287
50201	50059	5	0.003811
50201	50032	4	0.003049
50201	49905	9	0.006860
50201	50036	1	0.000762
50201	50166	3	0.002287
50201	50039	6	0.004573
50201	49918	1	0.000762
50201	49941	3	0.002287
50202	50120	12	1.000000
50202	49850	2	0.166667
50202	49926	17	1.416667
50202	49998	36	3.000000
50206	49830	2	0.020000
50206	49998	1	0.010000
50206	50226	1	0.010000
50206	50222	1	0.010000
50206	50039	1	0.010000
50206	50200	1	0.010000
50206	49850	5	0.050000
50206	50107	1	0.010000
50207	49848	3	0.157895
50207	50220	1	0.052632
50207	49949	1	0.052632
50215	50094	2	0.057143
50215	49905	8	0.228571
50215	49945	2	0.057143
50215	50201	3	0.085714
50215	50107	1	0.028571
50215	49820	1	0.028571
50221	50174	5	1.666667
50221	49998	6	2.000000
50222	49984	2	0.003367
50222	49830	1	0.001684
50222	49992	1	0.001684
50222	50121	620	1.043771
50222	50227	2	0.003367
50222	50201	65	0.109428
50222	50107	141	0.237374
50222	49820	1	0.001684
50222	50206	1	0.001684
50224	50153	1	0.006579
50224	49994	4	0.026316
50224	49837	4	0.026316
50224	49874	7	0.046053
50224	50039	2	0.013158
50224	50200	1	0.006579
50224	50201	2	0.013158
50224	50107	6	0.039474
50224	50078	155	1.019737
50226	50107	1	0.025641
50226	49832	1	0.025641
50226	49866	1	0.025641
50226	49899	1	0.025641
50226	49996	1	0.025641
50226	50162	3	0.076923
50226	50139	1	0.025641
50227	50121	26	4.333333
50227	50222	4	0.666667
49818	50201	2	0.000200
49818	50108	1	0.000100
49818	50013	1	0.000100
49818	50070	1	0.000100
49818	50165	1	0.000100
49819	49827	9479	23.462871
49819	49932	4	0.009901
49819	49963	2	0.004950
49819	50028	410	1.014851
49819	49935	2	0.004950
49819	50162	2	0.004950
49819	50131	6	0.014851
49819	50037	410	1.014851
49819	50039	10	0.024752
49819	50201	14	0.034653
49819	50108	11	0.027228
49820	50051	2	0.001140
49820	49926	1	0.000570
49820	50022	2	0.001140
49820	49931	1	0.000570
49820	49963	1	0.000570
49820	50095	1	0.000570
49820	50007	1	0.000570
49820	49945	2	0.001140
49820	49998	15	0.008547
49820	49853	4	0.002279
49820	49841	4	0.002279
49820	50094	41	0.023362
49820	50070	22	0.012536
49820	50039	24	0.013675
49820	50200	4	0.002279
49820	50201	41	0.023362
49820	49850	18	0.010256
49820	49871	3	0.001709
49820	50172	1	0.000570
49820	50202	9	0.005128
49820	49909	5	0.002849
49821	49825	1	0.041667
49821	50018	1	0.041667
49821	49892	1	0.041667
49821	49985	1	0.041667
49821	50064	1	0.041667
49821	50169	1	0.041667
49822	50078	130	0.610329
49822	50039	1	0.004695
49823	50049	1	0.033333
49823	49921	1	0.033333
49823	50185	2	0.066667
49823	50059	1	0.033333
49823	49933	1	0.033333
49823	49941	1	0.033333
49823	49946	1	0.033333
49823	49954	1	0.033333
49823	49830	1	0.033333
49823	49832	1	0.033333
49823	49842	1	0.033333
49823	49849	1	0.033333
49823	49851	1	0.033333
49823	49866	1	0.033333
49823	49826	1	0.033333
49823	49998	39	1.300000
49823	49869	1	0.033333
49823	49872	1	0.033333
49823	50135	1	0.033333
49823	49880	1	0.033333
49823	50013	1	0.033333
49823	49895	1	0.033333
49823	50153	4	0.133333
49823	49899	1	0.033333
49823	49908	1	0.033333
49823	50166	3	0.100000
49825	49841	2	0.007519
49825	49992	4	0.015038
49825	50119	2	0.007519
49825	50125	2	0.007519
49825	49905	2	0.007519
49825	50162	2	0.007519
49825	49945	2	0.007519
49825	50200	2	0.007519
49825	50201	2	0.007519
49825	49850	2	0.007519
49825	50107	2	0.007519
49825	49918	2	0.007519
49826	50107	8	0.044199
49826	50116	1	0.005525
49826	50149	4	0.022099
49826	49841	2	0.011050
49826	50039	6	0.033149
49826	50125	1	0.005525
49826	49998	3	0.016575
49826	50095	1	0.005525
49826	49905	1	0.005525
49826	49939	1	0.005525
49826	49956	1	0.005525
49826	49975	1	0.005525
49826	50200	1	0.005525
49826	49828	3	0.016575
49826	49947	7	0.038674
49826	49821	1	0.005525
49826	50014	1	0.005525
49827	49932	4	0.009852
49827	49963	2	0.004926
49827	50028	413	1.017241
49827	49935	2	0.004926
49827	50162	2	0.004926
49827	50131	6	0.014778
49827	50037	412	1.014778
49827	50039	10	0.024631
49827	50201	14	0.034483
49827	50108	11	0.027094
49828	50017	2	0.012903
49828	50018	1	0.006452
49828	49851	1	0.006452
49828	50116	1	0.006452
49828	50119	1	0.006452
49828	50153	2	0.012903
49828	49899	2	0.012903
49828	49933	5	0.032258
49828	49998	343	2.212903
49828	49872	1	0.006452
49828	49841	2	0.012903
49828	49912	1	0.006452
49828	50196	1	0.006452
49828	50146	1	0.006452
49828	50040	1	0.006452
49828	49946	2	0.012903
49828	49954	1	0.006452
49828	49921	1	0.006452
49829	50202	2	0.004357
49829	49998	458	0.997821
49830	49984	2	0.004619
49830	49871	2	0.004619
49830	50119	4	0.009238
49830	49960	3	0.006928
49830	50121	4	0.009238
49830	49832	1	0.002309
49830	49996	1	0.002309
49830	50157	5	0.011547
49830	50222	437	1.009238
49830	50125	1	0.002309
49830	49841	4	0.009238
49830	50226	1	0.002309
49830	50227	2	0.004619
49830	49998	2	0.004619
49830	50039	89	0.205543
49830	49850	1	0.002309
49830	50107	719	1.660508
49830	50109	1	0.002309
49830	50206	440	1.016166
49830	50149	2	0.004619
49831	50122	132	3.142857
49831	49998	168	4.000000
49832	49853	1	0.000563
49832	50146	7	0.003939
49832	50107	3	0.001688
49832	49828	2	0.001125
49832	50149	5	0.002814
49832	49831	3	0.001688
49832	50187	2	0.001125
49832	50125	1	0.000563
49832	49998	2	0.001125
49832	49871	2	0.001125
49832	49936	4	0.002251
49832	49841	7	0.003939
49832	50007	1	0.000563
49832	49937	1	0.000563
49832	49876	2	0.001125
49832	50039	2	0.001125
49832	50202	1	0.000563
49832	49967	2	0.001125
49832	49820	1	0.000563
49832	49850	1	0.000563
49832	49887	2	0.001125
49833	49921	1	0.052632
49833	50162	3	0.157895
49833	49892	1	0.052632
49833	50201	1	0.052632
49834	50120	15	1.000000
49834	49998	15	1.000000
49834	50174	15	1.000000
49834	49909	3	0.200000
49837	50048	4	0.009828
49837	49828	8	0.019656
49837	49893	4	0.009828
49837	50022	2	0.004914
49837	50162	2	0.004914
49837	49822	2	0.004914
49837	49848	1	0.002457
49837	50201	2	0.004914
49837	50107	4	0.009828
49837	50078	3	0.007371
49838	49905	1	0.002208
49838	50201	36	0.079470
49838	50107	395	0.871965
49838	50039	19	0.041943
49839	50201	2	0.009804
49839	50018	2	0.009804
49839	49915	1	0.004902
49839	50070	1	0.004902
49839	49998	1	0.004902
49841	50081	10	0.666667
49841	50146	1	0.066667
49841	50119	1	0.066667
49841	50153	3	0.200000
49841	49998	84	5.600000
49841	50095	9	0.600000
49841	49876	9	0.600000
49841	50039	1	0.066667
49842	50057	1	0.002899
49842	50059	1	0.002899
49842	49935	1	0.002899
49842	50196	1	0.002899
49842	49945	1	0.002899
49842	50095	2	0.005797
49842	49841	10	0.028986
49842	49850	331	0.959420
49842	50107	344	0.997101
49842	50108	1	0.002899
49842	50109	1	0.002899
49842	50112	1	0.002899
49842	50125	3	0.008696
49842	49998	3	0.008696
49842	49871	6	0.017391
49842	50007	1	0.002899
49842	50017	1	0.002899
49842	50149	2	0.005797
49842	50153	1	0.002899
49842	49853	4	0.011594
49842	49905	4	0.011594
49842	50162	2	0.005797
49842	50166	1	0.002899
49842	50039	2	0.005797
49842	50047	1	0.002899
49843	50018	26	0.007963
49843	50120	1	0.000306
49843	50153	7	0.002144
49843	49998	14	0.004288
49843	49949	1	0.000306
49843	50040	1	0.000306
49843	50131	1	0.000306
49843	50070	1	0.000306
49843	49847	1	0.000306
49843	50200	2818	0.863093
49843	49850	3	0.000919
49843	49820	1	0.000306
49843	50109	10	0.003063
49845	50201	23	0.072327
49845	50039	2	0.006289
49845	50107	1	0.003145
49845	50070	1	0.003145
49845	49905	1	0.003145
49847	49998	24	8.000000
49847	49871	3	1.000000
49848	49889	2	0.001663
49848	50018	2	0.001663
49848	49992	1	0.000831
49848	49930	1	0.000831
49848	49836	2	0.001663
49848	49998	10	0.008313
49848	50064	1	0.000831
49848	49945	1	0.000831
49848	50200	4	0.003325
49848	50201	7	0.005819
49848	49947	2	0.001663
49848	50207	2	0.001663
49849	50125	2	0.021277
49849	49873	3	0.031915
49849	49939	1	0.010638
49849	49946	1	0.010638
49849	50107	4	0.042553
49849	49850	3	0.031915
49850	50153	4	0.016949
49850	49963	1	0.004237
49850	49996	2	0.008475
49850	49998	2	0.008475
49850	50032	1	0.004237
49850	49843	1	0.004237
49850	50070	2	0.008475
49850	50202	1	0.004237
49850	50107	1	0.004237
49850	49820	2	0.008475
49850	50109	1	0.004237
49851	50146	1	0.017241
49851	50054	2	0.034483
49851	49841	1	0.017241
49851	50153	1	0.017241
49851	49905	1	0.017241
49851	49906	1	0.017241
49851	50039	1	0.017241
49851	49850	1	0.017241
