Src	Trg	LinkCount	RelLinkCount
51200	51201	2	0.004396
51200	51213	5	0.010989
51200	50255	18	0.039560
51200	51252	30	0.065934
51200	50715	14	0.030769
51200	51678	66	0.145055
51200	50815	2	0.004396
51201	51200	136	0.298246
51201	51213	5	0.010965
51201	50255	18	0.039474
51201	51252	29	0.063596
51201	50715	14	0.030702
51201	51678	66	0.144737
51201	50815	2	0.004386
51203	50884	1	0.015152
51203	51802	1	0.015152
51203	50890	2	0.030303
51203	51467	1	0.015152
51203	50574	3	0.045455
51203	50255	1	0.015152
51203	51252	3	0.045455
51203	51822	1	0.015152
51203	50250	1	0.015152
51203	51897	1	0.015152
51203	50968	1	0.015152
51203	50457	1	0.015152
51203	50682	1	0.015152
51203	50762	3	0.045455
51203	50302	2	0.030303
51204	50594	6	0.081081
51204	50404	6	0.081081
51204	51877	2	0.027027
51204	51217	2	0.027027
51204	50505	7	0.094595
51204	50956	6	0.081081
51204	50253	5	0.067568
51204	51598	9	0.121622
51204	50703	4	0.054054
51204	51344	1	0.013514
51204	50993	5	0.067568
51204	51615	4	0.054054
51204	50933	4	0.054054
51204	51191	2	0.027027
51204	50618	7	0.094595
51204	50267	5	0.067568
51204	50447	4	0.054054
51204	50655	5	0.067568
51205	51078	19	0.018682
51205	51755	768	0.755162
51205	51076	768	0.755162
51205	50310	768	0.755162
51205	51719	768	0.755162
51205	51209	768	0.755162
51205	50573	768	0.755162
51205	51407	9	0.008850
51205	50319	768	0.755162
51205	51088	768	0.755162
51205	51857	768	0.755162
51205	51602	768	0.755162
51205	50307	768	0.755162
51205	51477	768	0.755162
51205	51703	768	0.755162
51205	50585	768	0.755162
51205	50587	768	0.755162
51205	51357	2	0.001967
51205	50464	768	0.755162
51205	50971	768	0.755162
51205	51237	768	0.755162
51205	50470	768	0.755162
51205	50999	768	0.755162
51205	51368	768	0.755162
51205	50473	768	0.755162
51205	51754	768	0.755162
51205	50987	768	0.755162
51205	51372	768	0.755162
51205	51117	768	0.755162
51205	50607	768	0.755162
51205	51276	768	0.755162
