Src	Trg	LinkCount	RelLinkCount
52225	52193	2	1.000000
52225	52348	8	4.000000
52226	52099	1	0.002611
52226	52220	1	0.002611
52226	52268	7	0.018277
52226	52369	1	0.002611
52226	52244	1	0.002611
52226	52119	1	0.002611
52226	52348	765	1.997389
52226	52350	1	0.002611
52226	52351	1	0.002611
52227	52137	1	0.005618
52227	52143	3	0.016854
52227	52263	1	0.005618
52228	51985	2	0.285714
52230	52099	1	0.003322
52230	52137	15	0.049834
52230	52074	1	0.003322
52230	51948	2	0.006645
52230	52014	2	0.006645
52230	52157	1	0.003322
52230	52148	2	0.006645
52230	52201	2	0.006645
52230	52143	3	0.009967
52230	52348	2	0.006645
52230	52029	3	0.009967
52230	52095	2	0.006645
52231	52253	3	0.009404
52232	51985	2	0.400000
52234	52000	6	0.061224
52234	52257	7	0.071429
52234	52354	2	0.020408
52234	52293	5	0.051020
52234	51975	2	0.020408
52234	52074	2	0.020408
52234	52171	10	0.102041
52234	51948	4	0.040816
52234	52049	11	0.112245
52234	52179	6	0.061224
52234	52148	3	0.030612
52234	51958	12	0.122449
52234	52054	8	0.081633
52234	52344	12	0.122449
52234	52229	2	0.020408
52234	52095	2	0.020408
52234	52348	6	0.061224
52234	52093	9	0.091837
52234	52127	2	0.020408
52235	52257	5	0.004766
52235	52040	758	0.722593
52235	52014	1	0.000953
52235	51985	1	0.000953
52235	52217	1	0.000953
52235	52348	9	0.008580
52235	52286	1	0.000953
52236	52098	2	0.037736
52236	52348	215	4.056604
52236	52134	44	0.830189
52236	51958	50	0.943396
52236	52143	3	0.056604
52237	51985	1	0.045455
52238	51985	4	0.023669
52238	52119	2	0.011834
52241	52099	34	0.419753
52241	51975	1	0.012346
52241	52074	3	0.037037
52241	51948	1	0.012346
52241	52014	1	0.012346
52241	52111	2	0.024691
52241	52017	3	0.037037
52241	52051	2	0.024691
52241	52084	3	0.037037
52241	52310	2	0.024691
52241	52119	3	0.037037
52241	52312	3	0.037037
52241	52217	3	0.037037
52241	52348	234	2.888889
52241	52351	5	0.061728
52242	52257	8	0.012308
52242	52226	2	0.003077
52242	52230	1	0.001538
52242	52145	1	0.001538
52242	52106	968	1.489231
52242	52215	1	0.001538
52242	51948	2	0.003077
52242	52014	4	0.006154
52242	52335	1	0.001538
52242	52369	2	0.003077
52242	52184	4	0.006154
52242	52085	12	0.018462
52242	52119	1	0.001538
52242	52312	2	0.003077
52242	52148	18	0.027692
52242	52347	6	0.009231
52242	52348	2	0.003077
52242	52049	1	0.001538
52242	52095	4	0.006154
52244	52192	1	0.111111
52244	52136	10	1.111111
52244	52366	8	0.888889
52244	52017	1	0.111111
52244	52084	1	0.111111
52244	51958	8	0.888889
52244	52119	3	0.333333
52244	52312	1	0.111111
52244	52217	1	0.111111
52245	51985	8	0.045198
52247	52369	1	0.125000
52250	51985	4	0.210526
52251	52098	1	0.027778
52252	51958	1	0.009804
52253	51985	4	0.285714
52255	52268	2	0.010929
52255	52351	2	0.010929
52256	52017	11	0.112245
52259	52216	5	0.011933
52259	52127	2	0.004773
52260	51985	2	1.000000
52261	52257	1	0.043478
52261	52090	23	1.000000
52261	52051	23	1.000000
52261	52348	23	1.000000
52261	52310	23	1.000000
52264	52219	6	1.200000
52265	52194	5	1.000000
52265	51941	4	0.800000
52266	52369	6	0.012579
52266	52342	6	0.012579
52266	52279	3	0.006289
52268	52096	2	0.003150
52268	52257	1	0.001575
52268	52226	6	0.009449
52268	52099	4	0.006299
52268	52225	1	0.001575
52268	52389	1	0.001575
52268	51975	7	0.011024
52268	52137	5	0.007874
52268	52074	6	0.009449
