state	code	pop
alabama	AL 	4833722
alaska	AK 	735132
arizona	AZ 	6626624
arkansas	AR 	2959373
california	CA 	38332521
colorado	CO 	5268367
connecticut	CT 	3596080
delaware	DE 	925749
florida	FL 	19552860
georgia	GA 	9992167
hawaii	HI 	1404054
idaho	ID 	1612136
illinois	IL 	12882135
indiana	IN 	6570902
iowa	IA 	3090416
kansas	KS 	2893957
kentucky	KY 	4395295
louisiana	LA 	4625470
maine	ME 	1328302
maryland	MD 	5928814
massachusetts	MA 	6692824
michigan	MI 	9895622
minnesota	MN 	5420380
mississippi	MS 	2991207
missouri	MO 	6044171
montana	MT 	1015165
nebraska	NE 	1868516
nevada	NV 	2790136
newhampshire	NH 	1323459
newjersey	NJ 	8899339
newmexico	NM 	2085287
newyork	NY 	19651127
northcarolina	NC 	9848060
northdakota	ND 	723393
ohio	OH 	11570808
oklahoma	OK 	3850568
oregon	OR 	3930065
pennsylvania	PA 	12773801
rhodeisland	RI 	1051511
southcarolina	SC 	4774839
southdakota	SD 	844877
tennessee	TN 	6495978
texas	TX 	26448193
utah	UT 	2900872
vermont	VT 	626630
virginia	VA 	8260405
washington	WA 	6971406
westvirginia	WV 	1854304
wisconsin	WI 	5742713
wyoming	WY 	582658
