Src	Trg	LinkCount	RelLinkCount
52737	52723	1	0.100000
52738	52592	470	2.186047
52739	52748	17	1.000000
52740	52483	1	0.001362
52740	52718	1	0.001362
52740	52814	1	0.001362
52740	52823	224	0.305177
52742	52578	7	0.009067
52742	52599	3	0.003886
52742	52499	2	0.002591
52742	52586	31	0.040155
52742	52631	4	0.005181
52742	52748	53	0.068653
52742	52621	1	0.001295
52742	52718	149	0.193005
52742	52794	8	0.010363
52742	52723	22	0.028497
52742	52814	1	0.001295
52742	52534	1	0.001295
52742	52823	5	0.006477
52742	52856	5	0.006477
52742	52858	2	0.002591
52742	52703	7	0.009067
52742	52412	2	0.002591
52742	52413	6	0.007772
52742	52575	26	0.033679
52743	52648	1	0.014925
52743	52601	2	0.029851
52743	52718	1	0.014925
52744	52544	1426	2.000000
52744	52723	1426	2.000000
52744	52748	2	0.002805
52744	52718	13	0.018233
52744	52686	716	1.004208
52745	52748	1103	1.767628
52745	52718	560	0.897436
52746	52748	3	0.008333
52746	52781	1	0.002778
52746	52718	8	0.022222
52746	52751	3	0.008333
52748	52489	44	0.051103
52748	52751	12	0.013937
52748	52626	3	0.003484
52748	52718	10333	12.001161
52748	52531	2	0.002323
52748	52794	8	0.009292
52748	52668	20	0.023229
52748	52806	2	0.002323
52748	52682	2	0.002323
52748	52429	2	0.002323
52748	52813	10	0.011614
52748	52821	7	0.008130
52748	52823	10	0.011614
52748	52829	5	0.005807
52748	52456	1	0.001161
52748	52587	3	0.003484
52748	52754	5	0.005807
52748	52462	23	0.026713
52748	52465	5	0.005807
52748	52723	9	0.010453
52748	52599	49	0.056911
52748	52732	6	0.006969
52748	52501	2	0.002323
52749	52499	1	0.001773
52749	52718	34	0.060284
52749	52496	1	0.001773
52749	52723	6	0.010638
52749	52622	3	0.005319
52749	52534	1	0.001773
52749	52856	3	0.005319
52749	52794	1	0.001773
52749	52415	3	0.005319
52749	52602	3	0.005319
52749	52447	1	0.001773
52750	52396	2	0.005333
52751	52484	3	0.001290
52751	52540	4	0.001720
52751	52746	14	0.006022
52751	52748	57	0.024516
52751	52495	1	0.000430
52751	52641	1	0.000430
52751	52781	2	0.000860
52751	52595	4	0.001720
52751	52789	2	0.000860
52751	52534	22	0.009462
52751	52703	1	0.000430
52751	52668	1	0.000430
52751	52415	1	0.000430
52751	52674	8	0.003441
52751	52552	1	0.000430
52751	52429	1	0.000430
52751	52472	1	0.000430
52751	52819	1	0.000430
52751	52823	4	0.001720
52751	52447	1	0.000430
52751	52456	1807	0.777204
52751	52713	2	0.000860
52751	52718	107	0.046022
52751	52723	1	0.000430
52751	52599	18	0.007742
52751	52856	5	0.002151
52751	52732	2	0.000860
52754	52723	2	0.014599
52754	52718	1	0.007299
52755	52464	2	1.000000
52756	52641	19	0.175926
52756	52771	1	0.009259
52756	52631	2	0.018519
52756	52499	2	0.018519
52756	52744	1	0.009259
52756	52412	1	0.009259
52756	52823	3	0.027778
52756	52748	4	0.037037
52756	52621	1	0.009259
52756	52718	1475	13.657407
52756	52723	2	0.018519
52756	52595	1	0.009259
52756	52462	1	0.009259
52756	52703	2	0.018519
52756	52599	4	0.037037
52756	52856	1	0.009259
52756	52858	2	0.018519
52756	52699	1	0.009259
52756	52476	1	0.009259
52756	52413	3	0.027778
52756	52575	2	0.018519
52757	52630	3	0.023077
52760	52858	2	1.000000
52761	52682	1	0.016393
52761	52813	1	0.016393
52761	52823	4	0.065574
52765	52692	7	0.058333
52765	52823	1	0.008333
52766	52622	4	0.001315
52766	52547	7	0.002302
52766	52614	1	0.000329
52766	52742	2617	0.860572
52766	52519	3	0.000987
52766	52552	4	0.001315
52766	52748	11	0.003617
52766	52718	68	0.022361
52766	52483	1	0.000329
52766	52814	2636	0.866820
52766	52534	1	0.000329
52766	52631	1	0.000329
52766	52540	2626	0.863532
52766	52414	1	0.000329
52768	52718	1	0.011628
52770	52718	4	0.160000
52771	52641	51	0.621951
52771	52682	1	0.012195
52771	52631	2	0.024390
52771	52748	5	0.060976
52771	52621	1	0.012195
52771	52718	1033	12.597561
52771	52723	2	0.024390
52771	52823	10	0.121951
52771	52858	1	0.012195
52771	52412	1	0.012195
52771	52413	3	0.036585
52771	52703	13	0.158537
52775	52718	1	0.005051
52775	52823	1	0.005051
52777	52794	5	0.053191
52777	52591	1	0.010638
52778	52489	4	0.019512
52778	52641	2	0.009756
52778	52553	1	0.004878
52778	52599	2	0.009756
52778	52748	1	0.004878
52778	52415	1	0.004878
52778	52462	1	0.004878
52778	52723	2	0.009756
52778	52499	199	0.970732
52778	52718	307	1.497561
52778	52534	1	0.004878
52778	52631	1	0.004878
52778	52856	46	0.224390
52778	52794	1	0.004878
52778	52575	2	0.009756
52778	52732	2	0.009756
52778	52447	19	0.092683
52779	52718	4	0.021277
52779	52599	1	0.005319
52780	52823	3	0.036585
52781	52856	46	2.000000
52781	52641	3	0.130435
52781	52748	2	0.086957
52781	52718	346	15.043478
52781	52495	1	0.043478
52782	52703	1	1.000000
52785	52609	3	0.001486
52785	52718	4	0.001981
52785	52529	1360	0.673601
52785	52823	28	0.013868
52785	52472	8	0.003962
52785	52703	2	0.000991
52787	52578	1	0.009346
52787	52586	2	0.018692
52787	52748	1	0.009346
52787	52718	6	0.056075
52787	52723	1	0.009346
52787	52494	1	0.009346
52787	52575	2	0.018692
52789	52631	2	0.045455
52789	52748	4	0.090909
52789	52621	1	0.022727
52789	52718	57	1.295455
52789	52723	2	0.045455
52789	52823	3	0.068182
52789	52858	1	0.022727
52789	52703	1	0.022727
52789	52412	1	0.022727
52789	52413	3	0.068182
52789	52447	37	0.840909
52790	52682	1	0.001504
52790	52587	1	0.001504
52790	52748	5	0.007519
52790	52718	3	0.004511
52790	52823	22	0.033083
52791	52630	3	0.006881
52791	52823	8	0.018349
52792	52748	3	0.004580
52792	52668	2	0.003053
52792	52662	2	0.003053
52792	52823	27	0.041221
52793	52444	3	0.014706
52793	52823	28	0.137255
52794	52856	2	0.017857
52794	52718	1346	12.017857
52794	52631	1	0.008929
52798	52711	2	0.074074
52799	52631	2	0.048780
52799	52748	4	0.097561
52799	52621	1	0.024390
52799	52718	518	12.634146
52799	52495	1	0.024390
52799	52723	2	0.048780
52799	52823	3	0.073171
52799	52858	1	0.024390
52799	52412	1	0.024390
52799	52413	3	0.073171
52799	52703	1	0.024390
52800	52544	1	0.066667
52800	52600	1	0.066667
52800	52686	1	0.066667
52802	52401	1	0.023256
52802	52465	1	0.023256
52803	52534	13	1.181818
52804	52494	1	0.052632
52804	52447	2	0.105263
52805	52534	2532	2.903670
52806	52718	57	1.036364
52806	52534	1	0.018182
52806	52794	1	0.018182
52806	52732	54	0.981818
52806	52858	54	0.981818
52806	52414	1	0.018182
52807	52641	2	0.012121
52807	52423	2	0.012121
52807	52718	4	0.024242
52807	52472	2	0.012121
52807	52723	2	0.012121
52807	52856	4	0.024242
52807	52794	2	0.012121
52808	52802	1	0.013514
52808	52547	4	0.054054
52808	52794	1	0.013514
52808	52823	1	0.013514
52809	52682	2	0.012422
52809	52823	6	0.037267
52810	52585	1	0.043478
52810	52815	1	0.043478
52813	52489	1	0.001074
52813	52618	5	0.005371
52813	52823	1	0.001074
52813	52748	17	0.018260
52813	52718	100	0.107411
52813	52723	77	0.082707
