Src	Trg	LinkCount	RelLinkCount
53250	53280	4	0.002312
53250	54336	1	0.000578
53250	53154	9	0.005202
53250	53608	2	0.001156
53250	54281	3	0.001734
53250	53962	1	0.000578
53250	53645	2	0.001156
53250	53632	1	0.000578
53250	54065	1	0.000578
53250	54034	3	0.001734
53250	52981	3	0.001734
53250	54072	8	0.004624
53250	53913	3	0.001734
53250	53018	1	0.000578
53250	53856	2	0.001156
53250	54154	1	0.000578
53250	53874	1	0.000578
53250	53919	2	0.001156
53251	53280	5	0.011737
53251	53792	3	0.007042
53251	52981	2	0.004695
53252	53632	1	0.001946
53252	54144	1	0.001946
53252	54277	4	0.007782
53252	53126	3	0.005837
53252	53639	3	0.005837
53252	53897	1	0.001946
53252	53771	2	0.003891
53252	53005	6	0.011673
53252	53775	4	0.007782
53252	53148	1	0.001946
53252	54021	1	0.001946
53252	53280	5	0.009728
53252	53296	1	0.001946
53252	53155	3	0.005837
53252	54278	3	0.005837
53252	53031	4	0.007782
53252	53680	6	0.011673
53252	54072	5	0.009728
53252	53437	1	0.001946
53252	53696	1	0.001946
53252	53830	13	0.025292
53252	54217	5	0.009728
53252	53066	53	0.103113
53252	53840	2	0.003891
53252	53714	6	0.011673
53252	53610	1	0.001946
53252	53108	2	0.003891
53252	52981	2	0.003891
53252	53885	8	0.015564
53252	53374	1	0.001946
53256	53632	2	0.005571
53256	54336	1	0.002786
53256	54307	8	0.022284
53256	53124	30	0.083565
53256	53280	2	0.005571
53256	53928	2	0.005571
53256	53613	1	0.002786
53256	53398	2	0.005571
53256	53444	1	0.002786
53256	53563	2	0.005571
53256	53437	1	0.002786
53257	53487	2	0.006494
53257	53632	4	0.012987
53257	53895	2	0.006494
53257	53097	2	0.006494
53257	53582	2	0.006494
53257	53693	4	0.012987
53257	53296	2	0.006494
53257	54065	3	0.009740
53257	53874	4	0.012987
53257	53843	20	0.064935
53257	52981	34	0.110390
53257	53833	2	0.006494
53257	53280	1	0.003247
53257	53467	18	0.058442
53257	53437	11	0.035714
53259	53632	5	0.005631
53259	54144	1	0.001126
53259	54151	1	0.001126
53259	53128	1	0.001126
53259	53386	1	0.001126
53259	53908	2	0.002252
53259	53269	2	0.002252
53259	53910	47	0.052928
53259	53913	1	0.001126
53259	52890	1	0.001126
53259	53916	1	0.001126
53259	54045	1	0.001126
53259	53538	777	0.875000
53259	53539	1	0.001126
53259	53540	1	0.001126
53259	53928	1	0.001126
53259	53404	2	0.002252
53259	53290	1	0.001126
53259	53895	2	0.002252
53259	53431	1	0.001126
53259	53304	11	0.012387
53259	53566	11	0.012387
53259	54079	1	0.001126
53259	53696	1	0.001126
53259	54082	1	0.001126
53259	53572	1	0.001126
53259	53830	1	0.001126
53259	53833	2	0.002252
53259	52938	1	0.001126
53259	53843	1	0.001126
53259	53205	2	0.002252
53259	53590	1	0.001126
53259	53208	2	0.002252
53259	53467	5	0.005631
53259	53468	1	0.001126
53259	53221	1	0.001126
53259	53097	4	0.004505
53259	53610	1	0.001126
53259	53100	2	0.002252
53259	53362	2	0.002252
53259	52981	2	0.002252
53259	53112	25	0.028153
53259	53116	3	0.003378
53259	53373	2	0.002252
53259	53589	4	0.004505
53262	53280	1	0.024390
53262	54284	1	0.024390
53262	53149	1	0.024390
53262	52981	3	0.073171
53262	53913	1	0.024390
53262	53437	1	0.024390
53264	54016	12	0.005098
53264	53632	1	0.000425
53264	54019	1	0.000425
53264	53805	2	0.000850
53264	53487	1	0.000425
53264	53467	2	0.000850
53268	53843	1	1.000000
53269	53632	2	0.000839
53269	53280	1	0.000419
53269	53259	5	0.002097
53269	53347	50	0.020973
53269	54154	6	0.002517
53269	53547	2	0.000839
53269	54319	1	0.000419
53269	53843	3	0.001258
53269	53462	2	0.000839
53269	54072	2	0.000839
53269	53444	12	0.005034
53269	53018	3	0.001258
53269	53468	1	0.000419
53269	53278	2379	0.997903
53270	53280	2	0.048780
53270	53409	42	1.024390
53270	53185	1	0.024390
53270	53771	2	0.048780
53270	53840	1	0.024390
53270	52981	1	0.024390
53270	54072	3	0.073171
53270	53467	3	0.073171
53276	53347	3	0.187500
53276	54076	1	0.062500
53276	53655	1	0.062500
53278	53632	9	0.009554
53278	54144	1	0.001062
53278	54151	1	0.001062
53278	53908	22	0.023355
53278	53269	14	0.014862
53278	53910	1	0.001062
53278	53659	11	0.011677
53278	53404	18	0.019108
53278	53919	9	0.009554
53278	53538	2	0.002123
53278	53034	1	0.001062
53278	53547	21	0.022293
53278	53296	11	0.011677
53278	54065	1	0.001062
53278	53431	26	0.027601
53278	54072	8	0.008493
53278	53433	1	0.001062
53278	53693	1	0.001062
53278	53833	7	0.007431
53278	53840	1	0.001062
53278	53048	2	0.002123
53278	53843	5	0.005308
53278	53589	1	0.001062
53278	53462	18	0.019108
53278	53851	12	0.012739
53278	53856	15	0.015924
53278	53097	26	0.027601
53278	53610	1	0.001062
53278	53437	2	0.002123
53278	53489	20	0.021231
53278	53362	25	0.026539
53278	53498	26	0.027601
53278	53755	1	0.001062
53279	53437	8	0.023256
53280	53763	2	0.001527
53280	52996	1	0.000763
53280	54278	3	0.002290
53280	54151	1	0.000763
53280	53386	1	0.000763
53280	53003	1	0.000763
53280	53645	5	0.003817
53280	54158	1	0.000763
53280	53018	9	0.006870
53280	53148	1	0.000763
53280	54173	1	0.000763
53280	53538	1	0.000763
53280	53027	1	0.000763
53280	53702	1	0.000763
53280	53928	2	0.001527
53280	53418	1	0.000763
53280	54188	1	0.000763
53280	54301	1	0.000763
53280	54064	1	0.000763
53280	54072	5	0.003817
53280	53562	1	0.000763
53280	53714	1	0.000763
53280	53437	20	0.015267
53280	54337	1	0.000763
53280	53446	2	0.001527
53280	53066	1	0.000763
53280	53958	1	0.000763
53280	53816	1	0.000763
53280	53074	1	0.000763
53280	53843	947	0.722901
53280	53467	1	0.000763
53280	53596	1	0.000763
53280	54237	1	0.000763
53280	53088	1	0.000763
53280	53347	3	0.002290
53280	53222	1	0.000763
53280	53866	2	0.001527
53280	53611	1	0.000763
53280	53613	1	0.000763
53280	53873	1	0.000763
53280	53874	2	0.001527
53280	54099	1	0.000763
53280	52981	5	0.003817
53280	53883	1	0.000763
53280	53372	1	0.000763
53280	53374	2	0.001527
53280	53755	2	0.001527
53282	52953	1	0.083333
53286	53632	3	0.004367
53286	53280	2	0.002911
53286	54151	6	0.008734
53286	53224	2	0.002911
53286	53066	33	0.048035
53286	54284	3	0.004367
53286	53645	1	0.001456
53286	54169	2	0.002911
53286	53913	2	0.002911
53286	53018	3	0.004367
53286	53211	70	0.101892
53286	54154	1	0.001456
53287	54031	3	0.009434
53288	53280	2	0.002012
53288	54072	3	0.003018
53288	53407	4	0.004024
53288	53645	2	0.002012
53288	52981	2	0.002012
53290	53280	2	0.000675
53290	54337	6	0.002024
53290	53763	5	0.001686
53290	53928	4	0.001349
53290	53771	1	0.000337
53290	53645	9	0.003035
53290	53613	3	0.001012
53290	53840	2	0.000675
53290	52881	1	0.000337
53290	53632	3	0.001012
53290	53939	8	0.002698
53290	52981	7	0.002361
53290	53910	10	0.003373
53290	54072	3	0.001012
53290	53913	5	0.001686
53290	53018	1	0.000337
53290	53628	4	0.001349
53290	53437	3	0.001012
53290	53407	1	0.000337
53292	53280	1	0.002165
53292	54145	1	0.002165
53292	53763	1	0.002165
53292	53060	2	0.004329
53292	53610	2	0.004329
53292	53613	2	0.004329
53292	52941	1	0.002165
53292	53840	1	0.002165
53292	54065	1	0.002165
53292	53496	3	0.006494
53292	53775	1	0.002165
53292	53628	1	0.002165
53292	53437	3	0.006494
53296	53856	3	0.046154
53296	53269	1	0.015385
53296	53538	3	0.046154
53296	53851	1	0.015385
53296	53833	8	0.123077
53296	53547	3	0.046154
53296	53843	5	0.076923
53296	53876	1	0.015385
53296	53566	2	0.030769
53296	53462	3	0.046154
53296	53304	2	0.030769
53296	53467	2	0.030769
53296	53404	9	0.138462
53296	53278	13	0.200000
53296	53919	1	0.015385
53297	53952	5	0.125000
53297	54305	5	0.125000
53297	53636	5	0.125000
53297	54150	5	0.125000
53297	54246	5	0.125000
53297	54215	5	0.125000
53297	53641	5	0.125000
53297	53260	5	0.125000
53297	54300	5	0.125000
53297	53745	5	0.125000
53297	52979	5	0.125000
53297	53492	5	0.125000
53297	53814	5	0.125000
53297	53174	5	0.125000
53297	53240	5	0.125000
53297	52932	5	0.125000
53297	53436	5	0.125000
53297	53789	5	0.125000
53297	53241	5	0.125000
53301	53280	2	0.010363
53301	53347	2	0.010363
53301	52975	2	0.010363
53301	53296	189	0.979275
53301	54072	4	0.020725
53301	53913	7	0.036269
53301	53278	193	1.000000
53301	53919	1	0.005181
53304	53280	2	0.008163
53304	53632	1	0.004082
53304	53259	1	0.004082
53304	53347	5	0.020408
53304	53763	1	0.004082
53304	53702	40	0.163265
53304	53801	1	0.004082
53304	53547	1	0.004082
53304	53613	3	0.012245
53304	53296	1	0.004082
53304	54065	2	0.008163
53304	53843	1	0.004082
53304	52916	367	1.497959
53304	53685	23	0.093878
53304	54072	4	0.016327
53304	53913	1	0.004082
53304	53018	4	0.016327
53304	53278	1	0.004082
53304	53566	4	0.016327
53307	53928	1	0.001664
53308	53632	1	0.003155
53308	53913	1	0.003155
53308	52981	2	0.006309
53310	53632	1	0.001582
53310	53763	2	0.003165
53310	53895	15	0.023734
53310	53771	4	0.006329
53310	52876	4	0.006329
53310	52877	1	0.001582
53310	54169	1	0.001582
53310	53913	6	0.009494
53310	53018	4	0.006329
53310	53148	1	0.001582
53310	53914	1	0.001582
53310	53280	9	0.014241
53310	53156	21	0.033228
53310	53286	1	0.001582
53310	53928	2	0.003165
53310	54188	3	0.004747
53310	53553	1	0.001582
53310	53301	5	0.007911
53310	54072	4	0.006329
53310	53437	1	0.001582
53310	54337	1	0.001582
53310	53066	2	0.003165
53310	53324	1	0.001582
53310	53581	2	0.003165
53310	53645	3	0.004747
53310	53074	2	0.003165
53310	53843	2	0.003165
53310	52948	13	0.020570
53310	53720	1	0.001582
53310	53981	1	0.001582
53310	52967	3	0.004747
53310	52981	1	0.001582
53310	53368	1	0.001582
53310	53243	1	0.001582
53310	52938	1	0.001582
53314	53928	5	0.045045
53314	53296	1	0.009009
53314	53467	1	0.009009
53314	53468	1	0.009009
53314	53088	1	0.009009
53315	53632	2	0.001199
53315	53763	2	0.001199
53315	54279	2	0.001199
53315	54025	1	0.000600
53315	53913	6	0.003597
53315	53659	1	0.000600
53315	53280	3	0.001799
53315	53538	14	0.008393
53315	53928	4	0.002398
53315	54185	1	0.000600
53315	54023	1	0.000600
53315	54072	8	0.004796
53315	54076	2	0.001199
53315	53437	3	0.001799
53315	53318	1562	0.936451
53315	53447	1	0.000600
53315	53583	1	0.000600
53315	53048	1	0.000600
53315	53589	293	0.175659
53315	53208	1	0.000600
53315	53467	1	0.000600
53315	53088	2	0.001199
53315	53347	2	0.001199
53315	53874	3	0.001799
53315	54134	4	0.002398
53315	53371	2	0.001199
53315	53116	21	0.012590
53316	53928	7	0.014000
53318	53589	12	4.000000
53321	53928	6	0.002379
53321	53632	3	0.001190
53321	53763	124	0.049167
53322	53278	3	1.000000
53323	53632	1	0.017241
53323	53923	76	1.310345
53323	53702	1	0.017241
53323	54279	1	0.017241
53323	53771	1	0.017241
53323	52876	1	0.017241
53323	54065	1	0.017241
53323	53539	1	0.017241
53323	52981	1	0.017241
53323	54072	1	0.017241
53323	53913	1	0.017241
53323	54075	2	0.034483
53323	53437	1	0.017241
53324	53632	8	0.003075
53324	53639	1	0.000384
53324	53386	2	0.000769
53324	53771	1	0.000384
53324	53908	2	0.000769
53324	53910	3	0.001153
53324	54169	6	0.002306
53324	53018	1	0.000384
53324	54173	1	0.000384
53324	53280	2	0.000769
53324	53025	1	0.000384
53324	53538	2538	0.975404
53324	53928	23	0.008839
53324	53296	3	0.001153
53324	54072	84	0.032283
53324	53049	6	0.002306
53324	52938	2	0.000769
53324	54340	4	0.001537
53324	53066	1	0.000384
53324	53843	3	0.001153
53324	53467	2	0.000769
53324	53088	3	0.001153
53324	53860	1	0.000384
53324	53866	4	0.001537
53324	53613	3	0.001153
53324	53873	1	0.000384
53324	53755	6	0.002306
53324	53116	5	0.001922
53326	53632	1	0.001546
53326	53538	650	1.004637
53326	54340	2	0.003091
53326	53928	2	0.003091
53326	53468	1	0.001546
53326	53324	5	0.007728
53326	53487	1	0.001546
53326	53296	1	0.001546
53326	52914	5	0.007728
53326	52981	1	0.001546
53326	53910	5	0.007728
53326	53564	5	0.007728
53326	53112	5	0.007728
53326	53116	1	0.001546
53327	53280	1	0.002381
53327	53792	1	0.002381
53327	53352	18	0.042857
53327	54072	2	0.004762
53327	53562	1	0.002381
53327	53339	1	0.002381
53327	54014	3	0.007143
53329	53636	4	0.006380
53329	54150	4	0.006380
53329	53641	4	0.006380
53329	53260	4	0.006380
53329	54300	4	0.006380
53329	53789	4	0.006380
53329	54305	4	0.006380
53329	53928	2	0.003190
53329	53297	5	0.007974
53329	53814	5	0.007974
53329	53436	4	0.006380
53329	53952	4	0.006380
53329	52932	5	0.007974
