Src	Trg	LinkCount	RelLinkCount
55296	55333	1	0.016129
55296	55377	1	0.016129
55296	54385	1	0.016129
55296	54571	1	0.016129
55296	55345	1	0.016129
55296	55250	1	0.016129
55296	54865	1	0.016129
55296	55399	1	0.016129
55296	54366	1	0.016129
55298	55338	2	0.012422
55302	54785	3	0.006787
55303	55333	3	0.025424
55304	54507	1	0.010526
55304	54692	1	0.010526
55304	55345	1	0.010526
55304	55377	1	0.010526
55304	54385	1	0.010526
55304	54631	2	0.021053
55304	54571	1	0.010526
55304	54541	1	0.010526
55304	54575	1	0.010526
55304	55184	1	0.010526
55304	54865	1	0.010526
55304	55250	1	0.010526
55304	55171	1	0.010526
55304	55399	1	0.010526
55304	54366	1	0.010526
55305	55232	2	0.008621
55305	55034	232	1.000000
55305	55250	6	0.025862
55305	54966	472	2.034483
55307	55343	1	0.013333
55307	55127	1	0.013333
55308	55386	2	0.024096
55308	54366	1	0.012048
55308	55343	4	0.048193
55310	54629	178	6.137931
55311	55576	4	0.017544
55312	54385	1	0.020000
55312	55250	1	0.020000
55312	54571	1	0.020000
55312	54629	4	0.080000
55312	55377	1	0.020000
55313	55625	29	1.035714
55313	55290	28	1.000000
55313	55158	5554	198.357143
55315	54599	2	0.022727
55315	55395	2	0.022727
55315	55183	2	0.022727
55315	55143	2	0.022727
55315	54376	2	0.022727
55315	55370	2	0.022727
55315	54571	2	0.022727
55315	54924	32	0.363636
55315	55629	2	0.022727
55315	55343	89	1.011364
55315	54429	2	0.022727
55315	55377	2	0.022727
55315	55506	6	0.068182
55315	55661	2	0.022727
55315	55613	2	0.022727
55315	54519	97	1.102273
55315	55067	10	0.113636
55315	54909	24	0.272727
55316	55333	4	0.000268
55316	54631	3	0.000201
55316	55404	2	0.000134
55316	54571	1	0.000067
55316	54924	1858	0.124589
55316	54575	2	0.000134
55316	55315	1	0.000067
55316	54426	60	0.004023
55316	55399	1	0.000067
55319	55386	79	3.038462
55320	55510	186	3.152542
55321	55386	5	0.172414
55321	55250	1	0.034483
55321	55343	4	0.137931
55322	54629	87	2.230769
55323	55680	3	0.026549
55323	54572	2	0.017699
55323	54476	2	0.017699
55323	55158	17	0.150442
55323	54865	1	0.008850
55325	54796	1	0.011236
55325	54575	2	0.022472
55326	55488	1	0.000434
55326	55232	1	0.000434
55326	55170	1	0.000434
55326	54631	3	0.001303
55326	54571	1	0.000434
55326	55404	4	0.001738
55326	54385	1	0.000434
55326	55250	4	0.001738
55326	54741	1	0.000434
55326	55609	2	0.000869
55326	55034	4018	1.745439
55326	54396	1	0.000434
55328	55377	6	0.002114
55328	55250	6	0.002114
55328	54901	6	0.002114
55329	54476	6	0.500000
