Src	Trg	LinkCount	RelLinkCount
55811	56225	90	0.517241
55811	56092	180	1.034483
55811	55791	90	0.517241
55811	55859	90	0.517241
55811	55733	4	0.022989
55811	55831	1338	7.689655
55811	55866	90	0.517241
55811	55932	90	0.517241
55812	55929	16	0.296296
55813	56259	2	1.000000
55814	56092	3	0.083333
55816	55748	1	0.200000
55816	56012	1	0.200000
55816	56142	1	0.200000
55816	56047	1	0.200000
55816	56176	1	0.200000
55816	55733	1	0.200000
55816	56124	2	0.400000
55817	55798	1	0.041667
55821	56004	2	0.051282
55821	56012	1	0.025641
55821	55805	3	0.076923
55821	56047	3	0.076923
55822	56259	1	0.003953
55822	55766	10	0.039526
55822	56038	10	0.039526
55822	55783	3	0.011858
55822	56044	2	0.007905
55822	55878	3	0.011858
55822	56274	5	0.019763
55822	55733	17	0.067194
55822	55798	7	0.027668
55822	56023	69	0.272727
55822	55930	2	0.007905
55822	56155	12277	48.525692
55822	56124	72	0.284585
55822	55807	2	0.007905
55825	56092	9	0.078261
55825	56157	1	0.008696
55825	55805	1	0.008696
55826	56225	159	0.501577
55826	55811	159	0.501577
55826	56092	481	1.517350
55826	55791	159	0.501577
55826	55859	159	0.501577
55826	55733	4	0.012618
55826	55831	2145	6.766562
55826	55866	159	0.501577
55826	56015	1	0.003155
55826	55932	159	0.501577
55829	55991	1	0.004975
55830	56012	1	0.009901
55830	55868	94	0.930693
55831	56225	711	0.721095
55831	55811	711	0.721095
55831	56092	1422	1.442191
55831	55791	711	0.721095
55831	55859	711	0.721095
55831	55733	4	0.004057
55831	55866	711	0.721095
55831	55932	711	0.721095
56261	56079	1	0.038462
55839	55995	1	0.008197
55839	56229	2	0.016393
55839	55798	3	0.024590
55840	56077	1	0.076923
55840	56047	4	0.307692
55840	56080	1	0.076923
55840	55923	1	0.076923
55840	55798	1	0.076923
55840	55805	1	0.076923
55840	55775	1	0.076923
56240	56259	1	0.004444
56240	56042	2	0.008889
56240	56206	1	0.004444
56240	55733	15	0.066667
56240	55978	3	0.013333
56240	56107	651	2.893333
56240	55724	2	0.008889
56240	55982	12	0.053333
56240	56079	676	3.004444
56240	55761	2	0.008889
56240	55907	2	0.008889
56240	55892	2	0.008889
56240	55989	1	0.004444
56240	56027	5	0.022222
56240	55769	1	0.004444
56240	56059	2	0.008889
56240	55805	1	0.004444
56240	56062	8	0.035556
56240	55775	3	0.013333
55842	56129	2	0.031746
55842	56012	3	0.047619
55842	55805	2	0.031746
55842	55798	1	0.015873
55842	56047	3	0.047619
55843	55751	19	0.091787
55843	56092	5	0.024155
55843	56012	1	0.004831
55843	55853	2060	9.951691
55843	55855	5193	25.086957
55843	55798	4	0.019324
55843	56249	61	0.294686
55843	55805	1	0.004831
55843	56124	35	0.169082
55843	55965	578	2.792271
55844	55805	5	0.017301
55846	56079	1	0.009091
55846	55973	59	0.536364
55846	56205	59	0.536364
56192	55798	1	0.142857
55849	55715	93	1.388060
55849	56012	8	0.119403
55849	56047	3	0.044776
55849	56148	1	0.014925
55849	55733	6	0.089552
55849	55958	2	0.029851
55849	55863	1	0.014925
55849	56152	3	0.044776
55849	56079	201	3.000000
55849	56125	21	0.313433
55851	56081	67	3.350000
55851	56251	4	0.200000
55851	56124	1	0.050000
55853	55843	46	1.022222
55855	55843	85	1.000000
55855	56092	3	0.035294
55855	55805	1	0.011765
55855	55798	1	0.011765
55859	56225	124	0.607843
55859	55811	124	0.607843
55859	56092	248	1.215686
55859	55791	124	0.607843
55859	55733	4	0.019608
55859	55831	1814	8.892157
55859	55866	124	0.607843
55859	55932	124	0.607843
56280	56079	9	3.000000
55861	55825	5	1.250000
55863	56160	4	0.222222
55863	55958	11	0.611111
55864	55713	2	0.013245
55864	56012	1	0.006623
55864	55958	2	0.013245
55864	55798	6	0.039735
55864	55894	5	0.033113
55864	56270	1	0.006623
55864	56079	321	2.125828
55864	55956	151	1.000000
55864	55733	19	0.125828
55864	56246	1	0.006623
55864	55895	2	0.013245
55864	56024	3	0.019868
55864	55892	2	0.013245
55864	55995	4	0.026490
55866	56225	126	0.617647
55866	55811	126	0.617647
55866	56092	252	1.235294
55866	55791	126	0.617647
55866	55859	126	0.617647
55866	55733	4	0.019608
55866	55831	1844	9.039216
55866	55932	126	0.617647
55867	55825	7	0.700000
55867	56124	1	0.100000
55867	55798	1	0.100000
56234	55907	2	0.034483
56234	56038	2	0.034483
56234	56040	2	0.034483
56234	56079	174	3.000000
56234	55923	1	0.017241
56234	55798	1	0.017241
56234	56023	4	0.068966
56234	56248	2	0.034483
56234	55995	8	0.137931
56234	56124	3	0.051724
56234	56062	2	0.034483
55878	56038	3	0.096774
55878	56039	3	0.096774
55878	56174	2	0.064516
55878	56023	2	0.064516
55878	55769	2	0.064516
55878	56155	63	2.032258
55879	55907	1	0.023810
55879	55908	1	0.023810
55879	55798	2	0.047619
55879	55880	1	0.023810
55879	55733	1	0.023810
55879	55722	1	0.023810
55879	56012	4	0.095238
55879	56078	1	0.023810
55879	55919	1	0.023810
55879	55921	1	0.023810
55879	55731	1	0.023810
55879	56238	1	0.023810
55879	55990	1	0.023810
55879	55992	11	0.261905
55879	55805	4	0.095238
55879	56010	1	0.023810
55879	55893	1	0.023810
55881	55713	3	0.004348
55881	56004	2	0.002899
55881	55783	3	0.004348
55881	56012	5	0.007246
55881	55792	6	0.008696
55881	56024	2	0.002899
55881	55923	2	0.002899
