Src	Trg	LinkCount	RelLinkCount
56293	56908	1	0.009259
56293	56674	4	0.037037
56293	56328	1	0.009259
56293	56428	1	0.009259
56293	56299	1	0.009259
56293	56780	1	0.009259
56293	56653	2	0.018519
56293	56364	4	0.037037
56293	56466	1	0.009259
56293	57012	1	0.009259
56293	56885	1	0.009259
56293	56375	8	0.074074
56293	56664	1	0.009259
56293	56916	1	0.009259
56293	56381	1	0.009259
56293	56991	1	0.009259
56294	56610	3	0.032967
56294	56780	3	0.032967
56294	56364	3	0.032967
56294	56653	15	0.164835
56294	57007	3	0.032967
56294	56880	1	0.010989
56294	56728	8	0.087912
56294	56975	2	0.021978
56294	56573	6	0.065934
56299	56965	2	0.001241
56299	56583	3	0.001861
56299	56969	15	0.009305
56299	56335	141	0.087469
56299	56849	1	0.000620
56299	56728	7	0.004342
56299	56475	1	0.000620
56299	56733	14	0.008685
56299	56837	1	0.000620
56299	56560	7	0.004342
56299	56995	2	0.001241
56299	56742	4	0.002481
56299	56616	3	0.001861
56299	56363	1	0.000620
56299	56364	3	0.001861
56299	56477	1	0.000620
56299	56497	6	0.003722
56299	56627	6	0.003722
56299	56884	1	0.000620
56299	56629	30	0.018610
56299	56329	2	0.001241
56299	56504	2	0.001241
56299	56607	1	0.000620
56299	56381	11	0.006824
56299	56517	6	0.003722
56299	56907	4	0.002481
56299	56780	16	0.009926
56299	56653	193	0.119727
56299	56664	1	0.000620
56299	56975	10	0.006203
56299	56800	1	0.000620
56299	56674	4	0.002481
56299	56548	10	0.006203
56299	56428	3	0.001861
56299	56944	4	0.002481
56299	56436	4	0.002481
56299	56311	1	0.000620
56300	56706	1	0.001072
56300	56965	2	0.002144
56300	56328	30	0.032154
56300	56714	1	0.001072
56300	56717	1	0.001072
56300	56590	44	0.047160
56300	56335	2	0.002144
56300	56467	2	0.002144
56300	56985	1	0.001072
56300	56730	1	0.001072
56300	56477	2	0.002144
56300	56540	2	0.002144
56300	56365	3	0.003215
56300	56861	2	0.002144
56300	56412	2	0.002144
56300	56629	2	0.002144
56300	56375	1	0.001072
56300	56504	2	0.002144
56300	56382	3	0.003215
56300	56385	1	0.001072
56300	56648	6	0.006431
56300	56907	6	0.006431
56300	56396	31	0.033226
56300	56655	8	0.008574
56300	56915	2	0.002144
56300	56916	1	0.001072
56300	56569	1	0.001072
56300	56975	2	0.002144
56300	56924	3	0.003215
56300	56554	2	0.002144
56300	56428	7	0.007503
56300	56687	2	0.002144
56300	56944	1	0.001072
56300	56953	1	0.001072
56301	56674	6	0.012245
56301	56364	2	0.004082
56301	56740	1	0.002041
56301	56517	1	0.002041
56301	56463	1	0.002041
56301	56616	2	0.004082
56301	56777	1	0.002041
56301	56458	948	1.934694
56301	56939	1	0.002041
56301	56332	2	0.004082
56301	56335	2	0.004082
56301	56733	1	0.002041
56301	56472	3	0.006122
56301	56331	1	0.002041
56301	56916	1	0.002041
56301	56629	13	0.026531
56301	56728	2	0.004082
56301	56975	4	0.008163
56301	56381	6	0.012245
56302	56934	3	0.046154
56303	56560	30	6.000000
56303	56991	5	1.000000
56304	56616	8	0.007188
56304	56617	6	0.005391
56304	56940	21135	18.989218
56304	56335	1	0.000898
56304	56344	10	0.008985
56304	56540	11	0.009883
56305	56735	2	0.021505
56305	56375	31	0.333333
56306	56914	30	15.000000
56307	56992	1	0.006211
56307	56737	3	0.018634
56307	56375	22	0.136646
56308	56529	219	9.125000
56308	56481	3	0.125000
56308	56694	84	3.500000
56308	56991	30	1.250000
56310	56965	1	0.008850
56310	56364	2	0.017699
56310	56861	1	0.008850
56310	56944	1	0.008850
56310	56437	1	0.008850
56310	56375	46	0.407080
56310	56953	1	0.008850
56310	56381	1	0.008850
56310	56382	1	0.008850
56310	56341	7	0.061947
56311	56885	13	1.083333
56312	56560	24	6.000000
56312	56991	4	1.000000
56313	56576	70	0.006671
56313	56328	120	0.011436
56313	56590	35	0.003336
56313	56975	21	0.002001
56313	56341	381	0.036310
56313	56730	78	0.007434
56313	56604	35	0.003336
56313	56477	28	0.002668
56313	56606	29	0.002764
56313	56482	140	0.013342
56313	56740	21	0.002001
56313	56616	21	0.002001
56313	56363	70	0.006671
56313	56880	203	0.019346
56313	56629	70	0.006671
56313	56375	10599	1.010102
56313	56381	70	0.006671
56313	56382	210	0.020013
56313	56916	28	0.002668
56313	56664	8283	0.789383
56313	56335	21	0.002001
56313	56540	42	0.004003
56313	56674	21	0.002001
56313	56687	28	0.002668
56313	56956	105	0.010007
56314	56578	1	0.040000
56314	56515	1	0.040000
56314	56548	1	0.040000
56314	56965	3	0.120000
56314	56364	1	0.040000
56314	56866	1	0.040000
56314	56335	4	0.160000
56314	56498	1	0.040000
56314	56472	1	0.040000
56314	56463	1	0.040000
56314	56991	106	4.240000
56315	56674	3	0.003322
56315	56580	1	0.001107
56315	56965	19	0.021041
56315	56583	937	1.037652
56315	56616	4	0.004430
56315	56843	1	0.001107
56315	56655	1	0.001107
56315	56976	12	0.013289
56315	56756	1	0.001107
56315	56861	1	0.001107
56315	56607	2	0.002215
56315	56796	40	0.044297
56315	56733	3	0.003322
56315	56991	2725	3.017719
56316	56899	4	2.000000
56316	56389	248	124.000000
56316	56614	4	2.000000
56316	56427	4	2.000000
56316	56503	4	2.000000
56316	56440	12	6.000000
56316	56441	4	2.000000
56316	56869	4	2.000000
56317	56706	1	0.009524
56317	56396	1	0.009524
56317	56499	1	0.009524
56317	56341	13	0.123810
56317	56375	4	0.038095
56317	56381	1	0.009524
56318	56560	32	6.400000
56318	56991	5	1.000000
56320	56706	4	0.002463
56320	56580	5	0.003079
56320	56965	4	0.002463
56320	56583	3	0.001847
56320	56328	1	0.000616
56320	56329	11	0.006773
56320	56458	2	0.001232
56320	56331	6	0.003695
56320	56332	3	0.001847
