Src	Trg	LinkCount	RelLinkCount
57344	57222	1	0.026316
57344	57543	1	0.026316
57344	57100	1	0.026316
57344	57492	1	0.026316
57344	58133	1	0.026316
57344	57244	1	0.026316
57345	58245	2	0.003766
57345	58124	1	0.001883
57345	57874	1	0.001883
57345	58132	1	0.001883
57345	57881	2	0.003766
57345	57242	8	0.015066
57345	57244	13	0.024482
57345	57754	2	0.003766
57345	57252	6	0.011299
57345	57389	1	0.001883
57345	57399	1	0.001883
57345	57162	4	0.007533
57345	58196	2	0.003766
57345	57380	11	0.020716
57345	57186	1	0.001883
57345	58211	1	0.001883
57345	58215	3	0.005650
57345	57194	2	0.003766
57345	57325	13	0.024482
57345	57712	10	0.018832
57345	57841	388	0.730697
57345	57465	1	0.001883
57345	57850	5	0.009416
57346	57479	13	0.021138
57346	57608	2	0.003252
57346	57611	48	0.078049
57346	57837	1	0.001626
57346	57489	2	0.003252
57346	57747	2	0.003252
57346	58133	138	0.224390
57346	57242	1	0.001626
57346	57434	4	0.006504
57346	57887	2	0.003252
57346	57896	92	0.149593
57346	57501	195	0.317073
57346	57266	3	0.004878
57346	57525	2	0.003252
57346	57532	18	0.029268
57346	57536	3	0.004878
57346	57035	2	0.003252
57346	57804	2	0.003252
57346	58062	1	0.001626
57346	57167	3	0.004878
57346	57685	1	0.001626
57346	57178	2	0.003252
57346	58214	3	0.004878
57346	58215	2	0.003252
57346	57325	4	0.006504
57346	57841	4	0.006504
57346	57080	45	0.073171
57346	58236	4	0.006504
57346	57599	5	0.008130
57347	57920	4	0.022472
57347	58236	1	0.005618
57347	58215	175	0.983146
57347	57161	5	0.028090
57347	57486	1	0.005618
57347	57070	1	0.005618
57347	57881	10	0.056180
57347	57754	1	0.005618
57347	57244	9	0.050562
57348	57244	1	0.016129
57348	57274	1	0.016129
57348	58211	23	0.370968
57348	58236	4	0.064516
57348	57389	1	0.016129
57349	57425	2	0.002336
57349	57308	2043	2.386682
57349	57636	1	0.001168
57351	58211	222	3.264706
57351	58236	110	1.617647
57351	57030	55	0.808824
57352	57308	2	0.005764
57352	57189	1	0.002882
57353	57479	1	0.003559
57353	57162	1	0.003559
57353	57047	3	0.010676
