Src	Trg	LinkCount	RelLinkCount
58248	58274	20	0.007654
58248	58565	4	0.001531
58248	58460	7	0.002679
58248	58446	1	0.000383
58248	58389	3	0.001148
58248	58328	1	0.000383
58248	58394	135	0.051665
58248	58715	15	0.005741
58248	59068	2	0.000765
58250	59062	1	0.052632
58250	58639	1	0.052632
58251	58528	1	0.003663
58251	58883	1	0.003663
58251	58502	2	0.007326
58251	58507	1	0.003663
58251	59118	1	0.003663
58251	58484	34	0.124542
58251	59062	247	0.904762
58251	58906	1	0.003663
58252	59062	1	0.333333
58252	58903	1	0.333333
58253	59073	3	0.034483
58253	58851	2	0.022989
58253	58502	1	0.011494
58253	58314	2	0.022989
58253	58507	2	0.022989
58253	58576	2	0.022989
58253	58515	2	0.022989
58253	59062	1	0.011494
58253	58649	1	0.011494
58253	58399	1	0.011494
58253	58378	2	0.022989
58253	58686	2	0.022989
58253	58847	1	0.011494
58255	58730	1	0.014706
58255	58877	1	0.014706
58257	59013	28	2.000000
58257	59062	1	0.071429
58260	59073	2	0.008264
58260	58338	12	0.049587
58260	58503	11	0.045455
58260	58444	13	0.053719
58260	58274	15	0.061983
58260	58359	14	0.057851
58260	58715	1	0.004132
58260	58460	1	0.004132
58261	59062	1	0.090909
58261	58639	1	0.090909
58262	58442	1	0.011905
58262	58628	1	0.011905
58262	59062	3	0.035714
58263	58792	1	0.045455
58263	58801	1	0.045455
58263	59062	1	0.045455
58263	58903	1	0.045455
58264	58628	1	0.019231
58264	58274	2	0.038462
58264	58811	1	0.019231
58264	58884	1	0.019231
58264	58558	1	0.019231
58265	58730	6	0.375000
58265	59062	1	0.062500
58266	58274	6	0.020408
58266	58409	1	0.003401
58266	58666	1	0.003401
58266	58571	2	0.006803
58266	58893	7	0.023810
58266	58834	1	0.003401
58266	58292	1	0.003401
58266	58442	1	0.003401
58266	58745	1	0.003401
58266	58460	18	0.061224
58266	58973	9	0.030612
58266	58622	1	0.003401
58266	58975	1	0.003401
58268	59062	1	0.052632
58268	58639	1	0.052632
58270	58274	26	0.010172
58270	58565	4	0.001565
58270	58460	7	0.002739
58270	58446	1	0.000391
58270	58389	3	0.001174
58270	58328	1	0.000391
58270	58394	135	0.052817
58270	58715	15	0.005869
58270	59068	2	0.000782
58273	59013	1	0.012048
58273	58883	1	0.012048
58273	58277	1	0.012048
58273	59062	3	0.036145
58273	58903	1	0.012048
58274	58881	3	0.003405
58274	58883	1	0.001135
58274	59013	23	0.026107
58274	58502	3	0.003405
58274	58753	1	0.001135
58274	58632	1	0.001135
58274	58890	83	0.094211
58274	58507	3	0.003405
58274	58508	1	0.001135
58274	58381	1	0.001135
58274	59024	1	0.001135
58274	58643	24	0.027242
58274	58263	1	0.001135
58274	58265	4	0.004540
58274	58522	1	0.001135
58274	58629	1	0.001135
58274	58374	1	0.001135
58274	58792	41	0.046538
58274	58666	1	0.001135
58274	59057	1	0.001135
58274	58548	20	0.022701
58274	58590	1	0.001135
58274	59062	42	0.047673
58274	58298	6	0.006810
58274	58783	1	0.001135
58274	58378	2	0.002270
58274	59073	92	0.104427
58274	58563	3	0.003405
58274	58825	1	0.001135
58274	59021	1	0.001135
58274	59090	2	0.002270
58274	58842	1	0.001135
58274	58715	2	0.002270
58274	58460	9	0.010216
58274	58973	2	0.002270
58274	58762	2	0.002270
58274	59106	1	0.001135
58274	58341	1	0.001135
58274	58598	1	0.001135
58274	58730	2	0.002270
58274	58859	1	0.001135
58274	59116	1	0.001135
58274	58387	1	0.001135
58274	58484	1	0.001135
58274	58747	3	0.003405
58274	58877	1	0.001135
58277	59072	1	0.045455
58277	58408	1	0.045455
58277	58903	1	0.045455
58278	59072	2	0.010582
58278	58883	1	0.005291
58278	58598	4	0.021164
58278	58502	2	0.010582
58278	59062	31	0.164021
58278	58903	1	0.005291
58279	58337	1	0.016393
58279	58827	2	0.032787
58279	58639	1	0.016393
58279	58484	1	0.016393
58279	59062	1	0.016393
58279	58904	3	0.049180
58279	58649	1	0.016393
58279	58607	1	0.016393
58279	58655	2	0.032787
58284	58274	4	0.007968
58284	58565	2	0.003984
58284	59068	1	0.001992
58284	58394	28	0.055777
58284	58715	2	0.003984
58284	58460	3	0.005976
58285	59062	1	0.055556
58285	58639	1	0.055556
58286	58274	6	0.857143
58288	58274	2	0.006993
58288	58470	1	0.003497
58288	58502	1	0.003497
58288	58251	1	0.003497
58288	58548	1	0.003497
58288	59062	1	0.003497
58288	58460	2	0.006993
58288	58973	261	0.912587
58290	58274	8	0.888889
58291	58274	3	0.111111
58292	58884	8	0.006820
58292	58887	8	0.006820
58292	58378	2	0.001705
58292	58893	4	0.003410
58292	59025	2	0.001705
58292	59028	2	0.001705
58292	58628	2	0.001705
58292	58783	6	0.005115
58292	58274	2	0.001705
58292	58663	4	0.003410
58292	59062	6	0.005115
58292	59064	8	0.006820
58292	58298	8	0.006820
58292	58811	2	0.001705
58292	58558	6	0.005115
58292	59092	2	0.001705
58292	58460	1934	1.648764
58292	58973	10	0.008525
58292	58975	2	0.001705
58292	58720	8	0.006820
58292	58341	10	0.008525
58292	59116	4	0.003410
58292	58366	2	0.001705
58294	59072	5	0.086207
58294	58263	1	0.017241
58295	59062	1	0.052632
58295	58639	1	0.052632
58296	58459	2857	204.071429
58298	58881	2	0.000746
58298	58274	11	0.004104
58298	58628	1	0.000373
58298	59013	9	0.003358
58298	58887	2	0.000746
58298	59080	132	0.049254
58298	59111	2	0.000746
58298	58638	64	0.023881
58298	58877	1	0.000373
58298	59090	2	0.000746
58298	58643	5	0.001866
58298	58548	1	0.000373
58298	59062	1	0.000373
58298	58808	1	0.000373
58298	58468	1	0.000373
58298	58426	2	0.000746
58298	58460	4	0.001493
58298	59005	11	0.004104
58299	58507	1	0.111111
58300	58448	2	0.052632
58300	58638	1	0.026316
58300	58502	300	7.894737
58300	58767	1	0.026316
58304	58274	1	0.125000
58305	58643	1	0.009709
58305	59062	36	0.349515
58312	59062	2	0.083333
58312	58639	1	0.041667
58313	59035	5	1.250000
58314	58801	1	0.002577
58314	59073	4	0.010309
58314	58499	1	0.002577
58314	59119	1	0.002577
58318	59048	1	0.011905
58318	58274	1	0.011905
58318	58628	1	0.011905
58318	59013	1	0.011905
58322	58331	1	0.030303
58324	59062	18	1.058824
58328	58274	25	0.008945
58328	58628	1	0.000358
58328	58565	4	0.001431
58328	58460	8	0.002862
58328	58446	2	0.000716
58328	58389	1	0.000358
