Src	Trg	LinkCount	RelLinkCount
59392	60648	1	0.009434
59392	59590	1	0.009434
59392	60573	1	0.009434
59392	59902	2	0.018868
59393	59636	1	0.038462
59393	60333	5	0.192308
59394	59459	3	0.006726
59394	59367	6	0.013453
59394	59369	446	1.000000
59394	59306	3	0.006726
59394	59783	6	0.013453
59394	59215	3	0.006726
59394	59986	12	0.026906
59394	60339	455	1.020179
59394	60248	9	0.020179
59395	60530	27	1.000000
59395	59325	76	2.814815
59396	59590	1	0.005051
59396	59276	25	0.126263
59396	59538	3	0.015152
59396	60371	1	0.005051
59396	59641	1	0.005051
59396	60027	24	0.121212
59396	59518	1	0.005051
59397	59960	1	0.047619
59397	60265	20	0.952381
59397	60170	1	0.047619
59397	60500	1	0.047619
59399	59220	6	0.033149
59399	59538	4	0.022099
59399	60148	154	0.850829
59400	59986	4	0.021858
59400	59325	1	0.005464
59400	60006	4	0.021858
59400	59895	1	0.005464
59401	59442	1	0.002793
59401	59557	1	0.002793
59401	60038	3	0.008380
59401	59367	1	0.002793
59401	60073	1	0.002793
59401	59818	1	0.002793
59401	59783	2	0.005587
59401	59794	1	0.002793
59401	60014	1	0.002793
59401	59407	1	0.002793
59401	59986	5	0.013966
59401	59839	1	0.002793
59401	59510	1	0.002793
59401	59919	1	0.002793
59401	60377	1	0.002793
59401	59322	1	0.002793
59401	59355	3	0.008380
59401	60006	3	0.008380
59401	59325	22	0.061453
59401	59717	1	0.002793
59402	60420	5	0.012690
59402	60006	2	0.005076
59402	59367	4	0.010152
59402	60680	20	0.050761
59402	59325	23	0.058376
59402	59479	8	0.020305
59402	59384	1	0.002538
59402	60409	1	0.002538
59402	59839	1	0.002538
59402	59997	4	0.010152
59402	59711	1	0.002538
59403	60157	1	0.000621
59403	59685	3	0.001863
59403	60331	1	0.000621
59403	60680	1	0.000621
59403	59325	3	0.001863
59403	59370	3	0.001863
59403	59389	1	0.000621
59403	60076	1	0.000621
59403	59154	9	0.005590
59403	59374	2	0.001242
59403	59535	2	0.001242
59403	59538	28	0.017391
59403	59220	2	0.001242
59403	59125	1	0.000621
59403	59611	1	0.000621
59403	59384	2	0.001242
59403	59675	1	0.000621
59403	59437	1	0.000621
59403	59882	2	0.001242
59404	59590	9	0.019355
59404	60006	5	0.010753
59404	59367	10	0.021505
59404	60170	1	0.002151
59404	60141	5	0.010753
59404	59325	3	0.006452
59404	59985	56	0.120430
59404	59986	1	0.002151
59404	59960	32	0.068817
59404	59544	1	0.002151
59404	60444	1	0.002151
59404	60061	2	0.004301
59405	60034	1	0.000231
59405	59437	9	0.002082
59405	59535	13	0.003008
59405	59538	2	0.000463
59405	59674	1	0.000231
59405	59675	15	0.003471
59405	60444	5	0.001157
59405	59937	6	0.001388
59405	60329	6	0.001388
59405	60076	24	0.005553
59405	60333	2	0.000463
59405	59312	129	0.029847
59405	59316	4	0.000925
59405	59325	6	0.001388
59405	59590	2	0.000463
59405	60360	1	0.000231
59405	59855	1	0.000231
59405	59986	1	0.000231
59405	59860	2	0.000463
59405	59479	2	0.000463
59405	60377	15	0.003471
59405	59610	1	0.000231
59405	60006	8	0.001851
59405	59367	3	0.000694
59405	59882	1	0.000231
59405	59248	21	0.004859
59405	60019	1	0.000231
59405	59384	5	0.001157
59405	59641	1	0.000231
59405	60413	25	0.005784
59405	59518	1	0.000231
59406	59986	1	0.032258
59406	59367	2	0.064516
59407	59401	2	0.100000
59407	59986	2	0.100000
59408	59867	66158	86.368146
59409	59872	1	1.000000
59409	60609	1	1.000000
59409	60132	1	1.000000
59409	59265	1	1.000000
59410	60680	2	0.117647
59410	60107	1	0.058824
59411	59268	27	0.033962
59411	59783	16	0.020126
59411	60680	14	0.017610
59411	60300	5	0.006289
59411	59535	2	0.002516
59411	59675	1	0.001258
59411	60446	6	0.007547
59411	60704	2	0.002516
59411	59937	2	0.002516
59411	60199	29	0.036478
59411	59308	1	0.001258
59411	59565	2	0.002516
59411	59312	1	0.001258
59411	59322	6	0.007547
59411	59325	80	0.100629
59411	60223	1	0.001258
59411	60100	1	0.001258
59411	59590	5	0.006289
59411	60360	25	0.031447
59411	59986	8	0.010063
59411	60117	29	0.036478
59411	59355	13	0.016352
59411	60006	6	0.007547
59411	59367	68	0.085535
59411	59253	3	0.003774
59411	60409	1	0.001258
59411	59839	6	0.007547
59411	59518	2	0.002516
59413	59538	1	0.001453
59413	60006	1	0.001453
59414	60064	1	0.001799
59414	59202	1	0.001799
59414	59459	1	0.001799
59414	60420	2	0.003597
59414	60680	2	0.003597
59414	60324	1	0.001799
59414	59595	2	0.003597
59414	60652	9	0.016187
59414	59535	2	0.003597
59414	60360	1	0.001799
59414	59538	4	0.007194
59414	59860	3	0.005396
59414	60533	1	0.001799
59414	59389	1	0.001799
59414	59384	2	0.003597
59414	59316	1	0.001799
59414	60559	1	0.001799
59414	59675	2	0.003597
59414	59325	3	0.005396
59414	60377	1	0.001799
59414	59482	1	0.001799
59415	59951	2	0.133333
59415	59295	2	0.133333
59416	59544	3279	81.975000
59416	59649	2	0.050000
59416	60018	50	1.250000
59417	60006	4	0.010390
59417	60560	2	0.005195
59417	59601	4	0.010390
59417	59986	10	0.025974
59417	59605	2	0.005195
59417	59513	6	0.015584
59418	60090	1	0.002475
59420	59312	2	0.010101
59420	59937	2	0.010101
59420	60662	2	0.010101
59420	59510	2	0.010101
59420	59783	4	0.020202
59421	59216	2	0.005556
59421	59783	2	0.005556
59421	59561	226	0.627778
59421	59986	6	0.016667
59421	60464	226	0.627778
59421	60530	359	0.997222
59421	59381	5	0.013889
59421	60409	2	0.005556
59421	59196	1177	3.269444
59421	59325	3	0.008333
59422	60006	2	0.166667
59422	59367	1	0.083333
59422	60360	1	0.083333
59422	60690	1	0.083333
59422	59372	1	0.083333
59422	60594	5	0.416667
59422	59437	2	0.166667
59422	59986	1	0.083333
59422	59513	4	0.333333
59422	60413	2	0.166667
59423	60547	2	0.142857
59424	59783	1	0.047619
59424	59749	21	1.000000
59424	59951	457	21.761905
59426	59538	5	0.025253
59426	59986	3	0.015152
59426	59309	1	0.005051
59427	60006	26	0.036415
59427	59783	1	0.001401
59427	59720	11	0.015406
59427	59367	1	0.001401
59427	59986	9	0.012605
59427	59608	5	0.007003
59428	59367	59	1.017241
59428	59306	58	1.000000
59428	59243	59	1.017241
59428	59986	59	1.017241
59428	60530	59	1.017241
59428	59195	59	1.017241
59430	59585	73	1.073529
59430	60006	1	0.014706
59430	60166	4	0.058824
59430	59367	5	0.073529
59430	60233	3	0.044118
59430	59306	1	0.014706
59430	60530	1	0.014706
59430	59535	1	0.014706
59430	59986	6	0.088235
59430	59384	4	0.058824
59431	59538	1	0.012987
59431	59757	5	0.064935
59432	59896	1	0.004808
59432	59538	215	1.033654
59432	59196	1	0.004808
