Src	Trg	LinkCount	RelLinkCount
60928	61048	4	0.000452
60928	61043	9	0.001016
60928	60989	579093	65.404676
60928	60741	3	0.000339
60928	60805	2	0.000226
60929	61048	4	0.000460
60929	61043	9	0.001034
60929	60989	569248	65.408250
60929	60741	3	0.000345
60929	60805	2	0.000230
60930	61048	4	0.000451
60930	61043	9	0.001016
60930	60989	579548	65.404356
60930	60741	3	0.000339
60930	60805	2	0.000226
60931	60805	21	0.046875
60931	60845	1	0.002232
60931	61043	2	0.004464
60931	61141	1	0.002232
60931	61048	1	0.002232
60931	61082	1	0.002232
60932	61125	2	0.016529
60932	60923	77	0.636364
60932	60789	1	0.008264
60932	60775	1	0.008264
60933	61125	1	0.013889
60933	60805	1	0.013889
60933	60814	3	0.041667
60933	60915	1	0.013889
60933	61151	70	0.972222
60933	60956	1	0.013889
60933	60829	1	0.013889
60933	60895	1	0.013889
60934	61081	398	1.000000
60934	60900	799	2.007538
60934	61037	398	1.000000
60934	61095	398	1.000000
60935	60800	2478	0.819444
60935	60801	2472	0.817460
60935	60805	24	0.007937
60935	60939	2476	0.818783
60935	61068	2478	0.819444
60935	60824	2478	0.819444
60935	60958	2478	0.819444
60935	60959	2478	0.819444
60935	60962	2478	0.819444
60935	60870	2478	0.819444
60935	60967	2478	0.819444
60935	60970	2478	0.819444
60935	61104	2478	0.819444
60935	60851	2478	0.819444
60935	60981	2478	0.819444
60935	60855	2478	0.819444
60935	60856	17642	5.833995
60935	60857	2472	0.817460
60935	60987	2478	0.819444
60935	60988	2478	0.819444
60935	60742	2478	0.819444
60935	61127	2472	0.817460
60935	60747	2493	0.824405
60935	61140	2483	0.821098
60935	60885	2478	0.819444
60935	60760	2478	0.819444
60935	60893	2478	0.819444
60935	60766	2478	0.819444
60935	60895	2	0.000661
60935	61153	2478	0.819444
60935	61026	2483	0.821098
60935	61029	2482	0.820767
60935	61034	2478	0.819444
60935	60908	2478	0.819444
60935	60783	2484	0.821429
60935	60785	2478	0.819444
60935	60914	2484	0.821429
60935	61043	4	0.001323
60935	60778	2478	0.819444
60935	61141	2	0.000661
60936	60838	3	1.000000
60941	60833	35	0.686275
60942	60805	1	1.000000
60944	61089	9	0.036885
60944	61125	19	0.077869
60944	61006	2	0.008197
60944	60784	1	0.004098
60944	61043	242	0.991803
60944	61147	1	0.004098
60946	60805	349	0.742553
60947	61059	1	0.004717
60947	61125	15	0.070755
60947	60911	1	0.004717
60947	61106	1	0.004717
60947	61043	58	0.273585
60947	60854	2	0.009434
60947	61147	1	0.004717
60948	60992	1	0.006329
60948	60816	1	0.006329
60948	61147	1	0.006329
60948	61125	4	0.025316
60948	60966	1	0.006329
60948	60809	116	0.734177
60948	61134	1	0.006329
60948	61135	1	0.006329
60948	60784	1	0.006329
60948	61043	3	0.018987
60948	61006	2	0.012658
60948	60826	1	0.006329
60948	61107	1	0.006329
60948	60956	2	0.012658
60950	60833	35	0.686275
60951	60805	1	0.005051
60951	61043	179	0.904040
60951	60765	179	0.904040
60951	60749	179	0.904040
60952	61043	4	0.019417
60953	60738	1	0.003731
60953	60990	2	0.007463
60953	60772	1	0.003731
60953	61125	8	0.029851
60953	60775	334	1.246269
60953	60845	1	0.003731
60953	61070	1	0.003731
60953	60816	106	0.395522
60953	61074	1	0.003731
60953	61043	9	0.033582
60953	60789	1	0.003731
60953	60932	1	0.003731
60953	60922	2	0.007463
60953	61092	1	0.003731
60953	60924	2	0.007463
60953	61022	2	0.007463
60953	60805	2	0.007463
60954	60894	1	0.058824
60954	61054	1	0.058824
60956	60944	1	0.027027
60956	60898	1	0.027027
60956	60843	1	0.027027
60956	60845	1	0.027027
60956	60750	1	0.027027
60956	60816	29	0.783784
60956	60850	1	0.027027
60956	60948	1	0.027027
60956	61141	1	0.027027
60956	61048	1	0.027027
60956	61154	1	0.027027
60956	61149	1	0.027027
60957	61125	3	0.750000
60957	61007	4	1.000000
60958	60800	1848	0.772898
60958	60801	1842	0.770389
60958	60805	14	0.005855
60958	60935	1848	0.772898
60958	60939	1846	0.772062
60958	61068	1848	0.772898
60958	60824	1848	0.772898
60958	60959	1848	0.772898
60958	60962	1848	0.772898
60958	60870	1848	0.772898
60958	60967	1848	0.772898
60958	60970	1848	0.772898
60958	61104	1848	0.772898
60958	60851	1848	0.772898
60958	60981	1848	0.772898
60958	60855	1848	0.772898
60958	60856	16443	6.877039
60958	60857	1842	0.770389
60958	60987	1848	0.772898
60958	60988	1848	0.772898
60958	60742	1848	0.772898
60958	61127	1842	0.770389
60958	60747	1860	0.777917
60958	61140	1852	0.774571
60958	60885	1848	0.772898
60958	60760	1848	0.772898
60958	60893	1848	0.772898
60958	60766	1848	0.772898
60958	60895	2	0.000836
60958	61153	1848	0.772898
60958	61026	1852	0.774571
60958	61029	1851	0.774153
60958	61034	1848	0.772898
60958	60908	1848	0.772898
60958	60783	1854	0.775408
60958	60785	1848	0.772898
60958	60914	1854	0.775408
60958	61043	1	0.000418
60958	60778	1848	0.772898
60958	61141	2	0.000836
60959	60800	2112	0.803347
60959	60801	2104	0.800304
60959	60805	20	0.007607
60959	60935	2112	0.803347
60959	60939	2110	0.802587
60959	61068	2112	0.803347
60959	60824	2112	0.803347
60959	60958	2112	0.803347
60959	60962	2112	0.803347
60959	60870	2112	0.803347
60959	60967	2112	0.803347
60959	60970	2112	0.803347
60959	61104	2112	0.803347
60959	60851	2112	0.803347
60959	60981	2112	0.803347
60959	60855	2112	0.803347
60959	60856	22247	8.462153
60959	60857	2104	0.800304
60959	60987	2112	0.803347
60959	60988	2112	0.803347
60959	60742	2112	0.803347
60959	61127	2104	0.800304
60959	60747	2127	0.809053
60959	61140	2117	0.805249
60959	60885	2112	0.803347
60959	60760	2112	0.803347
60959	60893	2112	0.803347
60959	60766	2112	0.803347
60959	60895	3	0.001141
60959	61153	2112	0.803347
60959	61026	2117	0.805249
60959	61029	2116	0.804869
60959	61034	2112	0.803347
60959	60908	2112	0.803347
60959	60783	2120	0.806390
60959	60785	2112	0.803347
60959	60914	2120	0.806390
60959	61043	1	0.000380
60959	60778	2112	0.803347
60959	61141	3	0.001141
60960	60826	4	0.075472
60960	60805	2	0.037736
60960	61125	9	0.169811
60961	61054	6	0.315789
60962	60800	4347	0.844898
60962	60801	4339	0.843343
60962	60805	20	0.003887
60962	60935	4347	0.844898
60962	60939	4345	0.844509
60962	61068	4347	0.844898
60962	60824	4347	0.844898
60962	60958	4347	0.844898
60962	60959	4347	0.844898
60962	60870	4347	0.844898
60962	60967	4347	0.844898
60962	60970	4347	0.844898
60962	61104	4347	0.844898
