Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,8.3,45686.7,6924.1,2055.4,1873.8,66.5,2381.4,613.8,59.8,0,0,0,0,0,51.2,2.9,1159.5,258.3,3111.8,1461.1,121.8,7783.8,1.6,8.4,0,3.2,0,565.2,1007.5,0,191.6,382.7
"Energy extraction",0,0,10.2,39.2,15.7,29.9,1.1,18.4,21588.7,138.5,2.9,231,3480.1,5.5,0,1.2,33.8,31,2.4,9.8,6510.3,0,29.5,26.1,61.8,0.3,8.3,0,0.6,0,8.7,0,0,20.6,37.4
"Mining (non-energy)",0.9,8.1,0,2,0,0,0,0,0,0,0,392.8,1680.4,27,0,0,0,1.8,0.1,21.1,6,823.5,4.1,0,1.1,0,0.1,0,0,0,1.9,0,0,0.1,2.8
"Mining support",342.3,2918.8,189.4,0,19.2,0,0.8,10,104.7,17.7,18.3,21.6,7.6,0.7,0,0,21.9,0.4,0.2,12.1,271.2,1032.8,0.1,19.6,0.1,0,0,0,0.2,0,1.2,44.5,8.4,0.4,0.4
"Food, beverages, tobacco",2764.1,118.7,27.1,3.4,0,544.8,9.1,78.8,558.1,1890.9,350.5,144.7,288.4,133.8,43.2,108.3,155.3,198.3,42.7,130.3,216.4,758.8,240.8,40.6,8732.6,8.4,25.4,9.6,17.5,15.2,128.3,559.9,14,275.9,439.9
"Textiles & apparel",443,210.9,46.8,10.6,70.3,0,20.7,147.3,649.1,1853.8,584.9,195.5,250.2,91.4,57.9,162.9,139.8,633.6,97.7,1072.7,169.1,1231,338.2,323.8,351.2,55.1,58.8,41.8,257.8,18.3,333.1,591.1,52.1,281.1,413.1
"Wood",25.4,32.3,7.1,0.6,13.9,48.1,0,56.4,13.1,28.3,12.9,37,13.1,22.4,11.7,16.6,27.2,55.6,9.2,551.2,6.3,1719.6,23.2,6.2,19.9,4,7.5,4.9,7.1,0.8,14.5,7.4,3,3.8,25.5
"Paper & printing",111.9,55.2,25.3,1.7,527.2,442.2,19.8,0,149.1,557.7,169.4,301.3,69.2,85.2,80.9,151.9,183.7,246.4,40.9,323.1,224.3,600.3,485.1,375.8,382.4,748.3,291.6,444.2,875.9,81.2,356.6,693.3,356.4,101.7,353.7
"Coke & refined petroleum",3140.8,1530.6,563.6,70.2,376.9,2026.6,46.3,324.2,0,6937.5,1070.3,1440.3,2890.2,335.6,149.7,406.9,459.6,580.4,233.8,574.1,4446.1,6991.6,942.3,19205.2,561.4,56.5,323.5,309,634,228.8,814.3,1481.7,256.4,231.6,563.4
"Chemicals & pharmaceutical",3042.3,604.7,134.1,17,327.2,4458.5,59.6,569.4,4181,0,2828.3,947.8,1545,415.9,274.2,653.9,484.1,972.6,195.7,862.5,199.4,3042.7,285.9,153.3,301,34.6,39.8,9.3,7.7,5,274.5,856.5,5.4,3063.9,551.4
"Rubber & plastic",121.5,142.5,38.1,4.8,216.1,435,8.8,81.3,174.1,505.3,0,151.2,162.3,121.2,140.8,309.3,369.7,951.4,144.8,353.5,49.5,2439,164.9,555.6,99.3,9.4,78.5,34.6,3.9,16.3,85.5,88.1,19.3,50,65
"Other mineral (non-metallic)",21,16.2,4.3,5.6,83.3,114.5,12,15.7,83.4,245.1,75,0,323.8,131.3,125.2,159.6,173.8,330.2,44.2,136.5,99.1,16196.2,78.3,13.8,94.7,3.7,32.2,5.9,8.3,5,32.2,15.6,5.7,21.6,52.5
"Metal (basic)",42.2,332.7,16.3,29.4,42.1,57.1,8.3,187.7,133.5,333.8,130,374.8,0,5650.4,715.5,5255.4,5855.3,4103.4,1124.2,2763.9,463,10869.7,99.5,31.2,31,3.9,98.6,21.4,12.5,16.7,28.5,66.4,15.1,17.6,73.4
"Metal (fabricated)",134.4,373,52,12.3,170.7,148.6,18.2,34.1,233.1,182.2,97.4,194,1432.5,0,177.2,566.4,1666.9,1435.6,281.3,486.9,96.1,6805.1,109.2,65,76.4,6.8,46.9,50,5.7,42.4,82.6,210.9,30.6,15,57.7
"Computer, electronics",14.1,42.1,8,1.8,12.4,25.9,1.4,9.9,31.7,30,16.2,21.5,75.2,80.6,0,356.4,266.7,276.3,51.6,66.8,96.2,806.6,49.1,72.5,25.4,13.2,400.3,207.2,74.8,8.2,41.7,122.4,23.9,31.5,53.8
"Electrical equip.",21.3,64.4,12,2.2,20.2,31,2.1,14.8,39.9,46.7,26.6,51,341.4,206.7,370.1,0,496.4,484.3,103.2,138.7,199.7,1607.2,50.3,104,27.5,7.4,214.3,97.2,35.3,11.9,37,83.6,17.2,15.4,45.6
"Machinery & equip.",55.7,142.4,27.2,6,45.1,75.2,5.4,19.5,72.4,65.1,67.2,66.2,323.2,247.9,254.5,241.9,0,634.1,157.6,140.9,84.2,1581.8,57.4,140.5,28.8,6.3,131.2,73.2,31.2,12.4,44.6,123.2,16.1,14.3,34.3
"Motor vehicles",21.9,18.5,5.8,1.6,0,1.8,0,1,0,9,0,0,0,0,6.9,0,123.3,0,56.2,3.8,30.4,118.8,103.6,590.7,8.5,2.2,14.3,10.3,19.6,5.7,61,64,4.3,3.4,14.4
"Other transport equip",12.8,0,0,0,0,0,0,0.4,0,0.6,0,0,0,0,0,0,37.7,6.1,0,0.2,0.3,0,10.3,265.2,0.8,0.2,0.7,1.3,0.1,1.5,24.5,296.8,0.7,0.7,7.1
"Other manufacturing",33.6,51,9.5,1.7,31.7,83.9,35.8,51.4,40,83.3,41.8,42.8,130.3,121.5,220.5,110.9,181.1,210.7,36,0,36.1,1363.6,46.6,59.9,35,9.2,118.1,67.6,43.2,13.4,33.8,74.9,22.1,41.7,41.4
"Utilities",989.4,2028.6,698.2,40.2,591,1783.5,50.4,532.2,2406.7,2096.5,404.5,1599.2,4411.6,472.6,197.1,352,702.7,796.7,178.5,422.4,0,1786,819.4,2313.4,1646.2,113.9,833.2,430.8,1034.3,1158.6,511.6,2296.8,1033.5,494.5,876.7
