Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0.1,0.1,3099.1,0.4,50.4,0.4,0,49,0.6,0.6,0.2,0.6,1.8,0.1,0.5,0.1,0,11.3,0.7,22.2,4.5,1.6,95.4,0.6,0.7,0.2,2,2.4,6.3,1.4,16.6,15.8,5.3
"Energy extraction",0,0,0,6.7,46.2,0.1,0.3,1.2,7.4,33.6,0.1,5.5,12.6,0.2,0.3,0,0.7,0,0.1,5.2,223.4,0,0.5,3,19.3,0.8,2,0,0,15,12.1,0.2,0.8,19,8.6
"Mining (non-energy)",11.1,0,0,0.4,6.8,0,0.1,0.1,0,28.3,1,54.6,170.5,0.6,9,0.1,0.6,0,0,1.6,2,216.2,3.7,1.7,1.8,2.7,0.1,6.2,0,3.2,1.5,0.5,0.1,0.8,0.3
"Mining support",7,3,3.2,0,2.2,0,0.1,0.2,0,0.4,0.4,0.3,0,0,0,0,0.2,0,0,0.5,1.8,18.2,0,0.2,0,0,0,0,0,0,0.7,0.2,0.2,0,0
"Food, beverages, tobacco",513.2,0.2,0.4,0.2,0,1.9,2.7,5.4,0.1,517.1,2.9,3.1,1.6,2.5,24.8,0.7,3.9,0.5,0.4,13.6,9,36.2,152.9,28.9,1055.1,106.6,1.2,235.6,8.2,7.5,28.6,17.7,23.2,114.5,50
"Textiles & apparel",0.3,0,0.1,0,3.1,0,1.4,1,0,15.2,0.6,0.3,0.7,1.6,10.3,0.4,1.3,0.2,0.2,12.9,0.5,9.9,4.9,1.2,0.9,4.4,0.1,9.2,0.2,0.4,1.1,0.5,0.2,2.8,0.6
"Wood",1,0.3,0,0.1,14.3,0.4,0,3.5,0,17.6,14.8,4,0.3,4.6,20.4,0.1,2,0.3,0.3,395.1,1.8,427.9,5.7,1.6,5.1,3.9,0.7,8.8,0.7,26.3,8.6,0.4,5.5,2.7,0.7
"Paper & printing",10.3,0.5,3.2,0.1,143.7,5.1,3.1,0,0,417.3,12.3,13.5,1.5,2.8,130.8,1.3,11.3,0.4,0.7,50.9,26.8,89.6,217.1,35.5,36.8,45,82,50.8,313.9,61,372.7,55.7,153.2,20.3,71.2
"Coke & refined petroleum",1.1,0,0.2,0,0.7,0,0.1,0.1,0,0.6,0.1,0.3,0.1,0.1,0.5,0,0.1,0,0,0.9,0.6,2.9,0.7,3.1,0.2,0.1,0.1,0,0.4,0.3,0.8,0.2,0.2,0.6,0.1
"Chemicals & pharmaceutical",42.6,0.5,2.7,0.2,53.5,7,7.7,17,0.1,0,58.2,11.3,4,7.1,83.2,3.3,7.3,2,0.5,34.3,5.6,53.3,48.6,11.5,10.6,44.1,1.1,84.9,1.7,4.7,13.5,1.4,3.9,85.3,5.6
"Rubber & plastic",3.1,0.2,0.5,0.3,86.2,0.8,5.7,9.1,0,91.2,0,5.4,2.2,7.5,140.8,1.7,15.2,5.4,1,65.5,5.4,206.3,8.8,9.3,8,1.9,3.7,4.5,1,4.8,12.7,2.4,1,10.3,1.6
"Other mineral (non-metallic)",10.1,0.1,14.7,0.8,65.7,0.5,2.3,1,0,121.1,19.1,0,10.8,13.6,203.2,0.9,8.7,0.5,0.6,37.9,7.3,1442.2,26.7,8.9,13.6,17.3,2.2,39,0.4,6.7,7.2,7,1,13.7,2.6
"Metal (basic)",2.6,0.5,2.3,0.5,10.3,0.2,1.5,6.6,0,9.7,4.1,5.3,0,101.4,166.3,27.9,72.1,10.4,2.3,113.3,7,259.4,4.9,1.5,0.6,2,1,4.3,0.2,1.4,2,0.3,0.5,1,0.7
"Metal (fabricated)",36.1,2.5,0.6,1.1,100.6,2.4,25.4,6.7,0,66.1,37.6,16.5,17.6,0,259.8,4.4,149.7,14.4,3.5,124,19.7,610.7,7.7,7.4,10.9,3.3,3.1,7,1.1,18.6,16,5.1,12.4,8,2
"Computer, electronics",14.9,0.7,2.8,0.4,140.9,2.4,4.3,79.9,0.1,155.3,11.5,10.8,2.7,14.6,0,30.3,54,11.4,2.2,102.4,27.9,195.8,221.8,58,49.6,259.4,158.3,325.6,75.8,31.4,141.4,22.5,27.4,109.2,26.7
