Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,10.6,2.5,0,18554.5,1231.7,488.4,304,34.5,1224.5,365.2,11.9,45.2,19.5,17.7,14.6,20.2,14.9,13,38.7,73.6,266.7,1136.8,114.6,2840.4,23.9,2.3,8.9,17.2,42.2,269.8,312.9,235.1,173.9,230.1
"Energy extraction",2.7,0,0.5,0,2.8,2.1,0.5,4.9,212.1,45.5,1.8,27,460,1.8,1.3,0.5,5.5,1.9,0.6,0.4,279,4.9,11,3.2,3.4,0.5,0.8,0.7,3.2,3,4.2,4.7,8.2,4.7,5.4
"Mining (non-energy)",7.2,0.6,0,0,7.1,3.7,0.8,10.6,20.1,293.5,4.4,419.8,604.4,18.1,11.4,6.2,11.9,4.3,9.6,6.3,14.8,490.9,15.3,5.5,2,0.7,0.5,0.7,0.7,16,4.5,10.6,1.7,1.4,5
"Mining support",2.3,0.3,0.5,0,0.2,0,0,0.2,0.3,0.3,0.3,0.2,0.1,0,0,0,0.2,0,0,0,1.3,4.2,0,0.2,0,0,0,0,0,0,0.1,0.3,0.2,0,0
"Food, beverages, tobacco",3376.3,0.7,1.2,0,0,509.8,17.2,146,57.3,1475.2,70.4,45.6,35.1,30.2,67.4,22.5,40.1,37.6,34,17.7,115.2,222.1,1602.2,123.1,11457.2,40,9.2,21.8,56.7,64.2,257.6,877.8,723.1,1145.2,814.4
"Textiles & apparel",141.6,5.9,6.5,0.1,118.7,0,40.3,198.3,49.3,742.1,633.6,130.2,99.4,140.5,380.6,141.2,189.8,828.1,517.7,288.1,141.6,593.2,929.7,248.2,269.5,123,32.6,37.7,156.9,54.1,344,550.3,226.4,775.6,619.1
"Wood",22.6,5.1,2.4,0,23.2,27.1,0,112.1,8.2,89.7,48.7,64.3,19.5,71.9,68.7,34.5,55.1,116.5,146.8,276.2,53.3,1761.1,105.9,21.9,27.9,14,3.8,7.4,6.9,232.5,51.2,20.2,31.1,9.7,76.9
"Paper & printing",57,3.2,8.6,0,585.4,278,67.5,0,51.2,763.7,337.8,300.8,93.6,167.2,536,198.4,234.3,261.5,47.2,84.5,247.3,281.3,1328.4,175.6,299.9,1961.7,147.1,273.7,769.5,157.8,955.3,605.3,933.7,323,620.4
"Coke & refined petroleum",783.5,34.5,82.8,0.3,259.9,516.5,85.1,327.3,0,6667.5,1204.3,830.7,2042.9,363.4,568.2,303.7,344.9,389.8,241.4,87.7,1639,2197.2,1427.7,6487.9,269,89.9,89.4,116.3,361.5,311.6,633.6,730,417.4,390.7,534.4
"Chemicals & pharmaceutical",1003.8,34.5,54.8,0.2,446.9,2063.9,194.7,920.2,1862,0,5852.4,1044.3,2189.5,805.2,1889.4,869.2,665.6,1115.6,714.4,219.5,781.5,2020.2,892.1,1833.8,238.1,146.6,44.3,58.7,155.4,358.4,681.3,499.9,429.4,3249.8,838.8
