Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0.1,0,508,2.7,88.7,0.3,1.5,5,0.2,0.2,0,0.3,0.2,0.1,0.1,0.1,0.1,2.1,1.8,11.1,14.8,2,6.2,0.5,0,0.2,0.1,0.8,0.6,5.2,2.4,1.5,2.5
"Energy extraction",0.1,0,0,0,0.6,0,0.1,0,53.5,1.6,2.9,0.2,0,0.1,0,0,0,0,0,0.1,4.3,0.4,1.2,0.3,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1
"Mining (non-energy)",9,0,0,0.1,1,0.4,0.1,0.1,4.3,10.1,0.3,34.5,0.9,0,0,0,0.4,0,0.1,0,1.1,16.6,2,4,0.1,0.1,0,0,0,1.3,0.9,1.1,0,0.2,2
"Mining support",6.5,1.2,1.5,0,0.9,0,0.2,0.1,0.7,0.2,0.3,0.1,0,0,0,0,0,0,0,0.1,2.5,5.6,0,0.1,0,0,0,0,0,0,0.3,0.5,0.1,0,0
"Food, beverages, tobacco",59,0.1,0.2,0,0,1.9,2.6,0.8,4.1,4.7,1.8,1,0.1,1,1.1,0.5,0.3,0.5,0.4,2.6,3.4,9.5,29.7,7.5,39.8,2.6,0.3,1.2,1.2,1.3,4.3,9.6,2.4,9.2,17.1
"Textiles & apparel",3,0.1,0.3,0,4.8,0,7.6,0.9,1.9,3.7,0.7,0.8,0,0.6,0.8,1.2,0.5,1.1,0.6,10.1,4.1,13.8,18,6,0.7,1.4,0.1,0.7,0.5,0.6,2.9,9.5,1.2,5.2,5.3
"Wood",15.2,0.7,0.5,0.1,11,6.9,0,30.6,2.3,4.4,4.3,1.3,0,2.2,1.3,1.9,1,2.7,1.2,90.1,16.8,118.4,15.3,6.1,0.9,0.9,0.1,0.5,3,18.9,4.6,13.1,13.6,5.8,2.5
"Paper & printing",8.4,0.1,0.7,0,27.5,1.4,6.6,0,2.1,4.4,1.3,0.8,0,0.8,1.1,0.5,0.5,1.2,0.2,10.1,1.8,9.1,19.8,5.6,1.1,10.5,1.5,1.2,11.1,1.6,18.3,9.7,5.8,5.4,7.1
"Coke & refined petroleum",195.9,1.7,9.3,1.7,43.6,7.9,24.4,4.9,0,128.4,8.8,25.1,1.8,8.8,3,4.3,2,1.9,2.5,23.8,133.3,117.5,71,348,3.8,2.3,4.5,0.8,7.8,25.9,44.3,53.2,11.9,23.1,21.6
"Chemicals & pharmaceutical",1.7,0,0,0,0.8,0.4,0.5,0.2,1,0,1.3,0.3,0,0.2,0.1,0.1,0,0.1,0,0.4,0.6,0.8,1.3,0.6,0.1,0.1,0,0.1,0.1,0.2,0.3,0.3,0.2,0.9,0.3
"Rubber & plastic",16.8,1,4.2,0.2,41.8,4.7,18.1,3.4,4.9,12.1,0,25.6,0.2,10.2,8.5,4.6,3.7,17.6,3.1,16.2,17.5,35.2,19.9,31.7,1.4,1.1,0,0.5,2.5,0.5,3.4,15.2,0.8,4.8,6.5
"Other mineral (non-metallic)",8.5,0.1,0.6,0.1,11.2,0.4,5.6,0.5,1.7,4.5,5.3,0,0.2,2.1,4.3,0.3,1,2.6,0.9,2.8,6.1,228.6,15,5.1,0.7,0.4,0,0.2,0.2,0.8,2.1,8.9,0.6,0.7,2.7
