Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0,0,0,429.5,6.9,214.4,0.1,0,0.7,0.1,0.2,0.9,0.1,0,0,0,0,0.1,3.1,2.1,10.1,17.4,1.5,8.5,0.2,0.2,0.1,0.2,1.2,4.2,1,2.3,0.4,0.5
"Energy extraction",0,0,0,0.2,0.5,0,0,0,0,0.4,0,0,1.1,0,0,0,0,0,0,0.1,26.2,0,0,0.1,0.2,0,0.1,0,0,0.5,0.3,0,0,0.2,0.4
"Mining (non-energy)",0.2,0,0,0,0.1,0,0.1,0,0,0.2,0,3.9,2.8,0,0,0,0,0,0,0,0.2,11.4,0.2,0.3,0,0,0,0,0,0.4,0.1,0,0,0,0
"Mining support",4.3,0.8,0.7,0,0.2,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,1.2,5,0,0.1,0,0,0,0,0,0,0.2,0.2,0.1,0,0
"Food, beverages, tobacco",108.1,0.1,0.1,0,0,1.5,5.1,1.8,0.3,5.1,0.9,1,1.7,1.3,0.2,0.5,0.4,0.2,0.4,1.9,4.2,12.3,25.6,6.8,64.6,1.3,0.7,0.4,1.9,3,9,15.8,6.6,10.1,18.7
"Textiles & apparel",0.1,0,0,0,0.6,0,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.5,0.7,0.1,0.4,2.5,1.1,0.3,0.5,0.2,0,0,0.3,1.8,2.3,0,2.5,1.5
"Wood",13,0.1,0,0.1,3.7,0.3,0,3,0,0.2,0.3,3.1,4.2,2.5,0,0.1,0.1,0,1.2,42.5,13,181.9,12,7.3,0.7,0.3,0.3,0.2,0.3,25.9,1.5,3.9,1.8,0.9,0.8
"Paper & printing",1.4,0,0,0,11.1,1.1,6.8,0,0,1.4,0.3,2.1,0.4,0.7,0,0.1,0.4,0.1,0.1,2.2,0.9,5.3,16.8,4.6,1,17.7,1.5,0.3,1.3,1.6,12.6,7.1,6.2,1.8,3.5
"Coke & refined petroleum",1.5,0,0.1,0,0.3,0.1,0.4,0,0,0.1,0.1,0.3,0.4,0.1,0,0,0,0,0,0.2,1.5,2.4,1.2,7.1,0.1,0,0.1,0,0.2,0.3,0.6,0.5,0.2,0.1,0.2
"Chemicals & pharmaceutical",3.1,0,0.1,0,1.6,1.4,2.4,0.7,0,0,3.2,0.7,0.9,0.5,0,0.3,0.1,0,0.1,0.8,0.7,2.9,1.5,0.8,0.2,0.1,0.1,0,0.1,0.6,0.9,0.3,0.2,5.5,0.4
"Rubber & plastic",2.8,0.2,0,0.1,10.1,1.1,6.1,2,0,1.5,0,2.2,1.7,2.5,1.7,3.1,1.8,2.4,1.1,7.6,2,51,12.6,12.1,0.5,0,0,0,0,2.4,2,1.6,0.7,0.2,0.3
"Other mineral (non-metallic)",1,0,0,0,2.3,0.6,4.2,0.1,0,0.5,0.7,0,1.7,1.2,0.6,0.7,0,0,0.3,1.6,1.6,151.9,3.2,2.4,0.3,0.1,0.1,0,0.1,3.7,0.7,1,0.5,0.5,0.2
"Metal (basic)",0.3,0.1,0,0.1,1,0.1,1,1.4,0,0.2,0.6,1.1,0,24.3,2,12.7,6.1,2.1,2.2,12.5,4.4,46.4,2.1,1,0,0,0.2,0,0.1,1.3,0.4,0.7,0.2,0.3,0.3
"Metal (fabricated)",1.8,0.2,0,0.1,4.9,0.1,9.3,0.3,0,0,1.6,1.8,6.7,0,1.2,3,4.8,2.2,2,12,3.6,85.9,5.8,4.9,0.3,0.1,0.1,0,0.1,3.5,2.7,2.9,0.7,0.3,0.5
"Computer, electronics",0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.2,0,0.1,1,0,0.1,0.1,0.3,0.1,0.1,0,0.1
"Electrical equip.",0.1,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.4,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0
"Machinery & equip.",0.1,0,0,0,0.2,0,0.2,0,0,0,0,0,0.2,0.2,0,0.1,0,0,0,1.3,0.1,3.7,0.4,0.3,0,0,0,0,0,0.2,0.2,0.1,0,0,0
"Motor vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0,0,0,0,0,0.1,0.1,0,0,0,0
"Other transport equip",0.4,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,1,0.4,3.4,0,0,0,0,0,0.1,1,4.5,0,0,0
"Other manufacturing",17.2,0.5,0.5,0.2,7.1,1.8,9.3,2.2,0,0.4,1.4,3.2,9.9,2.9,0.1,1.8,2.2,0.7,1.3,0,14.9,29,10,27.6,0.8,0.3,4.3,0.2,0.7,26.8,6.6,6.9,2.2,4.5,2.5
"Utilities",23.3,1.3,0.2,0.5,28.2,11.2,35.8,10.8,4.7,6.1,8.5,22.6,52.5,9.9,2.1,3,2.9,1.7,1.7,12.7,0,47.7,68,71.5,7.7,4,9.2,2.3,12.2,76.3,28.3,49,33.3,19,20.1
