Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.4,0.2,0.1,662.5,1.8,79.5,131,0.9,11.6,13.9,2.5,7,2.4,1.9,1.1,1.6,1.9,0.2,4.2,4.8,29.1,83.1,9.2,16.9,0.8,0.6,1.4,1.5,4.2,13.1,78.8,2.3,3.7,5.7
"Energy extraction",0.3,0,0,0.1,0.3,0,0.6,1.2,3.1,0.6,0.1,3.1,16.9,0.3,0.1,0.1,0.1,0.1,0,0.1,16.3,0.6,0.7,0.8,0,0,0,0,0,0.1,0.2,0.1,0.7,0.1,0.1
"Mining (non-energy)",2.6,0,0,0.2,0.8,0.1,0.1,0.2,0.1,11.8,0.3,36.7,57.9,0.2,0.3,0.2,0.2,0.2,0,0.2,2.8,9.8,3.1,6.4,0.1,0.1,0,0,0.1,1.7,1,0.3,0.4,0.1,0.2
"Mining support",11.5,4,3.7,0,1.4,0,0.3,0.9,1.5,0.4,1.2,0.8,0.3,0,0,0,0.7,0,0,0.2,11.7,19.6,0,0.5,0,0,0,0,0,0,1.5,1.2,0.2,0,0
"Food, beverages, tobacco",162.8,0.1,0.3,0.1,0,11.8,3.1,6,4.9,19.5,6.2,4.1,7.4,4.7,8.4,5,4.3,5.5,0.7,6.4,13.2,21.5,78.5,12.6,106.6,2.7,1.3,1,4.3,5.2,18.4,23.4,5.2,15.3,45
"Textiles & apparel",5,0.1,0.2,0.1,7.7,0,1.1,2.7,1.6,3.3,4.3,1.7,3.4,3.8,4.9,3.2,3.1,16.5,0.5,18,5.4,8,32.3,6.3,1.9,1.9,0.8,0.3,1.1,1.6,7.5,4.2,1.3,6,4.4
"Wood",7.1,0.2,0.3,0.1,4.6,1.5,0,12.3,1.3,3.4,3.5,8.9,8.3,7.4,3.7,2.6,5.9,2.4,0.5,62,16.4,71.4,34.1,7.2,1.2,0.5,0.4,0.2,1.2,16.2,8.2,2.6,1.5,2.7,3.5
"Paper & printing",5.6,0.1,0.4,0,24.3,3.5,3.5,0,0.9,8.3,4.9,10,3.6,3,6.6,4.4,4,3.7,0.3,6.4,11.7,9.4,77.7,7.6,3.2,56,4.1,4.3,29.2,5.7,36.9,19.6,6.7,6.6,9
"Coke & refined petroleum",113.7,1.2,5.9,1.7,24.3,4.6,13.6,8.4,0,81,13.5,20.3,75,11.3,8.8,10,9.9,6.1,1.5,14,116.6,92,140.7,336,5,4,4.6,6.1,7.3,18.8,46,18.1,5.5,10.8,10.6
"Chemicals & pharmaceutical",20.9,0.3,0.6,0.1,6.2,5,5.2,9.3,13.5,0,40.9,11,13.9,6.4,7.7,6.5,3.8,12.1,0.5,5.6,8.3,25.1,14,6,1.1,1.6,0.4,0.3,0.8,3.1,7.6,2.5,1,10.6,3
"Rubber & plastic",4.4,0.2,0.6,0.3,26.2,6.3,10.2,14.5,1.5,15.3,0,7.9,12.4,12.5,25,16.6,28.4,17.1,2.3,16.7,8.5,69.5,44.5,5.4,1.8,1.6,0.3,0.2,1.8,5,12.1,2.5,0.8,3.8,1.2
"Other mineral (non-metallic)",6.1,0.1,3.5,0.3,12.5,2.2,3.7,1,0.7,10.2,12.1,0,24.4,11.3,18.6,5.3,6.7,6.5,0.7,7.5,6.4,534.6,80.4,6.4,1.6,0.3,0.3,0.2,0.5,12.8,12.6,2.8,1.1,2.5,1.4
"Metal (basic)",3.3,0.2,0.4,0.5,4.2,0.5,1.9,4.9,5.3,5.4,5.5,8.1,0,192.2,33.8,111.2,91.3,134.6,5.5,41.3,17,123.6,14,8.6,0.3,0.3,0.7,0.5,0.6,1.7,3.8,1.2,0.4,0.7,1.6
"Metal (fabricated)",6.3,0.2,0.9,0.6,20.5,2.3,10.2,3,32.3,6.9,12.9,7.9,79.3,0,29.4,35.1,93.8,53,4.4,71.1,44,117.3,59,19.3,1.6,0.3,0.5,0.7,1.7,11.6,23.4,3.9,1.8,2,2.5
"Computer, electronics",1.3,0,0,0,1.8,0.9,0.4,3.7,0.7,2,2.4,1.9,1.2,5,0,13.9,13.8,17.4,0.9,17.5,7.6,42,37.2,12.6,0.4,2.6,13.4,13.9,4.1,1.8,14.7,6.3,1,5.8,4
"Electrical equip.",1,0,0.1,0,1.7,0.5,0.7,0.5,1.1,0.9,1.3,0.6,4.1,6.1,16.8,0,8.2,16.2,0.2,9.5,6.6,31.9,18.4,18.2,0.3,0.2,2.1,2.8,0.2,2.3,2.7,1.6,0.2,0.4,1.3
"Machinery & equip.",16.2,0,0.1,0.1,3.9,0.7,8.3,4.7,3.5,1.8,4.6,4.9,9.4,19.5,11.8,4.5,0,16.9,1.2,12.6,16,23.8,32.3,9.5,0.4,0.3,0.5,0.4,0.7,2.6,5.7,1.7,0.3,0.6,0.7
"Motor vehicles",17.3,0,0.1,0,2.3,0.4,2.9,1,1.1,1.1,10.9,0.8,3.1,12.4,3.3,13.9,16.7,0,1.3,17.4,4.4,19.5,226.7,62.9,0.2,0.1,0.2,0.3,1,1.8,7.5,1.2,0.1,0.3,0.2
"Other transport equip",0.2,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.1,1.1,2.3,0,0.3,0.2,0.5,1.9,3.9,0,0.1,0,0,0.1,0.2,0.8,5.9,0,0.1,0.2
"Other manufacturing",44.8,1.7,1.8,1.2,25.3,5.4,22.3,18.7,13.6,12.9,13.8,19.3,92.2,26.5,24.5,22.3,37,51.4,8.4,0,75.2,70.3,79.2,72.6,4.6,9.9,16,5.2,17.5,65.3,46.4,30.6,5.6,32.2,15.4
"Utilities",134.8,10.1,25.1,2.3,73.9,25.2,9.3,133.3,76.6,89.5,55.6,204.6,283.2,69.1,38.4,23.9,57.2,57.6,3.1,35.8,0,126.8,370.2,104.2,29.6,17,24.1,5.8,48.5,186.5,100.4,179.7,134.4,57.5,71.1
"Construction",23.4,3.9,5.1,0.9,10.3,3.6,17.4,6.5,3,12,10.7,33.7,23.8,49.9,16,12.3,22.8,9.9,0.8,28.5,84.3,0,162.5,61.7,6.6,4.8,17.2,6.7,10,262.7,113.1,80.6,18.8,17.4,23.7
"Wholesale & retail",207.1,2,5.9,2.3,350.7,117.5,67.2,86,79.4,104.7,94.6,78.6,160.8,116.3,193.2,104.9,110.7,309.8,14.5,132.2,276.5,426.4,0,231,70.1,47.6,58.4,59,83.2,81.2,212.5,93.6,26.6,58.9,67.4
"Transportation, storage",45.8,1.5,8.4,2.2,59.7,17.3,25.1,58.1,32.8,33.2,22.7,58.4,69.3,34.3,34.5,23.7,28.5,55.4,4,27.2,105.6,107.1,342.9,0,8.8,28.9,23,10.1,61,19.1,122.7,49,9.5,15,22.8
"Accomodation and food services",23.5,0.2,0.2,0.2,14.5,1.8,16.9,28.2,0.8,2.3,1.5,1.8,4.3,2.6,2.2,1.5,2,4,0.4,3.2,8.5,16.5,37.4,17.1,0,3,1.5,3.4,20.2,13.6,47.6,12.6,4,13.8,9.1
"Publishing, broadcasting",1.6,0,0.1,0,6.4,1.2,0.5,3.4,1.1,1.3,0.9,1.2,1.6,1.3,2.8,1.3,1.4,3,0.3,1.6,3.1,4.3,34.1,5.2,1.6,0,11,4.2,7.9,3.4,51.4,8.3,3.1,4.2,12.6
"Telecoms",7.1,0.2,0.6,0.3,6,2.7,2.6,3.7,0.3,4.5,3.4,4.6,4.9,7,9.6,4.5,7,13.7,0.6,7.5,21.1,20,108.6,48.6,3.9,29.1,0,24,65.8,20.7,86,44.9,6.3,12.2,19.5
"IT and information services",1.9,0,0.1,0,4.7,1.1,0.5,2.3,1.6,2.3,2.5,2,3.4,1.8,10,2.6,2.1,3.6,0.3,4.5,7.1,4.8,62.8,10.6,1.5,9.8,13,0,42.8,9.1,41.4,21.2,1.7,5,8.2
"Finance & insurance",13.7,0.1,0.5,0.7,20.7,3.7,10,7.8,0,13.4,9.8,16.9,48.8,9.7,15.3,3.1,5.2,2.8,2.3,12.9,15.8,21.3,180.9,63.1,7.2,9.8,14.1,17.4,0,238.2,118.6,32.1,1.9,18.7,10.9
"Realestate",13.5,0.8,1.7,0.3,11,4.2,3.4,11.5,6.6,9.4,7.8,13.1,15.4,11.5,11,5,8.4,22.3,0.9,11.6,141.8,103.1,234.3,52.4,12,12.2,14.4,8.7,36.2,0,82.9,34.7,15.5,18.6,25.6
"Other business services",46.4,3.2,3.7,2.4,72.8,14.7,17,28,22.8,48.2,23.5,29.4,52,45.6,71.3,30.7,40.2,94.1,5.9,54.2,131,341.7,532,164.8,20.6,61.7,56.6,47.5,150.7,124.9,0,111.2,21.3,42.7,67.8
"Public admin,  defence",4.1,0,0.1,0,5.2,0.5,0.9,1.4,0.9,0.4,0.5,1,1,0.6,0.5,0.3,0.4,1,0.1,0.6,3.2,2.7,12.8,3.6,0.8,1.3,0.7,0.8,3.1,7.2,8.7,0,0.9,2.4,2.1
"Education",0.5,0,0,0,1.8,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.7,0.4,0.8,0.4,0.4,2.2,0.1,0.4,1.4,1.6,8.7,3.1,0.6,0.6,0.8,0.8,3.3,2.1,7.1,3.9,0,5,3.7
"Healthcare, socialwork",1.6,0.5,0.4,0,85.8,2.9,0.2,0.3,0.3,0.6,0.4,0.3,25.5,0.3,0.4,0.2,0.3,0.6,1.6,0.4,1.4,1.3,198,106.8,17.8,0.4,0.4,0.5,1.3,2.3,3.6,87.3,2.7,0,104.7
"Arts, entertainment",3.8,0.3,1,0.5,17.6,3.2,1.9,10.3,1.5,1.8,1.4,3.9,38.3,7.1,4.6,1.7,4.9,4.9,1.5,7.9,14.6,21,81.3,20.5,10.5,11.7,10.2,11.7,16,14.4,39.4,31,8.1,28,0
