Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.2,0.4,0,1935.5,1,1903.6,877.9,0.3,47.5,49.1,3.7,12,2.4,28.3,0.9,3.2,0.2,3.4,7.5,67.9,27.4,48.8,76.7,104.9,9.3,8.6,5.6,3.7,16.4,43.1,40.8,20.9,20,14
"Energy extraction",0,0,0,0,0.2,0,0.1,1.3,39.9,1.8,0,0.2,1.3,0,0,0,0,0,0,0.1,6.3,0.3,0,0.1,0.2,0,0,0,0,0.2,0.1,0,0,0.2,0.2
"Mining (non-energy)",14,0.1,0,0,4.8,0.3,0.4,197.9,0.2,126.5,2.9,184.9,422.7,1.2,3,0.2,1.4,0.1,2.7,1.7,6.1,291.1,3,0.8,0.6,0.3,0.5,0.2,0.3,23.3,3.9,0.8,0.4,0.6,0.7
"Mining support",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",395.4,0,2.1,0,0,7.3,16.4,81.3,9,73.6,8.2,6.1,7.5,6.4,19.5,3.6,20.2,0.6,4.5,7.1,13.4,43.1,166.7,34.2,966.5,12.1,11.4,11.8,14,18.7,51,111.2,47.5,104.4,156.2
"Textiles & apparel",1.5,0,0.2,0,5.7,0,3.7,16.2,0.8,8.8,7.2,7.1,3,4.7,13,1,6.3,0.3,7.7,16.1,4.3,18.5,75.2,14.5,5.6,3.1,2.2,7,8.7,2.5,12.1,13.1,1.3,17.9,11.6
"Wood",5.4,0.2,1.6,0,12.2,1,0,358.3,2.5,18.1,11.2,15.1,6.3,16.6,21.4,7.3,13.8,1.2,24.3,212.7,167.6,2477.1,38,12.7,9,3.7,4.4,5.8,5.7,179.2,26.8,7.9,8.8,6.1,11.5
"Paper & printing",42.2,0.2,11.3,0,229.6,23.7,61.5,0,18.3,122.6,101.4,54.2,66.2,35.9,122.8,18.9,67.5,2,11.2,40.2,143,212.7,766.8,234.4,74.7,540.5,68.6,128.6,78.3,78.5,283.6,349.3,269.9,104.2,141.5
"Coke & refined petroleum",298.5,0.9,37.4,0,62.8,5.5,17.7,126,0,345.5,10.5,48.4,249.8,14.1,39.6,3.5,10.6,1.2,10.8,25.3,335.3,386.7,198.1,1618.3,33.5,9.4,20,3.3,35.6,91.4,99.8,133.3,46.6,50.2,52.7
"Chemicals & pharmaceutical",151.9,0.4,20.7,0,63.2,50.6,135.5,473.3,151.5,0,394.8,70.3,156.6,78.2,143.2,55.5,80,6.5,30.5,52.1,47.3,161.6,100.6,47.1,20.6,16.9,8.6,7.8,9.1,23.8,53.1,33,24.1,81.1,43.9
"Rubber & plastic",2.6,0.2,1.3,0,97.7,3,30.5,55.9,10.3,61.1,0,29.7,40.9,35.2,168.9,15.6,117.7,10.1,30.8,73.7,16.4,542.5,214.4,60.7,16,6.9,13.4,3.8,5.8,13.4,76.3,37.1,19.2,21.5,32.5
"Other mineral (non-metallic)",10.6,0.1,85.4,0,39.1,5.7,66.4,51.2,3.1,55.2,17.6,0,83.2,47.4,123.1,6.7,28.8,7.4,16.2,30.2,10.7,1495,58.9,7.1,12.6,3.1,3,7.4,6.6,5.5,24.1,5.3,2.2,13,6.9
"Metal (basic)",10.7,0.3,3.3,0,9.1,2.6,14.6,40.4,9.8,44.2,26.3,25.6,0,745.9,101.3,121,603.6,25.1,87.6,90.9,30.1,640.7,43.7,15.6,2.8,2.8,3.4,3.6,3.8,8,11,9.1,4.7,6,6.7
"Metal (fabricated)",37.3,0.8,9.7,0,97.9,5.5,82.3,63.3,11,53.9,44.8,116.8,313.4,0,257.2,127.2,1209.1,30.6,134.6,225.8,166,1519.7,72.5,33.6,18.4,7.2,10.4,7.9,12,42.4,68.9,56.8,28.5,16.1,18.1
"Computer, electronics",19.5,0.7,7,0,49.8,7.9,36.8,143.6,39.4,62.2,30.9,32.5,33.3,77.5,0,178.8,334.1,13.5,33.8,95.6,83.2,284.1,313.7,110.9,28.4,58.9,271,135.5,64.8,30.1,199.5,581.6,108.3,115.2,63.7
"Electrical equip.",3.7,0,1.5,0,13.5,1.2,10.5,17.8,3.5,10,7.4,8.8,27.6,34.6,212.2,0,202.3,9.1,24.2,41.9,20.1,177.9,65.8,17,8.1,9.6,41,7.7,7.8,6.5,29.7,27,19.8,9.4,13.7
"Machinery & equip.",48.4,1,35.6,0,25.3,6.5,44.9,307.6,13.3,28.1,18.3,55.2,70.4,99.9,143,100.1,0,34.2,59.8,72.9,86,408.7,74.7,34.6,8.2,11.4,16.5,12.8,11.6,8.9,29.7,147.5,31.2,8.3,10.7
"Motor vehicles",1.1,0,0.1,0,0.6,0.1,0.4,1.1,0.1,0.3,0.7,0.4,0.9,2.8,1.8,1.4,29.4,0,1.2,0.8,0.6,5,7.2,9.8,0.2,0.3,0.4,0.1,0.2,0.4,0.7,0.7,0.3,0.2,0.3
"Other transport equip",2.7,0,0.3,0,1.4,0.1,1.2,2.7,0.6,0.9,0.8,1.5,3.8,9.8,4.4,3.6,38,0.4,0,3,2.1,27.6,10.2,119.8,0.5,0.3,0.4,0.4,0.4,1.3,19.2,109.3,0.7,0.6,1.2
"Other manufacturing",41.5,0.7,12.7,0,59.6,12.7,60.1,127.1,26.1,40.9,17.3,33,204.5,113.2,151.4,35.2,179.2,17.1,57.3,0,94.9,294.3,145.8,193.6,26.3,18.2,42.9,13.7,30.3,26.2,86.9,128.3,73.6,203.1,40.1
"Utilities",115.4,1.5,42.9,0,203.7,27.8,219.4,1307.1,127.4,283.5,79.4,100.3,888,157.6,180.2,33.1,136.9,6,37.8,72.7,0,232.9,550,278.2,154.8,45.4,79.6,31.4,146,719.5,187.1,337.7,266.3,251.2,276.5
"Construction",63.5,0.4,0,0,10.5,0,9.8,30.5,0,24.8,3,4.2,31.1,0.1,33.4,4,4.9,0,5,37.1,219.3,0,65.1,330.4,28.7,9.9,56.1,3.2,32.8,1787.1,191.1,178.4,62.9,69.7,30.7
"Wholesale & retail",686.2,1.4,44,0,1390.6,188.5,470.2,825.5,266.9,474.7,195.7,160.1,298,214,1036.6,165.7,534.2,105.7,140.5,260.2,292.8,1711.4,0,1818.6,639.7,480.9,476.2,138,235.5,306.4,1117,539.8,330.4,503,637.8
"Transportation, storage",126.3,2.8,113.4,0,288.8,45.8,460.4,1845.9,42,231.1,80.7,174.8,259.7,147.7,251.4,66,273.7,15.8,42.4,117.3,127.5,433.5,2541.7,0,87.4,146.8,159.6,143.9,264.3,114,499.8,496.5,288.1,150.2,267.6
