Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,11.6,4.2,2.9,12575.5,111.1,222.7,15.2,2.6,64.5,34.6,9.1,39.8,21.9,13.7,8.4,15.4,22,15.1,18.7,46,387.6,203.4,126.2,1164.9,17.2,14.7,17.9,57.7,9.4,81.4,47.6,45.8,41.4,32.4
"Energy extraction",24.7,0,39,117.1,354.1,20,21.3,76.3,12314.2,1486.2,34,81.9,278.8,54.5,27.2,22.2,25.7,46.4,31.3,49.7,11519,417.9,1308,609.4,321.3,55.6,53.4,31.7,143.7,163.5,466.2,209,158.1,329.2,270.8
"Mining (non-energy)",29.3,3.1,0,11.5,52.8,2.7,2.8,36.2,3.3,699.1,11,889.8,551.9,7.1,9,3.8,4.6,16.8,7.8,58.6,64,2724.6,131,68.6,19.3,5.3,4.7,2.3,8.9,96.7,51.7,93.7,18.4,10.3,22.8
"Mining support",189.3,1643.8,383,0,73.1,0,3.7,21.2,21.4,22.4,34.3,13.4,7.1,1.4,0,0,19.3,0.5,0.3,8.8,433,891.9,1.3,29,0.1,0,0,0,2,0,72.3,85.5,26.5,2.2,0.7
"Food, beverages, tobacco",1513.8,18.5,14.6,2.8,0,64.2,19.4,126.3,22,942,166.8,55.6,73.4,90.5,63.2,50,63,127.7,53.3,70.8,154.1,365.8,1150.8,171.7,10718.3,84,33.5,38.9,160.3,67.7,515.8,856,367,882.6,1133.5
"Textiles & apparel",18.9,5.8,5.3,1.4,66.1,0,8.1,61.9,2,96.8,68.2,23.9,18.6,22.5,19,12.7,36.4,104.3,35.4,205.7,28.6,233.9,296.6,60.7,67.2,22.8,21.8,11.2,42.3,7.6,73.3,104.6,40.2,78.1,64.7
"Wood",33.6,37.9,27.2,4.6,116.8,27.1,0,104.5,1.1,61.6,34.4,84,18.9,228.6,47.5,36,69.8,277.4,80,929,23.2,4236.6,205.6,61.9,130.4,24.1,25.5,14,100.3,44.7,159.4,34.9,179.8,20.7,65.7
"Paper & printing",322.9,16.2,51.7,3.4,1695.1,138.4,122.8,0,18.5,597.9,542.3,254.5,50,234.3,146.7,115.5,218.1,186,79.4,269,337,588.8,2619.1,675.2,608,4122.7,378.1,285.8,3666.4,417.1,1817.5,2696.8,1939.2,1119.4,916
"Coke & refined petroleum",656.3,195.2,219.4,34.6,340.5,55.3,68.7,71.1,0,495.2,105,131.2,375.2,111.2,55.2,73.6,149.8,53.1,90.9,110.2,549.7,445.4,1957.2,3380.6,253.6,75.1,267.4,142.4,351,24.3,669.4,728.8,237.1,112.5,238.5
"Chemicals & pharmaceutical",744.7,171.5,149.4,21.1,861.7,657.5,129.7,932.3,132.5,0,3060,638.9,610,596.4,339,516.6,227.4,1545,272.2,410.5,306.5,1420.9,1183.5,534.1,481.4,322.9,129.3,115.3,278,74.8,1031,500.8,528.4,671.7,648.1
