Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0,0.1,1389.8,0,0.2,0,0,1.3,0.3,0,0,0.1,0,0,0,0,0.1,0,2.8,14.9,28.7,2.7,186.7,0.6,0,0,0.4,104.2,6.3,35.1,10.5,4,4
"Energy extraction",1,0,0.1,1.1,2.5,0.2,0.1,1,726,9.1,1.4,0.7,7,0.4,0.3,0.1,0.5,0.1,0.1,0.1,25.6,0.5,1,2.5,2.1,0.1,0.1,0,0.4,2,1.7,2.1,1.2,1.2,0.9
"Mining (non-energy)",7.7,0.6,0,1.1,9.1,0.2,0,0,7,23.4,0,31.6,17.3,2.3,8,0.5,0.9,0,0.8,0.1,0.8,73.6,1.9,0.2,0.4,0,0,0,0,0,0.4,0.1,0.1,0,0.7
"Mining support",6.9,19.5,5.1,0,3.2,0,0.1,0.9,4.7,0.6,2.3,0.2,0.1,0.1,0,0,1.1,0,0,0.3,9.6,14.6,0,1,0,0,0,0,0.1,0,1.3,5.8,1.1,0.1,0
"Food, beverages, tobacco",467.6,0.1,0.1,0.1,0,13.4,0,4.9,0.2,5.7,1.1,0.1,0,0.7,1.4,0.2,0.9,0,0.4,2,2.8,4,149.7,12.7,857.2,1.6,0,1.5,7.5,0.3,14.9,66.8,6.3,5.3,25.9
"Textiles & apparel",2.2,0.6,0.2,0.4,3.9,0,0.3,5,0,7.8,2.1,0.2,0.5,4.9,15,0.8,5.8,2.1,7.8,41,0.2,0.2,26.1,3.4,8.1,3.7,0,0,0.6,1,7.4,20.5,0.5,5.4,26.4
"Wood",0,0.7,0.1,0.3,8.1,0.7,0,2.2,0.1,1.8,5.3,2.2,0.2,4.3,1.2,3.1,0.4,0.7,6.9,105.3,0.1,75,10.7,0.2,0.4,1.7,0,0,0.1,0,2.2,1.2,0.2,0.4,15
"Paper & printing",40.9,0.4,0.5,0.2,172.6,10.9,5.6,0,1.3,46.9,41.8,3.1,3.3,14.3,27.1,2.5,5.4,8,1.5,14.3,1.3,13.4,75.2,50.6,10.3,111.1,7.2,10.3,48.8,23.3,199.2,54.3,35.4,13.6,19.9
"Coke & refined petroleum",285.8,47.6,42.6,26.7,196.2,33,15.5,63.8,0,967.2,94.3,32.8,53.3,79.2,96.6,20.7,59.1,8.6,24.1,45.4,1082.7,145.9,396.1,2329.7,44.6,24,25.4,46.6,83.1,521.9,311.2,258.8,64.1,53.8,135.1
"Chemicals & pharmaceutical",76.5,4.5,3.5,1.5,34,17.6,4,30.6,11.7,0,186.6,5.9,3.8,47.3,13.9,2.6,3.4,0.1,15,29.4,33.1,53.5,24.2,4.6,10.8,3.9,0,0,0.3,70,13,27.8,6,201.8,54.1
"Rubber & plastic",39.4,3,0.9,1.5,230.4,9,3.1,18.8,2.3,39.2,0,0.7,1.8,23.3,7.6,15.3,15.4,4.8,19.1,41.8,29.7,169.8,101.5,10,12.9,3.6,0,0,0.9,0.4,7.8,23.5,0.6,4.5,22.4
"Other mineral (non-metallic)",0.4,3.1,1.2,2.4,28.2,0.5,3.2,0,0,23.5,4.9,0,3.2,29.3,24.7,0.6,41.3,8.3,15.1,19.7,0.5,1108,31.1,0.6,5.3,1.1,0,0,0.9,0,4.9,7.5,2.6,0.1,13.3
"Metal (basic)",0,7,0.1,6.4,0.1,0.4,1,1,0,0.6,13.6,2.3,0,102.4,6.4,17.2,113.1,39.7,82.6,80.2,0,269.7,0.7,1.3,0,0.2,0,0,0,0,0.2,18.7,0,0,5.4
"Metal (fabricated)",0.6,10.6,0.5,3.2,88.5,1.4,11.3,6.2,2.2,14.2,21.8,5.2,36.8,0,241.4,25.3,95.7,12.6,51.7,44.6,49.9,556,29,2.3,15.6,1.1,0,0.5,0.7,24.8,47.2,73,2.8,3.9,18.5
"Computer, electronics",0.1,1.1,0.5,0.8,5.6,2.1,1.1,9.7,11.7,3.9,0.4,0.2,1.2,41.2,0,31.7,81.8,0.8,13.9,15.6,13.9,46.8,35.7,22.9,0,13,43.4,34.7,4,10.9,83.7,49.1,0.2,0.3,64.7
"Electrical equip.",0,1.7,0.1,0.5,0.1,0,0,0,0,0.3,2.9,0.1,3.8,10,23,0,37.1,1.8,19.2,9.1,2.8,97.1,25.9,1,0.2,2.9,0.3,1.7,0.6,0,19.8,24.3,0,0.1,29.8
"Machinery & equip.",0.3,0.8,0.2,0.4,1.4,0.2,0.1,0.4,1.9,0.5,0.6,0.3,0.4,0.1,2.1,0.1,0,0.1,2.5,0.7,1.2,2.6,1.4,1.1,0.1,0.1,0,0,0.1,1.1,0.9,11.1,0.1,0,0.9
"Motor vehicles",0.2,0.7,0,0.7,0,0,0,0,0,0.1,0.5,0,0,0.9,25,0,0.7,0,8.4,1,20.2,1.1,56.1,3.2,0,0.9,0,0,0.5,0,3.1,29.6,0,0,5.6
"Other transport equip",0.9,0.4,0,0,0,0,0,0,0.8,0,0,0,0,0.4,0.2,1.1,5.3,0,0,0,0,4.7,0.9,96.1,0,0,0,0,0,0.1,11.3,202.8,0,0.1,0.2
"Other manufacturing",0.1,0.3,0,0.2,0.2,3.6,0,4.8,0.2,0.1,4.4,0,0.1,6.2,40.2,0.1,0.2,2.8,6,0,0.3,36.1,13.8,12.2,0.1,3.3,0.1,0,1.4,4.8,21.7,78.7,43.6,51.3,13.3
"Utilities",96.7,11,13.5,2.7,101.2,21.7,3.5,40,28.7,48.3,57.6,11.4,39.9,31.6,79.7,8.1,12.3,2.1,6.6,9.8,0,10,81.6,66.3,82.5,10.1,11.7,8.8,25.1,268.3,74.1,213.3,82.3,26.8,41.2
"Construction",0,0.2,0.4,0.1,2.8,0.5,0.3,0.7,1.4,1,0.8,0.4,0.5,1.4,5.3,0.3,2.5,0.2,0.1,0.3,4.9,0,3.1,6.8,3.1,0.3,1.6,0.4,3,149.4,4.1,43.9,2.8,1.6,1
"Wholesale & retail",268.6,21.4,20.5,13.9,755.5,139.1,17.3,101.8,585.1,422.2,172.9,66.5,68.2,141.7,609.8,59.7,118.3,27.9,111,183.9,383.4,712.5,0,897,349,169.5,166.9,215.7,276.5,294,835.6,552.2,120.2,208,287.7
"Transportation, storage",48.3,10.2,16.8,3.7,108.1,20.9,4.2,42.1,223.4,70,36,39.1,19.4,27.7,88.5,9.8,21.4,3.7,16,28.6,58.4,173.6,189.9,0,45.6,23.1,10.2,10.8,93.8,48.1,105.5,223.9,49.3,25.6,38
"Accomodation and food services",0,0.2,0,0.3,0.6,0,0,0,0,0,0,0,0,0,3.6,0,0,0,1,0.1,0.3,0.2,12.3,7.8,0,2,0.7,0.2,1.6,0,9.8,12.4,10,4.7,5.9
"Publishing, broadcasting",0,0.1,0,0,7.5,0.2,0,0.4,0.2,4,1.5,0.3,0,1.4,8.8,0.1,2.3,0,0.3,0.8,0.6,2.6,17.7,9.5,4.8,0,8.6,13.7,25.7,8.4,111.4,47.8,35.3,4.9,6.7
"Telecoms",1.9,0.5,0.3,0.4,11.8,2.1,1.8,4.3,0.8,4.8,4.4,0.8,1.6,9.2,20,2.1,8.1,0.6,1.5,2.4,11.6,8,38.5,63.2,16.8,21.8,0,10.2,155.5,34.6,108.3,91.6,18.2,12.5,14.8
"IT and information services",0,0.7,0.3,0.1,12.4,0.6,0.3,1.3,0.1,3.9,2.2,0.3,0.7,2.9,13.9,0.8,30.9,0.3,0.7,1.6,11.6,2.4,20.6,30.5,4.4,11.1,10.8,0,131.3,18.4,65,105.2,32.6,14.8,13.9
"Finance & insurance",28,17.3,3.3,3.1,252.3,12.7,16.1,21,68.8,110,51.4,11.4,25.4,33,139.8,29.3,34.3,6.2,18.5,24.8,103.1,96.6,269.2,221.4,125.5,31.2,32.2,121.9,0,733.2,545.7,433.4,102.6,42.7,81.1
"Realestate",0.5,1.8,1.2,0.1,41.5,11.1,5,16,0.6,7.9,15.9,2.1,4.3,21,63.5,7,18.2,2.3,2.3,5.1,17.5,5.4,197.2,95.8,87.1,12.2,24.6,16.2,62.6,0,117,66.5,21.8,20.4,49
"Other business services",25,52.3,4.3,15.7,358.1,44.2,19.7,53.6,113.5,165.8,97.4,18.4,26.5,117.7,372.5,42.1,149.8,13.2,54.3,54,267.9,1002.7,730.2,600.7,233.8,150.1,135.2,173.8,903.8,1476.2,0,1320.3,239.9,134.8,198.3
"Public admin,  defence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.6,0.1,0,0.1,0,0,0.1,0.1,0.2,0,0.5,0.5,0.2
"Education",0,0.1,0,0,0.2,0,0,0,0,0,0.1,0,0,0.1,0.3,0,0,0,0,0,0.2,0,0.5,0.8,0,0.1,0.1,0.2,1.5,0.3,2,5.8,0,0.6,0.3
"Healthcare, socialwork",173.9,0.4,0,0,42.7,0.2,0,0,0,5,0.3,0.2,0,2.3,0,0,4.8,0,1,0.6,27.5,1.7,51.5,27,5.8,7.8,0,0,28.8,0,33.4,378.9,20,0,54.9
"Arts, entertainment",1.3,0.8,0.5,0.2,5.9,1.2,0.5,1.3,3.3,1.7,1.5,0.3,3.5,1.3,8.5,0.8,1.8,0.3,1.1,0.9,6.1,5.1,9.6,15.3,14.3,5,4.2,6.2,15.5,23.7,27.7,39.4,13.1,14,0
