Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,25.5,15.4,2.1,1182.5,18,3.6,2.4,1.8,20.8,11,0.5,0.6,0.1,0,0.1,0.1,0,0,1.5,8,19.8,145.6,7,83,0.7,0.1,0.1,0.8,11.5,34.9,61.2,66.2,33.4,49.2
"Energy extraction",20.3,0,13.8,106.4,6,0.5,0.1,1.3,1185.4,40.1,3.4,13.2,38.8,0.3,0,0.1,0.3,0.3,0.5,1.8,632.3,6.2,22.4,52.5,7.5,0.6,1.5,0,1,28,12.5,10.8,28.8,28.8,39
"Mining (non-energy)",9,48.6,0,5.9,0.4,0.1,0,0.5,82.3,16.6,0.5,75.6,1812.6,7.6,0.1,0.8,1,0,0.3,2.3,41.4,122,6.3,7.8,0.6,0,0,0,0.3,8.8,2,5.8,1,0.1,7.5
"Mining support",8.7,1013.8,35.1,0,0.4,0,0,0.1,0.5,0.1,0.4,0.4,0.3,0,0,0,0.1,0,0,0,6.6,12.8,0,0.5,0,0,0,0,0,0,1.5,2.1,1.8,0,0.1
"Food, beverages, tobacco",269,1,0.2,0.2,0,0.6,0,0.4,0.5,5,0.4,0.4,0.2,0,0,0,0,0,0.1,0.4,2.4,2.8,33.4,4.2,146.9,1,0.2,0.1,1.6,5,10.9,45.4,45.9,55.5,85.1
"Textiles & apparel",0.8,2.4,0.7,0.1,0.2,0,0,0.1,0,0.3,0.6,0.2,0,0,0,0,0,0.1,0.1,0.8,0.4,1.3,3.5,0.7,0.4,0.1,0,0,0.2,0.2,1,2.4,1.8,3,5
"Wood",0.8,3.5,1.7,0.2,0.2,0,0,0.2,0,0.2,0.1,0.5,0.1,0.1,0,0,0,0,0.2,1.9,0.8,18.4,1.4,0.6,0.1,0.1,0,0,0,9.3,1,0.5,1.1,0.2,2.9
"Paper & printing",1.8,4.1,1.7,0.2,5,0.3,0.1,0,0.3,1.3,0.9,1.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.9,3.4,2.3,20.2,4.5,1.5,18.8,2.5,0.3,5.1,7.4,20.4,17.1,40.1,10,33
"Coke & refined petroleum",133.4,463.7,142.6,29.6,8.5,1.7,0.5,1.7,0,35.6,3.3,23,42.9,1.2,0.3,0.5,1,0.3,1.1,8.8,115.8,97.6,100.4,735.4,6.2,2.9,5.5,0.6,9.3,56.8,56.7,86,66.5,43.8,84
"Chemicals & pharmaceutical",18.3,19.9,5.7,0.8,1.1,1.2,0.1,0.9,2.9,0,7.9,2.2,3.8,0.3,0.1,0.2,0.2,0.1,0.3,0.9,2.4,4.7,2.4,1.4,0.3,0.4,0,0,0.1,4,3.3,2.1,4,23.9,10.2
"Rubber & plastic",6.7,48,14.1,2.8,9.7,1,0.2,1.4,0.9,3.9,0,3.8,3.9,0.9,0.7,1.1,1.5,1.3,1.4,5.4,5.4,51.6,25,29.9,1.6,0.7,1.8,0.1,0.8,10.3,10.6,6.2,6.9,11.6,14.9
"Other mineral (non-metallic)",9.8,49.8,26.2,4.5,8.9,0.4,0.4,0.2,0.5,2.8,2.5,0,8.5,1.2,0.9,0.7,0.9,0.6,1.1,3.7,7.6,490.1,15.4,7.7,2,0.3,0.8,0,0.7,45.2,9.8,9.1,15.4,11.2,18.3
"Metal (basic)",4.1,294.3,141.7,29,8.4,0.3,0.2,10.1,1.4,9.2,7.2,18.1,0,97.6,9.3,46.7,54,11.2,29.2,87.6,53.9,488.1,23.4,7.9,0.1,0.2,4.3,0,0.9,10.6,6.2,4.3,3.8,8.7,30.3
"Metal (fabricated)",5.5,95.4,10.4,3.3,4.7,0.3,0.2,0.3,0.9,1.2,1.5,2.5,12.5,0,0.4,0.8,3.2,0.9,2.1,10.4,6.4,69.3,8.3,5.6,0.7,0.3,0.4,0.1,0.4,11.2,8,8.9,5.5,2.2,7.3
"Computer, electronics",0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0,0,0.4,0,0.1,0.1,0.3,0.4,0.3,0.6,0.4
"Electrical equip.",1,21.1,3.5,0.8,0.4,0.1,0,0.1,0.2,0.4,0.4,0.6,3,0.4,1.2,0,1.7,0.6,1.1,7.4,10.5,37.3,7.2,6.5,0.5,0.5,4.1,0.1,0.4,8.1,6.3,4.5,5.4,3.3,11.2
"Machinery & equip.",1.3,20,3.4,1.2,0.2,0.1,0,0.1,0.1,0.1,0.1,0.3,0.6,0.1,0,0.1,0,0.1,0.3,1.2,0.9,3,1,1,0,0,0.1,0,0.1,0.5,1,2.2,0.7,0.3,0.8
"Motor vehicles",0.3,1.4,0.3,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.4,0.4,0.4,2.4,4.9,0,0,0.1,0,0.1,0.3,0.8,0.9,0.3,0.2,0.7
"Other transport equip",0.3,11.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,2.2,0.8,7.3,0,0,0,0,0,0.1,7.7,43.1,0.1,0.1,0.5
"Other manufacturing",35.5,261.4,29.6,10.4,6,0.8,0.3,1.6,3.4,2.8,1.8,6.4,24.1,1.2,0.6,0.7,2.1,0.4,1.7,0,33.4,26,16.4,61.1,2.7,2.1,9.6,0.3,2.9,134.4,19.5,26.3,12.7,31.6,18.6
"Utilities",61.6,604.8,197.1,17.7,18.1,4.6,0.9,7,13.6,20.2,10,31.3,125.7,3.2,0.8,0.9,2.2,0.8,1.7,9.7,0,33.9,96.3,88.9,21.8,7.4,14.2,0.9,15.4,322.8,65.1,162.5,274.9,161.1,184.6
"Construction",5.3,39,25.2,2,0.4,0.1,0,0.2,0.5,0.5,0.3,1,1.6,0.2,0,0.1,0.1,0,0.1,2.3,13.9,0,11.9,14.9,1.3,0.6,3.1,0.1,2.8,197.9,21.5,37.9,27,12.7,18.4
"Wholesale & retail",546.8,1041.5,265.3,57.7,372.3,15.4,2.9,15.5,256.4,62.7,36.1,76.7,698.6,39,6.6,20.1,27.4,10.8,34.9,117.5,326.1,733.3,0,569.9,84.9,147.5,164,18.1,51.3,237.8,669.5,211.1,210.2,280.8,498.9
"Transportation, storage",127,943.3,181.8,56.1,78.4,6.1,1.8,7.9,100.9,24.3,13,40.5,246.4,12.8,2.4,5.5,8.7,3.2,10.4,26.1,101.1,188,483.2,0,15,16.9,18.4,1.7,26.1,52.6,122.4,147.9,132.2,63.2,180.2
"Accomodation and food services",3,24,2.8,3.2,1.5,0.3,0.1,0.4,0.3,0.8,0.6,1.1,1.6,0.3,0.1,0.1,0.3,0.1,0.4,1.7,7.1,9.7,28.4,27,0,2.9,1.6,0.7,9.9,41,66.2,37.7,64.5,84.2,79
"Publishing, broadcasting",1.6,8.9,1.8,0.1,4,0.2,0,2.5,0.8,1.1,0.5,0.9,0.4,0.2,0.2,0.1,0.2,0.1,0.2,1.3,6,5.3,43.2,12.1,2.4,0,22.1,1.7,10.9,15.4,128.1,35.8,110.9,18.6,96.4
"Telecoms",13.8,52,17.8,5.3,3.8,1.3,0.2,1.2,2,2.2,1.7,3.4,3,0.9,0.5,0.3,1,0.3,0.8,5,22.3,22.4,99.7,69.2,7.4,30.1,0,4.3,51.8,72.9,119.5,135.4,97.5,78.2,149.6
"IT and information services",0.8,27.1,2,0.4,1.2,0.2,0,0.4,0.6,0.9,0.4,0.8,1.2,0.2,0.2,0.1,0.2,0.1,0.1,1.8,6.7,5.4,21.7,16,1.3,5.5,12.1,0,20.7,16.8,38.2,33.7,24.3,18.8,30.5
"Finance & insurance",44,282.8,36.1,6.1,7.4,1.8,0.3,1.8,4.5,4.5,3,5.9,17,1.3,0.6,0.6,1.3,0.5,1.3,7.1,34.1,48.3,103.4,84.1,6.3,6.1,10.9,1.2,0,690.7,80.4,85.6,74.5,60.8,109
"Realestate",27.9,359,10.1,3.5,13.3,4.6,0.5,5,4.8,5.2,6.6,8.7,5.5,2.9,1,1,2,1.2,2.2,21.9,56,123.2,757.8,208.3,80.8,31.2,71.6,5.9,102.1,0,362.3,309.8,597.2,362.3,547.9
"Other business services",88.2,1555.9,109.3,54.1,81.9,7.8,1.4,10.2,17.1,35.4,14.7,30.3,34.6,6.4,5.5,3.6,6.9,2.8,8.7,57,155.5,419.2,751.9,365.9,54.3,86.1,122,12.3,185.2,526.8,0,407.4,423.7,330.4,649.4
"Public admin,  defence",2.1,19.8,3.1,0.7,0.5,0.2,0,0.2,0.5,0.4,0.3,0.5,0.2,0.1,0,0,0.1,0,0.1,0.7,5.5,4.4,7.7,12.9,0.5,1.2,1.7,0.1,2.2,24.1,18.2,0,21.4,10.2,17
"Education",1.5,62.4,8.1,0.4,1,0.2,0,0.3,0.6,0.6,0.4,0.7,0.5,0.2,0.1,0.1,0.2,0.1,0.1,1.3,4.4,3.1,12.5,11,0.3,2.2,3.2,0.6,9,7.7,32.8,52.3,0,30.1,44.1
"Healthcare, socialwork",40.8,52.3,0.5,0.1,21.9,0.3,0.5,3.2,3.7,15.9,5.3,7.9,4.3,2.1,0.8,1,1.9,0.8,0.7,19.6,63,49.2,190,194.8,13.5,20,31.8,4.4,103.8,101.9,319.4,28.9,6,0,865
"Arts, entertainment",20.9,234.9,103.8,7.5,6,1.6,0.3,1.2,2.8,2.3,1.9,4.4,12.8,0.7,0.6,0.4,0.8,0.4,1.5,6.7,25.5,34.9,86.2,73.7,19.1,21.6,17.1,2.4,25.8,47.6,105.8,88.4,128,205.7,0
