Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,2.9,0.1,350.7,7.4,80.3,3.9,0,3.8,3.6,1.3,1.9,2.5,0.6,1.6,0.9,1.8,0.2,8.9,1.5,10.8,39.8,5.1,42.7,0.6,0.6,0.4,0.6,0.5,5.6,3.7,8.2,5.2,4.7
"Energy extraction",0.1,0,0.1,0.3,0.4,0.3,0.2,3.5,0,5.8,0.3,3.5,5.1,1.6,0,0.4,0.2,0.1,0,0.1,25.4,1.1,2.9,0.4,0.5,0.1,0.1,0.1,0.2,0.2,0.9,0.1,0.7,0.5,0.8
"Mining (non-energy)",0.6,0,0,0.1,0.4,0.1,0.1,0.6,0,9.4,0.1,17.1,124,1.4,0.1,1.3,0.1,0.1,0.1,0.9,1.4,33.5,2.4,1.5,0.3,0.1,0.2,0.1,0.2,0.7,1.3,0.5,0.3,0.3,0.3
"Mining support",4,3.1,3.3,0,0.5,0,0.2,0.5,0,0.3,0.9,0.4,0.2,0,0,0,0.4,0,0,0.2,4.2,12.4,0,0.3,0,0,0,0,0,0,1.3,0.8,0.3,0,0
"Food, beverages, tobacco",91.9,0,0.3,0,0,9.9,1.7,4.5,0,24.9,3.1,2.1,2.4,3.3,1,2.6,1.7,1.9,0.3,2,4.1,10.7,47.8,6.3,203.2,2,1.6,1.3,2.1,1,13,22.2,11.6,24.3,31.2
"Textiles & apparel",1.7,0.1,0.4,0,3.3,0,1.8,2.6,0,8.4,27.8,1.1,1.2,2,0.6,1.4,1.4,16.5,0.7,14.5,1.4,5.8,13,3.8,3.1,1,0.7,0.5,0.9,0.5,5.5,3.5,2.3,7.6,3.9
"Wood",9.5,0.5,0.4,0.1,3.7,1.5,0,19.9,0,3.8,33.9,6,1.4,10.5,1.2,6.6,5.1,17.3,1.2,83.2,1.6,71.2,17.1,2.2,1.9,0.3,0.4,0.2,0.4,0.6,5.3,1.2,1.8,1.3,1.3
"Paper & printing",3,0.1,1.2,0,17.2,4.2,6,0,0.1,16.7,6,8.4,2.2,6.6,3.3,6.8,3.5,6.4,0.3,7.5,10.1,10.4,81.7,15.4,7.2,88.1,11,6.5,25.5,2.6,76.8,26.9,29,7.3,23.9
"Coke & refined petroleum",0.1,0,0,0,0,0,0,0,0,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.3,0.2,1.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0
"Chemicals & pharmaceutical",23.4,0.6,2.5,0.2,18.7,14.5,11,23.6,0,0,101.8,16.3,21,23.9,6.2,21.6,9.3,18.2,1.6,11.7,9.5,41.6,30.3,6.8,10.3,2.6,1.7,1.6,1.4,2.3,15.3,6.3,4.4,34.9,7.9
