Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,3.8,7.3,1.2,15677.4,270,276,111.2,7.4,98.1,60.5,1.3,8.8,1.8,0.4,0.8,1.1,1.5,0.1,11.4,13.2,30.5,220,11,573.6,5.4,0.7,1,2.3,13.7,64.3,52.6,37.9,25.2,37.6
"Energy extraction",87.8,0,8.8,88.3,144.1,12.7,2.6,26.1,9023.8,291.7,34.9,25.8,66.8,5.5,1.4,2.8,3.7,21.1,0.6,3,1309.5,19.7,67.9,94.9,71.6,7.3,8.3,1.3,5.8,25.9,39.3,18.1,26,36.8,77.6
"Mining (non-energy)",103.4,48.6,0,19.1,43.7,9.7,2.1,27.4,169.9,300.1,7.6,486.5,1580.1,38.4,1.7,6.1,8.9,2.9,0.4,19,42.2,551.3,30.8,23.8,2.5,0.4,0.2,0.2,0.5,46.2,15.8,26.6,2.8,0.7,12.7
"Mining support",138.8,911.4,85.5,0,26.1,0,0.9,4.4,8.6,2.8,8.3,2,0.8,0.1,0,0,1.7,0.1,0,0.7,28.9,49.8,0.1,2.5,0,0,0,0,0.1,0,3,7.6,3.9,0.1,0.1
"Food, beverages, tobacco",772.9,21.9,11.9,2.5,0,101.9,10.6,40.1,14.9,75.8,24.6,19.6,40.1,12.9,6.4,6.7,10.3,17.3,1,8.7,27.2,56.4,406.7,44.9,1096.2,27.9,13.8,9,22.1,29.2,75.6,69,39.7,56.5,196.1
"Textiles & apparel",135.6,32.9,11.9,4.3,252.3,0,13.8,36,11.2,78.7,84.7,11.1,24.2,12.3,8,8.2,11.7,74.3,2.5,62.7,23.4,45.6,176.2,51.9,53.2,29,11.9,4.4,17.8,27.3,71.3,72,28.5,98.3,113.3
"Wood",101.9,23.3,25.3,3.3,79.1,35,0,106.1,8.5,33.5,33.8,24.7,8.3,25.5,5.9,8.6,12.3,51.6,2.9,262.1,38,674.1,109.3,33.3,29.9,24.9,5.1,4.2,5.4,250.9,70.4,18.2,24.9,6.4,84
"Paper & printing",80.2,12.9,11.9,1.6,684.2,102.7,24.6,0,12.9,120.4,71.2,30.4,14.1,16.3,15.6,14.5,15.2,31.6,0.8,22.9,36.4,30.3,297.6,59.1,88.3,543,35.8,37.4,100.6,29,256.3,101.5,140.3,71.2,106.2
"Coke & refined petroleum",1669.7,390,260.7,56.3,575.1,243.6,51.2,115.2,0,926.2,339.4,139,393.4,69.4,25.1,36.6,42.5,85.9,6.1,43.7,511.8,398,728,2733.1,151.1,82.2,67.3,35,125.8,129.5,379,297.7,153,157.6,272.4
"Chemicals & pharmaceutical",937.6,91.1,55.1,9.4,389.3,386.5,52,159.4,245.9,0,896.7,68.5,148.3,59.8,39.2,47.3,34.9,113.4,5.1,44.1,54.6,144.1,147,74,38,53,13.4,6.4,13.6,66.9,129.2,44.8,46.6,288.8,146.4
"Rubber & plastic",251.9,91.1,56.8,12.7,1054.7,420,51.2,123.5,55.3,310.7,0,53,87.7,81.6,81.5,101.1,102.6,477.7,11.5,88.6,47.7,445.8,419.1,258.2,99,44.6,43.8,11.2,23.2,67.8,151.7,53.5,38.9,80.4,107.3
"Other mineral (non-metallic)",110.4,44.2,63.2,9,359.5,27.8,29.1,9.5,10.2,83.3,62.8,0,81.7,45.4,44.3,29.7,27,103.6,3,19.9,29.6,1856.2,110.6,42,52.2,8.5,9.1,2.9,7.7,128.8,54.2,33,33.9,31.4,45
"Metal (basic)",111.2,317.2,55.3,62.7,225.3,36.6,21.5,41.8,44.4,60.6,120.1,79.9,0,1772.7,104.4,367.2,710.8,1069.8,55.9,238.2,123.9,1616.5,106.6,74.5,17.8,15.9,16.4,4.8,7.7,50.9,53.8,38.8,19.2,18,49.1
"Metal (fabricated)",186.8,225.6,50.7,19.8,515.4,81.2,43.4,34.6,47,72.8,97.7,40.7,333.9,0,58,98.4,261.2,425.3,16.2,84.1,80.1,692.4,172.6,100.4,48.6,52.2,27.2,14.7,20.5,93.1,116.5,91.4,45.7,27.8,71.8
