Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0.4,0.1,528.2,0.5,44.4,1.2,0.1,2,1.1,0.4,4.7,0.2,0,0,0,0,0.1,74.1,3.3,1.4,15.3,0.3,32.9,0,0,0,0.3,1.6,0.2,1.7,1,2.7,1
"Energy extraction",0.1,0,0,0,0.3,0,0,0,37.7,0.5,0,0.1,0,0,0,0,0,0,0,0,3.2,0.1,0.1,0.1,0.3,0,0,0,0,0.1,0.1,0,0,0,0.1
"Mining (non-energy)",2,0,0,0.1,1.1,0,0,0.1,20.8,0.8,0,23.5,25.8,0.7,0,0.3,0,0,0,1.1,1.9,37.9,0.6,0.2,0.2,0,0,0,0,1.4,0.1,0,0,0,0.1
"Mining support",4.7,1.1,1.4,0,1.1,0,0,0.2,0.8,0.1,0.2,0.2,0,0,0,0,0,0,0,0.2,1.5,5.5,0,0.1,0,0,0,0,0,0,0.2,0.2,0.1,0,0
"Food, beverages, tobacco",303.9,0,0.1,0,0,1.2,1.2,3.8,5.3,12.6,2.4,1.1,0.9,0.3,0.4,0.7,0,0.1,0,5.5,2.8,8.4,24,1.7,405,0.4,0.5,0.1,1,2.5,6.2,7.2,9.4,13.1,5.4
"Textiles & apparel",1.8,0,0.1,0,3.6,0,0,1,0.6,0.7,1.2,0.4,0.2,0.1,0.1,0.2,0,0.1,0.1,9.1,0.7,3.5,7,1,5,0,0.2,0,0.9,0.4,1.1,1.5,0.7,3.4,2.1
"Wood",0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.4,0,2.9,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0.1
"Paper & printing",7.8,0.1,0.2,0.1,105,4.3,0,0,2.7,10.3,5.6,9,0.7,1.1,1,2.7,0,0.3,0.1,19.5,3.7,11.9,43.2,8.8,35,7.1,6.7,2.8,23.9,8.1,53,10.1,23.2,7.5,13.6
"Coke & refined petroleum",80.9,0.6,3.7,0.5,29,5.8,0.4,9.4,0,70.4,26.3,14.5,5.7,1.7,1,3.6,0,0.3,0.2,16.6,25.9,47.6,23.6,70.5,13.3,0.4,1.5,0.5,3.8,7.9,14.9,5.8,6.1,6.7,8.7
"Chemicals & pharmaceutical",132.5,0.5,2.6,0.3,41.4,15.1,0.8,23.8,98,0,80.7,20.6,7,3.6,2.5,8.6,0.1,0.7,0.4,35.8,10.2,44.7,15.6,4,12.1,0.2,0.4,0,1.4,12.1,11.7,2.6,6.2,14.3,14.6
"Rubber & plastic",7.8,0.1,0.3,0.1,45.2,4.9,0.2,5,4.9,8.2,0,4.3,0.9,1.4,1.7,5.8,0.1,1.2,0.3,21.4,1.6,51.4,15.9,6.8,7.6,0.3,1.3,0,0.9,3.5,5.7,1.1,1.4,2.2,1.6
"Other mineral (non-metallic)",6.8,0.1,0.3,0.1,18,0.2,0,0.4,0.9,1.9,0.6,0,1.6,1.3,1.4,2.5,0,0.4,0.1,6.6,1,320.8,8.3,1.4,7.1,0.2,0.3,0.1,0.4,10.4,3.1,1.2,2.1,1.5,1.1
"Metal (basic)",0.5,0.2,0.1,0.3,0.2,0,0,0.1,0,0,1,2.9,0,15.7,0.1,7.9,0.5,1.2,0.7,26,1.9,91.7,0.1,0.5,0,0,0,0,0,0.2,0.2,0.1,0.1,0,0
"Metal (fabricated)",3.6,0.2,0.4,0.1,11.8,0.6,0.1,0.7,2.8,1.2,1.5,2.2,3.4,0,0.7,3.5,0.3,0.7,0.3,13.3,2.5,58,4.2,1.4,2.3,0,0.2,0.1,0,2.7,2.7,1.2,0.8,0.4,0.9
"Computer, electronics",5.1,0.1,0.1,0,14,1.9,0,2.3,3,3.5,1.8,1.3,0.6,0.4,0,2.3,0,0.2,0.1,3.9,1.3,9,23,1.7,4,0.2,1.9,0.4,1.1,0.7,2.7,0.5,1,2,1.4
"Electrical equip.",2.1,0.1,0.1,0,7.6,0.7,0,1,1.2,1.4,1.8,0.7,0.6,0.3,2,0,0.1,0.4,0.1,5.4,3.5,24.7,9.8,1.1,2.6,0.1,1.8,0.1,0.5,1.9,1.5,0.7,0.8,0.9,1.1
"Machinery & equip.",0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Motor vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Other transport equip",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.7,0,0,0,0,0,0,0.3,0.7,0,0,0
"Other manufacturing",27.9,0.6,1.3,0.3,29.7,3.3,0.2,4.7,11.8,4.3,2.3,6.4,6,1.8,1.5,3.8,0,0.5,0.2,0,16.7,33.4,12.8,18.4,12.8,0.6,6.5,0,4.8,18.2,13.2,5.4,5.8,12.3,3.5
